reviewer_name,rating,review_text
calon bakulan,2 bintang,Di puskesmas asemrowo bangunan sudah bagus ada fasilitas AC tidak di gunakan ada kipas angin tidak boleh di nyalakan takut panggilan speaker poli tidak kedengar katanya ( tidak mencari solusi / pembiaran karena tiap kesini mesti panas)  sedangkan pengunjung sangat banyak panas
Agus Tanto,3 bintang,tempat aja besar. sampek 3 lantai.. tp kelas nya cuman klinik.  lantai2 dan lantai 3 gk kepakai. gk ada rawat inap nya
aca tessm,5 bintang,"Pelayanannya baik,cepat, petugasnya ramah. Ada sosialisasi juga td. Semangat  🏋🚴💯💪 …"
Ahmad Sewu,2 bintang,"Pelayanannya baik cuma ruangannya panas,,,ada sih kipasnya tp ga dinyalakan.lebih baik pake ac saja kan ruangannya sdh tertutup"
Rahmat.jaelani Rahmat.jaelani,4 bintang,"Permisi mau tanyak .
Klo mau minta surat rujuk H1 apa bisa . Semisal Hari Kamis mau kontrol di rumah sakit trus paginya minta surat rujuk apa bisa ya .
Terimakasih 🙏 …"
karolina priskilla,4 bintang,Terima kasih sudah memberikan pelayanan yang baik untuk lansia dan disabilitas. Dan orang-orang awam yang ingin bertanya sangat diladeni dengan baik di sini
Icha Cha,5 bintang,"Pelayanan sudah baik. Petugasnya jga kompeten selalu uptodate. Cara penyampaian informasi juga okee, pelayanan juga cepat, kamar mandi bersih dan wangi. Paling suka kamar mandinya soalnya bersih banget kinclong ada sabun+kresek pembalut mantap deh jadi nyaman kalau priksa disini"
Rais J (03.2019.1.90694),5 bintang,"Pelayanannya baik & ramah. Waktu berobat kebetulan bpjs posisi non aktif, sama mbak² yang di pendaftaran langsung dibantu untuk proses pengaktifan kembali. Bagian pemeriksaan petugasnya ramah. Dokternya juga enak buat diajak sharing masalah kesehatan. Dibagian pengambilan obat petugasnya juga ramah. Penjelasan mengenai obatnya juga detail. Pokoknya beda dengan review 2 - 3 tahun yang lalu👍🏼"
Ika dewi,5 bintang,"Pelayanan bagus dan ramah,maaf mau tanya sekalian jika ingin meminta rujukan untuk melahirkan ke RS .apakah bisa datang sore hari ?? Atau harus saat jam kerja saja??"
Siti Nurhidayah,1 bintang,"Pelayanan Pendaftaran sangat buruk sekali, dimanapun tempatnya pendaftaran pasti dikasih kertas pena untuk penulisan nama NIK agar tidak ada miskom, masak daftar pertama salah udah diperbaiki tetep salah seharusnya pake nalar dong klo informasi yg disampaikan pasien dirasa janggal gk malah ngujudge pasien. Miris sekali klo gk fokus kerja ya pulang aja gk malah ngejudge pasien dg nada tinggi pula"
Vira Sav,1 bintang,Pelayanan sangat buruk. Padahal sudah canggih. Tapi apa... Yang sudah daftar online malah di jadikan Yang terakhir. Kalo gini apa fungsinya daftar online?
Agung Wijaya,2 bintang,Saya bingung tentang usia kehamilan. Diagnosa nya sangat jauh berbeda dengan hasil USG.
Happy W. Lauwrenthioes,3 bintang,Semangat melayani & terima kasih 🙏 …
Asril Aspawi,5 bintang,"Pelayanan nya baik, petugas nya ramah mulai dari depan pintu masuk hingga ke loket, dan dokternya juga baik ramah, serta pelayanan cepat"
Fatkhur Rohman,1 bintang,"Selasa 23 April 2019 jam 16.30 Puskesmas Asemrowo sudah ditutup. Padahal jam layanan tertulis jelas sd jam 17.30. Karena saya sedang benar2 butuh berobat, saya masuk saja. Tak nampak satu orang pun pasien disana. Hanya beberapa petugas jaga yg sedang asik makan bakso sambil bilang ""maaf mas semua komputer sudah dimatikan. Kan sudah ditulis tutup di depan"". Jika memang demikian, tolong dong jam layanan diubah jadi max jam 16.30. Payaaahh.."
