reviewer_name,rating,review_text
Sari Kurnia,5 bintang,"Dari kecil kalo sakit disni sampe sekarang hamil, nyaman, ramah, pelayanan terbaik pokoknya, tempatnya bersih, rapi, terus yang nganter boleh nemenin kedalem"
Erlin _MS,5 bintang,"Pelayanannya baik, cepat dan ramah.
Ke poli gigi, dokter²nya ramah dan tanggap.
Tempatnya pun bersih dan rapi.
Peralatan nya terlihat lengkap dan tertata.
Biaya penanganannya pun masih sangat relatif terjangkau

Tempat parkirnya luas, disediakan banyak kursi."
karnizayn official,5 bintang,"Penilaian Jujur kali ini Pantas Buat PKM Balas Klumprik 🥳

(Saya Pendatang) Senin, 26 Juni 2023 kemarin habis periksain anak dg keluhan panas kadang naik kadang turun sama keluhan perut sebelah kiri sakit.

Pertama Kali Masuk langsung ada 2 orang petugas didepan yang langsung Gercep nanyain (mau periksa apa pak? Sudah daftar Online?). Dalam hati : wih kayaknya nyaman nih pelayanannya karena diawal sudah disambut dg Ramah bgt.

Buat yg blm pernah ke PKM wajar ya gak tau kalo ada daftar online, tapi tenang pas udah masuk sini nanti dibantu daftar sama yang jaga kok, tinggal setor identitas aja (KK/KTP).

Setelah daftar sy bayar Rp 5.000 krn bukan KK Surabaya dan Non BPJS.

Respons Masing² Profesi dari Satpam, Pendaftaran, Asisten dan Dokternya , bagian Laboratorium dan Farmasi (Obat) sangat² Baik dan Informatif.

Ini adalah ulasan Terbaik dari beberapa tempat kesehatan yg saya temui.

Saran Kalo mau Berkunjung sebaiknya Pagi Hari lebih Sepi...

Saya spill biaya checkup anak saya Non-BPJS :

- Pendaftaran : Rp 5.000
- Pemeriksaan Lab : Rp 40.000
- Obat : Gratis
- Parkir : Gratis

Yang Terbantu dg Ulasan ini jangan Lupa di Like yaa ...."
Anis Hanifah,5 bintang,"Terimakasih sudah di bantu untuk di aktifkan BPJS ortu saya, tahun lalu urus di kelurahan belum aktif, di puskesmas sini tinggal nunggu beberapa jam sudah aktif tanpa ribet cuma tunjukkan foto KK. Pelayanan meningkatkan, tambah baik. Semoga kedepannya tetap di pertahankan 🙏🏻 terimakasih. …"
user,5 bintang,"Bersama Surabaya Hebat! Puskesmas juga harus hebat! Saya punya faskes jauh ke kota tetapi ktp asli sby jadi periksa gratis!
Jam setelah istirahat tetap melayani good jobs! Kecuali weekend"
Azundha Rahmadani A.,5 bintang,"pelayanan ramah, sigap dan tanggap"
Risma Zen,5 bintang,"puskesmas terbaik yg pernah sy temui. beberapa hari muter² cari booster, sdh daftar ke puskes deket rmh smpe 3x diPHPin teruuusss.. i

ni sekalinya nelpon ke puskes balasklumprik lgsg diangkat sm mas²nya (mas supardi maturnuwun) dikasi no WA dan sgt² responsive, sgt membantu dan bsk paginya dtg ke sana pun semua pegawainya mulai tkg parkir, bagian pusat info, suster, dokter, semuanya supeerrrrr baiiiiik, ramah bangeettt, sukaak😍

pelayanannya satset watwet dan murah senyum semua, waaaa😍

toiletnya juga bersiiih, nyaman, pokoknya keren bgt puskes balasklumprik🫶

BEST PUSKESMAS EVER❤️
semoga semua diberi sehat dan berlimpah rizqi halal dan barokaaahhhh, Aamiin🤲

Thank youuuuuuu❤️"
hari susanto,5 bintang,Rujukan berobat dekat dan nyaman. Semoga puskesmas balas Klumprik Surabaya semakin terdepan dalam melayani kesehatan masyarakat
maztri23 Shojiro,5 bintang,"Alhamdulillah, pelayanannya baik, untuk KK Surabaya gratis, tidak ada biaya, mantap, sukses Puskesmas Balasklumprik, pertahankan kualitas pelayanannya dan fasilitasnya...👍 …"
Pandu Wiguno,5 bintang,"Pelayanan sangat cepat,teratur,komunikatif, dan bersih"
Kikik Dev,5 bintang,"Pelayanan bagus mulai dari parkir yang teratur, loket dan security yang ramah. Dan juga dokter yang ada di poli gigi yang baik."
bayu dtower,5 bintang,"Terimakasih bu dokter, bu bidan, bu suster yg ada di poli KIA sdh dibantu untuk diberi rujukan untk melahirkan di RS lombok dua2 semga sehat rejeki lncar smua. Skrg istri dn anak sy sdh lahiran dan sehat walafiat. Alhmdllh... Salam dr ibu nur frhana"
