reviewer_name,rating,review_text
Claudia Novita,5 bintang,"Pelayanan cek kesehatan catin di sini cepat, Semua petugas di puskesmas ramah, dan cek kesehatan utk catinnya gratis utk KTP Surabaya."
Suharmanto Anto,1 bintang,"Pelayanannya sangat buruk dari dulu sampai sekarang tidak ada perubahan,
Sudah antri lama dari pagi utk tes darah di poli KIA dapat no antrian 75 sampai jam 1 siang nunggu lama belum juga di panggil...
Jam 1 katanya istirahat di suruh kembali jam 2,
Setelah jam 2 kembali kesana malah yg ada di bilangi kalau tes lab tdk bisa sore harus pagi dan di suruh kembali besok paginya...
Tapi kalau ada kenalan orang dalam langsung masuk tanpa nunggu antrian dan saya melihat sendiri itu.
Kalau memang tdk bisa knpa di kasih nomor antrian dan maksudnya apa di bikin ribet sudah lama nunggu ujung-ujungnya bilang tdk bisa pdhal kami bukan peserta bpjs gratis dr pemerintah tapi kami bpjs mandiri dan selalu bayar tdk pernah nunggak.
Sangat kecewa banget dengan pelayanan kesehatan dari pemerintah yg seharusnya melayani bukannya membuat orang tambah susah!!!"
Agustia Haryanto,5 bintang,"Beberapa bulan yg lalu sy kena bells palsy, Alhamdulillah tdk smpe rujukan ke poli syaraf. Selain kontrol poli umum, sy jg direkom ke poli batra unt akupuntur. Pelayanan poli batra dan terapisnya top markotop 👍 memberikan treatment terbaik sampai sy bener2 dinyatakan sembuh dan itu tidak lebih dr sebulan. Makasih mbak busrah 😍 …"
Titik Awa,5 bintang,Saya pernah keseringan kram otot tegang di sekujur kaki ...dari poli umum di sarankan akupuntur ke poli Batra... alhamdulillah 6 kali akupuntur kembali pulih ... terimakasih kepada Busrah Hamidah yg telaten melayani saya ...matur suwun 🙏🙏🙏 …
Anita Sari,5 bintang,"Pkm Balongsari untuk pelayanan KIA nya sudah bagus,bidan dan asistennya jg ramah2...
Semoga kedepannya sll bagus dan tanggap ya...
Sukses sll untuk PKm Balongsari"
Dhanny Wijaya,5 bintang,"Pelayan ramah, cepat dan profesional. Tempat bersih dan rapi"
Neny Tri Wijaya,5 bintang,Bagus sih sistem pelayanannya KIA menurut saya. Cuman sebagian pegawainya ada yang kurang ramah. Tolong pegawai-pegawai diberi tahu lagi agar lebih sabar dalam melayani pasien. Terimakasih
Mas Andi,1 bintang,"Poli KIA pelayanannya tidak sesuai estimasi waktu yang di berikan, jam panggil untuk di depan (nimbang BB, TB) sudah sesuai, namun jam panggil untuk masuk ke dalam ruangan sangat lama membutuhkan waktu 1-2 jam, karena lama banyak juga yang ditinggal pulang, ketika sudah dipanggil kedalam malah disuruh keluar lagi tanpa alasan, di ruang tunggu sangat panas sehingga banyak bayi yang kegerahan dan menangis"
Yeni Masyayu,5 bintang,Alhamdulillah sy periksa dengan jadwal online tepat waktux gk antri lama petugas KIA dll sangat ramah sekali dan trima kasih menerima keluhan dr pasienx 👍👍👍🙏🙏 …
Robby Yonatan,5 bintang,"Kita datang disambut petugas dgn ramah dan diarahkan mulai pendaftaran sesuai kebutuhan .
Pelayanan di poli juga sangat memuaskan krn sangat sabar dan telaten.
Semoga semakin maju buat puskesmas balongsari dan sehat sehat buat semuanya."
bunga,2 bintang,"Hari Rabu, 07 Februari 2024, pada jam 8 pagi. Pasien tidak lebih dari 20 di poli umum, (kebanyakan di poli gigi) yang hadir di puskesmas, sisanya mendaftar secara online dan tidak hadir. Kami yang sudah menunggu lama dari pagi merasa kesal dan kecewa karena tidak segera ditangani. Petugas tensi lebih mementingkan antrean yang orangnya tidak hadir di puskesmas. Padahal petugas tensi tidak ngapa2in, dan kami saling tunggu menunggu pasien yang tidak hadir. Akhirnya setelah menunggu lama, saya baru dilayani pada jam 9. TOLONG, JIKA PASIEN DENGAN ANTREAN AWAL YANG MENDAFTAR SECARA ONLINE TIDAK HADIR, LEWATI, JANGAN MENUNGGU HAL YANG TIDAK PASTI! TERIMA KASIH!"
Dis Desi,5 bintang,Hari ini saya anc terpadu di puskesmas Balongsari.. Alhamdulillah pelayanan ramah sekali. Mulai dari pendaftaran di bantu dan di poli KIA ibu2 bidannya Sangat ramah dan penjelasannya enak.. semoga tetap di pertahankan dan di tingkatkan.. terimakasih banyak puskesmas Balongsari
aisyah rositawati,5 bintang,"Pelayanan baik dan cepat,, petugas ramah².
Ambil nomer antrian sejak 2 hari yg lalu, ketika hari H periksa tinggal datang lalu konfirmasi kedatangan. Dipanggil untuk ditanya² dan ditimbang trus masuk ke ruang periksa.
Kalo menjelaskan detail juga,, selalu senang dengan pelayanan Bidannya 😊"
Naurah Nazhifah,5 bintang,"Pelayanann sangat memuaskan. Bidan dan dokter nya sangat ramah, dan sangat baik dalam melayani. Detail dan jelas dalam menunujukkan arahan pada pasien. Kebersihan juga bagus."
Trilis Aprilyati,5 bintang,Pelayanannya sangat baik. Mengutamakan keperluan pasien untuk berobat. Semoga menjadi lebih baik lagi puskesmas balong sari.
Putri Zazia,5 bintang,"Terima kasih untuk puskesmas balongsari, sudah melayani ibu saya yg mengalami kecelakaan sehingga bisa di tangani dengan baik dan cepat. Untuk mas security dan mas petugas puskesmas saya ucapkan terima kasih sudah membantu ibu saya dari mulai masuk, ambil antrian sampe ambil obat
Sukses selalu puskesmas balongsari 👍👍"
nur farida,5 bintang,"Pelayanan bagus, ramah...ditingkatkan ya...sehat selalu"
Siska Nuraini,2 bintang,Sekarang bayar loket nya naik jadi 20 ribu.... Udah bayar mahal mahal saya priksain anak saya yg sakit mata ehhh obat tetes matanya katanya habis suruh beli di luar .... cuma di priksa tok..... Hmmm.... Kok bisaa ya aneh gitu puskesmas sebesar itu kok bisa bisanya kehabisan obat yg menurut saya itu penting Lo .... Tau gini kan uang buat daftar di loket tadi saya lngsung gunakan aja obat di apotik GK capek capek antri nggak bayar parkir
16 - Lailatul Ramadhani,5 bintang,"pelayanan cepat, ramah, tempat luas. namun bagian administrasi terkadang ada yang kurang ramah dan seringkali tidak terdengar apa yg dibicarakan, overall 4,3/5"
Debby Karunia,1 bintang,"Pelayanan kayak tai , saya cm mau cek lab  disuruh antri dr jam 09.30 - 12.30 belum di panggil , lalu saya tinggal pulang dan di suruh balik lagi jam 2 lalu saat saya kembali katanya gak bisa cek laboratorium soalnya sudah sore . Memang tai pelayanannya ."
Norma azizah Norma azizah,1 bintang,"Awal mula kejadian  hri ini sabtu 11 november 2023 periksa ke pukesmas ke KIA stelah antri sya msuk ruangan priksa KIA di dalam sambutan pertama sudah tidak ramah,sya tidak tau itu dokter ato ptugas pukesmas ,karena tidak seperti kemarin pas sya periksa 1 bulan lalu . sya mngeluhkan sakit pilek anak sya yg ber usia 5 bulan lbh 11 hari.  Tetapi tidak dpriksa cuma dliat lalu dsarankan BELI alat penyedot ingus di shope , dari situ awal mula berdebat tjuan sy brobat,dan petugas juga menyarankan jgn dkasih obat karena alesanya ginjal masih kecil,lalu mau memberi obat resep untuk dbeli dluar ,dgn alasan krena sy bukan peserta BPJS .lalu bilang juga kalao bukan peserta BPJS obat yg saya ambil adalah jatah org lain lalu menyarankan saya membuat BPJS ,apa benar begitu ????.padahal saya sudah 2x br obat disitu dan sblmya juga pernah cek darah kehamilan tidak pernah dpermslhkan sya psien UMUm ato BPJs .kenapa baru x INi dperdebatkan ??? Trimksh"
Fidya Rendriany,5 bintang,"Dari awal tau hamil langsung cek di pkm balongsari, bidannya ramah ramah dan untuk pelayanannya bagus,cek darah juga bisa waktu TM 1 dan TM 3 👍
Sukses selalu pkm balongsari …"
Erna Wati,4 bintang,"Untuk pelayanan di Puskesmas Balongsari sudah bagus karena sekarang sudah difasilitasi sistem online yg mana pasien bisa daftar dimanapun lewat gadget tanpa harus datang langsung ke puskesmas, untuk petugas kesehatan lumayan ramah meski ada beberapa ibu2 yg aga judes dlm menjawab pertanyaan dari pasien dan adanya keterlambatan penyediaan obat di farmasi sehingga pasien hrs beli di apotik luar. Semoga kedepannya Puskesmas Balongsari bisa lebih maju lagi"
Arifdhia Misbahuddin,5 bintang,"Tempatnya baik ,,,, pelayanan sesuai nmr urut, tapi kalau daftar online jam kita terlambat kadang masih menunggu"
alqatlya mustav,1 bintang,"jelek pelayanannya ada nomer antrian pake sistem kok dipanggilnya manual yang telat dipanggil duluan yg udh datengg ga dipanggil² jadi percuma juga ada sistem mending gausah pake sistem sekalian,perbaikan perbaikan apaa minta bintang 5 kok pelayanannya gini"
Fidiyah Faradillah,5 bintang,"Alhamdulillah pelayanan di KIA dan Labnya bagus, ramah2, cepat. Terima kasih"
Heru Purwanto,5 bintang,"Alhamdulilah,mulai dari pendaftaran ke poli lansia sampai laboratorium cepat sekali terus tadi juga di bantu mas aris di tunjukan ke tempat laboratorium dan diajak ngobrol ngobrol"
Mentari Putri iswangi,5 bintang,"Terima kasih atas pelayanannya dari mulai awal hamil hingga melahirkan si kecil, cepat dan tanggap sekali akan segala keluhan saya selama kehamilan hingga melahirkan"
Endang Lestari,5 bintang,"Pelayanannya cepat,nyaman.dokternya klu menerangkan ke pasien itu mudah di mengerti,dr Rama namanya.
sukses selalu puskesmas balongsari 👍👍 …"
Suroto Kediri,5 bintang,"Pelayanannya bagus... petugasnya ramah"" walaupun saya datang terlambat tidak sesuai estimasi...tetap di layani...petugas yg di dpn/ CS selalu mengarahkan ke tempat pelayanan yg kita butuhkan..."
Devi Milasari,5 bintang,Pelayanan di KIA puskesmas balongsari sangat memuaskan bu bidanx ramah2.. dan sangat baek untuk memberikan konsultasi yg lengkap..
Samu Rahardjo,5 bintang,"Pelayanan baik dan cepat,petugasnya cekatan dan sopan,tadi di layani sama mas aris baik sekali orangnya trus di lab juga di layani dengan ramah sekali (pak samsul) namanya."
Keisha Azzahra,5 bintang,Pelayanan diKIA ramah dan datang sesuai jam antrian enak langsung dipanggil.mungkin untk yg lain ambil antrian bisa 2hr sbelumny biar gak tunggu lama
Ari Adultz,5 bintang,Kami catin periksa kemarin.pelayanan petugasny dan smw prosedur bintang 10.dipertahankan ya .maaf baru rivew
F3 Drihand,5 bintang,"Alhamdulillah pelayanan di puskesmas balongsari benar""memperhatikan pasien cepat tanggap dan ramah smoga tambah maju SEMANGAT"
Tege Tonggar,5 bintang,"Pelayanan nya sangat baik mulai dari karyawan non-staff maupun nakes nya ramah tamah. Pelayanan yg cepat tanggap, sarpras yang ckup memadai dgn lingkungan yang bersih. Semoga kedepannya lebih ditingkatkan lagi kualitasnya ."
Agustia Listia,5 bintang,"Jayalah terus Puskesmas Balongsari. Dokter, perawat dan bidan smuanya baik-baik. Special to mba diyah yg super duper buaikk bgt, Thx yaaa...."
sophie martin indo,5 bintang,"Pelayanannya baik,terutama yg ada di poli lansia.semoga kedepannya lebih baik lagi"
Putri Jek,5 bintang,"Pelayanan bagus , perawatnya juga baik2 ramah2 enak penjelasannya bisa dimengerti"
UMI ISTIKAH,5 bintang,"Pelayanan di Puskesmas Balongsari sdh Bagus, antrian tdk trlalu lama, tolong lbh ditingkatkan lg, TQ.."
Charania Inggar,5 bintang,Untuk pelayanan dan pemeriksaannya baik dan ramah. Penanganan nya cepat dan antripun tidak lama. Semoga ditingkat kan yg lebih baik lagi dan lagi
Mella Nanda,5 bintang,"Alhamdulillah selama berobat ke puskesmas balongsari selalu baik sekali pelayannya, dari mulai staf sampai bidannya pun sangat ramah dan baik🥰🥰 …"
Tri Yuni,5 bintang,"Nyaman,ramah dan sat set wesss......
Ambil antrian 3hr yg lalu dpt nomer dbwh 10. G lama hbs ditimbang trus dlayani"
Nora manan,5 bintang,"Suka sekali sama pelayanan puskesmas balongsari, cepat, tanggap, ramah, baik....apalagi pegawainya yang namanya Alut orangnya ramah sekali😀👍 …"
Dinii Ardian,5 bintang,Para bidan nya ramah ramah .. melayani dengan baik dan sepenuh hati .. gercep juga dan memberikan solusi yang terbaik.. mantabbb
Evi Sofia,5 bintang,PKM Balongsari pelayanan KIA sangat memuaskan ramah & santun semoga kedepan nya akan sukses selalu
Retha Usmany,5 bintang,"Pelayanannya cpt dan nyaman, mulai dari pendaftaran sampe apotik, tadi juga di bantu sama pegawai dengan nama mas aris"
