reviewer_name,rating,review_text
Arma Cita,1 bintang,"Hari ini balita saya muntah hebat sampai yg keluar hanya busa dan lendir kuning. Tiba dipuskesmas harus daftar online didepan pintu, yg jaga ntah kmn. Padahal balita saya sudah lemas, bibir biru. Coba daftar sndr internet situ lemot ditambah sy sudah panik sepanik paniknya. Lanjut sudah daftar masuk polia kia hanya timbang bb sesi wawancara knp bs sampe muntah tanpa ada kontak fisik. Pindah ke poli umum lagi2 sesi tanya jawab dan paidoan katanya keracunan kerang yg saya masak td pagi lagi2 tanpa kontak fisik dengan balita. Sampai difarmasi lagi2 anak muntah busa dan lendir kuning balik lagi ke poli umum disuruh ke igd rmh sakit.

Sampai igd rs randegan lgsg ditangani dan dokter ngmg ini belum tentu keracunan karna muntah masih 30 menit, harus observasi bisa jadi karna batuknya. Disinilah aku ngerasa lega selega leganya. Setelah diberi obat muntah berhenti dan si balita gak lemes lagi sudah bisa teriak2.

Terima kasih"
Afidah Risdyana,5 bintang,"Alhamdulillah pelayanannya baik, petugasnya ramah mulai dari satpamnya pendaftarannya sampai bidan atau perswatnya juga, pelayanan juga cepat sesuai nomer antrian saat daftar online, nyaman untuk imunisasi anak karena antrian tidak terlalu panjang, sekitar 30 menit aja dari daftar ulang di loket sampai selesai imunisasi + ambil obat di apotik.. tempatnya juga nyaman bersih.. di sarankan datang pagi, karena kalo siang biasanya udah keburu jam istirahat.."
chichi frameta,1 bintang,"Dulu waktu vaksin pelayanan bagus , mulai dari pendaftaran sampai dokter nya, TAPI sekarang buruk pelayanan nya kurang ramah, padahal dulu ku sanjung"" ku pikir di puskesmas sini berbeda karena rata"" pelayanan di puskesmas tau lah yaa seperti apa 😅 tapi ternyata sama ajaaa minus 🤣🙏🏻 entah dulu beda orang / gimana aq tak tau ⭐️ …"
Nurani Azyyati,5 bintang,"Pelayanannya baik ramah, antrian tidak panjang, suasana sejuk, ada tukang parkirnya, ada yang jualan makanan didekat situ,kalau tidak salah lontong mie dan mie instan, dekat fotocopy cuma sekitar 150m, serta toko kue. Jam pelayanan juga panjang dr 07.30-14.30 di pagi hari
Vaksin disini no seri vaksin ditulis di buku anak kita. Sudah bs antri lewat e-health, ada pojok laktasi buat busui yg bawa bayi, dulu ada spot playground sekarang dipindah di dalam ruang tindakan KIA. Bagian administrasi, pelayanan umum, KIA, vaksin dan farmasinya ramah sekali. Puas banget dgn pelayanan disini"
Wiwin Oktavia,1 bintang,"Kamar mandi pasien bau, lantai kotor, lampu mati..sebaiknya di sediakan tisu toilet. Lantai lobby kotor..tolong di jaga kebersihan spy pasien
nyaman"
Home Garden,4 bintang,"Pelayanan bagus. Ada petugas parkir.
Jalan menuju gedung puskesmas kurang layak, perlu ada perbaikan."
Ida Sasmiko,1 bintang,Mau imunisasi antrian cuma 3 berasa antri puluhan. Berkas rekam medis lama sekali d antar.
kiky angelina,1 bintang,"Pelayanan di KIA benar"" tidak memuaskan.
Pegawainya asyik ngerumpi sendiri, pelayanan lama, tidak ramah sama sekali"
Alan Setyawan,5 bintang,"Puskesmas ini sangat sangat luar biasa pelayanan nya. Saya antar istri cek lab kehamilan. Dari poli KIA, LAB, ,, GIZI, PSIKOLOGI dan GIGI. dokter / suster. sangat sangat ramah, memanusiakan manusia keren banget.. Menunjukan dan Memberitahu pasien dengan humanis dan murah senyum. Tolong di pertahankan."
Yusniar Dwi Fa'jri,5 bintang,Pelayanan sangat ramah dan optimal untuk semua pasien serta pengunjung yang datang
Oei Meilan,1 bintang,"Minta tolong kebersihan nya dijaga kamar mandinya pasien kotor dan bau, bikin tidak nyaman."
Risa DiyH,1 bintang,Pelayanan lama ... Sudah ditensi disuruh keluar lagi nunggu dipanggil tapi ga di panggil panggil... Tapi yang baru datang langsung diperiksa...
Rvalia Defi,5 bintang,Pelayanan ramah sekali😍 Pasien di beri arahan dan di layani dengan baik 😍 Semua bisa di layani dengan baik tidak melihat ras/suku. Pokoknya semua yg bertugas di puskesmas bangkingan sdh menjalankan tugas nya dengan baik terhadap pasien😍😍😍😍👌👌👌 …
fitrah fellicia,3 bintang,"Kenapa masih ada syarat harus fotocopy dulu. Sudah mau di periksa di KIA, harus keluar puskesmas dulu untuk fotocopy suratnya. Barcode survey juga tidak bisa di akses."
Ita Renawaty,5 bintang,"Sangat puas dengan kesigapan serta efisiensi para petugas kesehatan di Puskesmas Bangkingan Sby barat dlm menangani pasien pengunjung, semuanya sangat sigap. Dimulai dgn garda pintu depan samai proses pengambilan hasil lab dan resep sangat cepat. Terakhir yg tidak kalah pentingnya adalah pelayanan ibu juru tukang parkir yg full senyum ramah dan sigap membantu mengarahkan dan menata kendaraan para pengunjung puskesmas. Smuanya sngt totalitas. Semoga kwalitas pelayanan konsisten sll."
