reviewer_name,rating,review_text
penysusan@gmail.com susan,1 bintang,"Mohon maaf.anak sy psnas 3 hr,badan bintik2 mirip gejala db..tujuannya kita priksa ke faskes puskesmas utk.mendptkan pemeriksaan.dan lab darah utk mengetahui detail sakitnya..dokter cm bilang ini musim.harapan sy agar dilab.sbg pasien kita kwatir.krn byk skali virus...harapan sy cm harapan pingin di lab tp dokter enteng jwbya.sy cm berdoa smoga anak sy baik2 sj.mohon masukan sy di tinjau ulang.mohon maaf kalo sy sdh kritik ...🙏apalagi obat yg diberikan puskesmas ke anak saya lbh bagus dari yg dimunum sblm priksa.  anak sy sdh minum dan paten.mestinya di tinjau ulang kan sdh minum obat panas 2 hari.kan mestinya di cek lab darah."
Aryati Lestari,1 bintang,Tolong dong masa antrian poli umum sejam dapat 20 ini poli lansia sejam 10. Kasian yg udah tua2 ini nunggu sampe lemes.
epan ardy,5 bintang,"Terima kasih atas pelayanannya, untuk para staf dokter, perawat yg telah merawat anak sy selama 4 hari. Dan untuk bpk pras dan rekan2 (keamanan) yg jaga malam, terimakasih juga karena sikap yg ramah dan sigap atas pelayanannya.
Semoga tambah maju dan berkembang Puskesmas banyu urip."
annisa aini,5 bintang,"pelayanan puskesmas banyu urip juara, dr loket sampai farmasi gercep, saya minta buat rujukan tapi antrian hari itu penuh masih bisa dilayani asalkan acc dokternya, polinya bersih dan dingin, dokter dan perawat ramah2, hari ini saya mau cek lab karena sudah 3 hari demam, petugas lab nya baik hanya sekali cubles, pertahankan pelayanannya puskesmas banyu urip🫶🏻"
Aura Zebinaa,1 bintang,Gimana sih saya sakit pembengkakan kaki di kasih obat kalau gk mempan boleh minta surat rujukan ke sana lagi buat minta rujukan malah di kasih obat lagi sama puskesban bantuanya. Orang lagi sakit beneran ada peradangan obat dari kalian gk mempan kok malah di kasih obat lagi
Lya Ang,5 bintang,"Pelayananya MasyaAllah baik banget.
Anak sy rawat inap hati ke 4 disini, pelayanannya cepat. Dapet konsumsi 3x sehari, ruangan adem dan tenang. Terimakasih para petugas medis. Semoga sehat selalu. 🙏 …"
Moch Ainul,1 bintang,"Dokternya galak anjirtt diskriminasi banget, masak temen ku sakit dengan membawa hasil lab trs dikatain gk enak yg buat sakit hati parahhh dan setelah itu tidak kata maaf sedikit pun"
Devi setiawati,1 bintang,"Pelayanan nya buruk sekali . Biodata salah . Umur 25thn di tulis 35 thn . Semoga dosis obat nya Ndak ada pengaruh ya . Padahal saya pakek umum juga . Bukan pengen di prioritaskan tetapi setidaknya,Lebih diperjelas arahannya . Di suruh masuk laboratorium malah gak boleh masuk. Dari cs di suruh langsung masuk . Buat aku yang pendatang di Surabaya tinggal sendirian posisi sakit gini malah bingung ."
Hendy Kurniawan,5 bintang,"Terima kasih puskesmas banyu urip , teman saya dirawat dengan baik disini 🌹🫶🏼 …"
dwi septyan,2 bintang,"Petugas staf bagian pelayanan pendaftaran no antrian saat minta surat keterangan sehat ramah dan baik hanya saja Mohon untuk ditertibkan kembali untuk pasien yang menyerobot antrian agar diberi teguran. Saya datang mengantri tapi tiba2 ada ibu2 yang baru datang langsung menyerobot antrian di depan saya. Saat saya menegur ibu itu petugas hanya diam saja.

Minta tolong untuk lebih ditertibkan dan disiplinkan lagi jika ada yang menyerobot antrian
Terima kasih"
Virga Kanaka,5 bintang,terima kasih sudah membantu membuatkan surat kesehatan untuk saya dan terima kasih juga kepada bapak prasetyan yang memberi edukasi dengan baik
hadi suwito,1 bintang,"Sangat tidak baik pelayanannya, apalagi bagi orang orang yang bukan asli Surabaya, dikira tidak mampu bayar mandiri tanpa BPJS?!!!! Lagi lagi menyepelekan pasien BPJS"
Alfiyah Maryati,1 bintang,"Percuma penderita sakit gigi tdk bisa ditangani dgn baik,disuruh dirujuk ke rumah sakit untuk mendapatkan tambal gigi/dicabut gigi yg sangat sakit,buat apa ada poli gigi....lbh baik Tdk ada saja poli gigi dipuskesmas banyu Urip, harapan besar gigi saya berlubang utk ditambal..malah dirujuk kermh sakit....hanya diberi obat dan setelah saya minum saat sakit tdk kunjung Redah....tolong sebagai Atensi....lbh TDK perlu ada poli gigi ...tdk membantu rakyat.menyesal hari ini saya antri dan datang ke puskesmas banyu Urip."
Tommy yusuf,1 bintang,"Pelayanan sangat buruk, baru aja masuk di pendaftaran langsung di tolak, padahal masih jam kerja, terus masak iya orang butuh pertolongan di janjikan hari rabu, sakitnya sekrng disuruh berobat hari rabu kan aneh, teruntuk ibu2 tua yg berada di pendaftaran umum sangat kurang ramah, pensiun dini saja ya bu, kasian yg mau berobat klo di tolak terus, merugikan pihak puskesmas."
Siti Elisa,5 bintang,"Pertama kali lahiran di puskesmas, meskipun bpjs tapi pelayanannya sangat baik dan telaten... tanggap dan sabar, terimakasih"
Tara Elfrida,5 bintang,Pelayanan ok mesti antri agak lama krn pasiennya banyak.
Ina Ina 2020,4 bintang,"Saya 3x melahirkan di sini alhamdulilah pelayanan nya baik dan sabar"" bidan yg sinor mau pun yg junior,bahka 2 anakku lahir kelilit pasur"
creamy stuff,1 bintang,"pasien datang itu karna dia sakit, belum close tapi sudah tidak bisa menerima pasien?"
Harits Faisal Rahman,1 bintang,"Vaksin booster 3
Masyarakat di biarkan kehujanan diluar tanpa nomor antrian?!
Tolong diperbaiki. Petugas Harusnya ada rasa empati ke sesama, supaya sama"" nyaman.

Klo gini bisa"" Setelah vaksin gak malah sehat, malah tepar karena kehujanan malam hari !!! 19/4/22 (19.00)"
Lestari,3 bintang,"- 7.00 pintu di buka
- 7.30 staff siap-siap + loket buka
- 8.00 layanan medis
(walau hanya untuk ambil surat rujuk an yg kemarin di daftar kan, gak mau ambil kalau belum jam 8)
- 11.30 layanan tutup
- pasien yang terpanggil sudah lama keluar ruangan, tidak juga panggil nomor berikut nya.

Pelayanan Lambat, cocok untuk pasien yang tidak bekerja.
Karena kalo pasien kerja minimal harus ijin 1/2 hari. = biaya transport 5x lebih mahal , karena naik ojek untuk ke kantor."
