reviewer_name,rating,review_text
Roti bakar 57,1 bintang,"Ini kenapa ya? Saya mau daftar online lewat google mesti keluar cari tanggal lain apa eror atau bagaimana sedangkan tanggal lain nya ngak muncul di website nya padahal saya mendaftarkan anak saya periksa gigi karena sakit , tolong di perbaiki"
Evytia Ardhita Pranada,5 bintang,"Alhamdulillah selalu puas kalau periksa disini, dari saya kecil sampai saya udah punya anak sendiri selalu kalau periksa ya di puskesmas Benowo, karena cocok sama pelayanannya, dan semuanya deh. Poli gigi, KIA, gizi, laboratorium, farmasi, sampai psikolog, udah pernah saya coba semua, dan ya ramah² gitu. Intinya terimakasih banyak puskesmas Benowo, semoga makin maju dan jaya selalu❤️"
Adila Hananda Rudiant,1 bintang,"Hari ini ke puskesmas ini
Rencana mau periksa gigi anak saya karena sakit
Pas nyampe...ambil antrian KIA seperti biasa dan berjalan normal
Waktu ke poli GIGI dipanggil
Saya denger salah satu mbak disitu bilang
Loh..kok siang siang gini
Lah meskipun siang kan masih jam operasional
Kalau ga mau ada pasien siang...kasih tulisan tutup jam 8 atau jam berapa biar ga siang
Waktu di dalam juga
Dokternya kayak ogah ogahan
Dibilang BPJS.nya belum pindah faskes
Baik,terus caranya gimana dok
Dia dengan jutek,hanya dengan gerakan tangan ke salah satu perawat tanpa ada omongan,
mengarahkan saya ke. Salah satu perawat...

Apa karena pakai BPJS jadi pelayannya seperti ini?
Padahal sebelumnya juga pernah kesini tambal gigi anak saya juga
Parah...pelayanan masyarakat tapi kok seperti ini
Mengecewakan"
Mitha Fadjriah,3 bintang,"Orang pendaftaran nya ramah bgt tapi sayang petugas yg ngedata pasien wakktu masuk poli umum jutek bgt
Dokter perempuan anya juga ribet
Padahal berkas dsituu sudah ada riwayat sy
Mw mnta rujukan ulang susah ngeluarinya"
Adi Pratama,1 bintang,"Di google maps Sabtu tutup jm 13.00 , tapi kok jm 12.00 sudah tutup"
Dwi Alfianti,2 bintang,"Berkali-kali berobat disini.. Skrg ada jadwal sore jam 3, saya udh usaha dtg sebelum jam 3 bahkan sebelum pendaftaran dibuka.. Sampai jam 4 lebih blm dipanggil juga, padahal pasien kia cuma saya.. Katanya ada rapat, kenapa rapat gk pas gk ada pasien.."
Awve Project,5 bintang,"Kalau ada bintang lebih dari 5 boleh deh, pelayanannya bagus, Dari loket pendaftaran, informasi,dokter, semua ramah, informasinya juga jelas. Sangat membantu sekali"
Al alfi,1 bintang,"Kalo ngantuk tidur dok klo laper makan yg sakit siapa yg lemes siapa btw first time ke pkm bnowo , untuk pelayanan pendaftaran ramah ok
yg sy jengkel poli umum dokter laki dan suster""nya
dokter lakinya lemes didlm antri 3 org gaada yg diperiksa suruh berbaring termasuk saya , yg susternya kayak pms gtu ya"
Marwa Marwa,1 bintang,Dokternya lulusan apa aq ga tau. Lipoma di sebut jerawat mana ga di. Periksa sama sekali. Makan gaji buta aja  belum di periksa katae BPJS ga bisa buat kosmetik. Orang awam juga tau mana lipoma mana jerawat mendem. Sangat amat amat mengecewakan dokter umum di puskesmas benowo
Veinz Channel,1 bintang,"Susah amat ya minta surat rujukan ga pernah mau dikasih, istri saya habis operasi SC, sama dokter di suruh balik buat kontrol setelah operasi, diperiksa katanya baik2 aja, lagian juga bukan kemauan kami juga buat balik kontrol, emang disuruh sama dokternya, apa guna nya punya bpjs kalau minta surat rujukan aja susah minta ampun ga dikasih"
anisa .cantik,5 bintang,"Layanan cepat, datang sesuai nomor antrian nggak sampai 5 menit sudah di panggil, petugasnya ramah2 meskipun kita pakai BPJS"
NADI 17Th IBT,3 bintang,"Saya kasih bintang 3 dulu, karena satu yang membuat saya ngasih bintang 3 di sini yaitu SATPAM !!.. SATPAM nya TOLOL !! bekerja saja tidak !! ibu saya bertanya informasi kelakuan nya BOBROK.. EMOSI'An.. namun fasilitas, karyawan lain nya top deh.. SATPAM nya aja yang perlu diperbaiki !!"
ARISTA HASNA RAHMAWATI,4 bintang,"Pertama kali ke Puskesmas Benowo tgl 11 Maret 2023 nganter anak sakit, biasanya di klinik dekat brimob. Dari pelayanan petugas pendaftaran sampe dokternya ramah semua, tempatnya luas, kipas nyala, lumayan nyaman. Cuman satu petugas perempuan di KIA yg bagian manggil pasien sama nyatet BB dan TB anak yg ga etis menurutku. Kan dia dibayar buat nimbang dan ngukur TB anak, tp malah nyuruh aku ngukur sendiri, namanya orang ga biasa pake alat ukur TB di sana, aku ngukurnya ada salahnya. Akhirnya aku kaya diajarin sama dia tp pake nada sarkas, akhirannya dia kaya bilang „nah gitu pinter“. Dih mbiaak, lu yg dibayar kenapa nyuruh2 orang."
Rohmatul Ummah,5 bintang,"Selalu kesini dan cukup memuaskan. Tapi sayang sedikit binggung alur faskes. Saat bulan februari kemarin kesini, niatnya minta vitamin A dan obat cacing karena saat d posyandu tidak ada. Saya lupa juga bahwa bulan ini waktunya dapat vitamin A dan obat cacing. Akhirnya saya inisiatif langsung ke puskesmas tapi ternyata semua obat sudah d distribusikan ke kader wilayah kerjanya, saya sempat menyampaikan di posyandu RW 04 babat jerawat saya tidak ada bidan stay, lalu saya tanya terkait tempat lain untuk mendapatkan pelayanan ini, saya diarahkan ke kelurahan.
Sebelum ke kelurahan saya tanya kader terlebih dahulu katanya memang sedang tidak ada klo ada akan diberikan. Jawaban kurang memuaskan buat saya, apakah tidak ad koordinasi kader dengan pihak puskesmas atau bagaimana??
Sesuai jadwal bidan d kelurahan saya datang hari Rabu. Petugas kelurahan bilang bidan datang jam 9 saya memutuskan pulang dlu tapi saat sudah jam 10.30 bidan pun tak kunjung datang saya balik lagi tetap tidak ad kepastian. Saya warga baru di Surabaya hanya untuk mendapatkan vitamin a dan obat cacing kenapa susah 🙏🏼

Edit
(Alhamdulillah sudah dapat vitamin A, terimakasih koordinasi nakes dan kader)"
