reviewer_name,rating,review_text
Maulana Malik,1 bintang,"pelayanan sangat buruk..di lobby pendaftaran pada ketus semua..karyawan tidak ramah..
mohon di beri bimbingan lagi soalnya kaya manusia tidak pernah disekolahin..
SANGAT TIDAK NYAMAN PADA KESAN PERTAMA..
kalau tidak pada niat kerja pada pulang aja..😡"
Moh Yudi,1 bintang,"Tolong untu penjaga atau satpam gak tau siapa itu yg jaga di tgl 27-02-24 tolong untu disiplinkan saya mau berobat sama nenek, di cegah karna tidak memakai masker padahal saya mau daftari dulu biar gak dapat antrian panjang setelah itu saya mau beli masker keluar, padahal saat itu saya melihat kedalam banyak yg gak pakai masker  di dalam bahkan ada yg pakai masker tapi tidak di pakai dengan benar mohon untuk disiplinkan penjaga atau siapa itu orangnya.
Sedih dan kecewa berat semoga allah membalas prilaku orang yg kayak gitu."
Arif Rahman,1 bintang,Pelayanan kurang rama tidak nyaman  untuk pelayanan pasien dan kalau emang paking aturan paking masker yah paking masker jangan ada yang gak masker bagian pelayanan ini gak ramah pindah kan aja
Any Video,5 bintang,"Ane pernah beberapa kali ke sini, karena ada keperluan seperti minta surat keterangan sehat, berobat dan lain.. menurut saya selama kita mengikuti alurnya enak2 saja pelayanannya.. dan menurutku sudah bagus sih.."
sitinur faridah,1 bintang,"Pelayanan lemot sekali , kasihan yg nunggu utk berobat.
2 orang saja bisa sampai 1 jam.
Di perbaiki dong kinerjanya"
Galisyst,4 bintang,"Puskeas Bulak Banteng Merupakan Suatu Tempat Pelayanan Kesehatan Bagi Masyarakat Menengah Ke Bawah. Pelayanan Yang Diberikan Meliputi Poli Umum, Poli Gigi, Poli Anak Hingga Laboratorium. Untuk Pendaftaran Mudah, Bisa Melalui Online Atau Manual Dimana Dengan Memberikan Kartu Berobat Keluarga, Fotokopi KTP Atau KSK Dan Hanya Membayar Sebesar Rp. 5000. Tempat Bersih Dan Rapi. Pelayanan Baik Dan Ramah."
Moh Jamil,1 bintang,"Puskesmas tidak lengkap misalnya poli THT itu tidak ada, jadi kalau kesana cuman dikasih wejangan dan surat rujukan, padahal sudah capek-capek antri."
Yasin Al khatiri,2 bintang,"Pelayanan lelet tidak sesuai jam yg tetera saat pendaftaran online...
Kasihan yang mau berobat jadi nunggu lama."
Daily Senjala,1 bintang,"Dateng kepuskesmas tujuannya mau periksa malah ga diperiksa, bagus sih dikasih nasehat (walaupun bisa cari di google sendiri) tapi setidaknyaa pasien diperiksa terlebih dahulu untuk memastikan penyakitnya."
ABDUL ROHIM,1 bintang,"Beberapa kali kesini selalu saja ada pengalaman buruk. Terakhir, mas2 bagian pendaftaran tidak ramah, nadanya seperti membentak, ngomong juga gak jelas, padahal kami tanya baik-baik.
Mohon kedepan lebih baik lagi dalam pelayanan, terutama nada bicara."
siap berangkat 86,5 bintang,"saya pernah berobat ke sini, tempat bagus besar dan pelayanannya bagus.. emang paling enak kalau daftar online, bisa dapat no antrian kecil, jam 07.15 sudah langsung dilayani.. semoga selalu ditingkatkan pelayanannya..."
Dyah Syafitri,5 bintang,"Pelayanan bagus, puskesmasnya bersih, semoga semakin sukses puskesmas bulak banteng😇 …"
waqiah ahmad,4 bintang,untuk poli KIA dijadwalkan hari apa saja nggeh?? apakah di puskesmas BB sudah tersedia USG??
Mustika Arum,1 bintang,"Pelayanannya poli umum paling luamaaaa, dtg pagi pun tetap antri ber jam jam"
Rizky Umbara,1 bintang,Beberapa kali ke puskesmas selalu terjadi penolakan entah team loket nya istirahat atau dokternya sudah pulang. Padahal itu masih jam 10 pagi. Dan saya hanya mau cek kesehatan. Disuruh datang lagi jam 3 sore. Setelah jam 3 sore datang. Bilang nya team loket sudah pada pulang. Ini mau nya seperti apa?.
Suliha 1313,1 bintang,"Loket pelayanan tidak menyenangkan
Pasien luar wilayah ditolak"
SANGKHOLIL,1 bintang,"Kenapa setiap hari sabtu poli gigi selalu penuh.
Saya daftar online sudah 2 bulan tetapi tidak bisa,selalu penuh.daftar manual di suruh online,sedangkan ketika online jawabannya penuh,ada apa?
Mohon untuk perhatiannya🙏 …"
Adhelia Arum,5 bintang,"Poli nya lengkap, ada psikolog, kia, lab, gigi, umum dan cepat penanganannya, saya melahirkan disini bidannya bu mas baik,sabar, dan telaten. Dan di bantu utk bikin akte dan dftr bpjs anak juga. Ruang rawat inap bersih dan nyaman"
Sulaiman Vivo,5 bintang,"beberapa kali ane berobat ke sini.. dokter di poli umum ramah2 kok terutama dokter yang berhijab yg biasanya duduk di pojok (dokter susan kalau gk salah namanya), meriksa pasiennya dengan seksama, tidak terburu-buru.. sama satu lagi dokter laki2 yang badannya gede, enak gitu kalau konsultasi dan ngasih saran ke pasien.. jadi gak ragu kalau berobat ke sini.."
Juna Ir7,2 bintang,"Pelayanannya sangat lambat sekali......
Tolong lebih di tingkatkan lagi"
Faris Alfarizi,1 bintang,Sesama petugas poli gak sinkron. Di suruh nunggu setelah nunggu sudah selesai / suruh daftar lagi kan aneh. Setidaknya kalok di suruh nunggu itu di kasih arahan. Nunggu bentar ya mbak setelah nmer ini nantik di pangil lagi.  Ini enggak perhatikan senyum salam sapa anda !!!
Eva Syifa,5 bintang,Beberapa kali saya sama anak saya periksa sllu Rama dan baik hati apalagi dokter yang dari KiA yang gemuk itu sllu Rama banget
Firdaus Anggayuh,1 bintang,Sangat mengecewakan.. masak bagian informasi gtw apa saja persyaratan.. pelayanan lama... Nomor antrian saya pun Ndak disebut sampai nunggu lama.... Coba diperbaiki lagi terutama informasi
Qomar Albert,1 bintang,Kemarin saya imunisasi anak saya tapi bayar apa benar kalau imunisasi anak di Puskesmas ini bayar
Yofik Aprianto,5 bintang,"Tempat untuk opname nyaman sekali. Pelayanan Dokter maupun perawat baik sekali. Puskesmas yang besar dan bersih, serta pelayanan yang sangat baik baru saya temukan disini. Terima kasih banyak atas pelayanannya selama ini."
Amalia Channel,5 bintang,"Dokter giginya baik""ramah dan sangat jelas ketika menjelaskan ke pasiennya ketika dalam proses pemeriksaan dan saat proses penambalan juga sambil dijelaskan tentang penanganan apa yg sedang dilakukan dan yg  sedang diberikan ke pasiennya."
kiki Nurdiansyah,1 bintang,"Berbagi pengalaman saja, pada tanggal 9 juni 2021 hari selasa , ada pengalaman yg sangat mengecewakan,
istri saya daftar online di puskesmas ini ,tpi kok malah di lewati terus antriannya kenapa ya???Padahal antrian nomer 5 dan berkas sudah di kasih ke petugas loket, tapi di lewati terus sama orang yg baru datang??????
Kasian istri saya nunggu dari jam 8 pagi sampai puskesmas tutup pasien habis baru di layani, padahal lagi hamil 6 bulan
Sudah komplain ke loket suruh nunggu terus sama petugasnya, untung istri saya sabar orangnya...
Mengecewakaannnn !!!!!!!!!
Tolong bagian loket di perbaiki kerja kamu. .."
Agus Salim,5 bintang,"Pelayanan di puskesmas ini baik. Meski Petugas administrasi kurang ramah, tapi petugas kesehatan dan dokternya ramah.

Banyak perkembangan fasilitas yang baik, rapi dan bersih, jadinya pasien menjadi nyaman.

Per 4 Maret 2022 ini misalnya, fasilitas ruang tunggu dilengkapi dengan area bermain anak. Ini sangat bagus dan membantu orangtua yang membawa balita.

Good job, puskesmas Bulak Banteng.
Pak Eko, Dokter Sri dkk."
Sulton Hakim501,5 bintang,"Dear Dokter
Sebelumnya saya minta maaf,memang saya salah berobat dengan telat(datang tidak sesuai tgl yg di tentukan dokter)
,Tapi gak bentak"" gitu juga
Ya maaf saya emang baru tau berobat gini dan gaboleh telat"" control.
Dan saya tegaskan lagi saya tinggal sendirian dirumah.(malah gak percaya)
Toh ya ada WA saya,kenapa g di ingatkan.kalo ini meremehkan pekerjaan anda
Terimakasih Semoga Anda Sehat selalu
Aamiiin"
