reviewer_name,rating,review_text
Elsha Handayani Putri,1 bintang,"Pelayanan jelek banget, petugas ketus semua. Baru ini ke puskesmas pelayanan buruk banget terus lama.  Gitu kok bisa di terima kerja disini, yang harus nya melayani masyarakat dengan baik ini malah ketus gk jelas."
Okta,1 bintang,"Tolong diperbaiki pelayanan di Puskesmas Dr. Soetomo, kita benar² tidak tahu alurnya, kita tanya ke petugas, tapi semua petugas jawabnya ketus², hanya pak parkir yg ramah."
Rizki Zulfikar,1 bintang,"Hari ini sy mengurus rujukan ke puskesmas ini, pelayanannnya super tidak informatif dan tidak ada kesan membantu. Padahal sy tinggal daerah sekitar, alasannya tempat kerja sy tidak di daerah tersebut. Faskes sy memang dr luar daerah, tp sy paham aturan BPJS dapat memberikan 1 kali rujukan ketingkat faskes selanjutnya Hanya 1 kali krn selanjutnya harus pindah faskes domisili. Tolonglah kalian itu bekerja bidang pelayanan, apa sulitnya memberikan rujukan? Apa sulitnya memberikan info yg lengkap, jika butuh dokumen tambahan sy pasti urus.
Tidak ada orang yg ingin sakit."
Lamaran vannia,1 bintang,"Bagian ticketingnya tidak ramah sekali, bagian pendaftaran cukup lah yaa , tuh orangnya batik coklat, masih mending di sidoarjo ramah"
Zesi Armila Ningsih,5 bintang,"Pelayanannya cepat, semua petugasnya ramah-ramah, apalagi yang bagian poli KIA soalnya pas saya kesana ke poli KIA. Bu bidan dan dokternya baikk pooolll."
onstyle baby,1 bintang,"Klo bisa bintangnya sy kosongin, pelayanan bukan minus lagi tapi buruk seburuk2nya. Saya belum selesai sampaikan keluhan saya, dokter sdh putus pembicaraan. Asal bicara sesukanya tanpa mendengarkan keluhan sy. Itu sangat menjengkelkan. Mana bisa dokter tau penyakit sy jika sy tdk sampaikan apapun. Resep juga di tulis di kertas no antrian. Sy pun ga yakin ini dgn obat yang di resepkan akhirnya sy lebih ke rs haji untuk periksa ulang. Ini sdh pengalaman keberapa kalinya. Selalu sama…"
Tri Hasih,1 bintang,"Selasa tgl 30/4/24, saya antar ank k dr.gigi, maunya hanya konsultasi dulu, saya datang jm 11.15 sampai ruangan saya salam dg baik dan brpakaian sopan, bukannya di sambut baik malah saya di omelin katanya kesiangan datangnya, ank sya pun tdk di periksa malah ngedumel panjang datng ksiangan bla bla bla, dri awal saya sudah sabarin hati untuk ngadepinnya, krna drnya masih ngomel kesabarn sya mentok sampe saya nangis,""saya pulang aja gk usah di tnganin gpp, uda doktr istrhat aja"" dokternya akhirnya minta maaf brkali2, kalau memang doktr kburu istirahat harusnya di tolak aja dri awal bukan malah ngomelin pasien, saya jg punya hati ya.. sungguh dii sayangkan seorang dokter sekolahnya tinggi tp etika sangat buruk,
NB: dr.ny brhijab BUKAN  dr.prita
asTagfirulloh...."
Angeline Wijaya,1 bintang,"sebagai seorang dokter ada baiknya , bkn hanya kemampuan menganalisa penyakit aja yg di asah, tapi kemampuan komunikasi juga.

gk semua pasien BPJS itu mampu, kebetulan pasien yg adik sy bawa tidak mampu untuk mengaktifkan BPJS kembali.

Knp kok menekankan pasien yg tidak mampu untuk mengaktifkan kembali BPJS, org yg bersangkutannya tidak mampu, uang dari mana dok?

betulin attitude dulu dokternya , kl memang gk bisa berkata baik untuk pelayanan masyarakat, kenapa kok memilih menjadi dokter?

dan kok bisa antara petugas antrian dan dokter bertugas, gk sinkron informasi nya. kl memang gk bisa bilang diawal, biar orang gk antri juga."
Ratna Kartika Dewi,1 bintang,"Ibu saya dapat perlakuan TIDAK BAIK dari Salah satu Dokter di Poli Umum.

Ciri2nya Pria, Tinggi , Putih.

Kronologinya Ibu saya periksa , tapi yg meriksa bukan dokter itu melainkan dokter lain. Eh tiba2 dokter itu nyaut dan bilang gini ""udah biarin gausah dikasih tau , biar cepet mati"" .. apa2an dokter kok malah nyumpahin pasiennya cepet mati.
Anak2nya menjaga ibunya biar selalu sehat , eehh malah orang lain (Dokter Pula) seenaknya nyumpahin orang.

Pantes ta dokter ngomong seperti itu ?
Tolong ya diberi Teguran pada Dokter itu.

Terima kasih atas kerjasamanya."
latiful fatihah,1 bintang,"Kalau ada bintang separuh bakal saya kasih bintang separuh saja untuk puskesmas ini. Orang sakit gak diperiksa dengan betul trus bikin diagnosanya juga asal bikin pasien merasa gak percaya dengan pelayanannya.
Kalau ada yang kasih ulasan bintang 5 itu pasti dari kenalan puskesmasnya saja. Bukan real dari masyarakat."
