reviewer_name,rating,review_text
Ratih Liestyorini,1 bintang,"2x kesini, yg pertama minta rujukan alasan ga bisa kalo blm ada tindakan.. dtg lagi ke 2, ada tindakan (tp alat tidak memadai) minta rujukan alasan disuruh dtg lagi besok terkendala sistem.. kalo memang dari awal alat tiidak memadai kenapa nggak dari awal aja dikasih rujukan sih.."
haniv Eko setiawan,5 bintang,"Pelayanannya baik, ramah dan cepat. Mulai dari pendaftaran, poli dan semuanya. Selalu baik dalam melayani masyarakat"
Kimberly Keith,5 bintang,"Baru pertama kesini, coba pakai BPJS. Ternyata proses cepat, cm tunjukkan kartu BPJS dan dapat nomor antrian. Memang antrinya agak lama karena pasien banyak. Tapi masih oke, karena langsung masuk 3 org. Obat juga sudah termasuk. Sudah ada farmasi, lab juga disini. Kalo lama nubggu, kita bisa makan bakso di depan atau ampera di samping. Enak lokasi yang di dukuh kupang. Gak pernah ke puskesmas ternyata sudah maju, bangunan juga sudah modern. Baca - baca review, reception memang laki - laki, tapi kok baik aja ya.. tanya tentang poli gigi juga dijelaskan, memang kita juga gak tanya yang aneh - aneh. Cukup oke semua"
Firsty Agustien,5 bintang,"saya sangat berterima kasih dg dr yg ada di puskesmas dukuh kupang, yg saya lupa nama nya semoga Allah membalas kebaikan nya, dg cepet beliau membantu saya yg sakit lemesdlm tempo cepat saya SDH di buatkan BPJS, dan segera mendapat transfusi darah dg cepat Alhamdulillah, Allah telah menyelamatkan saya melalui dr yg saya lupa nama nya.."
Amin Lisianto,3 bintang,"Memang benar dari beberapa review yang menyebutkan pegawai resepsionis kurang ramah. Pegawai pria, kalau memberikan informasi asal ngomong, dan tidak pernah sekalipun menatap muka yang lagi diajak berbicara. Ini pengalaman saya sendiri 4-5X seperti itu,orangnya cekatan tapi ngawur. Ujung² nya ya cari info di google atau kalau lagi ada pegawai lain ya tanya situ,bahkan tukang parkir lebih ramah dan lebih tahu jika kita bertanya ke dia.
Untuk lainnya bagus,dokter lumayan ramah dan cekatan . Sangat terbantu selama ini. Antri itu wajar, 2X saya mengalami pasien nylonong masuk padahal nomer belum dipanggil. Padahal ada monitor dan pengumum, ini fasilitas umum. Jadi harap bersabar ya."
Regina Wulan,5 bintang,"Pegawai ramah, cepat tanggap jika ada pasien darurat, bisa daftar di web jadi ga perlu nunggu antrian lama"
Mister Amsal,2 bintang,"Saya berharap puskesmas dapat mengubah kebijakan tentang nomor antrian, saya harap meski pasien mendapatkan nomor besar, namun datang terlebih dahulu maka dapat di layani terlebih dahulu. Saya memang mendapatkan nomor antrian 37 di online, lalu saya sudah sampai jam 07.15, saya rasa saya adalah orang pertama yang hadir di tempat duduk nomor antrian poli umum. Namun data harus menunggu sampai nomor 1 sampai 36 terlebih dahulu. Sehingga saya baru dilayani pukul 9 lebih. Saya menunggu 2 jam lebih lho.. Memang pelayanan di puskesmas ini gratis, namun tolong berpihaklah dengan orang yang datang lebih dahulu. Karena orang yang datang lebih dahulu, punya pekerjaan yang perlu di lakukan, kalau seperti ini saya rasa kurang adil puskesmas dengan pasien yang datang lebih awal. Ingat lho, seseorang sakit itu tidak di rencanakan, masakan saya sakit kemarin malam, terus saya sudah daftar di puskesmas sejak Minggu lalu supaya saya dapat nomor awal, dan segera dilayani."
Yusli Aidil,5 bintang,Pelayanan yang sangat bagus. Dokter dan semua petugas melayani dengan baik dan ramah. Jangan ragu untuk menanyakan apapun. Lebih cepat mendaftar online dari rumah dan datang sesuai estimasi jadi sudah tidak ada lagi namanya Antri lama. Top.
Andreas Imanuel,5 bintang,"Saya dan anak2 saya datang hari minggu utk vaksin polio hari ini. Servicenya bagus. Tadi siang anak saya yang pertama saya vaksinkan dengan membawa kk dan 100% free, dan pada waktu mengecek anak saya yang kedua, ternyata tidak bisa krn demam tinggi dan akhirnya ke dokter di Puskesmas tersebut. Diberi resep dokter dan diberikan obat racik yang ampuh dan alhasil anak kedua saya demamnya mereda. Saya langsung bawa anak saya ke 2 di jam 7 malam utk vaksin polio dan mereka masih menerima dengan ramah. Saya juga menyuruh 2 keponakan syaa utk vaksin polio dan mereka juga mendapatkan service yang cepat dan memuaskan. Padahal hari minggu dan dokter dan perawat sangat sabar damn attentif utk melayani kami. Dan kami tidak dipungut biaya sepeser pun. Sangat bagus puskesmaa ini. Bersih dan cepat."
Syafa kagawa,1 bintang,"Pelayanan yg ala kadarnya saja menurut saya, tiga kali ke poli gigi tidak ada penanganan sama sekali dan malah di kasih resep suruh beli obat sendiri di luar, ( apalagi pas dokternya pakai kacamata bikin bad mood gak ramah )"
Margareth 95,5 bintang,Pelayanannya memuaskan. Petugas & dokternya ramah. Mulai dari daftar sampai periksa prosesnya cepat. Pakai bpjs pun juga dilayani dengan baik & cepat.
Luys windaaa,5 bintang,"Poli kia, pelayanan ramah bisa pakai bpjs tempat tunggu nyaman luas dan ada kipas"
Its Me,1 bintang,"kapok deh ke sini lagi. dokter/perawat IGD tidak ramah. orang kesehatan kok tega banget ngomong ke pasien “kami ini kerjanya bukan palugada, kalo ga urgent kenapa ga datang pagi-pagi.” ya gimana namanya orang baru free nya di malam hari."
Ratna Amalia,1 bintang,"SAYA PERNAH OPNAM 2X AWALNYA PELAYANAN BAIK .. TRUS KALAU SAKIT GAK PARAH BGT GAK DIGUBRIS KAYAG INTERVIE UDAH AMBIL OBAT .. TERAKHIR INI KESANA KONDISI BADAN LEMES SAKIT SEMUA KATANYA MAU DI INFUS LAH BERUBAH HALUAN DISURU AMBIL OBAT AJA .MINTA RUJUKAN GAK DIKASIH ... KALAU KITA SEHAT GAK MUNGKIN KESANA BUU... DOKTERNYA GAK KASIHAN BGT KE PASIEN MENTANG"" GRATIS GITU KAH PELAYANANNYA .."
31 - Salsabila Khairun Nisa',5 bintang,Menurutku Puskesmas Dukuh Kupang  ini sangat berkualitas ketika menangani pasien Sangat baik sopan ramah sabar tempat nya jga bersih pokoknya sangat2 baik termasuk dokter n perawatannya terimakasih sukses selalu kedepanya
Mimi Marufa,5 bintang,Pelayanan baik  dan  cepat mulai dari depan sampai pengambilan obat petugasnya sangat ramah terimakasih puskesmas dukuh kupang
Hilang Hati,5 bintang,"Pelayanannya ramah dan baik banget, semoga bisa di tingkatkan lagi"
Anggun Viamar Gariesa,5 bintang,"Pelayanann Catinnya sangatt bagus, mulai dari poli KIA, poli LAB, sampe di apotik obat juga sangat ramahh, top markotop, tidak ada yg mengecewakan. Kecepatan hasil lab juga mantapp"
Alvinura Fajrin,5 bintang,Pelayanan bagus dan ramah.
LUTFI CHAKIM,5 bintang,saya kira pelayanan di pkm dukuh kupang tidak baik.setelah saya berobat ke sanan pelayanannya baik dan tempatnya nyaman.tidak perlu menunggu lama karena saya sudah daftar online dulu dirumah.terima kasih.
natalia christina,1 bintang,"Pelayanan yg buruk sekali...saya berobat ke poli umum,saya nunggu hampir Berjam jam.....pdhl di dlm ruangan Tdk ada pasien Sm skali,bbrp dokter asik ngobrol dan bermain hp,pdhl kita sebagai pasien itu sakit...Apabila si dokter istirahat..kan bs gantian...namanya jg bergerak di bidang pelayanan...pelayanan yg buruk skali."
Resti Perslami,5 bintang,"saya senang ke puskesmas dukuh kupang karena lokasinya dekat rumah. dan tidak perlu mengantri lama karena bisa mengambil antrian online, jadi tinggal datang sesuai jam estimasi. untuk pembayaran juga sudah bisa cashless jadi kalau pas tidak ada uang cash bisa pembayaran Qris. Tetapi untuk lahan parkirnya penuh, untung ada yang mengurusi parkir jadi dibantu di parkirkan."
Agus Firmansyah,5 bintang,"Alhamdulillah sudah kesekian kalinya berobat disini
Pelayanan nya memuaskan
Petugas ramah
Parkiran luas
Sesuai antrian . Terimakasih puskesmas dukuh Kupang semoga selalu menjadi terbaik"
aidah ayu,1 bintang,"Hari Jum'at, 23 Februari 2024 (Poli Umum) dokter perempuan, memakai krudung, memakai kaca mata, umur kurang lebih 35an. Dokternya Ketus, ngasih penjelasan seperti ngajak bertengkar dengan mimik muka yg tidak enak. Saya disitu minta surat rujukan soalnya udah 3 hari badan saya lemes. Disarankan IGD. Tetapi kalau masuk IGD obatnya sama buat apa?? Saya 3 hari juga minum obat itu. Masak nunggu sampai sekarat baru dirujuk ke rumah sakit."
Al Haris,1 bintang,"Pelayanannya minus, minta surat rujukan saja harus nunggu no antrian"
hasbun kyi kj kanjeng,5 bintang,Semoga makin di tingkatkan lagi pelayanannya meskipun sekarang Sudan cukup bagus
Edi Hartono,1 bintang,"pertama aja enak . lama kelamaan pegawai sangat tidak ramah. lemottt, antrian belom selesai udah pada makan.
tolong dong anak kita ini minta bantuan medis jangan di persulit karna pakek bpjs. masak imonisa harus pagi . kalau udah sore bilangnya udah gak bisa aneh bangett sih . ."
raca sweat,5 bintang,"Alhamdulillah berjalan dengan lancar berobat di Puskesmas Dukuh Kupang, para staf nya cepat tanggap, ramah, pelayanan memuaskan dan dokternya poli umum nya sangat ramah sekali 👍👍👍

Sukses selalu Puskesmas Dukuh Kupang, lumayan dapat merchandise gratis dari Puskesmas"
Eva,1 bintang,"TIDAK informatif. masa vaksin polio tidak dikasih tau kalau di lt.2, saya nunggu 2 jam untuk di panggil poli KIA, saya sudah nanya disalah satu petugas KIA juga tidak diberitahu kalau di lt.2. baru sama yg registrasi poli anak saya dikasih tau di lt.2 dan tidak perlu antre. mestinya solusi kalau kasirnya tidak informatif ditulisi donk di tangga kek, dimana gitu loh

tolong diperbaiki
terima kasih"
Nada Falisha,1 bintang,"pelayanan kurang baik dokter nya malah bercanda aja di dalem padahal banyak pasien yang menunggu. apoteker nya tidak ramah sama sekali. dokter saat ngeceknya ga terlalu memperhatikan pasien malah ngomong sama yang lain, keluhannya apa di kasih obatnya apa."
Gilang aldi,1 bintang,Lama ngurus catin di poli PKPR dari jam 10 antriannya 4 terus Sampai jam 12 niat melayani apa dilayani
Bu Edi2,5 bintang,"Ramah sekali,cepat penanganannya dan sangat puas dlm membantu pasien untuk berobat dan bertanya dlm apapun"
Dyah Noviana,1 bintang,Suka banget numpuk antrian ya  . Pasien banyak masih ae hp an 😴 dan pemanggilan no pasien kaga jelas …
Dianny Pramesty,1 bintang,"POLI ANAK UDA DIPANGGIL UNTUK ANTRIAN NOMER 8. BALIK LAGI KE NOMER 5, TERUS STUCK DI 6. KALO TELAT YASUDAH LEWATIN. INI MOLOR HAMPIR SEJAM. KATANYA BAYI MASUK DI POLI ANAK, KOK BANYAK YANG MASUK DI ANTREAN KIA."
Win Arwin,3 bintang,"Q ke poli gigi untuk bersihkan karang gigi,..
Dtang sesuai no antrian,apakah memang prosedurnya stlah karang gigi dibersihkan yg berlubang tdk langsung ditambal dan bsok kembali lagi untuk tambal gigi,mohon pencerahannya... 🙏🙏🙏
Saya pake BPJS MANDIRI"
Elya Chairas,5 bintang,"Pelayanan sangat baik. Dokternya komunikatif, informatif dan ramah. Suka banget sama dr Laila Hanum. Petugas laboratorium juga baik. Petugas farmasi informatif. Oh ya petugas administrasinya juga baik. Semoga semakin baik dan semakin baik lagi pelayanannya."
BundaTri,5 bintang,Pelayanannya bgus ... apalagi klau kita online dulu  dan dtng tepat wktu tmbh lbh cepat ....
Daifil Amar Official,5 bintang,"Deteng de' puskesmas dukuh kupang pelayannah cek begusseh, pegawaiah sopan-sopan, genteng-genteng ben rattin-rattin, se nomer settong nekah penangannah delem menanganih pasien  cepet tor parjugeh👍👍👍 …"
nuril huda,5 bintang,Pelayanan nya ramah sepenuh hati puskesmas bersih hijau dan berseri
Bunga Mega,5 bintang,Pelayanan nya sangat bagus dan cepat. dokter nya juga Ramah sekali dalam pelayanan pemeriksaan nya.
Sari Rimayanti,1 bintang,"Antri lama banget cuma buat di interview doang. Orang kelihatan luka luarnya udah borok sampek keluar nanah, gak diapa-apain cuma dikasih vitamin. Minimal kasih minyak tawon atau bersihin lukanya lah!!!!"
widya puspita sari,5 bintang,"Pelayanan sangat baik, tenaga medis telaten dan sabar"
DJ NERY KIREY,4 bintang,Untuk pelayanan udah bagus tapi tolong telepon diangkat ato direspon
Alesya Wahab,1 bintang,Demi apa kapok antrian nya lama banget d panggil kerjanya kurang cekatan lelet minta ampun orang sakit lama d tangganin orang ksni. Mau brobat malah jdi makin drop manggil antrian 1 aja bisa 1 jam lebih ampun 🙏👌 …
Fuji Kusnita,5 bintang,Kawasan bersih dan asri dengan disediakan tempat/ruang tunggu yg nyaman .pelayanan nya bagus.
Cici Ardillah,5 bintang,"Pelayanan sangat baik, petugas dan dokternya baik, sangat edukatif dalam memberi informasi"
Berti Ratna,5 bintang,"Pertama kali ke puskesmas dukuh kupang ternyata petugasnya ramah banget, tempatnya nyaman dan juga bersih 👍🏻 …"
