reviewer_name,rating,review_text
Riri Asd,1 bintang,"Biasanya bagian kia ada ruangan sendiri, sekarang di satukan sama lansia
Kalau bisa jangan gitu kasian kalau para anak2 yg rewel nunggu lama
Yg selalu di dahulukan panggilan lansia nya"
lina anggraeny,5 bintang,"Pelayanannya yang sangat ramah dari awal saya mendaftar, sampai selesai pelayanan. Sukses selalu Puskesmas Dupak Surabaya, Pelayanannya yang sangat responsif dan sangat profesional. Suasana yang sangat
kondusif sehingga merasa aman dan nyaman. Tim bidan , dokter , perawat, Pendaftaran, farmasi , Linmas sangat memberikan service execelent bagi pasien dan pengunjung."
Pratiwi Dwi,5 bintang,"Tempat sangat strategis di tengah pemukiman penduduk, lingkungan puskesmas bersih dan tersedia tempat tunggu yang nyaman disertai kipas angin. Pelayanannya bagus, Dokter, bidan, perawat, dan petugas lainnya ramah dan berkompeten. Terutama di ruang KIA bidan-bidannya sangat komunikatif dan edukatif memberikan pelayanan terhadap pasien."
Yulia Kurniawati,1 bintang,"Pelayanan petugas tidak ramah sama sekali.
Jumat sore jam 16.10 tgl 8 Desember 2023 saya dan balita saya mengalami kecelakaan di jalan Rembang. karena saat itu hujan jalanan licin, saya dan balita saya jatuh dari motor dan balita saya terluka di bagian kepala belakang. Sebagai seorang ibu saya panik karena kepalanya ngrembes darah, tanpa pikir panjang tak bawa ke puskesmas dupak. Saya pun tidak kepikiran kalau di dekat situ ada klinik Al-Azhar. Sesampainya di puskesmas saya ditanyai KK, saya bilang Ndak ada dan suami sedang perjalanan ke puskesmas nanti biar dibawakan sekalian sama suami. Anak saya dimasukkan ke igd dan ditangani oleh seorang dokter laki-laki, setelah di periksa dokter tersebut meminta saya untuk menunggu perawat untuk membersihkan darah di kepala anak saya. Menunggu beberapa lama akhirnya sang ibu perawat ini datang dengan berbagai pertanyaan mulai dari ada BPJS, faskesnya dimana, kejadiannya dimana, sudah daftar belum, rumahnya dimana. Saya jawab satu persatu pertanyaan ibu perawat  tersebut bahwa rumah saya di genting saya kecelakaan di jalan Rembang faskes saya di klinik PHC dan saya belum mendaftar karena menurut petugas depan harus nunggu KK dulu. Tapi ibu perawat ini dengan nada yang tidak enak menjawab harusnya saya perginya ke faskes saya atau di puskesmas asem Rowo bahkan sempat bilang tak tanyakan dulu kalau ada tindakan ini apa bisa ditanggung karena disini bukan faskesnya. Saya Ndak mempermasalahkan jika saya harus membayar yang penting anak saya ini dirawat dulu. Setelah membersihkan luka di belakang kepala anak saya dengan PZ diberi sofratulle terus ditutup kain kasa + hypafix dia menjelaskan bahwa anaknya Ndak boleh keramas 3 hari. Saya jawab "" Baik Bu "" lalu saya tanya ke dokternya apa ada perawatan di rumah dokter eh yang jawab bukan pak dokternya tetapi ibu perawat itu dengan ketusnya "" mbak nya NGGAK PAHAM ya dengan yang saya jelaskan, lukanya Ndak boleh kena air selama 3 hari setelah 3 hari kontrolnya di klinik PHC bukan kesini "" saya jawablah "" saya bukan Ndak paham Bu, saya hanya tanya apa perlu ada perawatan di rumah semisal lukanya dibersihkan dan diberi salep atau lainnya"" dijawab lagi dengan ketus "" Ndak perlu diapa-apain selama 3 hari, perawatan sudah selesai ibunya  bisa bayar tindakan di depan"" .
Hahahah wong pada akhirnya saya lho harus bayar karcis + tindakan, kenapa coba harus marah². Antara ngomelnya sama ngrawat luka anak saya lho lebih lama waktu ngomelnya.
Wahai ibu perawat yang terhormat di lain hari cobalah lebih ramah dan sabar dalam menghadapi pasien. Kalian di gaji bukan untuk duduk² dengan tenang selama 7 jam kerja. Gitu banget sama pasien, yang kamu hadapi ini lho anak usia 3,5 tahun dan ibunya yang sedang panik karena anaknya terluka. Saya Ndak mempermasalahkan harus bayar dll, saya hanya ingin memastikan bahwa anak balita saya baik² saja meski saya sendiri juga terluka. Tetapi  perkataan dan perlakuan ibu jauh membuat perasaan saya terluka.
Saya pastikan saya tidak akan datang kembali kesana Bu. Saya lebih baik datang ke RS tempat saya bekerja atau ke faskes saya di klinik PHC.
Semangat buat ibu perawatnya tetap pertahankan sikap tidak ramah anda ,,🤭"
Asti Fadila,4 bintang,"Sejauh saya jadi pasien disini semua dokter juga perawatnya ramah. Hanya saja pernah kejadian tidak mengenakkan dimana waktu itu BPJS saya bukan di puskesmas dupak dan ketika di periksa seorang dokter saya dibentak ""Bu,lain kali jangan periksa disini. Tapi di BPJS ibu""
Saya jawab "" saya suka disini karena lengkap ada labnya. Ya nanti saya pindah Bu. Tapi jangan sambil marah gitu dong""
Orangnya langsung diam"
Fanny Darat,1 bintang,"Kurang puas,kalo puskesmas lebih dekat untuk kondisi darurat knp harus ke faskes tujuan.lagian kita juga pakai umum gak pakai BPJS nya ke puskesmas nya(pakai umum)
Harusnya ditanganin keluhan nya,bukanya di tanya ini itu.kasihan yang sakit ini anak2 bukan orang dewasa,bisa nunggu besok.
NB:SEMOGA KELUARGAMU SEHAT2 AJA."
agung slamet raharjo,5 bintang,"Pukesmas dupak pelayanan pasien sangat ramah, tempat bersih & asri.
Tim kesehatan Dokter, perawat & karyawan sangat respon terhadap keluhan pasien... Alhamdullilah terimakasih buat semua semoga makin keren abiss"
Alya Putri,1 bintang,"Poli KIA sekarang makin ribet apa semua fasilitas kesehatan terutama puskesmas harus ada BPJS ya,kalau gak punya BPJS pasti alasannya ada aja,saya kemarin sabtu sudah USG di bu affa dan hasilnya bbj saya 3kg dengan usia kandungan 38week,tadi di puskesmas sudah dikasih rujukan saja ke RS dengan alasan bbj terlalau besar,karna saya lewat umum dan gak punya BPJS ,sangat kecewa sekali dengan prosedurnya dan pelayanan nya"
Taufik Nusapro,5 bintang,Mantap ada bu bidan senior gak tua2 amat ya gak gendut2 juga orang e (care banget pada psien melahirkan sehat2 ya)
Choriyah Sufiasih,5 bintang,"Pelayanan ok.....
cm panggilan poli kadang cepat kadang lambat...
mohon diperbaiki....
Terimakasih..."
