reviewer_name,rating,review_text
Dian Purnamasari,3 bintang,"Dapat antrian nomor 2, pas dateng belum jam setengah 8. Di layar uda tertera no.2 dan tanya ke petugas didepan apa ini sudah giliran saya? Katanya ya sudah no.2 masuk aja. Pas masuk petugas di dalam poli umum belum siap, cuma anak magang bagian tensi yg ud siap. Jadi cuma di tanya keluhan & di beri obat yg d tanyakan ke dokternya tanpa konsul dokter lebih lanjut.

Kalau emang masih belum waktunya melayani pasien kan bisa bilang saat saya masuk, atau bisa koordinasi dengan petugas depan kapan mulainya pelayanan.

Untuk bagian loket kasir sangat ramah pelayanannya, saya mau urus pengaktifan bpjs dilayani dengan baik.

Kalo gak lg butuh urus bpjs juga saya malas kesini karena tiap kesini pelayanan di poli umum tidak ada perubahan"
Ummu Khabibah,1 bintang,"Pertama kali cek kesehatan di puskesmas ini, di bagian pendaftaran dilayani dengan baik. Tapi saat mulai pemeriksaan pegawainya malah asik ngobrol sesama rekan kerjanya, dengan suara yg cukup keras dan SANGAT mengganggu. Kalo sedang periksa pasien yg memang sedang sakit apakah hal tersebut pantas dilakukan? Yg ada pasiennya tambah pusing dengerin obrolan petugas yg ngobrol dgn suara keras. Fine fine aja kalo memang tidak sedang bekerja, tp di ruangan tsb ada 'saya' loh sebagai penikmat 'layanan'. Rasanya kurang etis jika dilakukan.
Belum lagi teman saya, cek kesehatan tp malah ga di cek, cuma dikira"" aja, ga ditensi tapi langsung ditulis tekanan darahnya brp. What???? Data darimana itu, dicek aja ngga...
Alangkah baiknya tindakan"" tsb bisa dikurangi, apalagi puskesmas mrpkn salah satu pelayan masyarakat. Keep fighting tenaga medis!"
Yuli Astuti,5 bintang,Pelayanannya bagus petugasnya baik dan ramah setiap keluhan saya ditanggapi dengan baik tempatnya juga bersih dan terjamin kita gk perlu merasa takut klo mau berobat ke puskesmas gading
Safridza,5 bintang,"Pelayanan memuaskan, komunikasi lewat WA respon cepat dan diberi solusi terbaik. Pasien yg awalnya tidak tahu jadi tahu alurnya.
Apalagi petugas bagian loket ibu Gisel dan rekan pelayanannya sangat memuaskan. Good jobs pokoknya 👍 …"
Indah Purnaya Purnaya,5 bintang,"Pelayanannya sekarang jauh lebih baik dr sebelumnya, apalagi yg bagian loket mbk gisel super ramah dan mau menjelaskan apa yg pasien blm faham.. pertahankan trus ya mbk gisel utk pelayanannya😍 …"
Ari Yanto,5 bintang,"Alhamdulillah pelayanannya d puskesmas gading kpas lor sangat baik dri segi obat,farmasi dll pokokx is the best...mksih bnyak🤲🙏🙏 …"
Daffa Safiq,5 bintang,"Pelayanan baik sekali, dan respon kpd pasien / masyarakat sangat memuaskan
Dalam penjelasan , yg belum paham di jelaskan sejelas- jelasnya
Siap membantu sampai selesai
Puskesmas Gading pelayanan sangat baik, ramah dan memuaskan .
Terimakasih puskesmas gading semoga pelayanan terbaik tetep dipertahankan"
Siti Muna,4 bintang,Pelayanannya sekarang bertambah bagus dibanding yang dulu dulu...berarti ada perbaikan cara cara pelayanan pasien dengan baik...semoga menjadi lebih baik lagi dan lebih ramah lagi
Sindy Amtr,1 bintang,"tidak ramah, baru masuk ruangan priksa bukannya disambut malah dicuekin pada asik ngobrol sendiri sama staff yg lain, eh malah ditanya knp dateng jam segini? aneh. cek kesehatan juga seperti asal asalan..👎🏻 …"
maya amelia dewi,5 bintang,"Alhamdulillah setelah lama menunggu akhirnya jadi juga bpjs anak saya dibantu sama mbak gisel. Terimakasih mbak gisel. pelayanannya cepat, tanggap dan saya sangat puas sekali."
