reviewer_name,rating,review_text
Farrel Gazolet,3 bintang,"Setiap kali ke tempat ini, selalu ada trouble. Dimulai dr tempat parkir. Kurang memadai terutama utk mobil. Pengunjung harus parkir pinggir jalan, tapi dikenakan tarif parkir. Kemudian antrian. Selain ruwet, setahu saya selalu semrawut. Tak menggambarkan identitas Surabaya. Bunyi notifikasi antrian bersautan antara monitor satu dg yg lain. Poli ini, poli itu, poli sana... Selalu seperti itu. Kurang nyaman.
Scurity dan perawat, bagi saya tak humanis. Ketus2. Padahal mereka digaji utk melayani kita. Melayani masyarakat.
Bagi saya, fasilitas umum ini utk kota Surabaya, Nilanya secara keseluruhan adalah 65 dari 100"
Feny Dhamayanti,1 bintang,"Aku periksa disini batuk ku malah makin parah setelah di kasih obat, gatau yg salah petugas farmasi apa dokternya.
Tp kebanyakan liat komen petugas farmasi nya ga bener.
Udah gto aku bilang ke dokter nya kalo sakit kepalaku itu kayak ga di dengerin, dokter nya fokus sama komputer, dari kemaren aku minum obat sakit kepalaku ga sembuh sembuh malah.
Periksanya cuma di tensi sama periksa di dada doank itu pun cuma bentar.
Astaghfirullah
Ga lagi lagi deh kesini..
Tambah sakit jadi nya aku.
Obat batuk nya ga aku minum."
MAS KROMO,4 bintang,"Halo bisa bantu jawab. Untuk Poli gigi, pembersihan karang gigi(scaling) kena ongkos berapa ya.. Makasih tolong bantu jawab"
Muhammad Syifaul Fahmi,5 bintang,"Terdapat banyak poil dan ruangan ber lantai dua, untuk pelayanan bagus, agak kecewa dengan bagian laboratoriumnya, konfirmasi jam 9.30 selesai tapi sampai jam 10 ternyata belum selesai, alasan tidak ada panas, padahal di luar lagi terik matahari, mohon ditingkatkan lagi untuk bagian laboratoriumnya ya, untuk pendaftaran disarankan online agar tidak banyak antri"
himmatin adhimah,5 bintang,"MaasyaAllah, pelayanannya sangat memuaskan. Dokter dan staffnya pun baik dan ramah-ramah sekali. Semoga puskesmas gayungan bisa terus berkembang kedepannya. Barakallahu fiikum"
zaki,3 bintang,Layanan di setting agar pas sesuai dengan antrian…pasien dimasukan di ruang periksa 2-3 orang sehingga diluar kelihatan sudah dilayani dan tidak numpuk..dokter pada ngak ramah…
tanink official,1 bintang,"Petugas di puskesmas ini gak ada otak memang, jam sudah telat jauh dari daftar online, malah asik guyonan sendiri,
orang sakit kok disuruh nunggu, dongkol emg otaknya
petugas juga gak ada ramah2nya"
ilham rahmadhan,5 bintang,"Puskesmas gayungan memiliki respon yang cepat dalam pelayanannya, fasilitas memadai, bahkan saat cuti bersama masih tetap melayani masyarakat"
Anindita Yodha,5 bintang,"Pelayanan bagus, sesuai estimasi jam pelayanan. Jadi gak perlu menunggu lama.."
Firman Triyanto,1 bintang,"Pelayanan kurang ramah, no antrian bisa diserobot asal kenal orang dalam"
dewi dewi,1 bintang,saya sakit perut mual lemes pusing minta surat dokter tdk diperbolehkan dgn alasan tidak dlm keadaan kritis dan ini sudah SOPnya. Terus saya lapor HR kantor saya gimana? Tolonglah jgn mempersulit org yg lagi sakit! Masa penyelesaiannya saya harus pergi ke RS Swasta?? Guna faskes saya apa??  Saya bayar BPJS tepat waktu loh begini saja kok dipersulit.
Febrima Yuliana M,4 bintang,"Puskesmas Gayungan terletak di daerah Surabaya Selatan, dekat Masjid Agung Surabaya Al-Akbar. Pelayanan yang tersedia seperti pada umumnya: Umum, Anak, Gigi, Lansia, dan lain-lain misal saya luput ada yang belum disebutkan. Di sini bisa membuat Surat Sehat untuk Bikin SIM, untuk CPNS, atau lainnya. Pelayanan cukup baik. Terima kasih ✨"
ENTREPRENEUR VISTA,4 bintang,"Pelayanan uda standr cukup baik.
Utk pelayanan prosedur administrasi uda cepat.
Hanya minta tolong agar lebih sabar utk menanggapi keluhan² pasien, jadi agar tdk terkesan terburu-buru dalam melayani."
novi ismoyo,5 bintang,"Pelayanannya baik,, tempat nyaman, selalu ada yang jaga walaupun tgl merah lebaran👍🏽👍🏽👍🏽 …"
neno' juliea,4 bintang,"Sistem pendaftaran offline mohon dapat dibenahi, mungkin bisa menggunakan sistem ticketing, bukan sistem geser2 bangku, hal ini terkadang merugikan orang yg sdh datang terlebih dahulu."
Nurul,1 bintang,"Pantesan puskesmas ini reviewnya banyak yang kurang memuaskan. Petugasnya kurang ramah. Minta surat keterangan sehat buat naik gunung tidak bisa disini,padahal dari bbksdjatimya syaratnya tidak ribet puskesmas sendiri yang membuat ribet."
Muhammad Al Fatih Mubarok,5 bintang,"Pelayanannya bagus sekali, khususnya dari kesediaan tempat duduk, tempat yang nggk panas, pelayanan nakes dan administrasi,  lahan parkiran, dan free wifi yang lumayan cepat. Sehingga, orang yang berobat disana dapat menikmati waktunya dengan tenang di puskesmas.Selain itu juga, buat yang baru pertama kali ke puskesmas ini, tidak perlu khawatir, ada satpam dan pihak administratif yang ramah akan membantu kalian."
Athiyah,4 bintang,"Sy sering kesini untuk cek kesehatan dan berobat disini di poli umum, kurangnya memang jam nya selalu terlambat tapi pelayanannya mantab"
