reviewer_name,rating,review_text
Tri wahyu Andriyanto,1 bintang,"Pelayanan dokter oke , tapi pelayanan pengambilan obat STAFF nya BAD ATTITUDE , tidak ada SOPAN SANTUN , kepada org tua , dokter bilang nya obat nya dua , DIKASIH CUMAN 1 yaitu PARACETAMOLL , tau gitu beli sendiri saja dari pda lihat STAFF TIDAK ADA ATTITUDE SAMA SEKALI SAMA ORG TUA , semoga DI BALES SAMA GENERASI MUDA SAAT KAU TUA NANTI ,, KARMA IS REAL bu !!!"
Ajeng sari,1 bintang,"Pelayanan dokter baik, tapi pelayanan obat sangat buruk, manggil tidak pakai pengeras suara posisi saya duduk agak jauh dari staff karena kondisi penuh, Bisa bisanya sekali pakai pengeras suara malah teriakk kayak org kesurupan , Kalau capek pulang Ga usa kerja Bu, yang ada ambil obat gak malah sembuh malah sakitttttt.!!!!!! Tolong dirubah kebisaan buruknya mikir kalau pelayanan gratis bisa seenaknya aja."
Erik Novansyah,1 bintang,"Mohon maaf untuk pelayanan dokter sudah bagus, tetapi untuk di bagian informasi agak ruwet, padahal pagi nenek saya udah kontrol dan udah di priksa sama dokternya dan dokternya bilang kalok kartu kis bpjs kesehatan perlu di aktivasi lagi karna udah lama ga di pakek, abis dari rumah ambil KK sama KTP, kembali ke puskesmas ku bagian informasi katanya ntar kembali jam2, abis ijin pulang kerja sekitar jam 3 saya ke puskesmas lagi katanya suruh urus BPJS mandiri saja. Ini gimana saya belain telat kerja nganter nenek saya, pulang saya lebih awal buat ngurus malah Kayak gini pelayanannya. Tgl 26-01-2024
Keterangan:
- kurang lebih pkl 08:45 (waktu control)
- kurang lebih pkl 15:00 (saya mau aktifasi)

Tolong di perbaiki lagi khususnya bagian informasi di depan"
Nur Hasanah,1 bintang,"Pelayanan laboratorium sangat buruk
Antri mulai jam 8.30 sampai jam 10.00 ga ada panggilan sama sekali 😭😭😭 …"
Fendi Azza,1 bintang,"Barusan aku dari sini,bawah anak saya umur 6 bulan sakit panas,gara-gara gak bawah kartu keluarga g di tangani di pendaftaran,padahal saya juga warga kelurahan gundih"
calon jenazah,3 bintang,"-pelayanan poli Umum baik
-pelayanan poli KIA baik
-pelayanan Farmasi baik
-petugas laboratorium sabar dan telaten menangani pengambilan darah pada anak2
-penanganam lebih cepat daripada sebelum2nya
-banyak poster informasi
-suasana sejuk

-maaf untuk pegawai/dokter mohon jika bergurau dengan pegawai lainya suaranya di kecilkan karena cukup menganggu terlebih lagi ruang poli umum yg kecil,sesak dan banyak orang (pegawai dan pasien) membuat tidak nyaman
-lorong ruang kamar mandi sedikit berbau"
Faricha Amarah,5 bintang,"Scaling di puskesmas gundih memuaskan sekali, ibu dokternya ramah banget. Meskipun pake bpjs juga sangat baik pelayanannya. Dibersihkan secara keseluruhan, bagi yang bawah maupun yang atas. Pertahankan kualitasnya yaa"
Jasmine Shakura,1 bintang,"Dari jaman orang tua sakit sampai kmaren saya yg sakit cukup kecewa bangett y sama pelayanan puskesmas Gundih ini ...pagi"" antri pasien terpaksa nunggu dirumah karna badan Uda gak memungkinkan buat nunggu lama""..siang datang lagi sesuai dengan jam yg tercetak di no antrian nyampe sana berasa di PraNk karna bagian Lab nya tutup ujung"" nya dikasi Paracetamol aja..🤣🤣....orang sakit buat mainan ...top bangettt emang 🤣🤣🤣 BPJS saya tiap bayar buLann bukk ini gak gretoannnnnn..."
Erni Marlita,2 bintang,"Pelayanan poli umum baik
Tp untuk pelayanan poli gigi sangat buruk
Dokter yg menangani scalling suami saya, sangat kasar. Setau saya, untuk scalling bisa langsung 4 regio, tapi dokternya hanya mengerjakan 2 regio saja (gigi bawah), padahal 2 regio gigi atas juga mesti ditangani krn banyak karang giginya. Yg mengerjakannya dokter wanita muda berkacamata. Selama scalling, tindakannya benar"" Kasar, ada 2 orang didalam poli gigi, cara bicaranya ketus, cuek, tidak ada keramahan sama sekali. Saya selama berobat, baru kali ini mendapatkan pelayanan yg benar benar buruk dr pihak faskes. Semoga segera dibenahi"
bagus jihad,1 bintang,"Untuk pelayanan poli gigi sangat kurang..
Dua kali cabut gigi, masih sisa akar gigi..
Dokter giginya kurang kompeten"
ida hidayati,1 bintang,"Maaf, pelayanan POLI GIGI kurang banget. Dokternya masih muda, kurang ramah dan kasar saat tindakan, saya membersihkan karang gigi saat itu. Itupun dokternya bisik2 ke petugas satunya agak gimana gitu apa karena saya bersihkan karang gigi (agaknya kurang berkenan). Belum lagi dokter dan petugas yg ibu2 itu bilang ke petugas yg lain (bapak2) dg suara tinggi ""cek itu Pak BPPS nya masih aktif apa ngga"" Sangat kurang sopan di depan pasien bicara seperti itu. Saya juga tau kalau mau berobat pasti bpjs saya aktif, saya tidak pernah telat bayar bpjs (apakah begitu perlakuan pasien bpjs)??
Oh iya kurang informatif juga saat saya tanya kapan kembali diinfokan untuk kembali 3 bulan lagi. Padahal yg ditangani masih satu sisi. Info dr teman2 saya pembersihan sisi lain bisa dilakukan di minggu berikutnya. Tp kenapa doktenya bilang ke saya 3 bulan lagi ya. Apa standrat setiap puskesmas beda2?
Mohon diperbaiki pelayanannya di POLI GIGI
Terima kasih"
Ta Chim (BR0W),5 bintang,tempat berkumpulnya orang yang sedang sakit .  Alhamdulillah saya se Keluarga sehat jasmani dan rohani . Salam Sehat Indonesia Buat kru PusKesMas  ayo ke puskesmas bila sedikit tidak enak badan dan dokter akan memberi pertolongan
