reviewer_name,rating,review_text
Isa Fansuri,5 bintang,"Rame...petugasnya ramah2...keren dhe
Parkir nya gratis...tapi pas masuk ke poli gigi...ada peralatan gigi yg rusak kata dokternya dha 1 minggu lbh blm ada perbaikan..."
Fitriah Fitriah,1 bintang,"Mohon diperbaiki untuk pelayanannnya, kami datang untuk periksa ,sudah daftar ke umum dan sudah bayar juga,lalu disuruh menunggu kita tidak dikasih nomor antrian , akhirnya nunggu , lalu  kurang lebih set.jam kita nunggu belum ada panggilan lalu saya tanya "" mbak masih lama?"" Mbaknya menjawab ini mau dipanggil , lalu setelah dipanggil bilang datanya belum masuk disuruh daftar lagi, padahal saya sudah membayar dan memang tidak dikasih nomor antrian, lalu saya kembali ke ruang daftar sembari nunjukin bukti pembayaran , katanya data belum dimasukin , sedangkan team saya itu sudah lama menunggu karena sakit kepala , mohon ditingkatkan lagi untuk pelayanannya ,kasihan datang ingin berobat mendapat pelayanan yang seperti ini sangat disayangkan sekali kurang gercep,"
Rheza Giovanni,2 bintang,"Antri online ke poli umum dapat nomor 20an
Dipanggil untuk tensi jam 09.00, baru dipanggil masuk untuk periksa sekitar 10.30
Nunggu lebih dari 1 jam sambil sakit, sudah gitu tidak disediakan surat sakit, hanya ada surat keterangan berobat. Dokternya bilang karena tidak punya form nya.

Sudah pelayanan lama, nunggu dengan kondisi sakit, nggak masuk kerja tetap dipotong karena tidak ada surat sakit."
Vıdya,1 bintang,"1. Pelayanan, sangat lama. Meski sudah daftar online, tetap saja molor tidak sesuai jam estimasi antrian. Yang daftar online dapat nomer awal, tetapi di hari H datang terlambat, bukannya dirolling ke belakang, malah menyela-nyela nomer antrian lain. Konsep antriannya di Puskesmas ini gimana sih? Tolong dibenahi!!!

2. Pengalaman di poli KIA sama bidan junior (biasanya yg pakai baju putih) dan bidan senior (pakai baju ASN). Duhh!! Yg junior² ramah², tetapi kurang kompeten keilmuannya (mungkin kurang pengalaman empiriknya, but.....it's okay lah). Lah yg senior² ini kebanyakan yg njengkelin....... Buk..!!!!! Anda semua itu pegawai negara, tugasnya melayani masyarakat. Bisa nggak sih mentang² keilmuannya udah kompeten, tapi tingkat keramahannya itu loh nggak banget...!!!!!!! Kalian itu kita yg bayar. Aduhh!!!, semoga lebih baik lagi lah yaa!!

Buat masyarakat yg ke puskesmas ini, lain kali kalau puskesmas ini lagi, catat nama pegawai yg melayani dng tidak ramah. Bisa kok dilaporkan buat dievaluasi pihak puskesmas😏"
Linneta Arvianty,5 bintang,Baru pertama kali saya ke poli kia untuk lepas dan pas iud. Jujur awalnya sempat ragu tapi ketika sudah masuk ruangan KIA disambut dengan pelayanan yg ramah. Alhamdulillah semuanya berjalan lancar. Terimakasih
laeli zelfi,5 bintang,"pelayanan baik,cepat tanggap,petugas ramah ada rawat inap dan buka 24jam"
RENI SOFI,1 bintang,"Judes, di tunggu pasien g ngerasa 3x zonk, mulai hamil Hb rendah d bisa detek pdahal tes darah lo alhasil drop smpe kritis untung nyawa masih melekat di badan waktu itu, kurang paham masalah imunisasi bukan e diarahkan malah diajak debat, minta vitamin A aja susah e disuruh nunggu orng konsultasi mana lama banget di tunggu g ngerasa, dari dulu kok g berubah pelayanan e, g kayak PKM sebelah ramah2"
Iin Fatmawati,4 bintang,Alhamdulillah hari ini baru selesai bersihkan karang gigi dan trm ksh untuk bu dokter yang sudah sabar dan ramah dalam melayani pasien apalagi saya yang baru pertama kali ke dokter gigi. Untuk fasilitas ruang poli gigi mungkin bisa ditingkatkan lagi dengan perluasan ruangan krn kalau saya rasakan terlalu sempit dan sekalian peremajaan AC.
maulana ishaq,1 bintang,"Dari dulu sampek sekarang pelayanan di poli gigi g ada perkembangan,disini pasien mau berobat dan konsultasi malah di marah”i dengan nada bentak” dan judes gak ada lembut” nya,emang sya pakai bpjs apa iya harus diperlakukan sperti itu?manggil nomer antrian 1x sudah dilewati nomer,dan saya baru sadar di layar nomer antrian saya dan saya langsung masuk,eh malah di marah”i ,di siaran dan nomer di monitor antrian tidak singkron saya yang dimarahi,
attitude seorang dokter seperti itu kah?
Kalau capek dengan kerjaan anda kenapa milih job seperti ini,sudah termasuk resiko kerja dan gak harus memperlakukan orang sperti itu,anda orang pintar sampai dapat gelar dokter tapi tidak bisa memanusia kan manusia."
Guan Che,4 bintang,"Parah banget si tadi aku kan periksa di laboratorium puskesmas gunung anyar. Trus pas nunggu di kursi ada bau semerbak TAI AYAM SAMA BAU AYAM. Nggak enak banget plis ya tolong, jadi males buat dateng lagi"
Afifatun Nasiroh,1 bintang,"sedih sih, jadi ibuku ke puskesmas dengan tujuan mau berobat karna telinganya sakit, tapi tidak diberi obat apa2 hanya dibilang jangan dibilang untuk tidak dikorek2... karna masih sakit akhirnya balik lagi ke puskesmas untuk kedua kalinya, okee kali ini dokternya bedaa jadi dikasih obat tetes, padahal ibuku berharap akan ada pengobatan lebih lanjut seperti dirujuk ke rsi jemuraari, karena masih sakit beliau pergilah ke spesialis tht, okee disini sembuh sampai satu bulan akhirnya sakit lagii, lalu kuantarlah lagi ke puskesmas, kali ini alhamdulillah dikasih rujukan ke rsi jemursari, tapii rsi angkat tangan karna infeksi ditelinganya sudah parah dan dirujuk ke rs dr soetomo untuk melakukan operasi.... disini saya mau bertanya, kepada pihak puskesmas, apakah harus menunggu telinga ibu saya infeksi parah baru dikasih surat rujukan??? terima kasih🙏🏻🙏🏻"
Bambang Purwanto,1 bintang,"Pelayanan sangat sangat sangat buruk sekali,mau minta rujukan saja harus datang 2X,dihari kedua pagi datang belum jadi,diminta balik lagi jam 10,dari jam 10 sampai 14 baru dapat surat rujukan"
