reviewer_name,rating,review_text
Widya Ayuni,5 bintang,"Sebelum kesini daftar lewat online dulu di website nya e-health surabaya, bisa pilih tanggal mau kapan kesini.
Sampai disini jam 7 pagi gak pakai antri, langsung ke loket pendaftaran buat konfirmasi kehadiran & langsung ke KIA buat periksa.
Semua petugasnya ramah kok & saya langsung dilayanin cepat walopun pakai bpjs.
Tempatnya juga luas & banyak tempat duduk buat nunggu.
Ada free air mineral gelas juga di dekat loket bisa diambil."
Tegar Anggarida,3 bintang,"Datang kemari untuk periksa kehamilan istri secara umum Layanan cukup baik cuman ada satu Hal yakni test laboratoriumnya lama sekali sampai 2 jam.

Petugas di depan cukup ramah memberikan arahan yang jelas.
Satpam juga membantu proses pendaftaran ramah Dan sabar.

Pelayanan di KIA mengantre juga tidak lama yakni sekitar 20 menitan langsung di panggil.

Ke farmasi juga cepat tidak sampai 10 menit buat racikan obat.

Cuman Laboratorium nya yang cukup lama.

Saya datang jam 9 pulang jam 12.30 siang karena menunggu hasil lab"
Syavira Emha Yana,4 bintang,"alhamdulillah ada keluarga pernah bikin gigi di puskesmas sini, hasilnya memuaskan sekali, dr awal pendaftaran pengerjaan pemasangan sampai selesai semua mulus, ngga ada itu pengalaman jelek kaya berita org2 tentang puskesmas spt apa, semoga sll ada pembaruan dan peningkatan terus performa dan pelayanan disini, sukses terus yaa"
Wulan Gading,5 bintang,"baru pertama kali ngerasain ada puskesmas yang pelayanannya walaupun BPJS tapi pelayanannya lumayan cepat ...
Bingung karena baru pertama ke puskesmas jagir yang lokasinya sangat luas , Terimakasih pegawai atas nama mbak ayu wulandari, udh bantu saya dan ramah terhadap pasien  ."
Yuala Mala,5 bintang,"Pelayanan sangat bagus, tidak membedakan pasien umum atau BPJS. Bahkan BPJS luar kota pun bisa diterima dan dilayani dengan sangat baik.
Bisa daftar online terlebih dahulu sehingga tidak perlu antri lama. Area puskesmas bersih dan cukup luas, antrian dibagi di depan pelayanan masing-masing, sudah tersedia kursi tunggu yg banyak dan tidak menumpuk di satu tempat. Area parkir luas dan gratis. UGD dan persalinan 24 jam."
Rochim Moch nur,5 bintang,"Pelayanan bagus, ramah, terutama bu bidan yg ada di ruangan perawatan ramah dan sabar selama istri saya di rawat."
Siska Wulandari,2 bintang,"Tolong Petugas laki² yang bagian manggil nomer antrian poli umum sekaligus print kertas rujukan tidak ramah sama sekali.. untuk petugas konfirmasi kehadiran di depan bagus ramah dan informatif.. untuk dokter² yang memeriksa bisa lebih profesional layaknya seorang dokter yang sedang memeriksa jangan banyak ngobrol sendiri dan becandanya.. okelah mungkin gaji di puskesmas tidak sebanding ditempat praktek kalian yang lain tapikan itu sudah menjadi konsekuensi pengabdian 🙏 toh kita pake BPJS juga gak gratis, kita bayar tiap bulan.. semoga pelayanannya bisa lebih di tingkatkan lagi ya demi citra puskesmas yang lebih baik dan kenyamanan kita bersama.."
RIZKA,4 bintang,"Puskesmas Jagir saat saya datang kesana tanggal 15 Agustus 2022 masih dalam proses renovasi, sehingga parkir terbatas. Motor bisa  di halaman depan pintu masuk, sedangkan mobil harus parkir di luar area yang terbatas.

Semua petugas dari awal masuk, security, bagian informasi sampai dengan petugas kesehatan semua ramah dan tanggap dalam menanggapi pertanyaan.

Proses antrian tertib, walaupun menunggu lumayan lama. Setiap pasien wajib daftar via online di website e-health.

Tempat bersih dan tempat duduk banyak tersedia.

Kekurangan :
- proses pendaftaran e-health cukup rumit dan sering hang
- sebaiknya ada tv di area tunggu sehinga pasien tidak bosan, melihat antrian yang selalu panjang dan lama"
widya ferlita,5 bintang,"Puskesmasnya bersih dan rapi. Pelayanan ramah dan relatif cepat. Halaman parkir luas dan gratis. Bonusnya,, dekat Mall dan mudah dijangkau. Kerren deh pokoknya..."
Setri Rahayu Widoty,5 bintang,"Puskesmas yang luas untuk melayani banyak sekali poli, sangat terbantu saat periksa disini, proses cepat, bersih dan petugasnya ramah, terutama pelayanan farmasi, obat gak perlu nunggu lama, dan saat saya tanya mengenai obat obat yang saya dapet, petugasnya dengan sabar dan detail menjelaskan, terimakasih semuanya🫰🏻 …"
nur sugiarti,2 bintang,"Setahun yg lalu sy prnah disuruh ke lab sm dokter umum cek asam urat,gula darah,ma kolesterol....akhirnya besok sy dtang juga puasa disuruh dokter umum...tp petugas lab nya tdk ramah...nunggu nya 2 jam lebih"
Rahma Ananda,2 bintang,Saya periksa di poli umum. Telinga saya kemasukan nyamuk. Diperiksa ala kadarnya sambil duduk dan hanya beberapa sisi yang diperiksa. Malah ditertawakan sama perawatnya katanya telinganya dikasih tanda saja dilarang masuk.waktu diperiksa dibilang bersih kondisi telinganya. Eh pas dirumah ternyata masih terasa sakit karena gerak nyamuknya. Udah gitu cuma dikasih obat oral radang. Sia2 saya antri hampir 2 jam🙂
Anisyah Nur Maisaroh,5 bintang,"Pelayanan di Puskesmas Jagir sangat baik, petugas juga ramah, terlebih untuk pelayanan obat farmasinya lumayan cepat dan sangat mengedukasi pasien☺️☺️💗💗 …"
Sick Something,1 bintang,"Terutama dokter gigi cowok, analisa dengan benar²... gigi ayah saya di bor lalu dimatikan syaraf nya.. padahal awal tidak apa², pas di bor malah ayah saya kesakitan tetep diteruskan sampe kek bentuk U dan bisa pecah, dan gigi dia mati / biasa dikenal gandring karena dikasih obat matikan syaraf.. tolong dokter spesialis gigi terutama cowok loo ya.. hati² dosa anda klen..

Fyi, obat tsb mengandung arsen"
Amiati Am,4 bintang,"Klu utk pelayanan poli umum, baguslah, tapi utk poli gigi , tolong klu ada pasien yg membersihkan karang gigi janganlah komen yg sekiranya menyinggung pasien. Lebih"" ucapan yg menyakitkan hati"
Novitri Bhaktiar,5 bintang,"Pelayanan bagus dan cepat, tempatnya bersih, petugas nya ramah², sabar dalam menjelaskan penyakit..."
Ibu Moeslikah,5 bintang,"Puskesmas jagir sudah langganan dari dulu turun temurun sampai anak cucu kalau berobat.. Pelayanan lengkap dan ramah stafnya.. Apalagi skrg bisa daftar lewat online makin mempermudah utk antri , sdh tertera di data antrian online nya buat estimasi waktu .. Mohon untuk dipertahankan ❤❤❤"
7TEES SBL,1 bintang,"2024 masih aja ngasih pelayanan misintegrasi & miskomunikasi kalau soal layanan rujukan
harus bolak-balik 2x PP. Ke RS & pukesmas buat hanya selembar kertas!

TOLONG PERBAIKI PERCEPATAN LAYANAN ADMINISTRASI!!!

JAMAN SUDAH 5G PELAYANAN MASIH LAMBAT"
Septy dwi Cahyani,1 bintang,"Tgl 23 Mei 2024 sumpaahh itu mas2 nyolot bgt, ngomong gk enak, niatny buat periksa malah di bikin sakit ati"
mbek gaming,1 bintang,"saya daftar antrian untuk control anak saya 2 hari kedepan dan dapat nomer antrian 48. kok tiba-tiba di hari H nya malah namanya gak ada. kok bisa.
kasian anak umur masih 4 hari harus nunggu lama dan istri saya nahan sakit nya luka jahit pasca hamil.
mohon di benahi lagi petugasnya"
Syafira Faradiba,5 bintang,"tempatnya bersih, pelayanannya sangat baik, dan staffnya ramah2! terima kasih banyak pkm jagir😇 …"
Lia Oktaviani,1 bintang,"ribet ! minta surat rujukan H-3 dgn tujuan biar hari H kontrol ga mondar mandir , ga dikasi , katanya bisa tanpa surar rujukan , ujung ujung nya di hari H dr rumah sakit tempat ayah saya kontrol tetep minta surat rujukan ! akhirnya tetep mondar mandir ! kecewa !"
Mei Purbowati,5 bintang,"Kebersihan di Puskesmas Jagir selalu terjaga, tempat parkir nya gartis, pelayanan di Poli Umum juga cepat, serta kerjasamanya dgn Kader Surabaya Hebat juga semakin baik."
Harry Merlien Fadhlurrohman,5 bintang,"Pelayanan sangat memuaskan, cepat, dan harga terjangkau. Semoga kualitasnya dipertahakan kedepannya. Terimakasih."
Ine Aldrine,5 bintang,"Daftar lewat online, lebih mudah juga menghemat waktu, datang sesuai tanggal langsung cepat terlayani, apalagi kalo minta rujukan sangat mudah, cepat."
Reza Viqta,5 bintang,"Dokter gigi nya ramah dan bersahabat, tidak ada suasana menegangkan saat cabut gigi anak."
TIARA PUTRI,5 bintang,"Sangat bagus, meski kadang masih lama menunggu karena overload pasien, tapi secara garis besar sudah memuaskan."
Maria Hyacintha,1 bintang,👎👎👎👎 sumpah kapok banget dateng kesini. Saya periksa pake bpjs kesehatan tu nggak cuma sekali doang. Puskesmas dan klinik di semarang jawa tengah aja gak sebegininya lho. Diperiksa aja engga sama sekali. Saya tu bukan pengguna bpjs kesehatan kemarin sore. …
ismi adhi,4 bintang,"Terimakasih utk pelayanan yg memuaskan, mengurus surat sehat di sini sangat mudah"
Nurna Nurna,5 bintang,Pelayanan cukup baik dan ramah mulai dari pendaftaran sampai kepoli yg dituju (poli umum)
asyraf rafif,4 bintang,"pelayanan kurang ramah tetapi petugasnya ada yang ramah, nunggu hasil lab lama juga sebulan lebih smpe skrng pdhal buat terapi obat disini terus kedepannya."
Evan Pratama,1 bintang,"Yg jaga farmasi cowo kurang informatif, alhasil saya minum obat yg gtau kpn anjuran minumnya eh pas saya searching ternyata tidak boleh di minum bersamaan atau waktu berdekatan . Pantas saya gemetar . Tolong yg ramah dan informatif !!"
anastacia mey,5 bintang,"Playanan bagus, fasilitas kesehatan yg cukup lengkap. Tenaga medis cukup tanggap.Ruang tunggu yg nyaman dan memadai. Tempat bersih. Tempat parkir memadai."
Erni Rohmah,5 bintang,"Pelayanannya bagus .. BKIAnya juga bagus ..
Meskipun lahiran di puskesmas tp pelayanannya serasa di rumah sakit kelas atas .."
farist bahreisy,5 bintang,"Salah satu puskesmas terlengkap, pelayanan yang maksimal dan saya sangat terbantu sekali karena bisa 24 jam pelayanan"
Fifi Afrianti,5 bintang,"Pelayanannya sangat memuaskan, dipertahankan dan ditingkatkan lg utk menjadi PKM ter the best..."
cici annisaa,5 bintang,"Puskesmas Jagir pelayanannya baik pegawai ramah sekali dan puskesmasnya bagus, bersih dan rapii 😍 sukses selalu untuk Puskesmas Jagir …"
Ida Hanifa,5 bintang,Pelayanan yg sangat bagus sekali seluruh petugas sangat ramah dan untuk semua poli
