reviewer_name,rating,review_text
linda erahma,2 bintang,Daftar online poli gigi dapat jam siang dan disuruh pulang lagi sama dokternya karena alat untuk bersihin sudah steril dan disuruh daftar lagi saja agar dapat antrian pagi besok atau 2 hari lagi lagi.. tolong lebih ramah lagi pada pasien dan saling mengerti tidak seenaknya sendiri 🙏🤗 rasanya sudah trauma kesini tapi suatu saat boleh dicoba lagi lahh...
Evi Erliyanti,5 bintang,"Abis vaksin booster ke 2 disini, tdk seburuk pengalaman Teman2 kantor sebelum nya : tdk menerima KTP luar kota / petugas ketus / antri lama / pelayanan buruk.
Hari ini sy buktikan sendiri ternyata pelayanan cepat dan ramah, tdk antri lama malah tergolong cepat, cukup bersih dan tertata rapi.Sukses terus ya Puskesmas Jemursari."
devia cahya,1 bintang,"Ya Alloh kedua kalinya kesini sedih banget mana pas lagi hamil, di poli KIA  pelayanan buruk banget priksa kehamilan sudah jelas kalau aku ini hamil malah ditanya “sampean hamil tenan opo ga??” 😭😭 sampek nangis aku. terus aku tidak ditensi tapi di buku pink tensiku ditulis 110. gilaaaaa… saran aja timbangan di poli KIA untuk ibu hamil diganti yang digital aja biar jelas angkanya!!!"
Hae Yuk,5 bintang,"Pelayanan di poli gizi sangat memuaskan, petugasnya komunikatif dan ngasih informasi dengan jelas."
Assyifa Advia,5 bintang,"Petugas pendaftaran ramah yang nensi cantik dan baik, sayangg ruang tunggu panas pake AC dongggg"
Lilia Prastika,5 bintang,"Pelayanannya sangat ramah. Pegawai nya humble semua, dokter dan perawat sangat ramah dan sangat sabar"
Sabitha Rana,3 bintang,"Pas sekitar Desember 2022 kesini,
Keseluruhan oke banget, dari administrasi, lalu dibantu bapak² didepan untuk mengakses website dengan ramah, tapiiii.....ada satu yg bikin jengkel. Mas² pake kaca mata yg ada didalam bagian ngecek BB dan TB itu, kerja nya kayak setengah ati, ga niat, jawabnya juga ketus. Ingat anda di gaji buat melayani masyarakat. Toh kerja nya juga gitu doang kok males² an. Saya juga kalo nggak ada ketentuan harus pake surat keterangan sehat dari puskesmas juga ogah mau ke puskesmas. Saran saya sih jangan songong ya mas kalo ngelayani pasien. Rejeki mu seret ntar."
Alfian Nurfaizi,5 bintang,"Pelayanan sangat memuaskan, staf baik dan ramah, setiap pertanyaan dijawab dengan cermat."
Yos Sia,5 bintang,Tempatnya nyaman Tapi kalo siang ruang tunggunya panas ini kalo ada AC enak kali ya.
Beny Rahman,1 bintang,"Saya daftar online dan diharuskan dtg sesuai jadwal pemeriksaan. Kemudian sy dtg lbh awal ±18 menit sebelum jadwal pemeriksaan.  Eh disalahkan sama petugas, datangnya terlalu mepet katanya!
Ternyata kejadian spt itu tidak 1-2x terjadi, beberapa orang lain jg pernah spt itu. Poor management !!!!"
diah arie Wulandari,5 bintang,"dokter nya  baik , petugas pendaftaran online standby,  All Ok sih"
Naomi,4 bintang,pelayanan ramah udh better banget dari yg dulu. cuman sepertinya kurang cocok sm dokternya. punya 2 keluhan tapi yg diobati 1 keluhan aja😭 …
Silvia Ayu,5 bintang,"Katanya sih pelayanannya ga enak. Agak ragu tadi pas mau kesana. Eh ternyata pelayananya bagus kok ramah-ramah semuuuaaaa, penanganannya juga cepet bangetttttt. Trus untuk biaya juga murah padahal ga pakai bpjs."
Lilia Prastikaa,5 bintang,Alhamdulillah pelayanan sangat baik. Staff nya pada baik banget
Yeni Oktavia,5 bintang,Pelayanan cepat namun ruang tunggu panas karna hanya ada kipas
Yuli Pixy,5 bintang,"Awalnya ragu mau tes lap di sini takut pelayanan nya tidak ramah
Setelah dari sana bintang 5 dech
Dokternya baik-baik
Dan membantu pasien banget"
indah khusnia,5 bintang,"Pelayanan baik, puskesmas bersih, tempat parkir luas"
Obisey Hendra Mones,5 bintang,"Pelayanan sangat cepat
Informasi yang di berikan sama petugas sangat informatif"
Fatimatuzzahro,4 bintang,"Dapat melayani sesuai dengan kebutuhan, sangat membantu"
Nurulfarida 6767,5 bintang,"Walaupun ktp luar, semua di permudah masyaallah tabarakallah, semoga kerja keras nakes"" disini amanah dan berkah"
Silvi Nipa,5 bintang,"Awalnya bingung mau cari vaksin booster kemana, tau² ada info di puskesmas jemursari ada vaksin booster pas timingnya banget, lokasi juga deket dari kampus sekalian deh vaksin disana..
Lokasinya sangat strategis, pelayanannya baik vaksinya cepet ga pake lama"
Rizki Ramadhan,1 bintang,"Pelayanan memalukan, ambil nomor antrian, petugas salah input kita yang disalahkan"
Phey Unyu,1 bintang,Antri sdh 2 jam. Ada 2 keluhan. Syaraf sama diabet. Minta rujukan 2 sekaligus tidak diperbolehkan. Disuruh datang lg minggu depan. Apa2an ini??? Sdh antri lama. Suruh balik lagi. Gak bs memanusiakan manusia ya ini dokter? Tinggal ketik aja susah banget. Di bela2in cuti /ijin buat minta 2 rujukan. Malah disuruh balik lagi ambil rujukan yang 1 lagi. Gmn?
Kleopas Priagung,1 bintang,Mohon di perhatikan lagi jika memang sedang ada maintanance atau perbaikan gedung puskesmas lebih baik tutup dari pada tetap mengusahakan pelayanan tapi tidak ada kenyamanan
Natalia Tan,4 bintang,"Mengikuti vaksinasi kedua di puskesmas Jemursari pada awal Agustus 2021..
Petugas ramah dan informatif dalam mengarahkan peserta vaksin agar tidak bingung..
Pendataan dan pengerjaan vaksin sangat rapi dan cepat.. Datang pukul 08:00 pagi, selesai satu jam setelahnya...
Saya mendapat pengalaman baik disini.."
Sherena Pricila,5 bintang,Pelayanan gizi nya sangat baik🥰 …
Finda Widiyanti,5 bintang,"pelayanan bagus, pegawai nya ramah"
Feryan Hidayat Roni Wahyudi,1 bintang,pelayanan e ga masuk sama sekali.tolong sampein pada admin laki brewok an tolong yang sopan sama pasien
Erna Meitha,2 bintang,"Kesana buat test IVA.... Pas awal datang sama bagian karcis diminta langsung masuk ke ruang bidan... Giliran diruang bidan, ditanya kok tidak ikut antrian... Ujungnya diedukasi kalau belum pernah melahirkan jangan IVA karena sakit... Hehhh macam mana???bukankah IVA untuk yg sudah aktiv berhubungan.. Saya langsung bilang kalau saya sdh pernah pap smear... Ehh ujungnya diminta pap smear aja... Di RS atau lab... Oalahh sepertinya lagi males atau gimana... Saya blg 2 hari sblmnya saya berhubungan... Ujungnya ditolak karena dibilang harusnya 3 hari ssbelumnya... Yg betul yg mna?????pdhl sebelum ke puskesmas saya sdh tanya bidan di puskesmas di kota lain dan browsing juga... di web dinkes u syaratnya 1x24 Jam tidak boleh berhubungan..hmm.."
nur Cahaya,5 bintang,Bak sekali pelayanan memuaskan
