reviewer_name,rating,review_text
Erliyana Freida,1 bintang,"Mohon maaf sekali untuk pelayanan pasien bpjs sangat buruk. Sejak awal datang dan registrasi tidak diberikan nomer untuk bagian perawatan gigi, sehingga harus menunggu lama. Kemudian setelah menunggu lama, saya bertanya ke bagian administrasi/ kasir dan baru diberitahukan bahwa nomer antrian sudah lewat. Kemudian saat akhirnya sudah di dalam ruangan perawatan, dokter terkesan tidak mau menangani pasien dan berujung saya yang awalnya mau melakukan tambal gigi hanya ditambal bagian yang hitam disamping saja. Karena setau saya harusnya diperiksa seluruhnya ketika terdapat gigi menghitam karena akan ada indikasi berlubang didalam atau rusak didalam."
septia kusuma lestari,5 bintang,Puskesmas Ter ramah dan terbaik kalau pelayanan🥰. Sangat detail waktu menjelaskan dan Tidak pelit ilmu. Apalagi Bidan dan dokter KIA nya sangat pinter semuanyaa😍 …
Muflih,1 bintang,"permisi saya sebagai rakyat biasa minta untuk konpensasi/tanggung jawab terhadap pihak  puskesmas terkait ibu saya yang terkena besi lemari dan sekarang kondisi ibu saya memar dan lemas dan direktur/manajer yang pernah telpon saya katanya 2 hari kedepann ada dokter yang mengunjungi dan memeriksa, saya tungguin tidak ada dirumah, bilangnya datang puskesmas uda sakit”an iya benar tapi tidak memar, dan dari puskesmasnya bilang kalo masih sakit datang je puskesmas lagi aja laah dari pihak puskesmas ga ada tanggungjawab? anaknya kerja semua orang tua saya cuma satu, saran saja kalo emang ada rusak barangnya segera diperbaiki biar tidak ada korban yang kena lagi
2 hari lalu saya nulis google rivew disuruh hapus sama kepala puskesmas saya kira sudah di tindak lanjuti ternyata tidak ada pergerakan"
Abi ravi Hibatur rachman,1 bintang,Pelayanan bagus tapi sayang bagian farmasi lama sekali masak nunggu obat sampai 2 jam lebih ☹️☹️☹️ tolong di perbaiki ini bagian farmasi nya ❗❗❗
Nur Azizah,2 bintang,"pelayanan biasa saja, petugas juga gak komunikatif, gak ada senyum juga, dokter lumayan lah, kalo ga karena ngurus surat muales saya ke puskesmas, pelayanan nya selalu kayak gini"
Bal gaming,1 bintang,"Butuh perluasan lahan agar fasilitas bisa lengkap.
Untuk fasilitas Lab tidak ada buat cek tifus sama DB.
Dokter kurang profesional"
Elvina Berlyn,5 bintang,Pelayanan nya sangat ramah sekali.. poli gigi penangan.nya sangat memuaskan..
Adinda putri,5 bintang,"Terimakasih untuk poli KIA tgl 23.11.23
Bidannya ramah, sangat mengedukasi ke pasien.
Kontrol setiap bulan selalu ke jeruk dan sekarang Alhamdulillah mau melahirkan.
Bidannya juga menyarankan lahiran yang bagus itu dimana, jadi kita ga perlu bingung lagi mau cari tempat untuk melahirkan."
aris bsant,5 bintang,"Sabtu, 13-01-24. Barusan antar lansia 78 th. Pakai kursi roda. Antrian full. Alhamdulillah pelayanan sangat cepat. Dokter dan tim sabar, dan profesional. Jaga kualitas.."
ameydys,1 bintang,"Pelayanan poli KiA buruk
Datang pagi petugas masih makan.. Tiap datang juga gak di USG padahal mereka juga Usg nanti Di dokumentasi diklaimkan Bpjs... Mukanya mecucu semua... Nyalahin pasien kenapa gak di kasih obat, padahal mereka yang tau Rekam medis kita, aneh kan, minta tolong bu/pak kalau kerja yang niat, orang sakit bukan disembuhin malah diomelin"
Reno Adyanta,5 bintang,Alhamduliilah..pelayanan baik...berat naik banyak jg dibedukasi tdk boleh banyak karbohidrat. ada resiko preeklamsi..makasih ibu bidan atas penjelasannya
Iboe A.K.A.M,1 bintang,"Pelayanan buruk, ibu saya sedang sakit mengurus ke aktifan KIS eh... kok malah di bulet²no ndak kya di puskesmas kelurahan sebelah, tolonglah dibantu"
ajeng wisnu,1 bintang,pelayanan sangat lamban. banyak pegawai mondar mandir tapi antrian lama sekali pdhl pasiennya sedikit. sangat sangat mengecewakan !!!
Rahma Hartono,5 bintang,Drg. Assegaf baik bangetttt... Nembel giginya awet sampe 6 bulan lebih !!!!
Asmy Sylviaranny Sanjaya,1 bintang,"PARAH BANGET, BARUSAN PUKUL 07.30 WIB. Dari awal saya datang mereka sudah sibuk mempersiapkan foto2 karena lebaran. Di no antrian kan 07.30-07.45. kemudian orang cowo di bagian pelayanan antrian menjelaskan untuk masalah poli gigi. Saya masih bertanya2 untuk informasi lebih lanjut, tapi teman2 nakes memanggil orang cowo bagian pelayanan untuk segera bergabung foto!!!! MAKANYA PENILAIAN 3, KARENA PELAYANAN MEMANG BURUK, MENDAHULUKAN KEPENTINGAN PRIBADI!!!"
rosalia indah,1 bintang,"Datang Hari Jumat, Jam 11 kurang ditolak. Alesan mau lomba, yang satu mengijikan, yang satu tetep menolak daftar. Alesannya sebelum sy datang, ada juga pasien yg ditolak. endingnya sy tetap ditolak juga padahal cabut gigi anak tidak ada 5 menit. Mohon2 pun gk digubris, padahal sy tanya tutupnya setengah 12. Tapi kenapa menolak pasien. Kerja pelayanan seharusnya melayani, bukan semaunya sendiri. Terima kasih pelayanan buruknya. Semoga kalian tidak pernah dipersulit orang lain."
Annisa Nur aidha,5 bintang,"Pelayanannya sangat memuaskan,, jika saya Periksa selalu mendapat  penjelasan, arahan petunjuk dari Bu Bidan👍👍👍 …"
Diana Putri,5 bintang,"Poli KIA puskesmas jeruk is the best. Bidan ramah, pelayanan baik, selalu sabar menangani pasien dan selalu memberi solusi yg baik ❤"
Faisal Ariandi Saputra,2 bintang,"Saya merasa kecewa dengn pelayananya bagaimana bisa kita sakit periksa ke puksemas tapi obat disuruh beli sendiri dengan alasan habis kalau 1 atau 2 kali gpp ini sudah 5x lebih bahkan saya pernah cuma dapat 1 jenis obat sisanya disuruh beli sendiri, walaupun kita termasuk pasien yang memakai bpjs dari perusahaan tapi kita bayar tiap bulan bukan gratis atau minta-minta dan kita juga gak selalu sakit setiap hari semoga kalian pegawai pukesmas jeruk bisa di beri hidayah dan diingatkan akan tugas dan tanggung jawab kalian....
Alhamdulillah sekarang sudah bisa pindah ke klinik 🤲🤲🤲🤲🤲"
reezkia paramita,5 bintang,Trima kasih puskesmas jeruk.. Pelayanan nya prima.. Mulai dari loket cepet dan baik. Poli gigi nya bagus.. Perawat giginya ramah.. Dr gigi nya juga baik dan telaten dengan anak kecil.. Trima kasih sudah merawat gigi anak saya.. Trima kasih puskesmas jeruk...
miralda yessa bella,5 bintang,"Puskesmasnya cukup bersih, ada layar yang menunjukkan nomor antrian."
Edwin Yulio Prayogo,5 bintang,Pelayanan sangat ramah san sabar menangani kontrol kehamilan istri saya 👍👍👍 …
David Nurhidayat,5 bintang,"konsultasi kandungan cukup jelas, bidan dan staffnya ramah ramah, bidan memaparkan edukasi yg lengkap dan jelas"
Fila Maulana,5 bintang,"Puskesmas dengan pelayanan terbaik, para pegawainya yg ramah dan cekatan.."
MARIA EMMERENCIANA,5 bintang,Pelayanan di puskesmas jeruk sangat baik sekali...baru pagi kami sekeluarga datang untuk pemeriksaan gigi ..dan semua tertangani dgn baik sekali... Terima kasih dokter dan seluruh staff puskesmas jeruk
Aulia Rahmawati,5 bintang,"Penanganan Gigi cepat dan bagus, dokternya ramah"
Banafsha Fansori,2 bintang,"Pelayanan buruk saya dtg pukul 8 dpet antrian nomer 1 tp nunggu smpe 2 jam ga d panggil "" Malah antrian belakang yg di panggil duluan.. Lalu saya brtnya kepada mas yg bagian ambil antrian knpa saya gak d panggil"" Pdhal saya antrian pertama kok malah yg di blakang itu d suruh masuk semua trus mas""nya nanya sama bidan yg di dalem ruangan malah di marahi yg lebih sakit lagi itu bidan teriak"" Sama masnya kalo ga mau nunggu suruh pulang aja!!!besok biar kesini lagi gimana gak sakit hati saya uda d sabar""in smpe berjam"" Malah suruh pulang itupun triak""nya di dalem ruangan... Mana ga sesuai antrian kapok deh ga lagi"" .... Maaf ya saya sakit hati bgt sma bidan di KIA yg melayani sy kmren. Untuk nakes lainnya semua ramah dan baik kecuali yg nanganin sya kmren semoga lain kali bisa sedikit ramah ke pasien... 🙏🙏"
Diva Dibyo,1 bintang,Lemot pelayanannya apalagi laboraturiumnya enakan ditinggal makan masak gak ada orang nunggu hasil sampe 1jam pegawai gitu harusnya dkasih kompensasi😬 judes pula diruang labnya. …
Charryl Zahra Dinantie,1 bintang,"vaksin booster 1 dari hari rabu tggl 1 maret smpe skrg di peduli lindungi sertifikat belum muncul pdhl untuk keperluan pekerjaan , dan tidak di kasih kertas keterangan sudah di vaksin , lalu tau drmn klo sy sudah di vaksin booster 1? sudah cht tp ttp tidak ad kemajuan."
Hendra Saktiyasa,5 bintang,"Urus surat keterangan sehat pra menikah. Pelayanan cepat ga sampai sejam, bisa pakai bpjs 👍 …"
Ika Racma,5 bintang,"Masya Allah pelayanannya sangat baik
Saya & Anak2 saya selalu berobat disini
dari Pendaftaran smpe dokter enak smw"
Qory Masasya,5 bintang,"pelayanan bagus sekali, petugas ramah+sopan, pertahankan"
Arif Syafi'ur Rochman,5 bintang,"Pelayanan sangat baik, sgt bersih, sistem antrian digital sgt bagus, shgg pasien tidak bingung dgn instruksi2 nya, nice.."
Dina Hanimun,5 bintang,Ramah skali petugas loketnya waktu sore. Smoga dipertahanin
Amelia perthiwi,5 bintang,"Pelayanan baik cepat di puskesmas jeruk. sblm kesini liat review ulasan, kok jelek2. pas saya dateng langsung ke puskesmas jeruk pelayanan baik sekali seriusan. bpjs saya akan pindahkan ke faskes 1 puskesmas jeruk setelah ini dibanding di puskesmas lidah kulon judes2 orangnya. setelah melihat pelayanannya. terima kasih puskesmas jeruk :)"
Dodong songko,1 bintang,"Ini yang buruk puskesmas atau hanya oknum ? atau memang kenyataan nya seperti itu

Anak saya ( bayi ) sudah di beri Hepatitis dari RS
Mau di kasih lagi dari Puskesmas ( bag KIA )
Minta bukti , sudah di kasih tidak percaya
apa ya harus di sambungkan ke Dr nya langsung atau RS nya

Tolonglah jangan mempersulit"
ibnu abdul ghani,1 bintang,"Saya periksakan istri saya di poli KIA ternyata ada jadwal periksa sendiri di puskesmas jeruk.
Saya baru tau kalau poli KIA puskesmas ada jadwal periksa.
Akhirnya pergi ke puskesmas lidah kulon alhamdulillah bisa di periksa disini.
Mohon diperbaiki lagi pelayanannya demi masyarakat bisa mendapatkan pelayanan yg maksimal"
azinas 179,5 bintang,"Pelayanan lumayan cuman stock obat sering kosong, cek ke lab hasilnya tdk akurat,,,,klo kita minta surat rujukan ke rumah sakit susah banget banyak alasan,,,,pindah faskes"
Ratu Viona Nisa,5 bintang,Puskesmas jeruk sekarang sudah ada USGnya lho...bidannya juga ramah dan baik. Bisa konsultasi dan sangat jelas dalam memberikan informasi. Terima kasih PKM jeruk semoga tambah baik layanannya
Melina Kurniawan,1 bintang,"Petugas tidak konsisten! PRT saya alamat KTP di NTT hari minggu bisa vaksin. Supir saya alamat KTP kediri hari rabu vaksin dimintai surat domisili. Keduanya sudah dftr & menerima undangan melalui sms & sudah daftar via halodoc.
Antrian via halodoc & umum jg tidak dipisahkan. Antrian juga tdk menjaga jarak aman. Banyak yg lepas masker. Petugas hanya diam saja & tdk menegur.
Jangn sampai ada kluster bru krn vaksin"
Sekar Cahaya,2 bintang,"Pelayanan lamaa.....bilangnya dokter cm 1,biasa dokter normal aja pelayanan jg lama.apalagi cm 1 tolong donk pelayanan ditingkatkan..."
Muslikan Adiono,5 bintang,"Sekarang pelayanan sudah sesuai nomor antrian,jika melewati estimasi wktu antrian akan hangus dan ambil no.antrian lagi,,siip semakin bagus pelayanan saya suka lebih adil..."
Trunks,1 bintang,"Puskesmas jeruk dalam hal pelayanan kesehatan dokter okta divisi pelayanan umum sangat tidak nyaman dan gegas nada tinggi...apakah benar saya yang ber-KTP surabaya sudah tidak bisa periksa kesehatan di puskesmas jeruk, padahal sebelumnya saya sudah pernah periksa itu bisa, apakah ini memang sdh dari kebijakan puskesmas jeruk seperti itukah....ato hanya dr pak okta sendiri yg membuat kebijakan sendiri, sungguh saya sangat kecewa. Dalam hal ini saya akan mengadukan ke LAPOR ke pemerintah."
Tarry Silvia,1 bintang,"Untuk pelayanan semua saya akui bagus, untuk bagian lab kenapa orang nya gitu ya masak saya ga tau caranya ga di kasih tau tapi saya di marah2 i, lah kalo ga niat melayani saya bilang gpp saya bisa cek lab di tempat lain yang pelayanan nya lebih ramah, hati2 aja buat pasien2 lain nya"
Dinar Malau,1 bintang,"Umur saya 51 thn
Mata saya bermasalah utk membaca dan melihat kurang jelas...saya dtg berobat ke puskesmas jeruk...sy bener bener sgt kecewa dgn pelayanan nya  dmn terlalu mbulet ..hanya minta rujukan sj susah banget byk pertanyaan sy ditanya min brp... Gmn sy tau min nya brp... ???
Sy baru periksa mata"
Anto Lakrs,1 bintang,Pokonya sangat jelek.. Minta apa2 di belit2.. Ingat gaji kalian dari kami.. Semoga kedepannya puskesmas ganti semua karyawan yang lebih baik lagi.. Tolong perbaiki para pekerja nya
Ekaputri Ade,1 bintang,Uda antri hampir satu jam buat ngurus surat sehat.  Sempet di data juga sama petugas. Sempet dipanggil buat ukur tinggi badan sama BB. Abis itu disuruh nunggu lagi.  Tiba2 ada petugas lain (ibu2) yg menghampiri saya dan bilang klo ngurus surat sehat gak bisa siang hari harus dateng pagi.  Klo memang seperti itu knp gak dikasih tau dri awal waktu saya daftar.  Tau gitu saya gak antri.  Sangat mengecewakan
Newi Awi,5 bintang,"Pelayanan sangat memuaskan, dokter giginya juga baik"
Adi FAMILLYS,5 bintang,"Saya bingung liat penilaian puskesmas ini kenapa kok jelek padahal pelayanannya ramah,petugas tanggap,dan gerak cepat saat saya bingung mau kemana selalu diarahkan dan petugasnya sama sekali ga cuek..lanjutkan pelayanan sudah bagus,terimakasih😊 …"
acaa,5 bintang,"sangat puas dengan hasil gigi palsunya,dokternya sangat ramah,pelayananya sangat cepat😍😍😘😘 …"
Dadang Triadi,5 bintang,Pelayanan bagus. Cuman untuk ke depannya kursi panjangnya di rapikan dan jaraknya agak longgaran biar tidak terasa sempit untuk duduk selain kursi tolong speakernya segera diperbaiki supaya saat panggilan urutan pasien terdengar sangat jelas.
Anto Lakrs,1 bintang,"Pelayanan nya sangat jelek.. Penasaran nya lama..
Pekerja nya sangat kurang baik..
Ganti semua pekerja yang lebih layak buat masyarakat"
Ayu Eka,1 bintang,R kasir/pendaftaran orangnya cuekk banget. waktu saya datang keterangan di papannya semua petugas ADA tpi saya disuruh nunggu karena yg jaga bukan putugasnya. petugasnya ada 1 orang yg masih di Ruangan cuma seakan acuh tak acuh. Sama sama kerja di bidang pelayanan jujur saya sangat kecewa . Customer/pasien harus di penuhi hak hak nya sebaliknya pemberi layanan harus menjalankan kewajibannya.
Supinah Supinah,5 bintang,"Saya sangat puas dengan pelayanan poli gigi, dokternya nyaman👍👍👍 …"
ade setyawan,5 bintang,"Pelayanannya bagus, orang2nya juga baik"
Luth Yana,1 bintang,"Petugasnya mulai dr satpam, petugas administrasi & perawatnya jahat2, gk ramah blas,  masak kita cuma tanya aja mengenai vaksin karna kita memang tdk tahu, tp mereka acuh tak acuh"
Yayan Kurniyanto,1 bintang,"Tanggal 9 mei 2018
Niat berobat karena anak demam
Ternyata dokter cuman 1
Pelayanan lama, tidak ada antisipasi saat kondisi seperti ini, antrian 10 orang bisa 3-4jam

Kurang cekatan, gak ada himbauan dari pihak puskesmas kalo dokter cuman 1"
Koi San,5 bintang,"Saya KTP surabaya periksa ke poli umum, petugas baik dan ramah pelayanan juga cukup cepat dan tidak ada biaya (gratis)"
Lovy Moon,5 bintang,Saya sangat terbantu dengan pelayanan nya. Petugasnya ramah dan baik.. Saya di jelaskan sampai saya mengerti.. Terima kasih
Masruri Hamzah,5 bintang,Pelayanan ramah dan sangat baik 😊😊 …
Eti 05,5 bintang,"Pelayanan puskesmas sangat baik staffnya semua baik ,pengalaman poli kia dan laboratorium  kasir serta reseptionistnya juga malah sama kasir yang ngasih tau langkah langkahnya. Untuk dokter umumnya saya kurang puas tapi untuk poli kia ,laboratorium dan kasir saya sangat puas dengan pelayanan anda."
Jo,1 bintang,"Playanannya kacauu.....boro2 ditangani buru2 pulang aja bisanya tapi buka puskesmasnya telat pulangnya ontime
Ditangani kagak dikasih solusi kagak pelayanan sepenuh hati apa beda2in BPJS sama umum...kecewa banget semoga disidak sama pimpinan nya"
Jonatan L,1 bintang,"Petugas tidak konsisten dan pilih pilih, buka molor, pelayanan lama. Tidak ramah dan terkesan ogah-ogahan dalam melayani. Perlu banyak perbaikan"
Isabella Devichi Wibowo,5 bintang,"Pelayanannya lumayan kok, walaupun memang ngga begitu ramah tapi ngga judes kok, cepet juga penanganannya."
MARINI AGUSTINA,4 bintang,Untuk rujukan sendiri g ribet tp pelayanan maaf agak lama nunggunya
BJ,5 bintang,"Saya butuh informasi tentang Vaksinasi ke 2 sinovac dipuskesmas jeruk ini, karena vaksin 1 disini.no telpon yang ada di web saya coba berkali-kali tidak ada yang angkat.Salam Sehaat"
Ayu Tri,5 bintang,"Sangat puas, pelayanannya juga cepat, dokternya juara 👍👍👍 …"
Bayu Frendi,5 bintang,Pelayananya sangat memuaskan
Albyna Media Project,1 bintang,"Petugas sering datang telat dan antrian tidak sesuai online , diserobot orang yang kenal"
Lilik qomariyah,5 bintang,pelayanan nya memuaskan apa lagi ibu perawat yg pakai kaca mata super ramah dan baik
Ardika Dwi,5 bintang,Pelayanan bagus. Lek apene nge rate kiro2 rek. Wes di kek i fasilitas murah ambek negoro malah di elek2no. Mikiro
Rihanto Rihanto,5 bintang,"Pelayanan baik,Lansia disini dapat penanganan yg cepat dan ramah terimakasih☺️"
Ikha Ika,1 bintang,Minggu lalu sy berobat kesini fan tanya soal vaksin ternyata tidak melayani yg pakai domisili padahal di puskemas sby boleh pakai domidili
Winda Susanti,1 bintang,Saya sangat kecewa pelayanan nya ..saya tanya baik2 ..jawab nya kasar ...bagian penerimaan depan...
Saenarno,5 bintang,"Dokternya Ramah, pelayanan sangat baik,
Recommended
Tks .puskes jeruk"
Ardhita Pramesti,5 bintang,"dokter nya baik, pelayanan memuaskan"
Azizah Bae,3 bintang,"Pelayanan dokternya bagus
Cuma kecewa dibagian labnya yg lama sekali"
rizal kurniawan,5 bintang,Pelayanannya bagus petugas ramah dan baik..suka sekali
Elza Nawang Sary,1 bintang,Pelayanan sangat sangat sangat lambat apalagi poli KIA
Moch Surya Dwi Laksana,2 bintang,Sak jane tutup e jam piro? Takok ae. Keterangn e smpk jm 17.00 jm 12 lebih sak crit wes dipecuconi.
linda wahyu,5 bintang,"Pelayanan ramah, lengkap, semua baik."
Kian Ayu,5 bintang,Bundaku kerja disitu namanya bu murni bundaku lucu dan ramah ❤❤
Yuli Puji,1 bintang,Pelayanan laboratorium lama sangat ...
