reviewer_name,rating,review_text
Aprilia Dewi,5 bintang,puskesmasnya bersih dan luas. first time kesini pelayanannya ramah2 banget baik itu resepsionis maupun bagian farmasinya. mantap banget lanjutkann
Rahmah A N,3 bintang,"Antrian untuk vaksin dan berobat beda. Puskesmas selalu ramai orang vaksin dan berobat. Untuk yang berobat diharapkan memang datang pagi, registrasi ke bagian resepsionis, agak lama karena hanya satu orang.
Untuk hari sabtu buka setengah hari. Tersedia berbagai poli salah satunya psikiater dan poli kesehatan tradisional."
Trimo Wijaya,1 bintang,Beberapa Dokter Umum kelamin Wanita khususnya sepertinya butuh di therapi mental dan psikiater agar jauh lebih punya manners dalam hal melayani Masyarakat...Semoga lekas membaik dan terus punya komitmen apa yang pemerintah tugaskan
Umi Nadhifah,2 bintang,"Antrian KIA ga jelas, kadang di cek sesuai antrian, kadang di cek siapa yg datang duluan. Tolong pelayanan lebih ditingkatkan lagi"
Marmut -,5 bintang,"Puskesmas jaman sekarang sdh tdk seperti dulu. Kalau dulu malas ke puskesmas, kalau sekarang justru lbh enak ke puskesmas.
Sekarang tempatnya sudah bagus dan bersih. Hanya saja dari segi SDM masih harus terus dibenahi dan ditambah jumlah. Agar tidak ada lagi petugas yang jutek, menjelaskan ala kadarnya ( mungkin capek karena berjaga sendirian ).
Waktu saya ke sana utk imunisasi bayi, petugas ok. Awalnya saya clinguk², petugas di pengambilan nomor antrian lgsg tanggap bertanya ""ada bisa dibantu Bu?""
Petugas di meja pendaftaran juga lumayan ok, diberitahu ttg program JKS (walaupun awalnya agak sedikit jutek).
Lalu masuk di poli anak, petugasnya juga ok. Waktu saya minta vit A utk anak² saya juga mereka melayani dgn baik.
So far pelayanannya sudah baik, prokes juga diterapkan dengan ketat. Tetapi bisa lebih ditingkat lagi supaya tambah bagus lagi 👍🏻😊"
Aisyah Amelia,5 bintang,"Tempatnya strategis
Ruangannya juga lengkap
Poli umum, poli gigi, poli anak, dan lansia ada. Ada pojok menyusui juga
Pelayanannya juga bagus meskipun agak bingung waktu pertamakali
Sebelum puskesmas dibuka (asli jam 8, tapi jam 7 atau setengah 8 suda dibuka pendaftaran karena banyak pasien yang datang lebih awal) yang antri sudah pada banyak jadi kadang nunggunya lama
Saran bisa pesan online ada aplikasinya kok bisa booking kapan dan bisa jadi dapat nomor antrian lebih awal. Jamnya juga dicantumkan kok
Sehat selalu :)"
anisa salsabila,5 bintang,"sangat bersih dan tertata untuk ruang tunggu dan perawatannya, pelayanannya juga cepat, mantap pokoknya👍🏻 …"
Putri Anggun,5 bintang,Sekarang Uda bagus banget Uda ada AC dan minuman gratis
Lianna Lujiyanto,1 bintang,"Dokternya ketus kurang ramah, minta surat keterangan sakit karena di beri surat keterangan berobat.. Padahal, di tempat saya kerja hanya perlu surat keterangan sakit agar tidak di potong gaji per hari. Sempat eyel-eyelan. .. Akhirnya, si dokter mau memberi dgn catatan lain kali tidak boleh... Sakit baik ringan atau gak, ke puskesmas utk berobat tp kalo sakit, knp gak boleh minta surat keterangan sakit?... Kalo cuma surat keterangan berobat dan tetap di potong gaji oleh perusahaan knp saya perlu berobat ke puskesmas... Mending tidur saja di rumah... Mengecewakan banget..."
Mashita Shabri Mardiatna,5 bintang,"puskesmasnya bagus, bersih, petugasnya ramah"
Alfira Putriana,5 bintang,"Tempat bersih, nyaman, bagus, dan pelayanan juga oke banget✨️✨️✨️"
Yuni Hapsari,4 bintang,"Puskesmas kalijudan surabaya, petugas ramah dan sangat membantu. Proses antrian sesuai dengan no antrian. Bisa ambil antrian online. Petugas kesehatannya juga ramah dan sangat membantu. Puskesmas bersih dan terawat."
Karina Abelia Afnaini,5 bintang,pelayanan ramah terbaik
Elya Zulfa Assegaf,1 bintang,Dokter nya tidak ramah sama sekali buat trauma anak
27 . Margovio,5 bintang,"Sudah mantap, pelayanan cepat dan staff sabar"
On Ly (Only),1 bintang,"Tolong tingkatkan pelayanan receptionis,, masa pasien datang siang tidak boleh katanya ""jangan datang siang*"" pas datang pagi pelayanan belum ada terus kalo pasiennya kondisi bekerja atau sekolah gimana ? datangnya sewaktu waktu tidak mau melayani ? Satu hal lagi, mau pakai UMUM atau BPJS tergantung pasien, meskipun punya BPJS bukan faskes nya kalo pasien tidak mau pake BPJSnya mau nya pakai UMUM jangan dipaksa keluarin BPJS nya dong padahal pasien sdh sangat mengetahui kalo BPJS faskesnya cuma sekali 2 kali tapi tetap aja diminta.. akhirnya gak dapat pelayanan yg baik malah diomelin gara gara faskesnya beda kan pasien nya sdh tdk mau pakai BPJS nya karena tau faskesnya beda!"
Donovan Sugiharto,5 bintang,"Pelayanan sangat ramah, bermutu, dan berkualitas"
Sabila R,5 bintang,puskesmasnya bagus bersih besar🥰 musholla nyaman …
Dian Putri Pertiwi,3 bintang,"bersih, cuma lama sekali pelayanannya 😂😂 berasa kyg nonton Film.. 2jam cm buat nunggu di tindak …"
Devi Jhwibi,4 bintang,"Overall oke, tapi tolong ibu dokternya jangan buru2 kalo nanya dan meriksa. Jadi kita yang harusnya mau ngeluh ini itu dan mau tanya banyak tentang sakit jadinya terbatasi soalnya seperti sangat terburu2. sudah itu aja yg harus diperbaiki."
Ganang Aditama,5 bintang,"Very good puskesmas, saya bisa bilang puskesmas yang sudah jadi macam rumah sakit, lengkap banget apa apa ada."
Dwi Setyani,1 bintang,"Puskesmas nya bagus ,pelayananya jg baik tp tolong ibu dan Bpk dokternya jangan sombong dan ketus ,terutama dokter yg perempuan klo melayani pasien, mintak surat keterangan sakit aja g sopan klo ngasihnya"
M. yazer Alfarizie,5 bintang,"Terima kasih banyak team Puskesmas Kalijudan, Pelayanan Luar Biasa 🙏🙏🙏 …"
