reviewer_name,rating,review_text
Sarimi 123,1 bintang,"Pelayanan minus, udah daftar lewat online, datang ke puskesmas seperti biasa cetak ulang nomor antrian trus konfirmasi ke pihak sana katanya langsung aja antri, udah nunggu sampe antrian terakhir tapi aneh kok ga di panggil2, akhirnya tanya lagi, dengan entengnya bilang udah ga bisa, nunggu habis lebaran baru bisa di tangani.
Ya kali udah sakit gigi, antri lama, di suruh nunggu lagi habis lebaran. Bayangin aja deh, lebaran sambil nahan sakit gigi gitu? Sebelumnya udah usaha sendiri buat nyembuhin lewat obat, ternyata masih belom sembuh2, makanya ke puskesmas.

Sebenernya ini udah uneg2 yang kesekian kalinya. Pelayanan selalu kurang memuaskan
Yang penangannya kurang, tidak ramah dan lama. Mohon di perbaiki"
Ervan Siswanto,3 bintang,"Sekarang tidak ada tempat bermain buat anak-anak..
Kasih tempat bermainnya lagi dong."
Samsul Yulianto,1 bintang,"dokter poli anaknya kurang ramah terhadap pasien. minta surat rujukan balik aja di persulit, padahal sudah dapat surat dari rumah sakit yang di tuju ke poli anak respirologi

meskipun kita pengguna bpjs , tolonglah terapkan sila ke 2 dan sila ke 5. kalau gak bisa pancasila kembalilah ke sekolah dasar biar di ajarkan tentang pancasila !

Semoga aja dikunjungi pak walikota /viral e100"
Eka Wulandari,1 bintang,Pelayanan KIA sumpah jelek banget no antrian yg udah kelewat langsung di panggil walau orangnya belom datang ini yg nunggu antrian selanjutnya harus nunggu terus mungkin kalau yg sakit parah udah kejang
Ama,1 bintang,"udh antrinya lama bgt, diagnosisnya ngawur, masa cuma ditanya tanya aj tanpa pemeriksaan"
Mochamad arga firmanda,1 bintang,"Poli gigi nomor urut dengar jamnya sangat tidak akurat, OVER 1 jam lebih."
Anisa Rahma,2 bintang,"Baru tau kalau dpt rujukan dari puskesmas lain karna laboratorium faskes awal rusak harus bayar karna beda faskes walau pasien BPJS,"
Dhean Dikky,5 bintang,Petugasnya ramah saya datang siang aja ttp di layani tidak seperti puskesmas mojo. Good job 👍 …
An Nasir,5 bintang,"Terima kasih sudah merespon tentang keluhan saya tentang bpjs bisa di pakai di luar kota . dan saya lega ternyata 3 kali dalam satu bulan bulan selanjutnya dapat kesempatan 3 kesempatan lagi..

(Bukan 3 kali di hitung dalam selamanya) semoga dokter dan karyawan semuanya di beri murah rezeki dan kesehatan)"
canthing bulafa,5 bintang,"saya punya keluhan pundak sampe leher tegang dan kaku, sudah 2 hari rasanya ga bisa dibuat aktivitas bahkan bangun tidur sakit. Terus coba akupuntur di poli batra banyak banget berkurangnya.. pundak dan leher yang bgian kanan (area paling sakit) berkurang banget nyerinya.

Pelayanan staf batranya ramah dan informatif jadi yang pertamakali akupunturpun ga takut dan bisa dapat perawatan yang maksimal✨🙌"
Tedja Aditjawardana,5 bintang,"Antar check up dpt antrian 143 di poli umum , datang pkl 10 siang dilayani pkl 12.20. Ga tau dah ini termasuk lama ato sebentar nunggunya."
Firda Savitri,1 bintang,"Demi Allah pelayanan catin yang dzolim, hari ini tanggal  5 Agustus 2023, saya periksa catin di Kia dan laboratorium, lalu hasilnya di tahan sampai tanggal 16 agustus 2023, katanya tgl 16 saya harus kembali ke puskesmas untuk ikut kelas catin secara offline dan mengambil hasilnya, padahal sy sdh bilang kalau sy sdh daftar zoom catin, katanya ini berbeda lagi di puskesmas ini ada kelas catin lagi dan semua catin harus ikut, nanti baru hasilnya keluar dan di berikan, yaAllah kalau kerja bagaimana harus izin bolak balik kah? Lalu calon saya ber KTP malang dan kerja di malang katanya harus ikut, lalu sy bilang kalau kerja, dijawab yaudah perwakilan mbak nya saja buat ikut kelas catin dan mengambil hasilnya. Padahal pemerintah tidak seperti itu prosedur nya hanya ada kelas catin dari puspaga itupun bisa online. Mau nikah kok ribet bgt ya, sedangkan sy tanya di puskesmas lain tdk ada prosedur seperti itu"
achmad maulana fachri,1 bintang,"Dokter umumnya sangat menyepelekan penyakit pasien,saya datang cuman ditanya""tanpa pemeriksaan sama sekali lalu langsung disuruh ambil obat!!!"
Mochamad As'ari,1 bintang,"Antrian sudah tertata rapi..

Namun saya sangat kecewa dengan dokter umum dan dokter giginya.

Dokter umumnya asal2an mendiagnosis penyakit, tidak seperti klinik yang serius kalau mendiagnosis penyakit.

Di puskesmas kalirungkut tangan saya kesemutan, dibilang saya kena darah tinggi, lalu dikasih obat, seminggu kemudian tidak ada perubahan.

Minggu depan saya kesana lagi, dibilang saya kena kolestrol, lalu dikasih obat, seminggu kemudian tetap tidak ada perubahan.

Padahal dokter sudah saya kasih kisi2 riwayat aktivitas saya agar dijadikan bahan pertimbangan diagnosis.

Malah diagnosisnya selalu hipertensi dan kolestrol.

SANGAT TIDAK AKURAT

Saya obati sendiri dengan penjelasan ahli yang lain, bukan dari puskesmas kalirungkut, akhirnya saya sembuh tanpa obat hipertensi dan obat kolestrol.

Terimakasih puskesmas kalirungkut,
Mohon dokter di Puskesmas Kalirungkut tidak meremehkan penyakit pasien."
مَرْضَاةِ اللَّهِ,5 bintang,"Pelayanannya sangat cepat, dan sesuai dengan prosedur. Setiap keluhan langsung didengar dan diberikan arahan yang sesuai. Semoga makin maju untuk puskesmas rungkut"
Aksatria Arya Alqabri,5 bintang,"Semua Poli di puskesmas kalirungkut Pelayanannya bagus. Bu bidan di KIA baik2, ramah, dokter lily poli spesialis gigi juga sabar banget. Terimakasi yaa"
EssenNca ID,1 bintang,"Tempatnya kurang bersih, mungkin se sebagian orang bakal bilang jorok. Pelayanan lama, entah sistem atau orangnya, antri lama makan waktu 2 hari katanya minim 12org, tp hari kedua ngantri ada beberapa orang yg kemarinnya gak ada baru isi data diri udah selesai divaksin. 2x vaksin di sini sertifikat vaksin update nya selalu lama,  yg prtama 6bulan baru update setelah saya komplain (yg prtama pelayanan masih okelah), yg kedua disuruh kontak kemenkes. Puskesmas lain di Surabaya gak begini."
Yusuf Ilmi,2 bintang,Jam operasional nya kl sabtu sampai jam 12 siang
Sumarmi Oke,5 bintang,"Sudah baik pelayanan baik, bidannya sabar, drnya jg sabar""dan bagus semua."
Anaya Rias Hijab,1 bintang,"Saya sangat jijik liat toiletnya disaat sy disuruh tes lab urine yg memerlukan tempat toilet. Tp fasilitas toiletnya sangat jorok, klosetnya masih ada BAB nya, air tidak nyala sama sekali. Kembali ke ruang lab utk menanyakan tempat toilet lain, jawabnya cuman itu saja, ditanya airnya tdk menyala disuruhnya ambil air di kran di luar..
Memang klo buang BAK cukup segayung saja?!! Sumpah sangat jorok sekali. Untung rumah saya dekat dari puskesmas, sy memilih pulang sambil bawa tempat sampel labnya, dan kembali utk mengembalikan, bgmn dg pasien yg lain, haduhhhhh..sangat kacau dan tangan2 mereka juga pasti terkontaminasi pegang gagang pintu toilet saja sdh brp byk org yg buang BAK disitu utk tes urine

Tolong bagian kebersihan atau manajemen puskesmas pantau lah tiap sudut.. jika tidak berfungsi toiletnya dikasih tulisan warning, ""tidak bisa digunakan"".

Mau saya foto tp pikir2 lagi krn kelewat jorok.
Tolong diperhatikan agar nama puskesmas kalirungkut menjadi baik"
Alief Taufiqurrohman,5 bintang,"Pelayanan cepat sebelum jadwal yang tertera di antrian sudah ditangani, untuk KIA tidak tahu untuk poli yang lain 😁 …"
Sophia 6969,2 bintang,Pelayanan nya kurang baik...tidak ada sopan nya sama pasien..kalau tidak kebutuhan imunisasi sebenere males banged...
Vendik M4ncung,1 bintang,"Ruang KIA lama Banget petugas nya kurang &  kebanyakan Ngobrol didalam ,,, nomor Antrean  panggilan Gak ada orangnya diem aja Lama Next nya, truszz klo kenal sama petugas nya langsung masuk tanpa nunggu Nomor Antrean.. Hemmmszzz"
Novi Cullen,1 bintang,"Poli KIA yg selalu gak sat set
Daftar online datang telat di marah marahi
Datang sesuai jam nunggu sampek satu setengah jam gak di panggil panggil.
Petugas harap lebih sat set.
Kita daftar online jauh² hari biar kerja gak telat."
Putri Ismail,1 bintang,Yg bagian pendaftaran mbaknya jgn judes2..d tanya baik2 jawabnya ketus..kalo buat yg lain bagus ya..cuma minus d bagian oendaftaran..
SUNGGOWO,1 bintang,"Pelayanan poli KIA yang sangat sangat tidak profesional .buat apa di buat sistem kalau ujung ujungnya tetep pelayanan tidak sesuai waktu
Di sistem tertera 07.50 sampai jam 9:30 belum juga dilayani. Kami juga punya urusan yang lain bukan hanya nunggu panggilan antrian ."
Intan Nabila,5 bintang,Pelayanannya bagusss. Hobi ke spesialis gigi wkwkwkwk. Makasi dr. Lili sm mba Tikaaa 🫶🏻 …
Miranda Yuka Parastika,5 bintang,"Puskesmas dengan pelayanan yang sangat baik! Cepat tanggap, fasilitas oke dan kebersihan pun oke. Sangat terbantu oleh puskesmas ini. Besttt! 👍🏻 …"
Rihana Leni1988,5 bintang,"Cukup baik untuk berobat dan imunisasi anak, tindik,KB dll.
Pelayanan memuaskan dan cukup bersih"
A T,5 bintang,"Pelayanan cepat, ramah.
Bikin surat keterangan sehat ga sampe 10 menit udah beres."
