reviewer_name,rating,review_text
Rafka Arsya,1 bintang,"Barusan 10 menit yang lalu suami saya ke puskesmas Kebonsari.....sudah gitu datanglah dokter nya tanya ada keluhan suami saya bilang ada panas,mual,pusing dokter nya sudah dikasih obat apa Paracetamol saja .lah kok di kasih obat yang dan lucu nya lagiii suami saya mau minta surat keterangan dokter buat ijin ke kantor ..jawaban iya kita bukan PELAYANAN lah terus kalau bukan PELAYANAN terus apa ????????
PELAYANAN SAYA TIDAK SUKA LAIN KALI TIDAK USAH BUKA UGD ...... KALAU MODEL PELAYANAN BEGITU"
Fahestine Putri Arianto -oteeeka-,1 bintang,"Saya hamil, mau screening lab. awalnya nama saya sudah dipanggil, dan sy sudah ditimbang. keeprluan saya datang juga sudah dicatat oleh petugas yg didepan. Dan menunggu info dipanggil utk masuk ke poli.

Kemudian antri sudah 2 jam tidak ada info sama sekali dr petugas.
sampai 2 kali bertanya kepada petugas, kok lama.. jawabannya ""TUNGGU DIPANGGIL BU""
sampai puskesmas hampir sepi, saya tanya lagi akhirnya diperbolehkan masuk ke poli.

tapi, didalam ditanya lagi ada perlu apa, kemudian saya jelaskan mau screening.
barulah disitu diinfo kl tdk bisa di hari itu karena ada jadwalnya sendiri.

saya hamil dan menunggu sudah 2 jam
seharusnya dari awal dinfokan jika memang bukan jadwalnya. sehingga tdk perlu saya DISURUH nunggu 2 jam. Saya juga tidak diam aja dalam menunggu, sudah 2 kali bertanya karena memang lama sekali tdk dipanggil.

barulah, disuruh masuk ketika sudah tanya yg ke 2.

Ya Allah tolonglah. pelayananan nya jgn seperti itu. walaupun pakai bpjs seharusnya tdk begitu. Terimakasig"
Ummi R ulfa,4 bintang,"Pelayanannya sangaat baik, tetapi kebersihannya kurang , dan kurang sirkulasi udara, semmoga segera diperbaiiki 🙏 …"
Andre Royal,1 bintang,"Pada hari Senin, 22 April sekira pkl. 10.53 WIB, Saya mengantar istri saya untuk USG, karena untuk kandungan istri saya sudah usia ±3 bulan

Saya kecewa untuk petugas kurang teliti, sehingga bolak balik ke kasir dan pendaftaran, setelah masuk ruang USG istri saya sudah bilang mau USG tapi malah di tekan - tekan perut istri saya oleh petugas magang, istri saya menyampaikan lagi bila mau USG, Kemudian petugas bilang, ow mau USG kah Bu.... nanti saya panggil lagi ya

Demikian saya sampaikan
Terimakasih"
Mixue Enak,4 bintang,"Pelayanan oleh dr. Kartika D. Sangatbaik dan ramah. Namun saya ingin memberikan masukan untuk puskesmas. Tolong permudah untuk mendapat surat sakit/berobat. Saya pasien, badan saya lemes banget waktu si puskesmas. Tapi sistem surat berobat berubah, dan membuat pasien bingung. Padahal tidak ada sosialisasi sama sekali. Alhasil saya bolak balik jalan dr resep ke ruang dokter. Badan udh lemes mau semaput tp sistem dibuat ribet. Kembalikan ke awal aja."
Mochamad Maulana Santoso,5 bintang,"Tempatx sekarang lebih bagus, pelayananx juga sudah bagus daripada yg dulu.
Saran kalau mau berobat kesini mending aambil antrian online (cari google untuk ambil antrian online di Surabaya) agar tidak terlalu lama menunggu di puskesmasx.
Ruang tunggu didalem penuh tapi msh bisa menunggu diluar bagi pengantar pasien.
Untuk parkir roda 2 lumayan luas tapi untuk parkir roda 4 terbilang sedikit, tapi ada jukir untuk mengarahkan parkirx.
Semoga pelayanan kedepanx lebih bagus lagi. 🙏😊"
Niggerson,1 bintang,Utk kesekian kalinya saya amat sgt kecewa dg pelayanan dr puskesmas kebonsari. Baik dr pendaftaran. Perawat yg bag tensi. Berikut juga dengan dokternya. Terutama dokter yg berhijsb panjang.. hijabnya aja yg panjang tapi tdk sesuai dg perilaku kata2 nya terhadap pasien. Saya sakit saya ingin tau apa penyakit saya. Sblm makin parah.. tp 2x kontrol saya kecewa bgt. Yg 1 perawat bag tensi mlh marahi saya blg yg sakit itu pikiran saya mo sm krn saya gendut. Saya blg saya gemuk krn saya sakit dan srg keluar msk rs. Tp apa pantes org sdh sakit di perlakukan spt itu. Bgt jg dg ibu dokter berhijab panjang.. saya mo semaput pas nunggu antrian.. giliran dpt dia mlh ngatain saua dg nada tinggi.. ibu ini kog sukanya ngaku2 sakit diavet. Ya Allah mana ada sih org happy punya penyakit . Diabet pula. Trs saya dikatain pikiran ibu yy sakiy. Trs aaya tanya kenapa saya suka mau semaput dipasar mlh srg semaput. Tau2 keringat dingin keluar sdh amblas sampai tau ambulan dipanggil ke pasar.hari ini saya minta anak saya rujukan utk kontrol krn saya hbs opname. Itupun saya byr dulu utk ke dokter spesialis penyakit dlm. Krn pake dr umum dg byr pun sauya blm sembuh. Lha kog anak saya dipersulit dimaki2 sm bag pendaftaran. Maksa aaya utk dtg. Andai saya ditangani tdk terlambat kondisi saya tdk makin drop spt saat ini. Beginikah pelayanan puskesmas sbg faakes 1 yg mlh mempersulit pasien utk kontrol? Puskeamaanya aha yg bgnannya bgs tp pelayanan parah
HENDRA PS,1 bintang,"Saya penderita anemia.
Tapi pas mau cek darah di puskesmas ini, dokternya yg laki-laki hitam ngambil sampel darah banyak banget, sampe tabung suntikannya penuh. Entah apa karena tidak sadar atau sadar, saya gak tahu. Ini ngambil sample darah apa donor darah ya?
Akibatnya, 2 hari ini saya lemas, bahkan beberapa kali saya hampir jatuh karena lemas setelah diambil darah banyak banget gitu.
Terus pelayanannya juga gak ramah, terutama resipsionisnya kalau ngomong sama orang nadanya bukan melayani, tapi meninggi marah-marah. Terutama yang jaga emmak-emmak. Ini rumah sakit apa terminal bis?

Tolong, semua yg kerja di puskesmas ini, layani pengunjung dengan benar. Kalian ini tugasnya melayani masyarakat, membuat masyarakat sehat, bukan menekan mental masyarakat supaya gak sembuh-sembuh."
Yuyun Mar'atus Sholekha,1 bintang,"Ya Allah aku hanya mencoba memberikan pengalaman saya di tahun 2022 akhir, saya penderita CML yang awalnya ditandai lebam2 di paha saya dan demam tinggi, saya coba periksa kesini memang faskes 1 saya, tapi pelayanan mba mba depan komputer depan sangat sangat buat hati saya hancur malu saat setelah saya konsul ke dokter dan meminta rujukan ke rumah sakit, saya disuruh ambil suratnya lagi di mba yang itu tadi, dan mba mba itu setelah baca surat yang uda di print tadi sambil teriak “mana yang herpes” dan itu sangat lantang, demi Allah dokter dan perawat di puskesmas ini sangat memandang sebelah mata pasien, dikira saya ini terserang penyakit herpes, dan bahkan saat saya di mba mba depan komputer itu tadi saya masih di ejek “mbanya kuliah kan? Bisa browsing tuh gejala herpes apa aja” ya dalam hati saya hanya membatin kalau saya sudah browsing2 lah orang saya tau banget herpes dan gejala saya sangat berbeda, lalu beliau memanggil ibu saya dan dihasut “ibuuu ini salepnya disini murah, ndausa berobat ke rumah sakit, tapi kembali lagi ke mbanya mau gimana” hehe allhamdulillah saya kekeh mau periksa al hasil, saya belum terlambat karena saya terserang CML hingga berakhir pengobatan di rumah sakit soetomo sampai kemo juga, ya Allah kalian itu nakes, pasti di gaji juga, kok bisa gitu lo kayak gitu kerjanya, semoga kalian semua sehat selalu, tidak dirasakan penyakit seperti pasien pasien yang kalian layani Aamiin Allahumma aamiin"
wanna try,1 bintang,"Petugas front desk khususnya yg wanita depan komputer pendaftaran kurang ramah, saya hendak mengurus surat keterangan sehat untuk perpanjang sim dan sudah diiyakan bisa sama mas² depan komputer pendaftaran, tapi si ibu jawab dgn nada tinggi percuma katanya nanti di satpas juga ga diterima surat keterangan sehatnya , okeeeee saya sgt berterima kasih untuk informasi yg diberikan perihal update persyaratan perpanjangan sim tapi gausa dgn penyampaian yg ketus gitu, masih pagi loh udah marah², padahal mas²nya aja biasa aja njelasinnya
Tolong dibina ya pak/bu management, sudah banyak ulasan yg kurang baik terhadap pegawai tersebut, cuma kepikiran gimana kalo yg dateng berobat sudah sepuh atau sudah kesakitan masih dibentak² gitu, ngomong baik² pun bisa loh diterima, mohon diperhatikan terima kasih."
