reviewer_name,rating,review_text
vira ferdi,5 bintang,"Pemeriksaan catin sangat lengkap, cek Lila, BB, TB, HB, Goldar, HIV, suntik TT, bahkan ada konseling kesiapan mental sebelum menikah. Pelayanan cepat, tidak antri-antri lama. Diberi suplemen vit kompleks+asam folat (Laduni) untuk persiapan sebelum menikah dan sebelum hamil. Alhamdulillah badan jadi lbh fit, saat proses hamil juga jadi tidak mual² karena sudah disiapkan sejak dini.
Di puskesmas daerah lain tidak ada pemberian vitamin sebagus ini, bahkan tidak jarang bbrp puskesmas tdk memberikan vitamin apapun termasuk as folat."
Gabriella Shalom,3 bintang,"dokternya ramah, tempatnya bersih, tapi minus satu dibagian staff pengambilan obatnya, cuma dipanggil gak dijelasin obatnya diminum sehari berapa kali diminumnya sesudah makan atau sebelum makan , lgsg aja dikasiin obatnya. aneh! tolong ya diperbaikin lagi staff bagian pengambilan obatnya!"
it's nanai,1 bintang,"Dokter sama asisten dokter nya baik, cuma pegawai lain rada aneh . Saya lagi sakit jantung di ugd tiba2 ada cowo yg gedor2 ngomel knpa lama dll pakek bahasa jawa , pas udah kelar pun ada ibu2 pegawai juga nyamperin tiba2 bilang "" lain kali kalo ke puskesmas pakai baju yg sopan"" mohon maaf nih buk saya lagi kerja GA ADA NIAT BUAT SAKIT dan harus ke puskesmas yakalik saya udah mau mati ga bisa napas mikirin mau pakek baju apa dulu , keburi meninggal bu"
Mike Rosaly,3 bintang,"Apa di puskesmas kedungdoro sudah tersedia USG, karena setelah pemeriksaan kehamilan tgl 7 kemarin saya mintak untuk USG karena pertama kali hamil sampai sudah masuk 6 bulan saya blm USG, saya pikir di puskesmas sini tidak ada untuk cek USG di karenakan saudara saya di rujuk di puskesmas lain untuk USG dan membayar sebesar Rp.35.000 apa karena bukan KTP Surabaya? Dan saya di suruh USG di puskesmas sini dan kenapa saya membayar Rp.55.000 padahal saya pasien BPJS/KIS ,saya pakai KIS dikarenakan saya sudah 2 kali SC.."
populer video,1 bintang,"Masak ada orang periksa cuma tnya ada surat dokter nya gak eh malah di bentak tau tata cara bicara yg baik gak sih petugas di situ, kalau pun tidak ada kan bisa jawab yg baik toh kita periksa di situ pun gak gratis tis semua, masih di pungut biaya, dokter dan asisten nya gak ada yg baik semua"
Aus Mick Ardiansyah,5 bintang,"Datang ke sini untuk Urusan Catin (Calon Pengantin), di luar dugaan pengalaman di sini baik dan cepat. Karena kedatangan harus daftar online, ketika sampai di lokasi pun dibantu untuk pendaftaran dan proses terbilang cepat untuk admin dan pemeriksaan. Dan semua orang yang bertugas ramah dan memberikan keterangan yang jelas."
_ Inuyashaa,1 bintang,"Kecewa banget, datang ke puskesmas ga dipriksa cuma ditanya terus dikasih obat. Tau gitu mending gak usah ke puskesmas"
iLiL Velyn,5 bintang,"Saya kemaren kesini untuk tes darah dan Tes Urine Orang hamil...Alhamdulillah pelayanannya baik bangett ramahhh...Gratis jugaa cuma bayar Pendaftaran awal 5ribu ...Semua biaya gratis....Dokter dan perawatnya baik yg di poli KIA...Saya juga ke Bagian obat disitu memang gak banyak jelasinnya Cuma ngasih tau Ini 1x1 yaa bu..tapi saya Yg Masih kurang puas dengan penjelasannya nanyak dengan detail,Dijelasin kok secara sopan dan dwtail sama susternya...dan saya setiap bulan bakal balik lagi buat kontrol ke situu...ngejelasinnya masalah Org hamil baik banget dan mudah dimengeeti 😊😊🙏"
Rahayu Utari,5 bintang,"Hari ini lagi tidak enak badan karna lagi sakit
Kesini alhamdulillah pelayanan nya baik sekali.. Saya daftar dapat nomer antrian 45 sekitar jam 09.12-jam 09.30
Tapi saya datang jam 08.45 menit
Saya konfirmasi ke loket pendaftaran langsung di panggil di ruang dokter dan di periksa.. Keluar dari ruang dokter obat dari farmasi juga udah siap.. Alhamdulillah sangat cepat sekali sekarang untuk penanganan pasien nya
Untuk staf & dokternya sangat ramah sekali..
Alhamdulillah Terima kasih para nakes semoga slalu menjadi terbaik untuk melayani masyarakat ☺"
Henry asmoro,5 bintang,"Pelayanan memuaskan, murah bahkan gratis. Semua lengkap. Jenis pelayanan meliputi poli umum, poli gigi, poli KIA-KB, pojok gizi, klinik sanitasi, poli konsultasi psikologi, poli paliatif, unit laboratorium, unit obat. Pelayanan tanpa membedakan penduduk Kota Surabaya maupun non penduduk Kota Surabaya, bahkan ambulance disediakan gratis. Cukup memuaskan dan cukup ramai karena dekat dengan pusat perbelanjaan terbesar di Kota Surabaya."
