reviewer_name,rating,review_text
Tri Hadi Farianto,5 bintang,"Dapat vaksin covid-19 atau Booster dosis pertama disini. Menurut saya pribadi pelayanannya cukup bagus dan para tenaga medisnya juga sangat ramah serta sarana dan prasarana yang ada juga cukup memadai, untuk menunjang kebutuhan masyarakat akan fasilitas kesehatan yang berkualitas."
LIYA DWI KARTIKA,1 bintang,"keramahtamahannya mohon ditingkatkan lagi.
dokternya udah baik, tp petugas yg paling ujung perlu ditingkatkan lagi pelayanannya.
saya baca ulasan yg lainnya sudah ada yg mengulas seperti yg sy alami.
pendampingan bagi pasien sakit meskipun dewasa saya kira tidak masalah bahkan saya membaca itu seharusnya dilakukan utk double rekam apa yg telah di katakan dokter. yaa kalik orang sakit, bawa badannya aja susah masih suruh dengerin ini itu harus begini begitu mana bisa fokus.
mbak mbak petugas, kami ini yg merawat pasien dirumah, anda hanya pelayan umum, jadi kami berhak tau apa yg boleh dan tdk boleh dilakukan saat tindakan dirumah."
DESI RATNAWATI,3 bintang,"Untuk dokter di poli umum ramah baik bgt, tapi untuk mbk "" Tensi yang di poli umum MasyaaAllah judes nya masak orang tanya dia malah ngetawain , sama sama kerja mbk jangan gtu kalau ada pasien tanya,"
Sri Nuryanti,4 bintang,"Pelayanan smkin membaik gak sprti hari"" Sblumnya, Tiap ambil surat rujukan,Panggilan masuk poli jaraknya terlalu lama pdhl di dlm cuma ada satu pasien."
Muhaimin Aqila Lutfias,1 bintang,Mengurus surat kesehatan jam 12 siang tidak dilayani karena alasan kesiangan..ga masuk akal..padahal jam operasional sampe pukul 5 sore...
Ramadhan aszhary App,1 bintang,"Antrinya lama , sistem sering error , kasian yang antri dari pagi sampai siang penanganan lemot"
Vania Maharani,1 bintang,"pelayanan buruk, memang gini yaa rata"" petugas puskesmas???? sokkk bangett jijikkk, saya kalau gatau itu yaa nanyaaa, ini nanyaa aja tapi jawabannya kayak ngeledek, buat mbak"" di poli umum yang 2 orang bagian tensi tadi ngesok bangett, baru jadi pegawai aja songong nya minta ampunnn, belum jadi bos kan?? sama"" kerja mbak jadi gausah banyak gayaa, baru kerja di puskesmas aja kayak gitu sifatnya, jijik banget mbak iuhhh, bad attitude, semoga orang tua nya mbak"" itu ngalamin hal yang sama saat berobat di tempat lain, biar di maki"" sekalian, maaf saya sakit hati banget, padahal saya cuma tanya tentang surat kesehatan aja baik"", tp responnya tidak baik!!!! semoga cepat keluar dari puskesmas itu ya mbakk wkwkwkkw sakit hati soalnya saya"
Yuniar Ajenk,5 bintang,"Pelayanan Poli Gigi di Puskesmas Kedurus sangat baik sekali, dokter memberikan penjelasan kepada pasien sangat jelas , sehingga saya paham kondisi saya saat ini dan tidak takut periksa gigi ... Terima Kasih pelayanan terbaiknya dokter dan perawat gigi Puskesmas Kedurus..."
Ahmad Zaini,5 bintang,"Pelayanannya bagus, kadang antri kadang tidak. Harus ambil antrian online sebelum datang. Area parkir ada di sebelah gedung."
Dewi Chane,1 bintang,"Pelayanan sangat jelek tidak baik.
Perawat dokter Dan pengurus puskesmas kedurus tidak ramah, tidak baik, tidak melayani pasien dengan baik.
Saya kemarin menjadi pasien Di puskesmas kedurus tapi saya mendapatkan pengalaman terburuk Karena saya Dan Ibu saya dibentak bentak oleh bapak bapak Di Poli umum orangnya gendut Dan gundul.
Dokter nya juga ikut bentak Dan mencela ibuk saya saat bicara.
Saya sudah laporkan ini ke kepala puskesmas kedurus Dan Salah satu dokter Yang ibu saya kenal.
Tolong lebih diringkatkan lagi untuk pelayanan nya.
Jujur saya sangat kecewa.
Apalagi kemarin tidak Ada kata maaf Dan terimakasih Dan semoga cepat sembuh Dari dokter, perawat Dan pengurus puskesmas kedurus."
De Wi,1 bintang,"Pelayanan sangat jelek. Dokter perawat Dan pengurus Di Poli umum sangat kasar Dan bentak bentak pasien, Hari ini saya dapat pelayanan sangat tidak baik disini. Tolong untuk perawat dokter Dan pengurus puskesmas bisa lebih baik Dan baik lagi Karena jujur saya sangat kecewa dengan pelayanan nya. Tidak seperti Di puskesmas Dan rumah sakit lain nya.
Tadi dokter Yang melayani saya kerudungan pake katamata. Dan perawat atau pengurus nya laki laki gendut gundul Yang bentak bentak saya danibu saya tanpa sebab, Dan satu lagi mb mbar krudungan.
Tolong bisa ditegur Dan urusanya Kalo sampe tidak Ada perubahan saya saya sudah tidak tahu lagi si.
Terimakasih."
Salah Arah,1 bintang,"Puskesmas ini harus di harus di sidak pejabat/dinas terkait ,betapa konyolnya perawatnya ..!
Masa' mau berobat gak di gubris gara"" gak berobat selama 2 bulanan karna sehat"" aja, sialan,, sama saja gak boleh sehat kalo' gitu caranya ....!?"
Ri ma,4 bintang,"Sterilisasi tempat, jadi semua orang keluar dulu (13062020) . Social distancenya udah sip karena memerhatikan pasien dan pengunjung. Kursi kursi juga diberi jarak."
Arvino Nazriel,5 bintang,"Puskesmas kedurus kerennn petugasnya ramah2,apalgi petugas yg didepan (frontline) membantu sekali....dri yg gak bisa dftar online sekarang bisa daftar online sendiri...dokternya juga ramah sekali"
iqbal dwiki kurniawan,5 bintang,"Pengalaman cabut gigi di poli gigi. Dokternya ramah menjelaskan prosedur pencabutan dan penambalan gigi , kemudian tindakan  dilakukan dengan baik .."
Tiga Kece,5 bintang,"pernah cabut dan tambal gigi anak saya di puskesmas kedurus, pelayanan baik, dokternya telaten sama anak kecil, anak saya skrg suka ke dokter gigi."
Muhammad Arif Raihan Lubis,1 bintang,"Pelayanan sangat buruk dan bahkan saya tidak ditangani dokter sedikitpun hanya sekedar kata kata penolakan dan langsung di suruh ke RS dengan alasan di puskesmas tidak ada suntik tetanus, padahal setelah saya konfirmasi ke orang bpjs bahwa suntik tetanus bisa didapatkan di puskesmas.
Dan setelah penolakan seharusnya saya di berikan rujukan ke RS tetapi tidak ada rujukan sama sekali.
Kejadian terjadi 8 mei, sekitar pukul 13.30 di poli umum dan saya di tolak oleh seorang pria dan seorang wanita"
dinar tri murti,5 bintang,"Cabut gigi di puskesmas kedurus pelayanannya sangat excellent dokternya ramah ramah semua, terbaikk emang poli gigi di puskesmas kedurus 👍🏻 …"
Clarissa Olivia,1 bintang,"Pelayanan buruk!!! gak ramah sama sekali, jetus kali ngomong, di jadwal tertulis tutup jam 1 tapi jam 11 udh gak terima pasien lagi padahal kondisi sepi gak ada pasien dan dokter pun nganggur 👎👎👎 parah!!! …"
Yenyen widjaja,5 bintang,"Pelayanan smakin ramah dan memuaskan. Saran, gunakan fasilitas pendaftaran google untuk lbh memudahkan dan mempercepat wktu tnggu maupun pelayanan."
afifatul mahmudah,5 bintang,Terimakasih pelayanan KIA di pukesmas kedurus sangat baik
Vv Vvi,5 bintang,"Alhamdulillah saya dari warugunung datang ke poli KIA puskesmas kedurus berniat minta rujukan ke spesialis tumbuh kembang anak. Saya lalu direkomendasikan ke poli anak RSI. Sesampainya di RSI bersama anak saya yg berusia 6 tahun, rujukan anak saya tertukar dengan seorang lansia berusia 60 tahun berikut nomor bpjsnya, walaupun poli dan nama anaknya sudah benar. Oleh RSI saya dianjurkan kembali ke puskesmas kedurus untuk merevisi data. Saya akhirnya pulang dengan sia-sia dan harus mengulang prosedur lagi dari awal untuk keesokan harinya. Sungguh definisi pelayanan publik yg sangat memuaskan. Terima kasih puskesmas kedurus."
Paasyo 10,3 bintang,"Priksa gigi di puskesmas kedurus ga bisa katanya giginya tinggal sedikit, terus pindah ke puskesmas wuyung di tangani dengan baik ,semangat puskesmas wiyung ,bravo.,bravo,bravo.siiiiip."
