reviewer_name,rating,review_text
Siti Anisa,1 bintang,"Pelayanan tdk ramah. Terutama dokter umum, jwbnya ketus sekali
Tolong kedisplinan lebih diperhatikan, byk yg dateng telat. Panggilan nomer antrian tdk sesuai estimasi"
Rizkiyanti Dwi Ramadhani,1 bintang,"Sungguh ini puskesmas pelayanan yang sangat sangat buruk dan super lamban. Petugasnya tidak ramah apa lagi dibagian lab harusnya klo org tidak tahu ya dikasih tahu dgn bahasa manusia yg baik bukan dibentak"".kami disini sakit untuk berobat km tanpa org sakit gk akan bekerja. Tolonglah berperilaku sebagai layaknya manusia. Akal dan naluri dipakai!!"
Dinda Alliya,1 bintang,"Pelayanan tdk ramah, Dokter ketus sekali tolong diperbaiki ya..
Kakak saya jam 1 pagi periksa ditanyain knp obat diare diminum satu kapsul sj, Pdhl anjuran dari dokter sebelumnya ya cm 1 kapsul tp ortu saya diomelin. Alhasil ortu saya kasih tau gambar obatnya dan dngn entengnya si dokter bilang ""oh iya ini satu tablet aja minumnya"". TOLONG bgt ya kalo sama pasien aplg ortu jangan lah ketus kaya gt mentang"" pake BPJS kaya gt pelayanan nya GAK BANGET"
Yulisartika Dewi,1 bintang,"Dimohon untuk lebih diperbaiki lagi sistemnya, jika memang no antrian yg sudah terlewat harusnya disuruh ambil no lagi bukannya langsung masuk. Kasihan yang sudah antri duluan, kalau seperti itu kan orangnya jadi menyepelakan no antriannya🤨🤨 …"
friuli and,1 bintang,Baru kali ini antri di puskesmas sampe 4 jam... Sebelum2 nya di puskesmas lain pake bpjs juga ga sampe selama itu... Puskesmas parah... Komputer dokter itu yg bikin lama.. tindakan pasien jadi lama sekali..
ini tinaa,1 bintang,"saya kesini sesuai jam pukul 7 pagi dan katanya disuruh konfirmasi ke loket buat antrian poli gigi, katanya udh no 6 padahal dilayar tv masi no antrean 0 . saya sudah daftar no 3 dr kmrn lah ko yg jaga poli gigi ditanyain baik"" apa suda dipanggil apa blm malh mara"" attituted nya sbg pegawai puskesmas 0 . org ke puskesmas buat berobat malah yg jaga poli gigi kaya ga kasih penjelasan apalah . worst banget puskesmas sini ."
aldi yoga,5 bintang,"Alhamdulilah sekarang antrian sudah mulai teratur dan terkonsep , semoga kedepannya lebih di tingkatkan lagi . Salam sehat indonesia sehat"
Ainur Roat,3 bintang,"Emang seperti ya kalau periksa di puskesmas cuma di tanya2 aja, puskesmas kenjeran aja atau puskesmas lain juga iya sih.  Tanpa pegang stetoskop, stetoskop cuma di gantung aja 😆 kalau masalah antri sih masi oke. …"
Suci Qurrotu 'Aini,2 bintang,Puskesmas yg dr dulu kecil pelayanan tdk oke sampai sekarang meskipun fasilitas udah bagus. Padahal banyak review buruk. Tp blm bs memperbaiki dan Udah beda zaman
Puddin,1 bintang,"Pelayanan sangat tidak ramah oleh pelayanan masyarakat pada bagian depan penanya nomor, saat tanya pada petugas paling depan disuruh langsung masuk, saat baru masuk pintu depan puskesmas tiba2 ditegur dengan nada tinggi oleh petugas yang duduk dibelakang pintu dengan ancaman yang intinya saya tidak akan mendapat perawatan kalo gak ada konfirmasi dengan beliau, saat saya protes kalau saya sudah tanya dipetugas paling depan katanya disuruh langsung masuk menunggu didalam, petugas tersebut malah marah2 dan menyalahkan saya, bilang kalo saya yang salah. Lah kalo tempat duduknya dibelakang tembok pintu masuk sebagai pasien saya juga tidak tau kalo ada beliau disitu, lagi pula bisa ditegur dengan lebih ramah bukan dengan marah2 atau bentakan pada pasien seperti itu."
