reviewer_name,rating,review_text
Erna Dwi,5 bintang,"Pelayanan bagus dari petugas,bidan dan dokter.. semoga kedepannya akan lebih baik lagi dan maju. Terimakasih"
B S,3 bintang,"Kecewa sama mbk mbk bagian pendaftaran... KARENA TIDAK TELITI atau bahkan tidak melihat tiket yang saya tunjukin? Padahal saya sudah menunjukan 2 tiket dengan poli yang berbeda yang mengatas namakan saya sendiri. Tolong dong kalo ada yang berobat lagi kesana trs daftar dengan tiket online, tolong bgt dilihat dan diteliti! Kalau memang dari dinas tidak diperbolehkan untuk mendaftar ke 2 poli di hari yang sama, tolong disampaikan di AWAL PENDAFTARAN. Jangan pake alasan ""lagi lemot sistemnya"" lah.. emang mbknya tidak melihat tiket yang saya kasih tunjuk tadi? Beruntung dapet dokter gigi yg baik, jadi ketolong dah tuh penilaiannya. Trs yang paling terakhir adalah... mbk mbk yang manggil untuk masuk ke poli gigi, tolong mbk volume suaranya di besarin.. jujur agak ga denger tadi pas mbknya ngajak ngomong hehe🙏🏽."
Iva Ulfa,1 bintang,"Dia kira pkek BPJS, haha pantessan ketuuuusss bgt, mana kasar sma anak kecil.
Ini sya koment untuk dokter gigi yah. Yg poli gigi mending dokternya ganti deh, sudah tua gk ramah sma anak kecil.
Lucunya setelah tahu klo gk pkek BPJS, auto ramah dia wkwkwk

Gajimu gk berkah bu dokter, mentang² bgt yah. Astagfirullah...
Kok ada manusia sdh tua, ibu² kok kasar sma anak kecil lo... gk punya hati nurani, bukan hanya kata²ny yg kasar ya ini... tpi perilaku dan tindakannya sangat² tidak mnyengangkan.
Klo sya rekam bisa viral kejadian ini bisa dicopot kali kamu bu dokter tua.
Nyesel berobat di sini"
Andrik Majid,1 bintang,"Untuk dokter giginya mana sudah tua judes pula, kasar banget sama ank kecil bru kelas 1 sd sudah bentak² ngomel² notol pkek kain kasa kenceng2 nuduh gk sakit, lah yg namnya anak kecil caut gigi goyangnya dikit tuh gigi asal cabut pas bilang sakit malah marah² smbil ditotolin kenceng di tap² ke gusi yg berdarah.
Astagfirullah buuukkkk oalah ya... ya... sudah tua kok y gk bsa ramah to buuukkk, mana di kira sya pkek BPJS, setlah tahu gk pkek BPJS rada beda pelayanan nya trakhir² bilang masih sakit ya? Ke anak sya. Prtnyaan itu knpa gk dri tadi buk??? Stelah tahu gk pkek BPJS gnti ramah.
Entar aj y buk sya tuntut di akherat. Sya gk ikhlas anak sya dgtuin sma kamu buk tua. Kapok gk bakal ke pusekasmas keputih lagi, pantes sepiiiiii org judes gtu pelayanan nya.
Kapooookkk gk bakal lagi kesitu, klo keinget itu masih sakit hati sya sbg orang tuanya."
Rahmadhani Diah N,5 bintang,"terakhir ke puskes keputih pas mau daftar buat kpps, so far pelayanannya sudah bagus, lebih baik dari yang sebelumnya, lumayan sat set.

good job dan semangat terus untuk nakes yang berjuang🙏"
Yusifa Nur Aulia,5 bintang,"Pelayanan cukup baik. Pernah ada keluhan ttg cek lab dan dilaporkan ke pusat keluhan ditanggapi dengan baik dan ada perbaikan bisa dipertahankan customer service seperti ini. Membuat rujukan juga bisa dipertahankan tidak ribet dan cepat. Saran saya semoga alur pelayanan bisa lebih baik, cepat dan ramah. Untuk perawatan ibu hamil dan balita bisa lebih diperjelas lagi di pendaftaran ini kemana lalu kemana ketika ada kondisi yang berbeda agar pasien tidak bingung. Dan untuk jadwal imunisasi diberikan informasi di depan setiap hari apa sebagai informasi kepada pasien. Terima kasih."
reza pahlevi syaiful,5 bintang,"Pas anter istri periksa hamil, bidannya baik banget dan sabar. Ada pelayanan USG. Gedungnya baru, ruangan KIAnya wangi.
Puas banget periksa disini."
kholida husna,5 bintang,"Puskesmasnya bagus dan nyaman

Petugas Linmas, Pendaftaran, Perawat, dokter sampai farmasi Ramah dan Profesional

Pelayanan cepat dan nyaman

Untuk yang mau periksa sebaiknya daftar online supaya bisa datang sesuai jam estimasi dilayani"
Cahyono Putri02,5 bintang,"Periksa di sini nyaman, lab untuk bumil juga lengkap, pakai bpjs free. Prosesnya mudah, bisa daftar online hari sebelumnya juga. Fasilitas baik, bisa konsultasi lengkap, kendaraan terpakir dg aman karena ada penjaganya. Makasih puskesmas keputih atas pelayanannya."
dann oke,4 bintang,"Selamat pagi, mohon info untuk sore apakah bisa urus rujukan?, jika bisa sampai jam berapa? Terima kasih"
Faizah Chandra,1 bintang,"Saya sakit minta surat dokter gadikasih alsanannya karena saya datang terlalu siang , padahal perusahaan saya mengharuskan ada surat ketika sakit , apa memang sop nya kalau datang siang gabisa kasih surat dokter ?"
Maria Marta,1 bintang,"Pelayanan di puskesmas keputih ini sangat tidak memuaskan khususnya SDM nya. Saya tadi ke poli umum. Sesampai di puskesmas saya daftar dulu di dpn setelah itu menunggu di poli umum. Setelah masuk ke poli umum saya dilayani oleh seorang pri, pria ini duduk di dkt pintu masuk poli umum, pelayanannya si pria ini sgt tidak ramah, ketus dan songong. Saya tdk tau siapa nama pria ini, tp pesan saya ke pria ini jika anda tidak mau melayani dgn baik orang yg berobat mending anda tidak usah bekerja di instansi kesehatan manapun. Buat yg memperkerjakan dia saya rasa dia tidak pantas dipekerjakan di instansi kesehatan. Buat yg mau berobat ke puskesmas ini bagian poli umum hati hati jika dilayani oleh pria angkuh ini.Jika ada bintang 0 saya kasi bintang 0."
