reviewer_name,rating,review_text
kawan tiga,5 bintang,"Pelayanan yang ramah, cepat, bersih, dingin dan terdapat perpustakaan mini serta ada tempat charge HP... Sempurna"
Agustina Yuliawati,5 bintang,"Alhamdulillah d'Gedung yg baru.terdapat ruang tunggu yg luas dan nyaman,full AC.pelayanan ramah & memuaskan.Smg kdepannya pelayanan Puskesmas Ketabang lebih baik lagi dan kita semua senantiasa d'berikan kesehatan.Aamiiin🤲🏻😇
Syemangaaattttt......  !!💪🏻🤩 …"
Muhammad Husein,1 bintang,"Pengalaman pertama kali disini yang sungguh sangat disayangkan dan mengecewakan.. saya sungguh kecewa dengan pelayanan yang tidak jelas nunggu 1jam tanpa ada kepastian.. saya datang dengan kondisi kurang enak badan, daftar dari jam 05.45 …"
Shyla Vinencya,5 bintang,"Pelayanan baik dan cepat
Semua karyawan ramah🤗 …"
Siti Nurhasanah,5 bintang,"Pelayanan bagus, cepat dan petugas responsif. Pengalaman mulai dari anak saya yg ke 2 perawatan gigi sampai harus bolak balik tiap minggu, sampai anak saya nomor 4 imunisasi di Puskesmas Ketabang jg. Petugasnya sabar2 dan selalu menjawab pertanyaan dengan jelas. Sangat membantu sekali"
B32_Shinta Fina Setiyani,5 bintang,"Nyaman banget periksa di puskesmas ketabang, mbak mbaknya sabar dan cekatan, antri di poli kia pelayannya cepat dan ramah, terimakasih"
XeVelgX GT,5 bintang,Kebersihan sebagai dari iman petugas kebersihanya sangat bersih
Rofiasri Umi,5 bintang,"Gedung baru, ruang tunggu dingin sangat nyaman. Fasilitas oke, ada lift untuk ke lantai 2. Pelayanan memuaskan. Petugas ramah"
Fatim Fita,5 bintang,Petugas pendaftaran Ramah sudah dibantu aktivasi mobile jkn. Sangat bagus
Aji Riswan,5 bintang,alhamdulillah pelayanan ramah cepat saya urus bpjs ngga sampai sehari udh aktif kembali terimakasih 🙏 …
Agmarina Vica Mayelsa,5 bintang,"pelayanan kesehatan masyarakat yang bagus dan udah modern. Disini daftarnya bisa lewat online untuk masyarakat Surabaya dan gratis kalo punya bpjs. Jadi tinggal nunggu nomer antrian dipanggil kalo udah daftar, ada petugas loketnya untuk yg …"
ellen wibisono,1 bintang,Pelayanannya lambat sekali. Masi menggunakan sistem manual.... walaupun sy sdh pendaftaran online dan no. tunggu nomer urut 1 tapi sy masi harus menunggu 1 jam an stngah . Overall tdk akan kembali lagi kl tdk ada urusan lagi... (srt …
Arin's Imagination,5 bintang,"Thank you petugas pusk Ketabang,
Sumpah cepet bgt pelayanan surat kesehatan buat KPPS, gak ada kali 30 menit. Pdhl udah takut bgt krn mepet hari2 terakhir cek kesehatan. …"
Lilik Fauziyah,5 bintang,Pelayanan yg terbaik
Euis Novita Sari,1 bintang,"Pelayanan jelek. Saya antrian 90 tapi malah yg dpanggil antrian 91,92,93,94. Pas dtanyakan katanya saya tadi sudah dipanggil..pdahal saya blm ada dpanggil sama sekali. .jelek pelayanan ny"
Rudianto Efendy,5 bintang,"Puskesmasnya bagus, bersih, dingin dan juga ada perpustakaan mininya. Ramah untuk pengantar"
Bella Feti,5 bintang,Pelayanannya cepat. Yg terpenting staff nya ramah dan informatif
caca,1 bintang,"pelayanan sangat buruk, udah dari lama
saya periods kesini tapi ternyata pelayanan masih tetap buruk
saya dulu sering periksa tpi cuma diomeli bilngnya suruh makan yg banyak lah ini …"
Adi Rahmadhani,3 bintang,"Untuk poli umum menurut saya sudah bagus, catatan khusus buat poli anak, sejak dari gedung yg lama, trus pindah ke gedung yg baru, memanage antrian agak kurang bagus, pengalaman saya menunggu antrian, ada antrian yg nomernya seharusnya …"
Choirun Nisya,5 bintang,"Alhamdulillah saya jarang kesini, karena ngga minta dikasih sakit yaa kan ✌🏼😅. Tapi 2 hari yg lalu saya datang kesini buat ngurus surat keterangan sehat, pelayanannya tepat waktu sekali 👍🏼 Kalau sedang jam istirahat maka saya harus menunggu …"
Ovi Cimutz,5 bintang,"Puskesmasnya bagus nyaman, pelayanan sangat ramah. Dokter giginya TOP banget memberikan pelayanan prima."
Rizki Maulana,5 bintang,Apakah disini masih menyediakan vaksin booster 2 pak/buk?
AGUM HAIDAR,5 bintang,"Pelayanan baik, bangunan cukup bagus, luas, bersih"
Intan Ningtyas,1 bintang,"PELAYANAN TERBURUK.

di google jam pelayanan ditulis jam 14.30, tapi nyatanya saya kesana jam 13.20 …"
Titut Wahyudarti,5 bintang,"Petugas pendaftaran dan informasi baik ramah, sangat membantu"
hanin arlisa,2 bintang,"tidak terima pasien umum
padahal saya mau bayar tapi tetap dipersulit
skip bye kapok ke sini lagi"
Sutar Madjied,5 bintang,Petugas loket mas heru ramah dan baik membantu aktifasi mobile jkn dan bpjs
Ning indahsari,5 bintang,"Pelayanan dan fasilitasnya bagus banget, apalagi sekarang ditambahin ada fasilitas bermain untuk anak☺️🥰 …"
Moed Jiati,5 bintang,"Pengaktifan BPJS cepak, baik dan memuaskan pelayanannya"
Sanes Keluarga Cemara,4 bintang,Deret kantor inspektorat surabaya. Vaksin booster astrazaneca disini dan pegawai sangat ramah. Thx
Lusia Margareta,5 bintang,Petugas pendaftaran baik dibantu aktivasi mobile jkn
Arie Trisandy,5 bintang,"Lokasinya strategis, gedung barunya mevvah, pelayanan excellent! Mantul, thx to all staff! ^^"
johanes christian,5 bintang,"Pelayanan cepat, memuaskan, ruangan dingin, anti panas panas club. Mantap bintang 5 🫰 …"
