reviewer_name,rating,review_text
Rahid Zahir,5 bintang,"Pelayanan nya ramah dan cekatan, hampir tiap kli kesana tdk pernah kecewa.. mantap pokoknya.., semoga selalu diberikan kesehatan buat pegawai nya.., terimakasih puskesmas Klampis ngasem.. juoss..."
Putri Wahyuni,5 bintang,"pelayanan sangat baik,staff ramah"" semua,,langsung di tangani dengan cepat..
tentunya terima kasih sudah membantu untuk mengaktifkan kembali bpjs saya ☺️"
Dirga Game,2 bintang,"Hbis ke poli gigi untuk tembel , pertmaa tembel sementara tpi yg pegang bukan dokternya langsung tpi mbak"" Magang , sdikit ragu tpi alhamdulillah aman , setelah seminggu balik lagiii buat tembel permanen , dan lagi"" Yg pegang bukan dokternya  mbak' magang lagii dokternya cuma mngarahkan dan parahnya mbak  kasarr krjanya,dan benar setelahnya gigi mkin sakittt,balik lgi katanya gpp tembelnya bguss pdahal tk bawa di DRg lain trnyta bawa gusi bernanah infeksi ..nyesalll skali brobat di pukesmas ini"
Faridah Silvia Dewi,1 bintang,"Selamat sore, saya hendak menyampaikan kritik dan saran untuk pkm klampis. Hari ini saya mengantarkan keponakan saya untuk cabut gigi dg penjamin umum krn bpjs nya di klinik ITS. saat ada di dalam poli gigi saya disarankan untuk memindahkan faskes 1 nya ke pkm klampis saja krn tarif poli gigi 2024 sekarang ini mahal"" (ucap dokter yg sepuh memakai kacamata).
Saya jawab krn domisilinya di keputih oleh dokter yg mohon maaf tdk memakai jilbab dijawab ""kalo gitu periksanya di pkm keputih saja""
Saran saja apakah pantas pelayan kesehatan mengarahkan spt itu? Saya rasa selama saya mampu membayar sesuai tarif 2024 tidak ada masalah.
Apa memang wajib periksa ke pkm klampis menggunakan BPJS? Bukankah hak pasien mau menaruh faskes 1 nya dimana, kami pekerja setidaknya mencari faskes 1 yg sorenya buka juga. Jika pkm klampis membuka 0elayanan di jam sore mungkin bisa kami pikirkan untuk memindahkan faskes 1 ke pkm klampis.
Mohon kedepannya diperbaiki tutur katanya dalam KIE pasien tks 🙏"
Azis,5 bintang,"Alhamdulillah periksa di poli gigi pelayanan sangat baik. Waktu diperiksa gigi berlubang dan sakit, diberi obat dan diminta kembali kalau sakit pada gigi sudah hilang. Terima kasih Puskesmas Klampis terima kasih petugas 🙏🏽 …"
Nina Novita,4 bintang,"Cukup bersih tempatnya. Melayani vaksin boster, amar mandi lumayan bersih tdk Pesing. Ada Playground meskipun sederhana sekali. Pelayanan 1 pasien kdg cepet bahkan ada yg luama, tdk sama standarisasi SLA servise ke pasien. Dokter yaah lumayaaan laah. Overall drpd BPJS anda tdk terpakai buruan gih pakai, sayang, gratis soalnya. Obat lumayan manjur juga, cmn tetap yg menyembuhkan Tuhan yah bestie🤲 disini ada layanan gigi, umum, laboratorium, BKIA, konsultasi gizi, oh yah lbh baik daftar online dulu dari rumah yah, atau H-1 sebelumnya, biar antrian gak lama😉"
Jihan Zainiyah Rohmah,5 bintang,Minta tolong Pengaktivan BPJSnya cepet banget. Terimakasih atas pelayannya.
mar ati sholikah,1 bintang,"Hari ini saya dan anak saya datang ke puskesmas klampis tujuan poli gigi untuk membersihkan karang gigi setelah masuk saya disarankan memakai bpjs karena saat itu saya umum jarena dr yg dipjs jauh lokasinya dan dijawab sama ibu2 tua dan 1nya muda utk memindahkan ke puskesmas klampis saja .. dan ketika saya di infokan jika umum harganya mahal sekian ttp saya jawab gpp sanggup dan saya tanya apakah dibersihkan semua karangnya dgn harga yg disebutkan 140.000 jawabnya iya tetapi setelah selesai saya agak ragu dengan hasilnya karena anak saya sebentar sekali dan ketika saya lihat karang gigi anak saya tetap dalam artian y msh sama seperti semula dan saya tanya anak saya jawab anak saya dibersihkan ttp sebentar saja mksdt saya knp tdk sesuai dengan hasilnya toh saya jg sanggup bayar berapapun itu ... Saya mau balik lg sdh malas dan distruk pembayaran hanya tercantum pembersihan gigi 6 gigi saja dengan tambahan cabut gigi dan periksa gigi saya kira dengan percakapan diawal semua dibersihkan nyatanya hasilnya gak sesuai samsek alias msh kotor terutama gigi anak saya ...
Tolong kedepannya diperbaiki lg jd orang bayar berapapun itu hasilnya sesuai"
Nur Fadilah,5 bintang,Terima kasih buat puskesmas Klampis Ngasem pelayanan sangat baik sekali baik pelayanan pemeriksaan atau pengurusan administrasi
Febriani Ayu,1 bintang,"Keluhan sakit kepala karena mata sakit sudah hampir seminggu, malah ga di periksa, disepelekan hanya ditangani bagian administrasi tanpa cek ke dokter, dan langsung di beri obat difarmasi, obat yg diberikan hanya untuk 1 dosis saja. Pelayanan jelek sekali. Pdhal sudah tunggu sangat lama

Setelah mengirim ulasan dan dibalas, ternyata pihak puskesmas menutup nutupi kesalahan, pdhl DOKTER TIDAK CEK KONDISI saya sama sekali, hrus nya waktu itu foto aja sekalian nama penjaga dan dokter nya terus sekalian diunggah ke ulasan, biar jelas dan dapat teguran langsung,  dokter dan staff puskesmas sangat menyepelekan penyakit ringan, mulai dari dokter umum smpe dokter gigi, akibat dri penangan dokter puskesmas , saya jadi HARUS PERIKSA KE DOKTER SPESIALIS MATA DAN DOKTER GIGI KARENA KONDISI MAKIN PARAH, terimakasih dokter puskesmas dan staff nya pelayanan anda SANGAT BURUK, rekomendasi aja buat pengguna bpjs mending beralih ke asuransi kesehatan yang jelas daripada merugi

FYI sya awal nya ktp sby lalu pindah ktp lurkot, dan sya diinformasikan dri puskesmas sby kalau berobat di puskesmas sby, ktp lurkot cmn dpat jatah 2x periksa dan 1x rujukan. Jadi artinya sia sia periksa dengan penangan yg sangat buruk disana, cmn ngabisin jatah aja"
