reviewer_name,rating,review_text
Tony Cose,1 bintang,"Fasilitas kesehatan macam apa ini?mendiagnose penyakit pun banyak salahnya, bisa juga salah pemberian obat bahkan bisa mengakibatkan penyakitnya semakin parah, terus diminta rujukan lama dan diruwetkan
Tolong manusia jangan dibuat jadi bahan percobaan, terima kasih."
stindahm,3 bintang,"Kejadian bulan Desember kmrn dengan keperluan membuat surat keterangan sehat. Saya lupa harinya. Jam 1/2 10 lebih saya datang dan langsung daftar. Karena saya belum daftar online maka saya mendapat antrean jam 1/2 1 siang.
Setelah menunggu lebih dari 3 jam an, tibalah giliran saya.  Setelah masuk di Dokter Umum, saya di ukur tinggi, berat badan, tensi dan ditanyain riwayat sakit.. kemudian dengan kalem Dokternya bilang ""Krn ini sdh jam 1/2 1 Lab nya sudah tutup bu.. Maka utk cek gula dll nya tidak bisa hari ini. Krn Lab melayani sampai jam 1/2 12"".   ???????

Lha??? Knpa tidak dikasih tau diawal ya.. kan saat pendaftaran qta juga ditanyain keperluan nya apaan. Dan saya juga bukan org yg sering ke Puskesmas dan ini pertama kalinya sy ngurus Surat Sehat juga,  jadi tidak hafal dg jadwal disini..

Jadi utk apa saya antre nunggu 3 jam an klo Lab nya juga tutup lbh awal dari jam antrean.... Bnr² diluar nalar. Setengah hari nunggu ga dpt apa².

Terima kasih utk sistem nya yg entah siapa yg bikin... Semoga harinya senin terus."
Aprila Thereza,5 bintang,Lokasi pelayanannya mudah diakses baik dengan kendaraan maupun berjalan kaki dan setiap pengunjung yang datang dilayani dengan baik dan sigap oleh setiap petugas yang bertugas yang selalu siap membantu untuk memberika pelayanan yang efektif demi kesejahteraan bersama
Suharlin Putri Indah,1 bintang,"2x ke poli gigi ditolak
kalo ga niat ngelayanin mending tidur di rumah, tulisan open 07.30 - 17.30 tp jam 11 di tolak, iya bener di tolak bukan lagi istirahat. yang pertama udah antri panjang pas masuk ruangan poli gigi dibilang gabisa melakukan tindakan tersebut (tambal gigi). case kaya gitu harusnya sampaikan dari awal pendaftaran bukan pas udah dpt nomer antrian baru ngmng. buang2 waktu aja. niat mau sehat malah bikin tambah sakit tot"
Siti Fatihah,1 bintang,"Untuk pak erik nih coba liat pukesmas pelayanan lama ditambah orng minta rujukan lgi ruwett mlh diksih obattt??? Pdhl dri awal udh blng minta rujukan knp nmbuss diobattt minta tlongg krja yg bnerr,,,, udah lama, dang jls aku kira pindah fankes enak trmytaaa sulittt gini. Kecewa bngettt? ??"
Alfi Rachma,5 bintang,"Saya baru pindah faskes kesehatan kesini pelayanan baik semuanyaa, lebih baik dari faskes saya sebelumnya. Tetap pertahankan. Sukses slalu. Trimakasih."
nur chasanah,5 bintang,"Pelayanannya cepat, perawat dan dokternya ramah-ramah, dan penjelasannya mudah dipahami"
Nur Aini,1 bintang,Susah sekali untuk dpt surat rujukan padahal sdh dr RS besar dan disarankan untuk ke faskes 1 ambil surat rujukan tp tidak dikasih
Rita Aprilia Project,1 bintang,Dokternya ga fokus suruh bolak balik terus di poli umum udah tua
Astria Lina,5 bintang,"Pelayanan bagus dan cepat,tenaganya kesehatan ramah dan sopan, dan mengerti dengan penjelasan yang dia berikan"
Muhammad Riadi,1 bintang,"Bikin surat sehat aja harus nunggu 3 jam.
Di klinik/puskesmas yg lain biasa habis 15 - 20rb. Disini 40rb per org.
Biar cepet umroh yak petugasnya 🙂 …"
Rara Yaya,2 bintang,"Kejadian di awal tahun 2023, periksa hamil dilayani nakes entah bidan atau perawat apalah itu namanya, dia menanyakan nomor hape saya didata pkm apakah sudah sesuai apa belum, dg menjeda per 4 angka atau berapa gt, saya jawab ""bukan itu nomornya, "" eh dia bentak saya ""ganti maneh"" (seolah2 dia pernah menangani saya dan mengetahui kalau saya ganti nope, pdahal nopenya tetap) setelah saya sebutkan, lagi2 dia membentak saya  lagi ""wong podo ngene loh"" . spontan saya menjawab, ""menjeda nomornya"" (mksud saya penyebutan angkanya""
kn lucu saya tidak salah apa2 tiba2 dibentak, waktu itu nakes tersebut kondisi hamil juga nampaknya.
semoga tidak terjadi pada pasien lainnya.
Jujur tiap saya periksa hamil agak trauma dan was2 jika ditangani nakes itu lagi, saya lebih nyaman dg bidan Dewi yg cantik dan sungguh amat ramah..melayani dengan baik. Semoga bidan Dewi selalu dalam lindungan Allah.

saya tidak mendoakan jelek2 untuk nakes tsb, biar Allah saja yg membalas."
Nining Risanti,5 bintang,"Pelayanannya sangat bagus,Tenaga kesehatannya ramah dan juga baik , sukses untuk puskesmas Krembangan Selatan ✨✨✨✨💗💗 …"
Nadya Camila,5 bintang,"Saya pernah magang di Puskesmas ini. Tempatnya bersih, dokter, perawat, lab, dan apoteker nya baik dan ramah. Selalu disibukkan dengan rutinitas ke komunitas seperti UKS, Posyandu Lansia dsb. Disini kalau pagi rame banget, tapi kalau minta rujukan pasti didahulukan eits sebelumnya ke dokter dulu ya konsultasi. Minta surat sehat ya mengikuti antriannya. Buka dari pagi sampai sore. Parkirnya hanya 2 ribu saja. Kalau siang biasa ada senam buat pegawai nya supaya lebih fresh dan menghilangkan penat hehehe. Foto yang ku share ini waktu kita ada seminar, penyuluhan,  jadi tim kesehatan saat parade bunga tahun 2017, pemeriksaan ke TK dsb. Sangat senang rasanya bisa mendapat kesempatan magang di Puskesmas yang memberi banyak pengalaman."
Putri Zuhria,2 bintang,"Sebel banget minta surat rujukan buat ank saya mulai jam 15.30 smpai isya' baru selesai hampir 4 jam antrinya smpai anakku nangis terus minta pulang , tapi orang baru datang cepet di tangani jelas"" orang itu daftarnya duluan saya, saya di selat smpai 3 pasien di komplain mbk nya alasanya dokternya cuma satu nanganin d UGD juga, kalau bisa dokter UGD sama umum di sendirikan Biar gak antri lama klu bnyak pasien, mana ada acara keluarga sampai berantakan semua acara keluargaku gara"" Kelamaan antri di puskesmas"
Akf sawahan_Daniswara Eka Dharmawan,1 bintang,"Sebenernya pelayanannya baik, tetapi berbanding terbalik di lab nya perlu di evaluasi orang yg berkerja di lab tidak ramah sama sekali mengambil sampel darah dengan kasar dan jutek"
min yoongi,5 bintang,"Pengalaman pertama  bersihin karang gigi selama hidup 😭,,
Buat Pak Dokter gigi, Terimakasih banyak sudah sabar/telaten menghadapi karang gigi saya yg sangat banyak 😭
Dan aku yg ga ngerti sistem pembayaran & bayarnya gimana, tpi dibantu Dokternya donk diarahin, krna emang bener"" ga tau 🙈😭
Sumpah sebenernya malu banget, krna karang gigi yg sangat menumpuk/banyak🙈
Tapi lebih baik terlambat, drpada tidak sama sekali 😁
Terimaksih banyak Pak Dokter 😁🙏"
Herwinda Putri Dewi,1 bintang,"Baru kali ini seumur umur saya menemukan pelayanan kesehatan yang sangat bad attitude, menjudge orang secara fisik yang sama sekali tidak berkaitan dengan masalah penyakit yang saya alami, bener bener sampai ngeblank, pdhl dokternya sudah ibu ibu tapi tutur katanya sangat tidak pantas!"
Chalidinie Pratiwi Nur Sablita,5 bintang,pelayanan di puskesmas sudah sangat bagus dan terstruktur serta mudah dipahami
Latifa Amalia,3 bintang,Untuk janjian dengan dokter USG  bisa menghubungi nomer wa dimana ya atau tanya langsung ke puskesmas
