reviewer_name,rating,review_text
aida dwi lesmana,3 bintang,"Tempat tunggu panas bgt udah penuh banyak org ada kipas 2 tp gak ada yg nyala sama sekali jd pengap,bagian pendaftaran kurang ramah klw di tanya""in semoga di perbaikin kedepannya"
Handoko Sugianto,1 bintang,"Pertama datang buat cabut gigi kata dokternya masih bengkak harus minum obat tunggu 1 minggu, lalu kembali lagi 1 minggu minta cabut katanya nggak bisa kan merasa tertipu..
Pertama bayar 20.000 cukup murah di kasih obat  antibiotik isi 10 dan obat selaput isi 6 dan ketika kembali 1 minggu bayar 42.000 cuman dikasih obat selaput isi 6 mahal banget beda dari pertama datang."
Nurul Putrilia,5 bintang,"pengalaman yang saya terima sejauh ini sangat baik, pelayanan ramah dokternya menjelaskan dengan detail dan baik. lebih baik ambil antrian online di web. utk poli umum lansia jam 7 pagi sudah dimulai, poli kia gigi jam 7.10 sudah dimulai. jadi cocok sekali utk karyawan yg datang pagi. gratis pakai bpjs. parkir juga gratis. wifi cepet."
Nicky Christian,5 bintang,"Tadi pagi tgl 3 Juni 2021 sekitar pukul 09.15 saya melakukan proses vaksinasi Covid-19 sesuai anjuran dan program dari pemerintah sehubungan dengan peningkatan kualitas imun terhadap Virus dan menekan terjadinya risiko terinfeksi dari virus Covid-19, yg bertempat di Puskesmas Lidah Kulon Surabaya (kebetulan dekat dari rumah saya) telah selesai saya lakukan.

Proses menunggu sangatlah singkat, tidak membutuhkan banyak waktu dan tenaga, pelayanan dr Bu Dr. Rumiawati selaku kepala Puskesmas dan segenap Tim Puskesmas Lidah Kulon amat sangat memuaskan 🤗👍🏻
Terimakasih banyak Bu Dr. Rumiawati sudah mau meluangkan waktunya demi memastikan proses vaksinasi dapat berjalan dengan lancar dan aman👌🏻🙏

Saya, Papa, Mama dan Adek saya sudah naik kekebalannya 1 tingkat dibanding sebelumnya. Dengan terselenggaranya program vaksinasi tsb, tidak akan mengurangi atau meninggalkan protokol kesehatan yg masih dan akan terus berlaku. Hal tersebut akan tetap saya patuhi selama pandemi Covid-19 belum usai demi mencapai Health Imunity yg baik 😊"
Yolla Alhawa,1 bintang,"PUSKESMAS TIDAK BERINTEGRITAS di SURABAYA

*Keluhan*:  2 kali datang menggunakan BPJS ke poli Gigi tapi selalu di tolak padahal saya datang pukul 10.00 pagi dan 14.00 siang dengan alasan *Alat sudah Steril*

Alasan yang tidak masuk akal,krena setiap pergantian pasien gigi di dokter gigi manapun alat selalu di sterilkan Kalo tidak di sterilkan ya pastinya ada penularan penyakit. karena sakit yang tidak tertahan akhirnya saya ke puskesmas Wiyung dan dapat penanganan lebih baik padahal saya sampai di puskesmas wiyung pukul 14.30 . Masih dilayani dengan baik, dibantu input data dll.

Saya adukan Puskesmas LIDAH KULON tidak professional dan tidak ingin melayani pasien meskipun masih PAGI HARI ! Baik di hari libur atau kerja. Saya rela bolos kerja yang ujungnya tidak ditangani."
Mellany Octa,5 bintang,"Pertama kali berobat kesini. Tempatnya nyaman, dokter dan semuanya ramah. Dari tempat administrasi bayar 5 ribu (perlu ktp aja), setelah itu biaya obatnyapun gratis.

Untuk hasil lab menunggu 1 minggu. Lumayan lama sih, tapi overall oke banget pelayanannya."
anzull Karnia,2 bintang,"Untuk pelayanan menurut saya sangat kurang, tempatnya juga kecil
dalam satu ruangan bisa ada 5 orang lebih, dokter nya pun ga ngasih tau sakit apa, gara"" apa, dan kalau bukan ktp surabaya disuruh bayar 20k"
Indra Bayu CG,5 bintang,"Tempatnya cukup besar untuk ukuran Puskesmas, parkir tersedia banyak untuk kendaraan roda 2. Untuk roda 4 space tersedia tapi tidak banyak.

Di sini sering antre, jadi usahakan sebelum datang sudah mendaftar online dahulu via ehealth.surabaya.go.id

Untuk warga Surabaya biaya administrasi gratis. Jika warga non Surabaya dikenakan biaya administrasi Rp. 5.000,- murah meriah kok.

Tarif berobat pun seperti foto terlampir seperi daftar harga Nasi Goreng. Rata-rata hanya 10.000 - 15.000. Obat yang didapat juga gratis ya, jadi mmg sangat bersahabat di kantong eh dompet.

Like review ini kalau menurut kalian suka/ merasa terbantu.

~Thanks."
Lulu Sastarinda,5 bintang,"Baru pertama kali ke sini, sebagai orang yang bukan asli Surabaya dan asing, pelayanan dan hawanya ramah dan nggak mengintimidasi. Proses pelayanan juga super cepat. Mulai dari penjaga loket, dokter, nakes, dan apotekernya ramah semua."
Slk Milla,1 bintang,"Uda tiga kali bolak balik berobat di sini tapi gk ada hasil degan keluhan tangan anak saya bengkak dan keluar nanah menjalar kaki dan kakaknya ikut tertular juga, minta rujukan ke dr. Kulit gk di kasih katanya gk bs ngimput atau apalah bhsanya di komputer klo keluhannya di kulit😡 pdhl 4 bln dgn keluhan yg sm sampe infeksi,susah bener ngasihnya"
