reviewer_name,rating,review_text
ERIC ARMANDO,1 bintang,"uda daftar online dan datang sesuai jadwal, uda antri juga ketika uda dipanggil dengan nomer urut malah disuruh duduk lagi tanpa diperiksa dulu,tapi antrian belakang langsung di tindak lanjuti dan bahkan orang"" yang uda kelewatan didahulukan.seharusnya kalau sudah telat gak sesuai diulang dari belakang lagi,, mau disiplin gimana masyarakat dan pihak puskesmas, mana semua gak jelas alur"" prosesnya. tolong ditata lagi, mulai dari sistem dan kedisiplinannya.staff juga banyak yang seperti gak niat kerja"
Edy Suherman,5 bintang,"Pelayananx baik ,ibu bidanx rama2 semua ,masya Allah...
Terimah kasih untuk ibu bidan puskesmas lontar ,semoga selalu mempertahankan pelayananx yg sngat baik.."
Gwen Tv,1 bintang,"Ngantar istri periksa Kehamilan, datang pagi pagi eh disambut para pegawai dengan sikap songong, apalagi poli KIA itu pegawai kasar sekali, sungguh tidak ramah"
Bunga Delima,1 bintang,"Di puskesmas ini banyak pungli😊 bisa2nya saya Sdh bayar lunas BPjS malah BPJS saya dibilang error dan disuruh bayar biaya pendaftaran. Lah gimana solusi nya? Malah dibilang data saya gak ada, Gak ngasih solusi dan gimana ya penanganannya , langsung di arahkan dikasir loket pembayaran begitu saja suruh bayar diluar bpjs. Tolong ditertibkan petugas yg laki2 kurus bagian cetak struk antrian"
Nophamee SLQ,1 bintang,"Tiap ke poli gigi, ak selalu kecewa .. Ganti aja napa sama yg lebih kompeten .. Udah antri lama2, pas udah masuk malah "" kembali lagi aja besok ya "".
Katanya dia lagi ga bisa suntik gusinya (disini ak mau cabut gigi) gatau lupa ak apa alesannya krn udah saking gedegnya. Dokter opooooo iki ... Pokoke mesti kok mek ng poli gigi iki , mentang2 kene pake bpjs"
Razka Pratama,1 bintang,"Maaf harus kasi bintang 1
Supayaa diobseevasi lagi tim""nya, . Banyak yg kasi ranting 1 karna kecewa sama pelayanannyaa staff""nya kurang ramah, terus udh tau dia yg salah masukin polinya malah kitaa yg disalahin,, semogaa ada pembenahan lebih baik lagiii. ."
Hilda Amelia,5 bintang,Pelayanan nya baik dan ramah sekali ✨
suhartatik TV,5 bintang,"Poli Batra nya bagus. Terapis mbk Anisa yang selalu memijat putri kami. Alhamdulillah cocok. Anak semakin lelap tidurnya, makan nya juga lahap. Badannya semakin montok. Mantap"
Dika Aji,1 bintang,"Pertama kali saya datang dipuskesmas lontar lumayan pelayanan pertamanya,na saya itu ngambil poli umum tapi mohon maaf pelayanan dari dokter kurang ramah saya nanya baik² tapi jawabnya tidak ramah dengan nada besarnya padahal saya cuma mau minta surat keterangan dokter buat laporan kerja saya dan minta alasan kenapa kok tidak dapat diaknosanya buat biar saya bisa jelasin ke tempat kerja saya,dan dokternya juga ngasih arahan tidak jelas."
Terryda Ayu Permatasari,5 bintang,"Pelayanan cepat, petugasnya ramah dan sangat informatif, terima kasih banyak puskesmas lontar 😊 …"
