reviewer_name,rating,review_text
Yuyun Andriani,1 bintang,Pernah datang ke puskemas made untuk tanya bpjs keponakan apakah aktif atau tidak karena lama tidak dipakai. Bukannya dijawab baik-baik malah dimarahi sama pihak informasi katanya suruh tunggu 1 minggu tidak bisa langsung aktif sekarang. Padahal mau dipakai untuk operasi. Jadi trauma ke puskesmas made. Untungnya dibantu sama pihak RT setempat dan bpjs langsung aktif hari itu juga
Anis Sumiati,5 bintang,"Sabtu 2 des 23 saya pergi ke poli gigi . Dokternya ramah . Waktu itu saya urutan ke 8 tapi datang terlambat sudh urutan ke 12 . Saya masuk ruangan dan saya tanya . Dokternya menjawab dengan ramah bahwa suruh tunggu sebentar lagi di panggil . Namun agak lama gak dipanggil2 , trs beberapa menit kemudian dipanggil dan dijelaskan oleh perawatnya bilang maaf karna ada penilaian atau apa gitu yg gak bisa ditinggal . Karna saya bekerja di instansi yg sejenis meski bidang berbeda jadi saya paham betul yang dimaksud . Disini saya menekankan bahwa pelayanan ramah di barengi dengan senyuman perawatnya, tidak seperti di puskesmas sememi orangnya kebanyakan jutek . Sekian penilaian dari saya . Terimakasih"
Tutut Putri,1 bintang,"Untuk dokter gigi pelayanan kurang ramah, lebih enakan dokter gigi yang dlu, klau dokter sekarang terlalu kurang ramah sama pasien,"
FACHRURROZI,1 bintang,"Padahal tes laborat bayar sendiri, Tapi petugasnya main bentak bentak, cuma gara2 tanya Tempat taruh hasil tes.. tolong segera di evaluasi.."
agung kurniawan,1 bintang,Dokter nya gak ramah mau periksa bukan daerah situ malah gak boleh
nisa elum,1 bintang,Lebih parah ratingnya drpd puskesmas kendung...kendala sama seperti ulasan ulasan puskesmas Sememi...males nulis ...sama kendalanya
Roda Dan Roti,5 bintang,"Puskesmas nya bagus besar atapnya tinggi jadi enak ngga panas. Pelayanan bagus petugasnya sabar sabar.
Vaksin covid disini enak lancar"
Elisabeth Chrysanti,1 bintang,Kalau jam puskesmas bukan tutup pukul 17.30 tolong daftar Yang Ada disni Di rubah ya. Masak pukul 16.30 dokter sudah Gak Ada. Staff jg uda pada mau pulang. Tolong deh kalau Kasi data Yang akurat supaya orang sakit Yang mau Datang bertobat Gak buang buang waktu n tenaga.
Rahadian dian,5 bintang,"Dari awal masih catin periksa tes kesehatan buat nikah disini.. sampe udah nikah, udah pindah ktp sby, sampe hamil dan melahirkan Alhamdulillah sebagian besarnya konsultasi disini. Dibantu untuk cari rs rujukan juga dari puskesmas waktu mau lahiran. Sampe anak udah lahir juga ke puskesmas made periksanya.. Bidan dan staff bagian kia.nya amah² poollll. Konsultasi apapun seputar KIA enak banget disini.
Sukses terus ya puskesmas made❤️"
jess. min,2 bintang,"Dari segi pelayanan sudaah membaik, tapi dr dulu sampai skrg klo minta rujukan susah,alergi dikulit bagian kaki sdh parah smpek susah jln ,disuruh nggu observasi 5hari, ok lah klo emang tdk parah, tp ini dibuat jalan sdh susah. Bagian farmasi g ramah, sering banget ngobrol2 sm makan"
Afifah Nur Khasanah,5 bintang,"pelayanan yang sangat baik, petugas yang ramah2,"
