reviewer_name,rating,review_text
Henny Julyanti,5 bintang,"Layanan yg diberikan sangat bagus dan rapi tertata, pasien diperlakukan dg sangat baik dan dimudahkan, terima kasih untuk kinerja baik para staf disini"
Dhea Prameswari,1 bintang,Pelayanannya krg cepat dtg dr jam 07.00 sampai pkl 08.00 blm d panggil no antrian 1 poli pkpr pdhl sdh cek in dr pkl 07.30
Abdul Hanan,5 bintang,"Assalamualaikum  !!!  Ini Pengalaman saya di puskesmas Balongsari - Tandes, Sby -Jatim. tgl 22 April 2024. Pelayanan Puskesmas Balongsari sangat Memuaskan untuk ukuran Puskesmas  dengan Memakai BPJS Kesehatan
!!! Seperti Biasa, Para Pasien Disamping Diperiksa dan diobati Juga diberi pengarahan tentang kesehatan dengan baik dan sopan !!! Wassalam🙏 ✊✊"
Elisha Chandra,5 bintang,"Nakesnya humbleeeeeee syekaliii... Kakak dini..kaka yunita dkk..

Dokternya juga menyenangkan .. hai dr angga... Sayang sekali pindah ke bdh

Bu bidan juga sabar banget...  Hai mba maya .

Semuanya sat set wat wet...  Semoga semakin di tingkatkan..."
Rosa Putri Maulidya,5 bintang,"Puskesmasnya bersih dan luas, ruang tunggu sudah berAC. Pelayanannya ramah2. Dimulai front officenya/PR yang sangat membantu pendaftaran sy waktu berobat, perawat dan dokter2nya berkompeten. Mantap banget"
Atiek Munirka,5 bintang,"Meski ramai, sy ditangani dengan baik. Petugas profesional dan ramah. Sudah bagus"
Eko Enggar Yustiti,5 bintang,"Alhamdulillah skrg antrian sudah mulai teratur dan tertata jadi tertib. Ada petugas yang membantu mengarahkan, sangat bersyukur banyak dibantu semua petugas di puskesmas. Sehat selalu petugas puskesmas manukan"
Andik Purwanto,5 bintang,"Puas banget dengan pelayanan puskesmas yang sekarang.Lebih tertata rapi dan petugasnya juga sangat ramah.Apalagi sekarang juga terbantu petugas yang bertugas di balai,petugasnya sangat ramah..."
Mari Karolin,5 bintang,"Pelayanannya sangat cepat, petugas ramah.
Cepat tanggap,
Dokter, perawat, laborat melayani dengan profesionalisme
fasilitas oke dan kebersihan juga ok.
sat set sat set dan sangat memuaskan"
Farida Azisa,5 bintang,"Pelayanannya cepat dan ruang tunggu yang nyaman serta bersih
Melayani pemeriksaan di balai balai RW
Mantap...👍 …"
Bunga Kartika,5 bintang,"Assalamualaikum wr.wb
Terima kasih kepada dr. Lolita Riamawati dan Ibu wenty yang sudah membantu kami CJH yang bingung dengan prosedurnya namun dengan SIGAP CEKATANnya sampe semuanya sudah terlewati. Sehat Sukses Selalu Semoga Berkah Barokah Bahagia selalu.

Wa'alaikumsalam wr.wb"
Mohammad Ali,5 bintang,Sangat membantu saya untuk berobat ke puskesmas Manukan kulon
Ikaa iw,3 bintang,"LAGI LAGII Sangat KECEWA dengan POLI GIGI (dokter IDA), GIGI TIDAK DIAPA2KAN bilangnya tidak ada alatnya, walaupun bayar tetep gabisa. Padahal perkara GIGI BERLUBANG DAN BONGKAR TAMBALAN aja keberatan.

Saya sgt KECEWA sudah jauh2 hari antri ONLINE harapannya supaya gigi yang lubang bisa ditangani/sekedar di bersihkan , tapi waktu datang justru malah di beri RUJUKAN, masak sedikit2 di arahkan RUJUKAN KE RS,Sedangkan kita butuh penanganan sementara harusnya PUSKESMAS memberikan PENANGANAN LANGSUNG waktu disitu,, gak malah dibiarkan dan dikasih SURAT saja. Terus buat apa saya ke PUSKESMAS kalau tidak ada penanganan pada GIGII . Tolong di evaluasi Pak ERI !!! Saya sekeluarga sangat kecewa karna beberapa kali kesana selalu di BERI RUJUKAN bukan di OBATI..

“sudah langsung di telpon dikonfirmasi dan di tindak lanjuti atas keluhan saya oleh pihak puskesmas manukan kulon dan dijadwalkan untuk kontrol kembali di puskesmas manukan kulon""
Terimakasih."
Devi Kumala,5 bintang,"Terima kasih untuk dokter dan tenaga di puskesmas manukan kulon atas bantuannya dalam pelayanan jasa medis. Semoga semakin maju, solutif dan inovatif untuk melayani kesehatan masyarakat 😊 …"
RININGSIH,5 bintang,Pelayanan sangat  bagus sampai menyisir ke pemeriksaan Balai RW. Nakes baik dan ramah.
Budi Tiadatara,5 bintang,"Semenjak ada kepala puskesmas , dr. Lolita kemajuan semakin bagus, pelayanan semakin cepat dan bagus, semangat terus"
Supini Suhardi,5 bintang,"Alhamdulillah tidak umpel umpelan. Sekarang pelayanan cepat, ruang tunggu nyaman berAC tidak sumuk. Dokter sae sedoyo, semua petugas amah"
Feno Tri Hidayat,5 bintang,Luar biasa pelayanan puskesmas manukan kulon memuaskan ramah dan baik2 .. apa lagi pelayanan 1000 HPK nya sat set joss
Erni Yusnita,5 bintang,"Berobat disini dilayani dgn baik cepat, ramah dan murah senyum. Mulai dari pendaftaran, dokter, lab dan farmasinya melayani dengan baik dan santun.
Sy merasa jauh lebih baik karena didengarkan dan diperiksa keluhan sakitny.
Semoga sehat selalu para dokter dan staf puskesmas manukan kulon"
Putri Wulandari,5 bintang,"Alhamdulillah pelayanan di puskesmas Manukan kulon skrg sangat baik , nakesnya cepat tanggap , antriannya lebih teratur ,ruang tggu nya lebih nyaman , Apalagi skrg setiap hari diwilayah Rw2 Manukan kulon terdapat 1 petugas pelayanan balai RW , sehingga masyarakat lebih mudah mencari info tentang puskesmas. Akses masyarakat untuk mendapatkan pelayanan kesehatan jadi lebih mudah 💝🙏."
Eni Mujiati,5 bintang,Alhamdulillah sweeping polio door to door sukses. Semangat dan terima kasih buat nakesnya mbk dini
flory anggiasari,2 bintang,"Kesini lagi anter ibu...air pas mati
Kapan lalu kesini air mati juga
Kamar mandi cuma satu juga yg dibuka
Kipas angin diruang antri banyak debu sudah nempel2 alhasil tdk dinyalakan dan ruangan panas padahal banyak orang sakit,
jendela2 juga tdk semua terbuka
Akses sirkulasi hanya dari pintu depan dan samping kanan

Alur periksa ke tiap poli sejauh ini ya bisa dimaklumi,,karena BPJS jadi ya lama tapi ya sudahlah bs dimengerti

Bayar BPJS jg nggak murah,,tetep disuruh mengerti dan memaklumi😑"
Adeeva,5 bintang,Pelayanan di Puskesmas Manukan Kulon sangat memuaskan di poli gigi saya berobat dan diberikan pelayanan dengan sangat baik oleh drg. Ida. Penjelasan yang diberikan tentang kondisi gigi sy yang perlu perawatan rujukan sangat jelas. Terimakasih drg. Idan dan Puskesmas Manukan Kulon. Pertahankan yaa
Amma Muslimah,5 bintang,"Puskesmasnya enak bersih, dokternya standby juga antrean kondusif
Lebih ditingkatkan lagi pelayanannya biar makin joss✊
Buat dokter Fiqa hati hati di jalan yaa dok😊 …"
eko hariyati,5 bintang,Sekarang sudah bagus. pelayanan sudah cepat. Tempat bersih dan nyaman. Top pokoknya 👍👍👍 …
_aariesyk,1 bintang,antrian poli umum tidak jelas .. masa antri harus pindah tempat duduk .. harusnya kasih nomer kan enak..
Hesti Suyati,5 bintang,"Pelayanan sangat baik, petugas ramah dan sangat membantu"
Andrajani Ruswandi,5 bintang,"Pelayanan bagus,petugasnya ramah,ketika sistim on line lagi macet,,,saya disuruh menunggu dirumah saja nanti petugas puskesmas yg mengurusnya dan kirim kabar."
Nur Rizka Oktaringga,5 bintang,"Sangat puas, memiliki pelayanan apoteknya yg excelent dengan cara penjelasan mengenai obat yg jelas, ramah dan fast servis, good job👍 …"
Yulia Dwi Anggreni,1 bintang,Dateng jam 8 pagi. Sekarang jam 9.40 dan nomer antrian umum masih jalan nomer 17 gak nambah2 dr jam 08.55. Dokternya juga katae 1 aja. Sebelumnya gak pernah selama ini. Bener2 parah. Gimana yaa kok gak profesional?
Muhammad Hadi Prayitno,4 bintang,Tempatnya bersih pelayanannya baik dan ramah fasilitas cukup lengkap foto ini diambil mei 2021
Sri Murni,5 bintang,"Saya sangat dibantu pengaktifan BPJS di Puskesmas Manukan.
Petugas ramah dan sangat membantu.
Terima kasih dr. Lolita, Mas Agus dan Mbak Dini"
dhien,5 bintang,"kesini ditangani dengan baik, pelayanan luar biasa. Dibantu daftar online dan konsultasi di balai RW 2 manukan kulon dekat rumah. terimakasih kepala puskesmas manukan kulon sudah memberi akses yg mudah buat warga."
Nawalita Tetri,5 bintang,"Puskesmas Manukan kulon pelayanannya sangat baik, petugas sangat ramah dan selalu sabar menghadapi pasien, good banget pokoknya"
Riski Hanafi,5 bintang,"Pelayanan nya cepat, Perawat dan dokter nya ramah. Orang apotek nya ganteng dan cantik hehe:)"
Cantika Nabila,5 bintang,"Tempatnya bersih, pelayanannya baik😉 …"
Birli Prasetyo,5 bintang,"Pelayanan bagus, cepat dan sopan semua"
compas petualang,5 bintang,"Datang disambut ramah mbak"" yg didepan, dilayani dokter di poli dengan baik, pulang berkurang sakit saya"
Marcella Gadis hendika,5 bintang,masyallah banget sih pelayananya bagus banget.... dapet obatnya juga sesuai dan cepat sekaliii
Pii Gibran,5 bintang,"pelayanan sangat bagus, tertata semua. nyaman"
Seam Soul,5 bintang,"Petugas loket pendaftaran memberi saya no antrian dan jam kedatangan memang mendekati tepat waktu yang tepat dan tidak perlu antri lama untuk masuk ke ruang dokter. Mantab, tepat waktu dan cepat prosesnya. Memang puskesmas manukan kulon bisa diandalkan. 👍👍👍 …"
Ajeng Wahyu Nindriyani,3 bintang,"Mbak mas pak bu petugas, kalau ada telfon itu mbok ya diangkat"
Nimas Eka Firdaningrum,5 bintang,Pelayanan kesehatan puskesmas manukan kulon baik dan memuaskan
