reviewer_name,rating,review_text
Achmad Marcelianto S,1 bintang,"Mau bikin surat sehat tapi dibikin RIBET! BUANG BUANG WAKTU. Ketika di pendaftaran pegawainya bilang untuk rincian pembayaran hanya 40 ribu. 20 untuk biaya administrasi dan 20 untuk surat. Udah nunggu lama ketika di panggil oleh dokter singkat cerita di suruh untuk lab dan ada tambahan biaya lagi sekitar 63rb. Lalu saya mempertanyakan kok ada tambahan lagi karena info di awal hanya 40rb lalu di arahkan untuk ke pendaftaran. Dan kembali lagi oleh pendaftaran dibilang tidak pakai lab tidak masalah lalu kembali lagi ke dokter katanya aturannya harus pakai lab. UDAH NUNGGU HAMPIR 3 JAM HANYA UNTUK DISURUH BOLAK BALIK DOANG. Kalau memang aturanya harus pakai lab kenapa berbeda dengan informasi di pendaftaran. RUGI WAKTU!
Untuk mas2nya yang di bagian pendaftaran & informasi cukup sigap tapi informasi yang di berikan dan yang dijalankan dokter berbeda. Harap diperbaiki lagi agar lebih sinkron antara bagian informasi dan dokter!
Untuk uang administrasi dikembalikan oleh bagian pendaftaran tapi BUANG BUANG WAKTU. HAMPIR 3 JAM LANTANG LANTUNG DI PUSKESMAS MEDOKAN AYU"
Naila Mochsen,5 bintang,"Sangat berterimakasih karena Puskesmas Medokan Ayu punya rawat inap. Pelayanan dari para perawat yang standby datang membantu sekalipun itu harus bolak balik dan dokter yang datang tiap jam 6 kurang (pagi), serta makanan baik serta obat²an sehari 3x plus suntikan tiap malam, yang di berikan untuk pasien, plus fasilitas kamar yang dingin serta kamar mandi dalam, yang sangat membantu pasien beristirahat. Sekali lagi kami ucapkan terimakasih."
Plecimania Nusantara,1 bintang,"Pelayanan lelet... Dari dulu kendala error sistem... Sudah tau waktu imunisasi, tapi seperti tidak ada persiapan.... Bidan galak2... Maaf terlalu jujur..."
Wanda Rizki Wijaya,5 bintang,"Pasiennya banyak tp pelayanannya sudah cukup cepat & cekatan meski terkadang ada kendala teknis, wajar karna surabaya sekarang sudah menerapkan layanan secara digital"
NaKanna,1 bintang,"pelayanannya jelek bgt, waktu itu saya datang hari jumat dan ketepatan jam 12. Saya tidak tahu kalau puskesmas tutup jam segitu, saya daftar jg di bolehin masuk dan boleh periksa. Kalau saya tau kalau puskesmas tutup ya saya gabakal periksa sampai buka lagi, ini sudah di bolehin daftar dan masuk, lah pas periksa malah di marahin sama yang ngecek tensi dan dokternya, saya di bilang ganggu waktu istirahat mereka.

Kalau begitu kenapa tidak dari awal saja saya tidak di boleh kan masuk kalau memang jam nya tutup? Iya saya salah soalnya ga ngecek google dulu kalau puskesmasnya tuh hari jumat tutup jam 12-2 siang. seenggaknya kasih tau di awal dong atau tanda atau palang dong biar pasien tau kalau lagi tutup bukannya malah dimarahin mana di kata katain lagi! jadi ga mood mau periksa di sini lagi. side eye banget 🙄🙄🙄🙄"
amalina farizah,5 bintang,"Saya datang jam 8 sesuai dgn waktu daftar online . Ke poli KIA . Tenaga medis disana masih muda2,ramah sekali, puskesmas jg terjaga kebersihannya. Menunggu antrian jg tdk terlalu lama. Semoga bs dpertahankan pelayanannya"
Revi andriy,5 bintang,"Alur pelayanan di KIA sangat jelas dan cepat. Bidan ramah dan memberikan edukasi kesehatan sangat jelas
Semua hasil pemeriksaan dijelaskan sehingga saya bisa paham tentang kondisi kehamilan. Terimakasih bu bidan-bidan puskesmas medokan ayu🫰🫰🫰 …"
martha merlin,3 bintang,"Tolong service nya di perbaiki, saya periksa dalam keadaan badan lemas. Saat antri no urut dapet no antri 60an tapi yg no urut 71 di panggil duluan, sdh antri panjang dan diarahkan ketemu sama dokter malah dokternya sibuk main WA"
Winda,1 bintang,"pelayanan dokter dan petugas sangat lama, terlebih ada kendala di jaringan internet, membuat proses pembuatan surat rujukan lebih lama, saya mengantri sudah 2 jam tapi masih belum selese untuk antrian poli umum."
Fugitive Indonesia,5 bintang,"Alhamdulillah imunisasi lancar, wajar antri lama dan selalu alasan jaringan eror. Kalau mau cepat sat set wat wet bisa ke RS Swasta dan dokter spesialis anak.. atau yang dermawan bisa sumbangsih komputer gaming dan pasang internet terkencang.. maklum permintaan banyak, tetapi sdm terbatas. Saran saja lebih baik bisa menggunakan sistem batas antrian per hari minimal xx, agar tidak terlalu ramai hingga berdesakan"
