reviewer_name,rating,review_text
Mir A Fikroh,1 bintang,"Maaf saya kasi bintang 1 dulu, lebih baik poster KOMPENSASI PASIEN dicabut saja karna tidak terealisasi. Saya daftar online ke poli umum dapat no.antrian 37 jadwal yg dilampirkan 8.30-8.45 tapi trnyta sampe jam 9.55 saya masih menunggu dipanggil, awalnya saya masih positif thinking kalau pelayanan staf tidak akan melebihi dari 1 jam karna kalau lebih dari 1 jam pasien akan diberi 50.000 sesuai poster, tapi nyatanya juga terlambat dan tidak ada kompensasi, jadi lebih baik posternya dicabut saja. Saya mau melampirkan video kalau memang se-lama itu (no.antrian dan jam pelayanannya) benar"" tidak sesuai, terlambat jauh, tapi trnyta hanya bisa melampirkan foto saja di ulasan.

Satu lagi, terkait parkir, padahal saya pernah datang kesana saat ada acara dari pemkot ada pemberitahuan tidak perlu bayar parkir apabila tidak dapat karcis, dan saat ada acara itu memang tidak dimintai uang parkir, tapi nyatanya hari ini saya ke puskesmas bapak tukang parkirnya nyegat saya buat bayar, bodoamat lah saya lanjut lurus aja karna juga dia gak kasih karcis tapi kok nyegat dan suruh bayar~ entah td si bapak ngedumel apa, saya gak denger, pokok dia gak kasi karcis ya saya juga gakmau bayar. Harusnya kalo sudah tau ada pemberitahuan seperti itu dari pemkot si bapak jangan memaksa, kalau memang ada yg mau ngasih ya ditrima, kalau enggak yaudah. Kalo pihak puskesmas udh tau ada pungli yg masih stay disitu harusnya tiru Indomaret/alfamart yg temboknya dikasi tulisan BEBAS PARKIR, biar nggak ambigu gini.

Smoga bisa lebih baik lagiThanks"
wahyu winarto,2 bintang,"Untuk pelayanan dokter ada yg saya akui bagus yakni dokter klinik gigi, pelayanan prima dan informatif, sedangkan untuk klinik umum agak kurang pelayanannya entah mungkin karena workload atau apalah, semoga menjadi lebih baik lagi, untuk administrasi saya tekankan ada mas yang biasanya jaga di layar pendaftaran, saya 4 kali ke puskesmas dan mendapat perlakuan yang sama kurang baik, menjawab tanpa menatap ke orang yang bertanya, menjawab sekenanya dan tidak senyum kalau pasiennya cowok, tapi beda jauh kalau pasiennya cewek, dan sering main HP ketika jam pelayanan, semoga ada evaluasi dari dinas terkait,"
May putri Wijayanti,1 bintang,"Hari senin tgl 22 jan '24 saya mmbawa anak sy periksa, sy heran sama dokter puskesmas saat itu. Ada 2 dokter yg satu tidak memakai hijab, yg satu memakai hijab. Kebetulan anak sy diperiksa oleh dokter yg memakai hijab, tidak diperiksa, hanya sesi tanya jawab dg saya. Padahal mestinya tenggorokan juga disenter agar tau klau amandel anak saya besar. Disitu saya menyimpulkan kalau periksa mending tidak bawa pasiennya biar istirahat saja dirumah. Dokter memberikan obat yg menurutnya sesuai dgn cerita saya, geram saya. Meskipun cuman puskesmas seharusnya tidak seperti itu cara memeriksa pasien. Periksa dengan benar, paling ndak standartnya seperti apa sih memeriksa pasien itu.. Selebihnya untuk petugas semua baik, dokter ini saja yg tidak pas menurut saya, via telp aja bisa kalau gitu, ndak usah dateng ke puskesmasnya!  👎👎👎 buruk sekali pelayanan dokter tadi"
Frengky Hendri,1 bintang,"Antrian baik yang online maupun offline masih sangat semrawut, semuanya berkumpul di depan loket sehingga berdesak2an sangat lama sekali. Mungkin sebaiknya untuk antrian online dipanggil satu persatu sesuai nomer urut. Petugasnya Masih ada yg bersikap arogan. Sangat tdk ramah. Lengkap deh (penderitaan pasien)"
wkwk wk,1 bintang,"Berharap pegawai diberikan sanksi berat krn tdk memenuhi SOP, ini org sakit sdh daftar online dan datang sesuai jam masih banyak molor  pegawai nya. Astaga ini org berobat kalian permainkan.."
Ariawan Wibisono,5 bintang,"Pelayanan yang ramah,memang ada beberapa yang tidak diperbolehkan,Krn memang ada hubungan dengan, peraturan. Harus ekstra sabar kalo mau berobat,Krn banyak kegiatan yang lain, kadang dokter hanya sendirian. Yang menilai buruk,itu karena tidak sesuai dengan keinginannya. Kita memang harus flexible bila berhubungan dengan peraturan."
Ais Puji Lestari 328 A5-18,1 bintang,"Pegawai negri yang tidak punya attitude
Saya daftar online dapat nomer antrian 78 di antrian tersebut tertera datang jam 12.40 , setelah saya sampai di PKM ini pegawai masih istirahat, saya tanya dong ke pegawai cewek yang ada di kasir karena setelah saya datang sudah melebihi nomer antrian sya, beliau nyolot , he said ""datang sesuai nomer antrian mbak, bukan sesuai jam""
Ya mana tau -_- apa gunanya media online kalau begini , dan di nomer tersebut ada jamnya juga 😏"
Aries Awan,1 bintang,Antrian obat lama banget lama sekali lama puoolll lagi lagi lama.mohon minta request ke DINAS KESEHATAN ATAU PEMKOT UNTUK TAMBAH PERSONEL !!!
Jessica Bella Timothy,1 bintang,"Pelayanannya jelek banget, dokter kok begitu kelakuannya, udah banyak yang review jelek ternyata. Kesalahan gak baca review google dulu"
iran nala,1 bintang,iki pukesmas tempat para dokter apa tempat para normal cukup kita cerita keluan dan tanpa d periksa udah tau ini cocoknya di kasih obat ini😌😌  jaman udah canggi …
Bacteria Bactero,5 bintang,"Puskesmas Menur aksesnya mudah, karena ada 2 pintu masuk. Bisa lewat depan dan belakang. Parkir belakang nyaman dan luas.

Dokter dan staff memberikan layanan yg baik dan ramah. Penjelasan terkait keluhan pasien juga dijelaskan dengan baik. Kebersihan tempat juga terjaga.

Sangat membantu dan bermanfaat bagi warga untuk mendapatkan pelayanan kesehatan."
Dekrit Frahmadia,2 bintang,"Oh jadi gini kinerjanya para “DOKTER” di Puskesmas. Gilak parah banget! Baru kali ini ISTRI SAYA USG GAK BISA DISINI!! Padahal kalian sudah koar koar, ada poli K.I.A disini, “BISA USG” disini, tapi nyatanya….. BISA tapi GAK PAKE GAMBAR VISUAL! Jadi, HARUS NUNGGU DOKTER PRAKTEK DULU, BARU BISA USG VISUAL

Jadi, setelah sekian lama tau, ternyata Puskesmas Menur untuk KIA OBGYN nya DOKTER TIDAK PUNYA JADWAL TETAP, soalnya saya tanya pada perawat yang ada disana, jawabannya “iya kadang dokternya datang siang, kadang sore”

Lhaa cook, gak nggenah blas! Tolonglah kalo memang harus pake DOKTER untuk bisa USG VISUAL, TETAPIN JADWAL DOKTERNYA, supaya pasien tau harus jam berapa kesana!

Dari sini kita tau, bahwa pemerintah surabaya terutama di dalam Faskes, measih belum bisa prepare tentang hal ini!"
