reviewer_name,rating,review_text
Sa Fitri,1 bintang,"kesini pertama kali karena rujukannya disini, biasanya ke pucang sewu sampe kaget pelayanan masyarakat apa yg galak seperti ini, kesini pernah datang terlambat sekitar 5 menit sudah diomelin habis²an padahal biasanya datang lebih pagi jg lama sekali antreannya itu pun sudah pesan online.
dokter yg pertama kali kutemui gaada meriksa pasien apa² cuma ditanyain lalu diomelin dokter yg ke3 kali kesini baru ramah disuruh istirahat dulu dikasih surat izin dibilangin kalo masalah lambung g melulu soal telat makan, bisa jadi ada pemicu seperti sambal,kecut, tape atau pikiran jg pdhl perawat didepan bilangnya krn telat makan
pernah mau periksa gigi baru telat 1 menit krn masih diparkiran pas masuk no polinya udah ganti 4 nomer didepan kek apakah secepat itu krn mls diomelin sama perawat disitu akhirnya kutinggal pulang aja
tolong di perbaiki lagi sistemnya saya akui saya salah terlambat tapi tidak perlu dimarahin didepan umum jg, itu pun hanya 1-5 menit waktu saya datang lebih pagi malah mengantri tidak sesuai jam yg ada di no antrean online dipanggil baru 1 jam kemudian"
mina ryn,3 bintang,"Kipas anginnya ga dinyalain. Padahal pasien nya crowded dan pada kipas. Udah ditanyain ke petugas, petugasnya ga respon. Padahal banyak lansia yang antri. Cuman dibelakang petugas yang dinyalain."
vebrika sarintohe,1 bintang,"saya pernah minta rujukan untuk orangtua saya yang sudah tidak bisa jalan karna komplikasi dirasa terlalu sulit membawa ortu sy ke puskesmas, jd sy yang minta rujukan untuk ke RS. Sampai di pendaftaran depan pintu petugas menanyakan kehadiran orangtua saya, begitu saya memberikan alasan. responnya sangat tidak ramah sekali, beliau marah dan bilang ""ke rumah sakit bisa berangkat ke puskesmas nggak bisa berangkat !!"""
Sofia Rosmala Putri,1 bintang,"pelayanannya buruk bgt, bolak balik puskesmas karna untuk dapet rujukan, tapi setiap kali minta ditolak dan katanya gapapa, dokternya pun jg gaada periksa2 cuma senter2 aja wkwk
lawak, curiga yg kerja di puskesmas ini minim ilmu kedokteran gaada etikad kedokteran sama sekali👎"
desnata surya,1 bintang,"pelayanan buruk.....saat kita datang lebih awal dari jam kedatangan dokter dan perawat datang terlambat lebih dari 2 jam.
jika kita datang terlambat disuruh n
menunggu dengan tidak ada kepastian....petugasnya kurang ramah..."
Kamara Yogaswara,5 bintang,"Alhamdulillah.. pelayanan di puskesmas mojo kali ini sangat berkesan. Meski antrean banyak pasca liburan, saya mendapat pelayanan yg sangat baik.
Petugasnya pun ramah2.
Gigi saya mengalami nyeri hebat sudah diterapi dg baik. Terimakasih Puskesmas Mojo"
Triana Pangestu,1 bintang,"Pengalaman yg mengecewakan, ketemu dokter wanita di pus. mojo rencana mau berobat karena keluhan sakit mual pusing dan demam.. eh koq mau di rujuk ke psykolog... yg  bener aja... tolong lebih disaring dokter2 yg bener2 melayani masyarakat dg hati bukan asal mendiagnosa... akhirnya harus pindah dokter di tempat lain dan sembuh dg obat dokter lain.. benar2 kecewa"
David Agustinus,1 bintang,"Berangkat dari jam 8 sampek rmh jam 12. Pelayanannya jelak lambat.
Bidan KIA melontarkan kata"" yg yg tidak pantas dan menyinggung pasien. Tolong pak walikota di perhatikan puskemas mojo. Saya kasi bintang satu karna sesuai dengan pelayanan nya"
Al Radya,5 bintang,"Pegawainya ramah, cekatan bisa mengatur antrian khususnya di poli umum yg super ramai, memang harus menunggu karena banyak yg sakit."
rizta razta,1 bintang,"Sangat KECEWA kepada LINMAS atau orang yang bertugas mengentry antrian di puskesmas MOJO..
karena sy tidak sempat melihat tag nama dada adapun cirinya petugas LINMAS memakai 3 cincin AKIK sebesar telor puyuh..

sy berniat BERTANYA  untuk ganti faskes dan berbicara PELAN tapi LINMAS memberi respon dengan berbicara KERAS seperti orang bertengkar, sy MALU dilihat banyak orang..

Mohon Kepala Pukesmas Mojo untuk menegur petugas LINMASnya supaya berbicara dengan SOPAN dan TIDAK KERAS..

Trimakasih.."
