reviewer_name,rating,review_text
endi81,1 bintang,Parkir tidak gratis ada tukang parkir liar /gak nya g tau yg jelas keluar bayar parkir meskipun 2k tapi bisa buat dia kaya apa lagi notaben puskesmas banyak org sakit makin cuan dia masa org susah di persusah lagi masa puskesmas g ada retribusi parkir Indomaret aja ada klo ada tukang parkir klo gratis mah gpp dia di bayar pemerintah klo masi pungli mah nyusahin
Taufik Atha,1 bintang,"Ini pelayanannya dimana ya.
Tolong segera diperbaiki sbelum firal. Spertinya disitu ada gabungan pungli.
Karna aneh.
Ceritanya. Td pagi saya antar istri untk tes darah KIA, sehari sebelumnya saya sudah daftar online. Singkatnya.
Kenapa masih di kenakan biaya 20rb. Dan parahnya lagi. Istri saya dminta KTP&BPJS kesehatan, tp kop masih dekenakan biaya tes darah 112rb.
Aneh ini. Harus dselidiki."
Nurhamidha Puspitasari,1 bintang,"gila sih, pelayanan buruk banget banget banget.
harus viral ini biar bisa berubah.
saya pasien bpjs faskes luar kota, sebelum sebelumnya sering periksa di pkm ini tidak pernah di kenakan biaya, lah ini tadi tiba tiba dimintain uang 20rb katanya krn ktp luar sby pdhl sebelumnya gapernah dimintain biaya. dan padahal sudah daftar online tapi berkas tidak disiapkan harusnya kalau sudah daftar online tinggal tunggu antrian dipanggil wkwk aneh."
Magfira Lilik Maslicha,1 bintang,"Sumpah parah bgt pelayanan nya. Buang² waktu org.. 2x bolak balik mau kb ditolak, yg awal karna mereka yg salah nulis bulan. Sebelumnya aku uda tanya sebelum tglnya boleh ga? Dan dijawab boleh. Hari ini kesana lagi, ditolak krn belum tglnya. Bener² buruk bgt pelayanannya. Uda judes. Ngirit kalau ngmong ga senyum sama sekali. junior nya ngangong aja nurut bgt sama seniornya"
Sofia Leonor,1 bintang,"Aku sakit gigi dan ke poli gigi tapi kata dokter giginya gigiku gak ada apa2, padahal aku sudah bilang ke dokter giginya jika gigiku ini ngilu udah 3 hari terus sama dokternya cuma di resepkan 2 obat dan itu gak ada hasil sama sekali, Gigiku sampai sekarang masih sakit gak sembuh malah tambah parah sakitnya"
Vika Oktavia,1 bintang,"2x datang daftar buat periksa kandungan malah di suruh datang hari senin padahal saat itu hari kamis ada jadwal usg knp kok g di suru  ikut usg malah di suru pulang balik senen, sudah 2x seperti itu akhirnya males ke puskesmas itu lagi, kalo g ikhlas kerja di pelayanan masyarakat tidur aja di rmh dari pada jutek, apalagi yg bagian pendaftaran antrian itu suru tidur aja di rmh g usa kerja"
imam aditya,1 bintang,"Minta rujukan siang srh balik besok pagi parah malah di tinggal makan

pkm lain aja  Bisa kok dtg sore tetap di buatkn rujukan. Chontoh pkm sememi pakal"
Deby Febrian,1 bintang,"Penanganannya LAMBAT, seharusnya penyakit yg urgent didahulukan bayi dan lansia, kasian mereka antri lama"
Juliana Naa,1 bintang,Ya pantes aja banyak yg ngasih bad review 😄.. ternyata pelayanan nya gitu.. 🤣.. kacau.. …
Revandinar 2011,3 bintang,"Pertama datang ke puskesmas ini. Agak wow yaaa, ruang antriannya di teras yg sempit kena panas pula. Periksa pasien juga di teras. Beda sama puskesmas lain, klo periksa pasien tuh di dalam ruangan. Kayaknya bangunannya terlalu kecil untuk dipergunakan sebagai puskesmas jadinya yaa gitu. Btw untuk antrian farmasi tergolong cepat sih. Kalo boleh saran sih itu depan puskesmas di kasih jaring net buat peneduh. Semogapelayanan ditingkatkan jangan sampe kalah sama pelayanan PKM laine"
Incendio Leviosha,1 bintang,"SANGAT SANGAT BURUK !!!

1. pelayanan SUPER LELET
2. pegawai SANGAT KURANG RAMAH
3. kotor, sempit dan kurang terawat
4. DOKTER nya ASIK MAEN HP,, saat saya sudah didepan itu dokter, dia masih sibuk ketik² hp, saya panggil sampe 2x dibalas cuma ""bentar"" apa²an ini??????
5. sistem nya kurang stabil, setiap masyarakat harus selalu tanya petugas, lha petugas yg ditanya jawaban nya selalu JUDES, DAN CUEK.

saya mencoba membandingkan dengan PUKSESMAS RANGKAH, wih sangat berbeda jauh.. disana sangat tersusun rapi, berderet dan dijamin gak bakal bikin bingung masyarakat..

ini saya masih menunggu panggilan loket, gak tau nanti gimana pelayanan dokter nya 🤐"
Johan Effendy,1 bintang,"ini puskesmas gak jelas, masak periksa hari senin saya di bilang pemalas biar saya gak kerja hari senin, emang kalo yang sakit hari senin itu orang pemalas semua"
Fitri Santoso,1 bintang,puskesmas kok pegawai nya males2 terutama farmasi aneh balita disuruh minum tablet... padahal resepx puyer alasanx terlalu makan waktu lama. perlu diviralkan ke media bila perlu ke pemkot surabaya
dona doni,1 bintang,"Puskesmas parah pelayanannya
GA ADA RAMAH-RAMAHNYA
JUDES
MALES
LEMOT

Ngomongnya ga bisa santai,teriak2

Bahkan bintang 1 pun terlalu bagus"
Bambang Ganteng,1 bintang,"orang sakit di suruh istirahat sama dokternya tapi malah di kasih surat keterangan berobat dengan keterngan bisa bekerja hari ini 😄,udah meriksanya cuman di tanya2 doang gk ada diagnosa penyakitnya apa. langsung di kasih obat saya kira bakal sesuai dengan tulisan suratnya bisa langsung bekerja ternyata di minum obatnya sakit nya aja gk berkurang tetep aja jalan sempoyongan. Giliran puskesmas lain di kasih surat sakit kalau memang kondisinya di suruh istirahat dan obatnya lebih bener"
Rumi Ana,1 bintang,"Orang mau cabut gigi malah pake syarat vaksin 😓
Dokternya gak niat, baru datang jam 7
Saya bandingkan dengan Puskesmas Dupak, beda jauuuuh banget
Saya sampaikan k dokternya, Eh malah sama dokrernya disuruh pindah ke puskesmas dupak aja, hadeeeh waktuku sia² hari ini, udah jauh² niatnya mau benerin gigi krn udah bengkak malah pulang kecewa dan masih dgn rasa sakit👎👎👎"
yaki fuad,1 bintang,"selamat pagi...
mohon maaf sebelumnya
minta tolong di perhatikan lagi untuk pelayananya.
contoh..
selesai tensi.
silahkan duduk dulu mas..
nanti di panggil
selang beberapa menit.
saya liat ada pasien yang baru masuk.. setelah saya. kok bisa masuk ya. saya positif aja fikiran saya. kemudian kok yg baru masuk lagi 😊. wah.. ada yang gak bener ini.. saya tanyakan lagi permisi bu. mohon maaf .. ini sistem panggilnya dimana ya???
waduh.. tadi bilangnya di pangggil
lah.. saya sendiri gak duduk. saya kasian sama ibunya yg ndak bisa liat. gak dapat duduk . ya q berdiri aja.. sambil nunggu panggilan..

begitu ceritanya..
saya mohon maaf apabila ada salah kata saya.

minta tolong di perhatikan lagi.
nahan sakit atau nyeri itu gak gampang loh..

pliss lahhh
astagfirullah al adzim.."
Silvia Anggaeni,1 bintang,"Pelayanan sangat tidak ramah dan teriak².
Penjelasan kan bisa perlahan karna saya duduk didepan petugas tp petugas mengeraskan suaranya ketika menjelaskan.
Semoga diperbaiki cara kerjanya, bekerja dilayanan publik tp tidak sabaran
Aneh."
monica elvares,1 bintang,"petugas loketnya memberi jadwal informasi poli kepada pasien kurang jelas..
saya udh 2x mondar mandir ga ada hasil. apalagi saya ini pekerja ga bisa izin seenaknya, jujur kecewa sekali sma pelayanan puskesmas ini responnya lambatttttt"
panca pilar perkasa,1 bintang,"pelayanan buruk, tidak bisa menghargai pasien, pasien sakit dibentak"", minimal kalo ada salah/keliru bs ditegur dgn sopan/baik. sy sakit hati org tua sy pulang mengeluh pelayanan seperti ini. seperti tidak tau etika. coba bayangkan kalo itu org tua nya dibentak seperti itu. dokter, perawat bahkan kasir sm aja gk ada yg bs dipilih. bad attitude. mending tutup aja deh !!!!"
Neylla19,1 bintang,Pelayanan buruk lama bnget lelet vaksin dri jm 11 nunggu smpe set 1 blom juga siap hadee nyesl
Yulia lestari 18,1 bintang,"Pelayanan sangat lelet, minta surat rujukan antri dari jam9 sampe jam1 ga kelar2 malah disuruh antri pindah2 tempat duduk. Dan kebanyakan dokternya cuek apalagi yg jaga loket mohon ditingkatkan lagi pelayanannya trims."
