reviewer_name,rating,review_text
Karolin Chandra,5 bintang,"Pengalaman ke Puskesmas pertama setelah punya anak yang cukup menyenangkan dan baik. Tempatnya bersih dan pelayanannya ramah dan cepat. Registrasi untuk sub pin polio cepat dan nyaman, ga ribet lah seperti yang saya bayangkan selama ini. Ditingkatkan terus ya kualitas dan pelayanannya. Bangga jadi warga Surabaya."
Azana Cake,1 bintang,"Waktu itu saya ke pre eklamasi(?), saya juga kurang tau ibunya bidan atau bukan, tapi dari etika sampai omongannya jelek banget. Hitung HPL dari HPHT padahal case nya berbeda, karena saya ada masalah lain, saya sudah jelaskan juga masalahnya tapi ibunya ternyata tidak tau penyakitnya dan tetep kekeh hitung dari HPHT. Ketika selesai mengisi buku, buku dilempar seperti tidak punya etika. Belum lagi dibilang “lumayan dapet susu (prenagen) susune mahal loh”. Alhamdulillah sy mampu beli susu 100rb an, kalau 1x kontrol spOG mitra keluarga 900rb dana pribadi😆
Terus ada lagi 1 mbak di Gizi juga yng bagian ngetik komputer, ketika ada dokter bilang bahwa saya KEK, mbaknya motong pembicaraan dokter dan ekspresi nya seperti “merendahkan” 🥴, tanya juga “di sby ngekos ta?” Padahal saya punya rumah dan punya kos2an 😆
Saran saya, lebih diperhatikan lagi etikanya dalam melayani masyarakat. Jangan terlalu merendahkan orang wkwkk"
Agus Puji,5 bintang,"Untuk sound dan LCD antrean tidak berfungsi dg baik, mohon diperbaiki ya."
aisyah mawaddah rachmah,2 bintang,"Sudah menunggu > 1 jam utk vitamin A dan pin Polio ternyata tdk bisa dilayani karena tempat tinggal sy bukan wilayahnya pkm mulyorejo. Harusnya dr awal daftar dibilang kalo salah pkm. Pdhl sdh diminta KK uda didaftarin jg. Ga dicek ulang, jadi sia2 waktu menunggu. Walau akhirnya dibolehin pin polio. Tetep aja vit.A gabisa.."
rini wati,1 bintang,"Saya malas berobat ke puskesmas atau rumah sakit. Karena kita sebagai pasien bukan diperlakukan layaknya seorang pasien zaman dulu. Tapi kita dianggap sebagai pelanggan saja. Karena yang diharapkan hanya cuan.
Saya lebih percaya dengan ramuan - ramuan herbal dari warisan leluhur kita."
Budianto Tejo,5 bintang,"Puskesmas sudah buka dengan jam operasional terbatas. Bisa cek kesehatan disini. Ada poli gigi, lansia, bayi, juga untuk keperluan calon pasangan suami istri."
Dita Permata,1 bintang,Anak saya usia 1 tahun 20 bulan.  Mei mau 2 tahun. Sedangkan anak saya udah bapil 1 bulan lebih. Saya minta rujukan susah. Saya di sruh ke lab cek dahak. Sedangkan anak umur se anak saya itu kumur aja ndk bisa loh apa lagi kluarin dahak. Anak saya batuk aja riak g bisa kluar sama sekali. Saya sudah priksa ke klinik 2x. Dan msih belom sembuh mangkanya saya minta rujukan. Dan belom bisa katanya ga parah hanya bapil saja. Trs ini saya di sruh nunggu 3 hari. Padahal bapil sudah 1 bulan. Awalnya bilang di poli umum hrus tes dahak. Giliran ke langit brubah omongan obat hbis nntik di ksih rujukan.. Gmna ya ini yg bener. Kk brubah omongan terus. Sudah bgt minta rujukan
Oziek,5 bintang,"Respect buat dokter & perawatnya...saya dari luar kota tapi kerja di sby..saya ke poli gigi pelayanannya baik,ramah & sigap...recommended buat jadi faskes pertama...terima kasih 🙏 …"
lety Setyowati,5 bintang,"Pelayanannya ramah dan detail, fasilitas lumayan lengkap, semoga dengan saya pindah faskes ke sini bisa cocok, Puskesmas 24jam"
Nadia Insani,2 bintang,"Terima kasih karena sudah tetap diberikan pelayanan dan penanganan. Mohon maaf sebelumnya, saya ingin memberikan saran dan masukan karena puskesmas adalah pusat kesehatan masyarakat, maka dari itu mohon sangat bagi para dokter maupun perawat ataupun staf lain yang ditugaskan untuk melayani masyarakat agar selalu menerapkan nilai etika yang sudah mereka sanggupi jika bekerja di profesi yang mereka sedang jalani sekarang. Saya berharap agar tidak ada lagi complain seperti pada ulasan di bawah ini terkait pelayanan karena jujur setelah saya pergi kesini benar adanya saya juga mengalami hal serupa. Mohon maaf juga karena saya rasa tidak semua masyarakat memahami dan mengerti situasi yang sedang mereka alami sehingga mereka datang kemari. Maka dari itu, menurut saya tidak perlu seorang dokter malah seakan menyalahkan atau memarahi pasiennya dibanding memberikan masukan, pemahaman, ataupun nasihat dengan nada bicara dan bahasa yang baik serta enak didengar. Semoga masukan-masukan dari kami bisa menjadi evaluasi agar lebih baik. Terima kasih🙏"
