reviewer_name,rating,review_text
Satyo Pramono,5 bintang,"Pelayanan puskesmasnya terutama Poli KIA dan Labnya serta bagian umumnya sangat TOP, petugasnya responsif, penjelasannya sangat jelas,
sukses untuk puskesmas ngagel rejo jangan cepat puas dan terus upgrade"
Yeyen Septiyowati,5 bintang,"Pelayanannya sekarang lebih baik. Buat bumil di antarkan ke poli2 lainnya untuk cek kesehatannya.
Buat poli kia mbak2nya jg ramah2.
dapat biskuit jg sekardus. Hehe"
Wiji Utami,5 bintang,"Pelayanan poli KIA untuk calon pengantin petugas ramah, di jelaskan detail alurnya serta sabar kepada pasien.. Puas dengan pelayanan.. Trims kasih🙏 …"
Anna Isnawati,5 bintang,Pelayanan poli KIA jelas n petugas ramah... Terutama calon penganti sudah d jelaskan secara detail... D berikan arahan dan multivitamin Laduni juga . Trimaksih
Henis Kitty,5 bintang,"pelayanan poli KIAmemuaskan,, dokter dan tenaga kesahatan lainnya juga ramah... sangat memperhatikan kesehatan ibu dan anak ,.dapat susu juga untuk mendukung pembarian asi ekslusif🫰 …"
Ciska Ciss,5 bintang,"Dari sebelum hamil sampe punya anak, imunisasi juga disini. Dokternya sabar dan baik2. Dikasih susu buat penyemangat mengasihi. Terimakasih Dokter dan Bidan KIA nya puskesmas Ngagel Rejo❤❤"
Hafidz Firmansyah,5 bintang,"Puskesmas yang sangat nyaman, pelayanan dokternya baik dan sopan, kenyamanan untuk ruangan juga nyaman banget, dingin dan tertata dengan baik, untuk dokter umum nya tidak cuma 1 atau 2, tapi lumayan banyak, jadinya menunggunya cepat dan bebas hambatan"
Siti Marokatun,5 bintang,Pelayanan poli KIA untuk pendaftaran calon pengantin jelas dan mudah di pahami penjelasan dari petugas... Alhamdulillah di bimbing dgn mudah... Trima kasih puas dgn pelayananx 🙏 …
gisella anggraini,5 bintang,"pelayanan oke, ditangani oleh bidan Feni, walaupun libur lebaran masih dilayani dgn baik dan ramah"
Ike Andini,5 bintang,"Bongkar pasang KB Implan, alhamdulilah gratis tis, nakes kia nya ramah, tapi pelayanan loket lebih di tingkatkan lagi lebih ramah dalam memberi informasi"
ainur fadila,5 bintang,"Pelayanan poli kia Sangat baik, ramah dan informatif"
Sri Wati,5 bintang,Pelayanan poli KIA untuk calon pengantin petugas ramah penjelasan detail dan di arahkan alurnya... Trimaksih
Febri Siwi Tri Utami,5 bintang,"Sebelum kesini baca2 ulasan di gmaps bikin takut duluan krn pada bilang ketus petugasnya, tapi tetep nekat kesini karena mau periksa awal kehamilan. Ternyata ulasan2 itu ga sesuai. Pelayanan sebenarnya cepat dan ramah pol, diarahkan kemana2nya jelas. Mulai dari satpam, loket, perawat, dokter semuuaannyaaaa ramah. Poli KIA apalagi, udah kayak temen, seru banget, nyaman.
Bayar 20rb di loket krn bukan KTP asli surabaya, habis itu krn BPJS saya bukan faskes disini jadi periksa awal hamil yg lengkap banget itu bayar tapi cuma 130rb, , udah itu doang.
Oiya, saran untuk daftar lewat online dulu biar ga antri lama.
Minusnya cuma satu, udaranya bau sampah karena deket tempat pembuangan akhir (TPA) kayaknya, lumayan mengganggu buat bumil yg sensitif bau-bauan, tp masih aman krn bisa pake masker."
stefanig kramer,5 bintang,"Poli KIA. Check imunisasi.
Masha Allah pelayanannya cepet dan bubidnya ramah ramah, sangat informatif sekali. Dan pulang dapet bingkisan susu menyusui buanyak banget."
Marfuah Aulia,5 bintang,Pelayanan poli KIA petugas menjelaskan detail mudah d pahami dan sangat ramah... 👍 …
