reviewer_name,rating,review_text
fairus salliah,1 bintang,ini nunggu hampir sejam loh katanya break tapi satu ruangan .emangg ga gantian untuk jaga ya? udah dua kali di samperin ngomongnya masih break ! malah cengigisan di dalam ruangan berisik bgt parah
Regita Maulana,1 bintang,"Pelayanan KIA ny males !!! Semua di dalem ruangan pada nganggur gak kepanggil"", ditanya kenapa gak d panggil jawab e malah iya bentar lagi 💀 taeeekk …"
Kerin Oktifah,1 bintang,"Bingung banget sama pelayanan puskesmas ini, mau minta rujukan saja di persulit, kami tahu kok kalau semua ada prsedur nya bagaimana dan apa yang harus di lakukan, anak sesak nafas sejak 2 hari yang lalu sudah di bawa ke IGD dan dr menyarankan untuk ke poli asma. mau minta rujukan ke puskesmas karena mau tahu apa penyebab sesak nafasnya tapi di puskesmas bilangnya "" sesaknya karena batuk itu, saya kasih obat batuk aja "" akhirnya tanpa mau debat dan fikir panjang pergi langsung ke Poli ASMA dengan menggunakan UMUM
Dan bisa di bilang kena penyakit yang serius, jika terjadi apa apa bagaimana? Apakah pihak puskesmas mau bertanggung jawab? Kita sebagai keluarga pasti mengusahakan sebaik mungkin tapi ternyata hasilnya nihil, tolong di perbaiki lagi dan lebih di perjelas anamnesa pasien dan menanyakan lebih lanjut mengapa mengapa nya, bukan terburu buru dan mengambil keputusan sehingga membuat pasien tidak nyaman dan kapok untuk datang ke puskesmas lagi"
Waskitho Wee,5 bintang,"saya ke sini pas hari kerja, bikin surat kesehatan.
lumayan cepet sih gak sampe setengah jam udah dipanggil,
gak tau lagi kalo weekend
yang jaga ramah, dokternya juga ramah.

Edit 6 jan 2024:
Ramee saat weekend, mau bikin surat sehat aja sampe antri 3 jam, lebih baik pesan antrian oline aja, ntar tinggal datang sesuai jam antrian, gak usah kuatir kelewat, nanti dipanggil ulang"
Kurnia Angger,1 bintang,"Parah banget pelayanan nya, minta rujukan di persulit. Priksa ke igd RS krna sesak, besok nya dianjurkan minta rujukan dn kontrol ke poli asma RS utk observasi. Tpi di puskesmas ini malah gk di kasih rujukan dgn alasan wktu pasien datang ke puskesmas dlm keadaan sesak sudah berkurang. Hanya di kasih obat batuk dri puskesmas, dokter nya pun gk kompeten, udh jelas nafas nya ada mengi cuma dibilang batuk biasa, sesak krna batuk nya, cuma di kasih paracetamol. PARAH ! Akhirnya tetep kontrol ke poli asma pakai UMUM dn benar saja ternyata kena bronkitis.
Udah ngantri lama"" sambil nahan sesak, malah gk dapat rujukan. Tolong pihak terkait, audit ini puskesmas nya. Faskes yg bikin kapok."
L lauw liet,1 bintang,"Pelayanan kayak taii,semua karyawan serasa owner seenaknya sendiri makan bercanda ngobrol ghibah di jam kerja.
Pasien serasa pengemis disini.mohon disidak dan dirombak semua untuk puskesmas taeek ini"
I Ca,1 bintang,"Parah, niatnya pgn sembuh malah di bikin bingung. Mau ambil obat di apotik dan sudah bilang ‘mau ambil obat atas nama Monica’ malah di suruh pegawai apotiknya ke poli KIA di poli KIA pun di tanya mau ngapain? Lah ya sy ini juga gatau knp di suruh kesini, sy jelaskan lg ke poli KIA kl sy ini sudah periksa di poli umum dan di suruh ke apotik utk ambil obat malah sm mbak2 apotiknya di suruh ke KIA. Masalahnya di apotik ini ada 3 orang masa gaada yg ngeh kl nama sy monica bukan mau nikah. Terlalu lemot dan bikin kesel."
Nimas Dyah Kusuma,2 bintang,"Apapun penyakitnya pasti dibawakan paracetamol lawak sekali, kadang malah gag diperiksa sama sekali cmn ditanya sakit apa? Udah langsung bawa paracetamol, diperbaiki deh serius. Imunisasi juga lawak, dapat pvc ditanya panas gag? Dijawab gag panas pdhl beda2 setiap anak. Harusnya jawab lah "" efeknya beda2 bu, mending sedia paracetamol sirup"" kan begitu? Pikir deh kl ortu nya gag ada sedia obat penurun pranas kan bahaya. Dapet DPT, PVC, ROTA, POLIO pun gag dibawain paracetamol sirup gag di info juga bakal panas. Untung sudah pengalaman anak pertama, kl New Mom macam mana? Lawak"
Alicia Arifinsyah,1 bintang,"Pelayanan nya super lemottt sekali padahal sepi tidak ada pasien.. dokternya malah keluar masuk ketawa"" di dalam ruangan, padahal kasian pasien sudah menunggu"
I P K,1 bintang,"Saya umur 30 thn,mau periksa sama cek darah tp katanya gak usah karna masih muda.. pas periksa di luar ternyata gula darah tinggi bgt.. apa karna gratis jd dokternya seakan"" gak mau tau kesehatan pasiennya, itu pun gak diperiksa cuma di tanya"" keluhannya apa aja gt.sangat amat kecewa,trus gunanya jd dokter apa?cuma pengen punya gelar aja gt?biar dibilang WAH"
Amir,4 bintang,"Antrian loket cepat, pegawainya ramah-ramah, antrian poli umum cepat, dan pelayanan poli umum cepat. Surat keterangan ditandatangani oleh dokter dengan SIP tidak tercantum NIP."
medical record,1 bintang,"Pelayanan buruk kepada pasien ,
Saat datang ke pkm sdh di info memang saya bukan faskes situ tetapi sudah saya info bila ada selisih atau biaya akan saya bayar karena di pendaftaran loket dari mas nya sudah diinfo iya bu tinggal tunggu panggilan dokter.
Saat masuk ruang dokter yg saya dapat hanya omongan yg kurang enak padahal tujuan saya berobat untuk anak saya ditambah lagi asisten yg kurang peka gimana cara kerja nya kalau setiap px diperlakukan seperti itu .
Saya harap ada perubahan posisi dokter yg lebih baik ramah dan tama
Apa karna bpjs saya bukan faskes sana jadi perlakuan nya beda haha
Kecewa berbobat di pkm ini."
