reviewer_name,rating,review_text
Rizki Zulfikar,5 bintang,Pelayanannya sangat baik apalagi terhadap sy pasien baru. Petugas registrasinya sangat ramah dan informatif. Sehingga sangat mudah dan tidak ribet. Tempatnya adem dan bersih.
Onny Fishing Fish,1 bintang,"Pelayanan nya selalu aja buruk,, bahkan jam nomer antrian pun juga tidak sesuai dengan pelayanan nya.. obat pun juga mesti disuruh beli di luar.. padahal kan obat itu juga sudah di cover BPJS..
Bahkan dulu pernah minta Surat Rujukan pun ga di kasih sampai akhir nya Anak masuk UGD..
Tolong dong puskesmas Pakis ini di PERBAIKI PELAYANAN nya,, Tolong OBAT nya juga di stok biar ga harus beli di luar,, & utama kalau minta RUJUKAN itu jangan di belit""."
nataaa,5 bintang,"overall bagus, sat sett kakanya.
nb: mungkin kalo ada perubahan harga dan lain2 di infoin biar gajadi kesalah pahaman."
Diansyah Saputro,1 bintang,"Untuk pertama kalinya mencoba berkunjung ke sini, mengantar ayah yang sedang sakit. Sebelumnya sudah telpon, untuk yang sore katanya buka jam setengah 3.
Pertama kali masuk, wah tempatnya bagus dan nyaman.
Tanya ke petugas, katanya tidak perlu ambil nomor karena nanti langsung dipanggil (agak aneh karena bagaimana mereka tahu pasien-pasiennya kalau tanpa didaftar), akhirnya kami menunggu.
Saat itu juga ada beberapa pasien yang menunggu.
Setengah jam berlalu, masih belum ada kejelasan.
Akhirnya ada salah satu pasien bertanya bahkan sempat marah.
Satu jam berlalu, sampai jam 4 baru petugas yang tadi bilang tidak perlu mendaftar, akhirnya buka loket.
Jujur, dari situ saja saya sudah kecewa berat.
Pas ditanya, alasannya petugas loket yang sore belum datang, apa-apaan ini. Niat kerja atau tidak.
Yang bikin kecewa lagi ada pasien yang baru datang langsung menyerobot.
Dan saat pasien A yang bersama dengan saya mengomel karena menunggu lama malah disindir sama petugas loket dan malah mengadu ke pasien lain, staff macam apa itu.

Jam setengah 5 kami baru dilayani di pelayanan umum.
Suster yang bertugas ternyata masih baru dan terlihat tidak begitu paham, tak apa.
Saat masuk ke ruang pelayanan, Dokternya sangat mengecewakan, saya yang mengantar ayah sempat disuruh ke pojok, diusir.
Kondisi dokternya pun sebenarnya tidak sehat, mana ada Dokter melayani pasien dalam kondisi sakit. Banyak bercanda, mengobrol, tidak fokus saat memeriksa pasien.

Saya yang tadinya juga ingin periksa langsung membatalkan, karena sudah kecewa denga pelayanan juga staffnya.
Sudah menunggu 2 jam malah kecewa.

Puskesmasnya memang sudah bagus dan direnovasi tapi sayangnya pelayanan, keramahan, dan staffnya tidak sesuai dengan kondisi bangunannya.

Semoga ke depannya bisa lebih ditingkatkan dan mempekerjakan staff yang memang bertanggungjawab dengan tugasnya.
Tugas mereka melayani, bukan untuk mencaci..."
Oshaira Elfazha,5 bintang,"Minta Rujukan mudah sekali, petugasnya cepat tanggap , tingkatkan terus puskesmas pakis"
Nindya Dewy,5 bintang,"Bidan sangat ramah, ruang berslain ber AC, gratis foto baby lagi"
dzeko alzhavien,5 bintang,"Bagus, petugas ramah sekali , pelayanan makin oke dan cepat"
Aflah Prayoga,5 bintang,Pelayanan nya bagus dan dokternya serta para pegawai sangat ramah
harist Alwi,5 bintang,Pelayanan sangat baik dan ramah.tempat bersih dan petugasnya cekatan.pokoknya Dateng datang lansung ke puskesmas pakis.
puspa kamis,5 bintang,Berobat di pkm pakis petugasnya ramah2....
Berlian Duta Krisna,5 bintang,"Pelayanan cepat, petugas ramah, fasilitas bersih dan lengkap"
Ayou nieta,5 bintang,"Petugas ramah, pelayanan cepat, tempatnya bersih."
Inaya Esa Dara,5 bintang,pelayanannya bagus & staff nya sangat ramah” semua
Kiki Yuni As,5 bintang,"Puskesmas pakis surabaya
Pelayanan sangat bagus sekali, petugasnya sangat ramah2 😍 …"
Santy Novita Situmorang,5 bintang,"Terima kasih puskesmas pakis utk pelayanannya,,terima kasih atas penjelasannya yg cukup jelas ,,,,,,"
Santi Karnowati,5 bintang,"Pelayanan mantap, nakesnya jg ramah"""
Dwi Mega Nanda,5 bintang,"Puskesmas nya bagus bersih pelayanan nya baik ramah, dan puskesmas nya semakin maju"
salsabila nugroho,5 bintang,pelayanan cepat👍🏻 bidan ramah dan super helpful …
Erny Zein,5 bintang,"Bidannya ramah, pelayanan memuaskan..."
umi kalsum,5 bintang,Pelayanan puskesmas pakis sangat sat set wat wet....kueeeeerreeeeeennn👍👍👍👍👍 …
Umi Ati,5 bintang,Pelayanannya mantap dan sangat membantu. Semoga terus semakin baik melayani masyarakat
nurani ratria,5 bintang,"Pelayanan baik, bidannya ramah dan informatif"
Alfi Fiyah,5 bintang,"Pelayananya cepat sat set wat wet.
Bidan dan dokternya juga Rama
Bersih dan nyaman."
Muhammad Zakaria,4 bintang,jam istirahatnya dri jm brpa smpe jm brpa ya mungkin ada yg tau🙏 …
reina arka,1 bintang,"Puskemas layanan terburuk sangat lemot, banyak pasien lansia dan anak2 terlantar.  Jam 8 harusnya sdh ready dan siap semuanya, eee malah pada barusan datang, semua manajemen dan pimpinan harus diganti semua. Aku yg warga kembang kuning aja lebih baik dan bagus priksa ke puskesmas putat jaya. Mohon pak walikota untuk di sidak dan ditindak lanjuti"
Surya Bimantara .S,1 bintang,"Infra strukturnya sudah diperbarui tapi pelayanannya tambah parah, dan sangat amat lambat tidak karuan. Saya hanya ingin surat keterangan sehat sudah menunggu selama 2,5 jam. Yang biasanya kalau antri sangat banyak dulu hanya memerlukan paling lama 30 menit. Sekarang yang tidak begitu ramai masih menunggu 2,5 jam dan ini juga belum di panggil ke loket/dilayani. Kemarin disuruh pulang juga dengan alasan sudah tutup jam 1 siang, padahal waktu itu masih jam 12 siang. Tolong dibaca, renungi, intropeksi dan rubahlah keburukan anda. Dan pemerintah tolong diperhatikan dulu dari bawahnya."
akhmad junaidi,4 bintang,"Tempatnya kondusif. Petugasnya ramah, antrian tertib. Alat2 kesehatan lumayan lengkap"
tsana vania,5 bintang,Pelayanannya bagus banget terima kasih
Wiwin Cahyani,5 bintang,Sangat membantu dengan informasi yang jelas baik tentang kesehatan maupun info BPJS. Tempatnya luas dan nyaman. Bangunannya bagus👍 Tetap memberikan pelayanan yang baik buat Puskesmas Pakis …
Renita Nurlizawati,5 bintang,Tempat nyaman dan bersih. Tidak berobat hanya menanyakan informasi BPJS tapi dijelaskan dengan baik. Terima kasih
Anita Kumaladewi,5 bintang,"Pelayanannya baik, periksa dan menanyakan informasi BPJS dijelaskan dengan baik dan di bantu untuk aktivasi. Terima kasih"
anisa elhanur,5 bintang,Pelayanannya baik
mhinnie zy,5 bintang,Puskesmas pelayanan cepat dan petugas ramah sekali
Vaadira safitri,1 bintang,"Pelayanan sangat lama, pegawai tdk ramah, antrian trlewat 2 aja uda dintaruh di paling belakang. Klo di puskesmas lainnya, yg trlewat pasti lgsung didahulukan."
Wari Moerjati,5 bintang,Petugasnya baik dan mau membantu. Tempatnya nyaman
Joko Marsono,1 bintang,"Minta surat rujukan sulitnya minta ampun , mungkin harus kritis dulu baru dikasih rujukan"
Ibu imam3,5 bintang,Pelayanannya baik gedungnya bagus petugasnya ramah dan menjelaskan dengan jelas. Terima kasih
Mira Harsono,5 bintang,Terima kasih atas bantuannya dan informasi sangat jelas. Gedung Puskesmas bagus dan pegawai siap membantu dan melayani dengan baik.
Intan Putri,5 bintang,"Pegawanya ramah²,pelayanan cepat"
Karyawati Dampit,5 bintang,"Saya periksa di ruang KIA, dilayani dengan baik. Begitu juga dengan poli lainnya. Informasi sangat jelas di bagian informasi. Terima kasih"
Indra Yuliati,5 bintang,Pelayanan baik dan membantu pasien saat pemeriksaan/informasi
Dimass bw,5 bintang,Sangat membantu dalam menjelaskann  informasi. Tempat sejuk. Semoga pelayanan semakin baik untuk kedepannya
Ny Djumiah,5 bintang,Pelayanan memuaskan...👍 …
Christina Widyastanti,5 bintang,Petugasnya baik dan membantu dalam memberikan penjelasan. Tempatnya nyaman
Farida choviva,5 bintang,"Pelayanan cepat,"
Pak Ali,5 bintang,Petugas sangat membantu dalam memberikan informasi dan pelayanan. Bangunan bagus dan luas
Wahyu Kancil,1 bintang,"Sangat tidak relevan buat orang yg sakit parah, pelayanan,sangat lama , tidak ada konfirmasi.."
Hari Yadi,5 bintang,Sangat membantu dalam memberikan informasi seputar kesehatan maupun BPJS. Terima kasih
Bu Misinah,5 bintang,"Pelayanan baik, pagawai ramah dan membantu, dokternya juga baik. Sangat membantu. Terima kasih"
Sapiko Kentang,5 bintang,Datang ke Puskesmas Pakis konsultasi kehamilan dan minta bantuan BPJS dilayani dengan baik sampai selesai
Siti Zaenab,5 bintang,Bersih sejuk pelayanan ramah pemeriksaan cepat dan teliti
Hariyanto Hyto,5 bintang,"pelayanan cepat, ramah, dan sangat membantu.
sayang parkirannya agak tidak beraturan"
ulala gemez,1 bintang,"Pelayanan kurang bagus,pegawainya bad attitude,kurang aware sama pasien,melayani orang sakit ini,bukan hewan sakit......perlu disidak"
Arul Longor,5 bintang,Saya datang ke puskesmas pakis untuk menanyakan informasi dan pelayanan sangat terbantu oleh petugas informasi. Terima kasih
ganesya putra,1 bintang,"Baru pertama kali kesini,
Tidak ada kordinasi yang baik antara petugas loket nomer antrian dengan petugas loket pendaftaran.
ini kalau misalnya yang datang orang awam dan polos, bisa-bisa nunggu duduk dari pagi-siang gak dipanggil².
Not Recomended!
Pulang, gak jadi periksa
Langsung saya ganti Faskes ke klinik lain,
Di puskesmas sini kesan pertama sudah mengecewakan!"
Budi Sigit,5 bintang,Terima kasih atas bantuannya dan pelayanannya. Mantapp
Clyton Vebrinata,5 bintang,sangat membantu saat memberi informasi seputar kesehatan ataupun Bpjs
Dargo Alkatiri,5 bintang,"Pelayanan Sangat ramah semua,mulai pendaftaran lab poli sampai apotik, dsni lengkap ada pelayanan Batra dan psikolog jg, tempatnya luas, parkir juga luas, semoga kary puskesmas se surabaya selalu sehat terutama puskesmas pakis Surabaya, Trimakasih"
Susi Martini,5 bintang,Sangat memantu dan jelas dalam memberi informasi
Adinda Bein,5 bintang,Sangat membantu. Terima kasih
Vania Ilafiani,5 bintang,Pelayanan ramah polllllll
Elkin alhafid,1 bintang,"Pertama saya datang di parkiran motor bapak parkir bilang jam 10.00 sudah tutup namun di persilahkan untuk masuk dulu, saat tiba di dalam gedung kondisi ruangan gedung tidak ada orang satu pun, Saya berinisiatif bilang ""Permisi"" dangan nada agak tinggi dan saya akhirnya pun mengetok dan sedikit mengintip bilik bilik ruangan yang pintu nya sedikit terbuka. Dan ada satu ruangan ada 3 staff puskesmas yang sedang bermain handphone dan menggunakan headset salah satu nya, kemudian ada staff ibu ibu yang berkenan untuk memberi penjelasan, namun saya di bilang ""jangan datang ujuk ujuk kesini harus bikin janji sama bawa nomor antrian dulu"" ya di logika mana ada orang pamitan ""Besok saya bakal sakit"" jelas tidak mungkin kan? Lanjut saya bertanya dan jawaban si ibu ibu staff tidak jelas sama sekali dan saya tanya di ibu menjawab semakin nge gas dan emosi. Disini saya tidak meminta apa apa cuma hanya meminta surat rujukan karena saya taat membayar asuransi BPJS tiap bulan nya. Pelayanan sangat buruk semoga kedepan nya bisa lebih baik."
Risky Regina,3 bintang,Hasil tambal gigi sy tdk baik sesuai yg diharapkan krn sbelumnya ditempat yg sama hasilnya baik(tp ini beda dokter krn ada 2 dokter). Tujuan memperbaiki gigi malah jadi repot
Titoni Pratama,1 bintang,"Puskemas Ruwet Banyak Yang Kecewa
Pelayananya Gak Jelas Apalagi Petugasnya..

Hari Selasa Tgl 23 maret 2021
Sebelumnya saya hari sabtu tgl 20 maret 2021 sudah daftar sudah dilayani juga waktu minta surat sehat dan sudah di ambil darah hasilnya disuruh ambil hari selasa dan suruh minta no antrian gak dikasih katanya sistem eror terus suruh ninggal foto kopi ktp aja dan hari selasa ini sudah di puskesmas gak ada pelayanan sama sekali terus tanya ke petugas suruh tanya ke loket yg naruh nomor waktu tanya di suruh ke petugas nya minta nomor dan waktu minta nomor jawabanya nomor sudah penuh terus saya tanya lagi gimana terusan pak jawabanya malah gak tau ? Lah gimana situ petugas disitu gak tau apalagi saya ..
Woii Lah Terus ada petugas disitu ngapain!!!
Parah Pelayanan !!
Kecewa!!

Kalo saya tau ada jalur buat laporin langsung gua laporin tuh petugas .. Bikin Kecewa Waktu juga !!!"
Ivan Adi putra,1 bintang,"Heran
Periksa bayi 1 bulan pilek di kasih obat serbuk katanya di minumin ke bayi

gak tau betu apa gak harus di minumin bayi tapi aneh bayi 1 bulan di suruh minum obat serbuk kayak gini"
Sisyarini fridayulia,5 bintang,"Tempatnya rapi, bersih dan asri. Tempat parkir tersedia terutama untuk roda dua, untuk yang roda empat belum dan alangkah lebih baik jika ke depannya disefiakan area untuk mereka juga.
Klinik yang ada termasuk lengkap. Berdiri sebagai bangunan dua lantai.  Lantai bawah untuk klinik umum dan gigi. Sedangkan ruang konsultasi gizi,  psikologi dan kursus pranikah ada di lantai dua. Bahkan disediakan tempat bermain bagi anak batita di sana."
Shallu Sari,5 bintang,Petugas baik dan menjelaskan informasi dengan baik. Nakes melayani dgn baik
BD-History Media,1 bintang,"Diagnosa suatu penyakit yg diderita pasien kebanyakan ngawur, banyak petugas bahkan dokter2nya yg terkesan kerjanya asal2an, kebanyakan ngerumpi, mainan HP, dan sangat terkesan meremehkan pasien, beda sama Klinik2 Swasta yg benar2 serius dalam bekerja"
yusmi putra amali alalbiri,5 bintang,Terima kasih telah melayani dengan sepenuh hati... Semangat bapak ibu  dokter dan timnya
Liana Disgha,1 bintang,"22/06/2021
Sangaaaat kecewaa...oleh beberapa org
Apalagi di Pos pendaftaran(yg tmp ambil nomer antrian), itu yg jaga satpam ato apa ya?
Kinerja buruk(mungkin sudah tua),ndak ramah(ngomong bentak""),
Ambil hasil vaksin katanya pagi,pagi datang bentak"" disuruh sore..(klo tau gt kemaren Nda usah bilang pagi ambil bapakkkkk😠)
Ok gpp..tapi cara berbicara sangat tidak sopan..etika berbicara itu penting klo kerja itu
Klian digaji untuk melayani masyarakat loo..
Tapi pelayanan kok gt.."
embah dukun,5 bintang,pelayanan sangat membantu. Tempat bersih dan luas
Yuli Marliyanti,1 bintang,Bad service di ruang kia . Dri pada ngelayanin pasien mending main hp di dalem.. ngantri smpe berjam2 gk di panggil2 pdahal di dalem udah kosong gk ada pasien.. setelah saya tanya ke ruangan kia langsung 3 dokter lagi asyik bermain hp semua👏👏 …
