reviewer_name,rating,review_text
ana nana,1 bintang,"Udah 2x bawa anak berobat kesini, Pertama. Dokternya perempuan berkacamata, pelayanan ramah dan pemerikasaan detail, obat yg diberikan juga cocok.  Setelah 2hr minum obatnya sembuh dr demam. Tapi yang kedua kalinya yg meriksa dokter laki-laki, ketus parah, dan hanya dicek suhu. Udah itu ajah,, obatnya jg tidak berpengaruh,, karena sampai 5hr demam anak saya masih turun naik.. begitu pula ssaya juga berobat dihari yg sama soal demam dan alergi saya, jawaban dr pertanyaan sy selalu dijawab ketus, tidak bertanya jjika saya tidak menjelaskan sendiri. Setelah dapat obat, obat yg diterima saya tidak sesuai sm penjelasan dokternya,, akhirnya sy minta tolong cek lg kke dokternya, baru deh dapet obat yg bener.. Petugas pendaftaran apa tiap pagi sudah badmood? Yg ramah cm petugas yg membantu pendaftaran didekat ppintu masuk(bapak-bapak). Tolong dengan sangat,,. Ini pelayanannya   sangat buruk."
Iqbal A,5 bintang,"Ke puskesmas pegirian karena ada jadwal vaksin booster. Pelayanan dan prosedur vaksin di sini cukup memuaskan. Petugas kesehatan ramah. Security yang jaga juga ramah dan turut membantu pasien lansia yang sulit berjalan juga membantu mencarikan tempat duduk.

Toilet pasien nya bersih dan wangi.

Speaker di dalam puskesmas juga cukup keras untuk tahu nomor antrean kita saat dipanggil, namun sesekali petugas kesehatan nya yang memanggil.

Di depan puskesmas ada warkop dan warung yang jual makanan dan minuman.

Salah satu puskesmas dengan sarana dan prasarana yang terbaik 👍"
Abidatul Chasanah,1 bintang,"Berkali kali datang ke puskesmas ini gaada masalah , kemaren pas nganter kakek periksa ketemu ibu ibu puskesmas gak ada sopan santun nya sama sekali kelihatan dari bicara nya bukan orang yang berpendidikan , ngomong masih belepotan , menghubungi via wa pun kata2 nya gak sopan , tolong ya di briefing untuk pelayanan nya ke pasien dan keluarga pasien , 👎👎👎 baru ini kecewa sama pelayanan di puskesmas pegirian , padahal bukan perawat disana tapi ngomong nya angkuh , perawat nya aja sopan 😐👎"
opskei satu,1 bintang,"Nama saya Tri Indah Savitri saya daftar online jam datang 08.12 menit ternyata saya sudah datang ke tempat puskesmas Pegirian ternyata udah nomer antrian 35.Sampai jam 09.05 belum dipanggil sampai skrng,gmna mau maju Puskesmas Layanan gak praktis sama sekali.Kalau sudah antri kenapa gak dipanggil lagi.

Justru melanjutkan nomer antrian selanjutnya.Gmna Puskesmas Pegirian, Layanan gak bagus sama sekali."
Chasing Butterfly,1 bintang,"pernah berkunjung ketemu sama ibu ibu tua pake kacamata namanya bu erna gada sopan sopan nya, masih bingung kenapa ibu ini ada di puskesmas mending suruh resign aja"
ratno pebrianto (rpebrianto),4 bintang,"Tempat agak bersih, walaupun ada beberapa sampah plastik makanan di bawah kursi *mungkin pasiennya yang bikin kotor
Tempat lumayan Nyaman
Pasien lumayan banyak
Di luar ada tamannya dan ada kolam ikan kecil yang lumayan bagus
Pelayanan lumayan ramah walaupun agak lama *mungkin karena banyak antriannya
Parkiran kurang rapi *mungkin karena tempat parkirnya emang agak sempit bila dibandingkan dengan jumlah pasien yang datang"
ricka ratnadilla,2 bintang,"Pelayanan nya bagus hanya petugas bagian loket nya saja yg kurang menyenangkan pelayanannya , ketus. Dftar KIA disuruh dftar online lbh baik , sdh dftar online dan sy datang terlambat namanya bawa bayi gabisa dipastikan sikon bayi nya , malah diomeli krn telat ,pdhal sy juga mau nunggu dan ga masalah tp malah ngomel2"
Galih Candra Prasetya,5 bintang,"Lokasi dekat dengan lokasi wisata religi ampel terletak di jalan pegirian. Kiri jalan jika dari ampel.
Masuk Satu arah dengan RS Paru.
Untuk tampak depan nampak kecil, ketika masuk lumayan besar.
Wajib memakai masker dan sudah menerapkan protokol kesehatan.
Untuk parkir mobil sangat terbatas, motor bisa muat banyak
Pelayanan nya ramah, penyampaian mudah dipahami, dibantu jika ad kesulitan  , seluruh jajaran puskesmas juga mengatur jika sudah terlalu ramai mengingat poli di puskesmas sangat ramai setiap hari.
Untuk yang mau cari surat sehat juga bisa disini."
Naylul Farohah,2 bintang,"Pelayanan baik, hanya saja pada bagian loket yg kurang baik..  bpjs saya mati dan mau mengaktifkan kmbali, dan gak smpai 5 mnit sudah slesai diajukan 3 bpjs yg gk aktif, katanya tinggal nunggu aja klo gk 1 y 2 hari trnyata smpai 3 hari ttp blum aktif.
Stelah 4 hari ttp gk aktif akhirnya saya datang lagi k puskesmasnya, dan kata pelayan d loket yg beda orang dari sblmnya katanya bpjs blum d ajukan.. brrti pelayan bagian loket dsana ada yg gk jujur, kalau tidak niat bekerja dan membantu masyarakat yg membutuhkan y gk usah kerja lebih baik, daripada membohongi masyarakat kek gtu

Tolong d seleksi lagi orang bagian loket yg modelan kek gtu karena jujur itu dpt merugikan masyarakat klo sprti itu"
Atika Safitri,4 bintang,"Pertama kalinya ke puskesmas Pegirian untuk KIA (catin) pelayanannya ternyata cukup memuaskan, penjelasannya baik... Test kesehatan sangat lengkap, semoga kedepannya makin maju dan lebih bermanfaat untuk warga Surabaya.."
Moch Romadhoni,5 bintang,"One of the best public Healthcare in Surabaya.
Vaksin booster disini, pelayanannya bagus sekali.
Nunggu sebentar sih, tapi wajar lah. Toilet bersih, nakesnya ramah.
Good job team."
Husni Mubarok,2 bintang,Ke sini sdah 4 kli dengan gejala yag sma. Sdah cek drah dan ttep aja gak dpat surat rujukan meskipun aku pingin k rmah sakit. Pdahal punya bpjs. Obatnya ya itu2 aja tetep gak berubah2. Smpek bosen.
Icha cha,1 bintang,"Aku mau komplain aku minta surat rujukan ke rumah sakit al irsyad tapi tidak di kasih aku pernah sakit serupa sampai 3 kali ke puskesmas tapi obatnya sama dan tidak ada kesembuhan. Dan waktu itu aku minta surat rujukan tapi tidak dikasih dengan alasan tanpa bawa kartu BPJS dan sekarang aku bawa kartu BPJS tapi tetep saja aku tidak dikasih. Tolong berikan aku solusinya seperti apa, Terima kasih🙏."
Fayy Faizah,5 bintang,"Terimakasih banyak utk team Puskesmas Pegirian, khususnya Mba Mufida, yang sudah membantu utk vaksin booster ibu saya dirumah, dan sangat responsif sekali menjawab pertanyaan lwt IG. Sukses selalu buat Team Dokter dan Perawat Puskesmas Pegirian"
Fajar Aripitaka,4 bintang,"Puskesmas dengan integritas dan pelayanan terbaik.

Semua ramah. Asal kita taat aturan
Tingkatkan."
eko Prannoto,5 bintang,Bidan dian ika risma pelayanan terbaik semoga Allah SWT selalu memberikan nikmat dan perlindungan kepada ibu... aamiin aamiin ya rabbal alamin
Nurul Baiti,5 bintang,Sy kesini vaksin  boster..pelayanan ok  pakai ktp lombok
Yani Farhah,2 bintang,"Pegawainya termasuk kepala.nya sekarang tidak ramah, beda sm yg dulu
Ada sih yg ramah bbrp
Tp ttp kecewa, sekarang pengen pindah faskes"
Rensilina Astrinda,5 bintang,Petugas KIA dan Bidan Ramah sekali. Rimgan tangan dan sangat membantu. Meskipun cuma puskesmas biasa tapi pelayanan menyenangkan melebihi di RS yang berbayar. Terimakasih
Mochamad Andi Santoso,3 bintang,"Lemot pelayanannya
Pangilan tidak sesuai nomer...."
Dwi Rika,2 bintang,"kesini buat ke dokter THT, ngga dikasih tindakan apapun tapi diberi resep obat tetes buat beli di apotek luar, bayar 175k"
Retno Puji Lestari,5 bintang,"Baik² pelayananya, sopan, dan rama², meski pake masker dobel gak ada tuh yanh ngegas² gak ada yang marah² juga meski rame, meski banyak yg dilayanin tp tetep aja kalau ada yg tanya juga dilayani dijawab dengan sangat sopan dan sabar. Luar biasa, patut dapet bonus nih 😇 …"
ida tris,5 bintang,Petugas ramah dan pelayanan sangat bagus... Terimakasih Puskesmas Pegirian
Fatimatus Zuhro,5 bintang,"Puskesmas terbaik
Kepala puskesmas juga baik sekali dalam melayani
Beberapa bulan lalu saya mendaftar untuk pelayanan kia untuk persyaratan menikah
Bidan dan psikolog nya sangat ramah sekali dalam membantu saya
Dijelaskan secara detail sekali
Bahkan ditawari program untuk 1000 hari pertama kehidupan
Dan di monitoring setiap bulan
Salut sekali dengan petugas puskesmas disini"
martha neeta,1 bintang,Pelayanan dokternya TIDAK MEMUASKAN SAMA SEKALI !! kayak gak ada niat buat periksa pasien.. gak usah kerja dok tidur aja dirumahmu
Pehy,2 bintang,"Peluang sembuh 0%. Analisa 0%, benar-benar bikin hidup rumit saja."
afidaaa,5 bintang,harga pasang behel brp ya?
Ahmad Junaidi,1 bintang,Satpam gak di ajari bicara dengan baik.. saya langsung balik gak jadi masuk puskesmas ini.....
hanif arief,5 bintang,"Kepla puskesmas beserta jajarannya luar biasa ... sangat tertib dan peduli pada masyarakat, nampak kepala puskesmas yang turut mengatur pelayanan puskmas pegirian"
Fathul Hakim,4 bintang,"Cukup puas pelayanan, cuman bikin antri tempat duduk kalo ke poli umum."
Moh Syamsudin,4 bintang,Pelayanan kesehatan untuk masyarakat yang satu komplek dengan Rumah sakit karang tembok. Pelayanan baik dan sesuai dengan standard kesehatan
Cah Lasem,2 bintang,Sangat kecewa
Aziza Zahri,5 bintang,Jadwal kia ibu hamil hari apa ya
Dimas syafi2181,5 bintang,Apa di puskesmas ada vaksin booster1
"Karmafor, TV",4 bintang,Di sini apa bisa pakai bpjs untuk periksa gigi apa di layani
Kharis Zaman,4 bintang,Tempat nya nyaman dan parkiran luas. Pelayanannya baik.
Ridwan Ridwan,5 bintang,Mantul banget
Singgih Indratama,1 bintang,"Pelayanan lama, staff jutek"
ria virdianita,5 bintang,Pelayanannya cepat 👍 …
Alina Shezan,5 bintang,"Para pegawainya sabar"""
Nur Indahyati,5 bintang,apa bisa cabut gigi di puskesmas sini?
Lina Fitriyana,5 bintang,"Ruang tunggu nyaman, pelayanan bagus dan ramah"
Harry Wish,5 bintang,Petugasnya amanah
Mahdi Jufri,5 bintang,Dokternya dan susternya baik²
Oppo Com,1 bintang,Terbaik
Fhira Phesekz027,5 bintang,❤️❤️❤️
Nizar Rama,4 bintang,Akses jalannya mudah.
sohasti,4 bintang,Rindang
Patrem Glanter,5 bintang,Wow kunci.!
Muhammad Farok,4 bintang,Kerja bagus
SULISTIYO WICAKSONO,5 bintang,Bagus
dinda khoirida,5 bintang,
Wuri Handayani,5 bintang,
Dinda Mutiara,5 bintang,
Yuli Nur Hidayah,5 bintang,
Anna Hasanah,5 bintang,
Isro Wahyudi,1 bintang,
Hesty Ds,5 bintang,
Ririn Wigi,1 bintang,
YT blubird,5 bintang,
NandaRizki Channel,1 bintang,
rizky catur melenia,5 bintang,
alfian mubarokah,5 bintang,
Joko Wiratmo,5 bintang,
Nizar Fakhri Idrus,2 bintang,
Jazuli Ghufron,1 bintang,
KAK GHOFAR,5 bintang,
