reviewer_name,rating,review_text
Choirul Rifan,1 bintang,"Sangat lama palayanannya, mohon di tingkatkan lagi dalam antrian nomer dan dokter nya.
Mohon di perhatikan antrean nya dan ditingkatkan kembali terkait panggilan antrian dan dipercepat"
Jody Dwigantara,1 bintang,"Staff lainnya ramah sih ada dokter 1 yg pelanyannnya buruk sekali!! Sy merasa di intimidasi. Sy ngasih tau kemarin sy dr puskesmas peneleh sudah di kasih obat malah dia yg nyolot heran. Kemarin di kasih tau dokter yg baik meskipun jam puskesmas uda mau tutup tapi masih senyum2 ngelayanin pasien. Kemarin dokternya bilang kalau di gigit hewan bukan karena make up, dokter yg hari ini malah ngeyel karna make up. Pdhl sehari2 sy pake merk make up yg sama juga ga kenapa2 baru ini di bilang karena make up heran bgt!!! Tolong kyk gitu suruh pensiun aja drpd ngelayanin sambil emosi, cukup ini terakhir aja kesini!!"
Aisya Umami,3 bintang,"pelayanan Okee semua okee yaa.
CUMA TUKANG PARKIRNYA GAJELAS BANGET. anak lagi sakit masih sempet2nya suruh mindahin parkiran karna katanya takut ada mobil masuk. SUDAH GA DIKUNCI SETIR KENAPA GA DIPINDAHIN SENDIRI PDHL MARKIRNYA JUGA BENER DAN TERTATA RAPI. saya blg tolong bu benerin ya karna mau periksa jawabnnya blg "" PARKIR 3 RIBU AJA BANYAK OMONG""  gajelas banget kan! pertama kali ke pukesmas sini malah bad atittude banget!!!"
Faris Alfarizy,1 bintang,"Pelayanan buruk,
Antrian di lewatin, pas udh mau selesai priksa baru bilang, klo lab harus sesui faskes, knpa gk bilang dari awal, dah lah mending ke lab yg berbayar saja👎 …"
Suci nur Oktavia,1 bintang,"Periksa disini malah di hakimi jadi heran sebenernya kalian ini dokter apa hakim? Sampai menghakimi pasien kalian, untuk poli KIA sangat menyeramkan petugasnya gausah deh kalian periksa disana pada songong semua tidak ada etitudnya lebih baik saya bayar di klinik dari pada di suruh periksa di puskesmas ini pakai BPJS tidak di hargai sama sekali"
Enzy Alexandria,1 bintang,"Ini pengalaman saya berobat disini, saya sakit keputihan awalnya kata dokter umum ini normal yaudah terus di kasi resep biasa aja terus udah di kasi obat tapi gak berhenti berhenti keputihannya dan sama sekali gak di periksa, akhirnya ke KIA lah saya buat periksa eh dokternya judes semua anjr , mana kalau nanyak nada tinggi pake ngata ngatain dosa keras banget lagi asli sih bad banget servisnya di kira gak malu apa di teriakin kayak gitu, jangan mentang-mentang saya pake BPJS di perlakukan kayak gitu enteng banget lagi bilang "" kalau gak cocok balik lagi ya kontrol "" lah di kira robot kontrol Mulu gak ada penanganan lebih lanjut padahal sudah di periksa dan lebih parahnya gak di kasi tau sakitnya apa, malah bawa bawa masalah pribadi kalau meriksa usahakan memprivasi sakit pasiennya jangan malah nanyak pake nada tinggi kayak orang gak beritika semua, yang kek gini nih kayaknya kudu di laporin wkwkwk sakit saya itu bukan sakit sepele malah kayak di remehin."
Ling Kwang,2 bintang,Dokter gigi nya entah kemana semua ada pasien cabut gigi dokternya tidak ada di tempat padahal jam praktek nya masih ada
ALY ROMAI,1 bintang,Sangat sangat lama perawatnya banyak yang telat suda lebih dari setengah jam masih belum ada panggilan satupun. Mungkin karna gratis jadi dibuat santai saja padahal orang sakit itu harus segera dilayani agar bisa istirahat
muhammad mahmut Rofi'i,5 bintang,Sebagai salah satu puskesmas d surabaya yg memberikan pelayanan kesehatan kepada warga peneleh dan sekitarnya
Fadhila Fauziah Kurniansyah,5 bintang,all nakes + staff sangat ramah dan memberikan penjelasan yang sangat rinci sehingga memudahkan kita dalam mengetahui jenis penyakit yang diderita & melakukan pengobatan sesuai anjuran dokter. sukses selalu!
Lisa Arianto,5 bintang,Pelayanan sangat ramah dan bagus cepat. Memudahkan pasien dalam pendaftaran. Sangat recommended
2330020082 DIZA MANDAVIA ANGGRAENY,5 bintang,Berobat ke KIA lalu dirujuk ke poli gizi pelayanannya sangat bagus. Konselingnya memuaskan🥰 …
Herba Jegeg,1 bintang,"Very bad service ever !! Staff,,dokter dan pelayanannya sangat sangat tidak ramah dan tidak profesional,,penanganan sangat lambat,,banyak mengobrol ,,jika di tanya,,pasien malah di teriakin,, pelayanan paling lambattt,,yang pernah saya jumpai,,dokter dan staff a dalah pelayan masyarakat,,,sudah seharusnya melyani dengan baik,,meskipun pasien banyak memakai bpjs,,tapi tetap bpjs juga kami bayr,,,memang aneh puskesmas ini! Pasien kok dikira orang bodoh semua! Tolong buat para oenanggung jawab yg merekrut dokter dan perawat,pintar boleh asal punya sopan santun terhadap orang lain,,pasien juga manusia bukan hewan di kebun binatang yang harus diteriakin _ semoga mereka selalu sehat para dokter ,staf dan pelwyani di puskesmas ini!!"
jhostian Sulistyono,4 bintang,"Dari antrian Sampek pelayanan di ruangan dokter sangat memuaskan, cuma bagian farmasi yg agak kurang cepet, mungkin kurang tenaganya atau gimana , tapi keseluruhan SDH sangat puas"
Palmal Florist,5 bintang,"Pelayanan bagus staf loket nya baik menjelaskan dengan detail soal BPJS
Karna saya bener"" baru pertama kali ke Pukesmas.. terimakasih ibu atas pelayanan nya"
Ananda Permata Fitri,5 bintang,"Pelayanan baik terutama pada bagian farmasi
Penjelasan jelas dan lengkap, apotekernya juga ramah

Terima kasih banyak Puskesmas Peneleh"
Nda Uyind,5 bintang,Pelayanan di Puskesmas Peneleh Sangat Baik dan Ramah serta cepat dalam menangani..semoga tetap memberikan pelayanan terbaik buat warga Surabaya sekitar.Semangat
Laam Kdafi,5 bintang,"Pelayanan bagus, petugas di semua ruangan sangat ramah petugas lab juga humble banyol tok bikin yg sakit jadi seneng dan happy"
azhalia divaa,5 bintang,antrian tidak lama dan diarahkan untuk lanjut ke bagian farmasi jg cepat tdk menunggu lama
Reza Nurwansyah,4 bintang,"Ngantarkan istri vaksin booster disini, lokasinya agak masuk kedalam. Namun parkirannya luas. Prosesnya cepat dan tidak lama. Sertifikat vaksin juga langsung masuk ke aplikasi peduli lindungi."
Aliwafa Rohman,5 bintang,"Petugas sangat ramah, hasil lab keluar sesuai dengan estimasi waktu yang dikasih. Bagus banget, sangat recommended sip...."
Chaerini Rizkyah,5 bintang,"pelayanan di puskesmas peneleh sangat baik, pernah periksa ke poli umum, pelayanan sangat baik dan petugas disana juga ramah - ramah, untuk poli farmasi disana pelayanan sangat cepat"
Roosiana Ayu,2 bintang,puskesmas pelayanan kaya eek. petugas malas bagus diganti aja itu petugas puskesmasnya bagian admin. malas2. di jadwal di tulis tutup pukul stng 12. saya dtng jam stngh 11 kurang di tolak disuruh balik bsk. ga mikir orng lagi sakit disuruh bola balik. ribut sama pngn plgnya aja ga ush kerja aja mbak mba dirumah aja tidur. ngerepotin orng sakit lu.
erma tyas,5 bintang,"pelayanan mulai dari petugas KIA, periksa Lab maupun farmasi keseluruhan sangat memuaskan"
Tari Hasyim,5 bintang,"Pelayanan sangat cepat dan memuaskan , bidan maupun dokter sangat ramah .trima kasih"
sri wahju,5 bintang,Senang berobat disini ada poli lansia jadi berobat tidak harus menunggu lama
Ekaaa R,5 bintang,"Skrg pelayanan sudah lbh baik, cepat, dan informatif .
Dokter jg dapat memahami kondisi pasien .
Lab cek darah jg hasil cepat keluar dalam kurang lebih 1 jam .
Skdr masukan aja,, mgkn untuk bagian farmasi bs dipercepat untuk pelayanannya.
Dan untuk ibuk2 parkir di depan itu menurut saya agak maksa buat kita parkir di tmpt dia, pdhal di halaman PKM ada sendiri tmpt parkir motorny yg gratis.
Semoga bs jadi evaluasi dan masukan yg positif untuk pihak PKM."
Sari Ningsih Safitri,5 bintang,"Pelayanan bagus, sangat membantu pasien"
Edjwa Xie Channel,1 bintang,"Pelayanan sangat tidak memuaskan, emang petugas ramah. Cuma sistem antrian tidak digunakan dengan baikk. Buat apa ada sistem antrian online,, tapi tidak d gunakan.
Koreksi buat Bu Risma, tolong koreksi lagi sistem kerjanya gimana d lapangan. Buat kepala dinas kesehatan Surabaya juga, kalau perlu adakan sidak dadakan. Biar tau gimana cara kerja pelayan d lapangan.

Terimakasih . ."
windya avianti,5 bintang,"penanganan cepat, langsung diatasi sesuai keluhannya"
Ririn Mutiarini,5 bintang,Meski terkadang agak lama pelayanannya tetapi puskesmas ini tergolong puskesmas yang paling diminati krn dokter yg berpengalaman dan ga sekedar mengobati mereka jg memberikan bnyk saran agar kita yg skt lbh kuat menghadapi rasa skt ataupun penyakit yg kita derita. Dan skrg tempatnya dibuat senyaman mgkn dan sebaik mgkn untuk para pasien dan lbh bnyk peningkatan dibandingakan dahulu. Lagipula jaman uda berubah jd skrg bnyk fasilitas dipuskesmas sprt tmpt bermain anak agar tdk bosan jg kecanggihan peralatannya 👍🏻
Meizebur Rohmah,5 bintang,"pelayanan baik, cepat, antrian teraturr👍🏻 …"
Rahma Medika,2 bintang,"Ke sini untuk cek mata anak. Pelayanan dokternya bagus. Hanya saja ADMIN KIA sangat tidak informatif. Ditanya ""jadwal imunisasi"", malah mengomel nyerocos karena saya ga bawa buku pink KIA. Padhal tinggal jawab ""setiap hari bisa imunisasi"". Omelan tidak perlu ini membuat saya dongkol, mau saya lanjutkan tp saya bawa anak. Rating puskes sudah rendah dr tahun ke tahun, ttp saja petugasnya tidak tau diri kalau mreka kerja di pelayanan. Mengecewakan."
Mufar,5 bintang,"Pelayanan cepat, Petugasnya Ramah👌 …"
Keju,3 bintang,"Tolong kebersihan ditingkatkan, terutama bagian kamar mandi"
Fahrul Razi,5 bintang,Pelayanan sudah mulai ditingkatkan dan mulai membaik.
Angeline Elvira,5 bintang,"Pelayanannya baik, para nakesnya sangat ramah👍 …"
Kensi Azzahra,5 bintang,"Pelayanannya sangat puas, ramah dan detail sekali💓💓 …"
Ridho Hafidz,5 bintang,Pelayanan cepat dan pegawai ramah sekali
Farah Shafiyya,5 bintang,"Petugas sangat ramah, pelayanan cepat👍🤩 …"
Ruby Anto,4 bintang,"Tepat didepan kaca apotik tertulis ""kompensasi uang sebesar 50k jika layanan pd pasien lbh dr satu jam"" ,sy gk yakin aturan itu betul-betul dijalankan, sementara pengalaman sy berobat disana bahkan lbh dr 1 jam, tepatnya 1 jam lbh 10'"
Kha Sanah,5 bintang,Pelayan sangat baik dan sesuai prosedur 😊 …
Ryan Warjito,5 bintang,Penanganan dan pelayanan sangat memuaskan dan petugas sangat membantu
dika suko,1 bintang,"Pelayanan yg tidak ramah belum apa2 uda disuruh balik dan omonganya nggaenak, padahal waktu itu suami saya lagi sakit dan sudah ijin dari kerjaan, padahal saya udah di wiliyah puskesmas rumah saya tpi kan katanya penuh trs disuruh milih aja buat dimana2 pokok dipusat katanya boleh, tpi waktu sampe peneleh bener2 mbak2nya sama bapak2 nggatau aku namanya ngomongnya bikin sakit hati banget, mksutnya saya itu kan nggabisa buat ngalihin bpjs2 gitu soalnya aku pakek umum,kalo aku emng gabisa kan bisa buat dibenerin sama mbak2 yang disana, bukan apa2 tapi ini kan posisi lagi sakit, intinya pelayanan kurang berkenan."
azizah putri,2 bintang,"Bagian vaksin ramah sih,meskipun nunggu sampai 12 orang tapi hari itu juga akhirnya bisa nyampek 12 orang,
Yang saya bingung gini,saya kan pusing diare dan amandel..jadi aku kira disuruh baring pakek stetoskop,, engga weh cuman ditanya habis makan apa ,udah
Apa emang dokter di puskesmas cuman gini ya kerjanya sekarang ?? Tolong penjelasannya
Aku ada amandel juga ga diperiksa , asli cuman di tensi tok ..piye aku ya bingung
Ditensi ditanya dan dikasih obat,secara logika kamu minum ga obat itu?
Bingung tok ae aku dokter ga meriksa kita terus ujuk"" Dikek i obat.."
