reviewer_name,rating,review_text
Sulaiha,1 bintang,"Bapk bapak RESEPTIONISnya kurang informatif. + main HP terus, saya ada didepannya gaditanya malah ngobrol sama temennya!. Hri pertama kemaren saya dateng kepuskesmas, saya tnya pemeriksaan lab untuk pribadi apa bisa pak? Cek lab (untuk hepatitis + Hiv) tapi saya tidak ada gejala dll. Hanya ingen check lab  saja untuk pribadi. Apa bisa? Dia jawab ""bisa mbak tapi puasa dari jm 9 mlm gamakan gaminum sampe bsok priksa"". Saya jawab kmaren saya catin check lab (HiV+hepatitis) kok gak pakai puasa ya pak?. Dia jawab kalo cuma catin gamasalah mbk wong cuma buat itu tok (jwb an mnurut saya kurang jelas+ gamasuk akal) . HARI INI SAYA KESANA POSISI SAYA PUASA jam stngh 9 sudah antri +daftar pas masuk ruang dokter. Dokter jawab tidak bisa kalo cuma untuk PRIBADI tanpa gejala bisanya di LAB SWASTA (yg byar). BUANG BUANG WAKTU. pas saya samperin stlah konsul bapaknya bilang , ""OOO, kalo kata dokternya gabisa brati gabisa"" tanpa maaf + buang muka. Kalo gabisa HARUSNYA BILANG DARI KEMAREN PAS AWAL SAYA KESANA PAK. Rumah saya jauh!. PELAYANANNYA 0"
Rindiani Aisyah,1 bintang,"Gedeg bgt sama dokter gigi nya. Judes pwoollll ga bisa gitu ya ngomong tuh yg baik.
Antri berjam” lama dipanggilnya padahal di dlm ngga ada pasien malah asik ngobrol. Tolong dong diperbaiki pelayanannya. Digaji kok kerja ngga pake hati !!!!"
Yula Deanti,5 bintang,"Baru pertama kali kesini setelah pindahan dr jl. Jakarta dulu. Pelayanannya bagus dan cepat, yg ga mau antri bisa daftar online juga.. terima kasih poli gigi dr mala"
Anindya putri satrio,1 bintang,"Pealayanan lama sekali, nomor pendaftaran gak jelas urutannya, ada fasilitas kipas angin tapi gak dinyalakan, akhirnya anak2 banyk yg rewel, seharusnya ada poli imunisasi sendiri tidak dicampur dg poli ibu dan yg lain. Anak2 disuruh nunggu petugas selesaikan pasien rujukan ya kelamaan, jadi rewel dan kepanasan. Jika memang sdh disediakan hari khusus imunisasi seharusnya hari itu diprioritaskan untuk kegiatan imunisasi. Petugas lamban dan tidak ramah. Gerpang pertama pelayanan adalah loket/pendaftaran, harusnya diberikan petugas yg kompeten, biar tdk ada keruwetan dibelakang.!!!"
Ardi emoticon,3 bintang,"Antrian tidak teratur. Entah karena sdm nya yg kurang cerdas atau pihak Pkm nya yg kurang tegas.
Antrian nomor awal didahulukan. Meskipun datang terakhir. Harusnya kan hangus nomor antrian jika tidak ada orang nya. Kalau tetap begitu, antrian 1 bebas datang jam berapa saja. Sedangkan antrian akhir harus nunggu yg terlewat meskipun datang awal."
Irvan Ramadhani,1 bintang,"SDM rendah ,kemarin bilang bisa besoknya Dateng lagi ditolak . Ya beginilah Indonesia. Yg kerja para ordal 😄 …"
Mochamad Wasil,1 bintang,"Pelayanan sangat lambat
Waktu banyak terbuang hanya untuk menunggu antrian, hanya menunggu 1 nomor antrian saja sama seperti menunggu antrian 100 nomor"
Bakamaro Hutagalung,1 bintang,sebenarnya ini puskesmas ada orangnya tidak? saya mau telfon urgent malah tidak ada yang mengangkat . apakah seperti ini pelayanan puskesmas yang di kelola oleh pemkot suroboyo?
Siti Khadijah,4 bintang,"Tempat pelayanan kesehatan masyarakat yg menyediakan fasilitas kesehatan seperti poli umum,poli gigi,BKIA dll
Masyarakat yg menggunakan BPJS jg dilayani disini.
Selama pandemi digunakan protokol kesehatan spt masker,cuci tangan dan jaga jarak."
maria indriastuti,5 bintang,Alhamdulillah...lokasi lebih baik & bersih dibandingkan yg dl di jln jakarta. Sayang untuk poli mata masih belum ada. Pelayanan jg lebih cepat. Apalagi skrg pelayanan sdh 24 jam.👍👍👍 …
Yt Premium,2 bintang,"Maaf penanganan untuk control luka habis (pencabutan kuku) sangatlah buruk! Beda org disaat proses pencabutan kuku, bu dokternya yg mengganti perban sangatlah tidk profesional, udh tau susah alias lengket tpi di paksa aja, dan saat nempelin Betadine ditekan tekan, udh dibilang sakit ttp aja dilakuin, Kesannya buru² pgn cepet selesai. beda saat proses pencabutan kuku, dokternya sgt kalem dan tidak main paksa.. sehingga prosesnya lancar dan tidak sakit!

Maaf, mungkin gara² ulah satu org bisa bikin nama puskemas ini jadi down.. pdhl kualitas yg lain bagus, fasilitas dll."
ida sinatra,5 bintang,"Puskesmas yg sekarg jauh lebih enak, nyaman dan cepat  pelayanannya di bandingkan yg dlu saat msh di Jln. Jakarta. Tempatnya yg begitu luas begitu jga tersedia bnyk toilet yg sangat bersih. Tenaga medisnya jga sabar dan telaten. Tpi sygnya tdk ada poli mata.
Jaya & sukses selau puskesmas Perak Timur 💙💙💙"
Muhammad Hamzah,1 bintang,"Sumpah, pelayananannya buruk banget ternyata udah banyak yg nge rate bintang 1 tentang pelayanan.
Sumpah, mulai dari tukang parkirnya, sampai ke yg jaga baju putih yg cuma kerjaannya diem doang gk ramah sama sekali, bisa nya bentak², padahal pasien bicara baik², gaada etika, sampe sekarang pun di pekerjakan,, usulkan ke pemerintah kota surabaya saja, klo pelayanan puskesmas perak timur tidak baik.
Pagi² mereka bukannya malah semangat kerja senyum kek, ini gaada sama sekali,, padahal kalian juga dibayar oleh rakyat loh,, layani rakyat dengan baik dan ramah."
Andriyani 244,4 bintang,"Pelayanan baik.
Sy harap melayani dgn baik tidak pilihkasih pada pasien.
Untuk letak PKM yg sekarang , kurang strategis. Terimakasih"
syafrida arisandy,5 bintang,"Puskesmas Perak Timur sangat ramah pelayanan serta sering bersosialisasi pada masyarakat terkait kesehatan masyarakat.
Sukses dalam berbagai inovasi, kreatif & solutif 😍
( kSH RW 01 ) …"
Siti Fatimah,5 bintang,PKM Perak Timur pelayanannya tergolong sangat baik   semoga d kedepanya lebih baik lagi dan terus d tingkatkan pelayanan ya
Arif Shubhan,5 bintang,Pelayanannya bagus. Gedung nya baru. Bersih juga.
