reviewer_name,rating,review_text
Asarizka Bena,5 bintang,Pelayanan sangat baik & cepat! Semua karyawan disini ramah terutama di poli gigi dokter2nya sangat detail sekali saat menjelaskan. Sukses selalu Puskesmas Pucang Sewu🤍🤍 …
wisnu,5 bintang,"Pelayanan ramah dan cepat. Saya sudah daftar online, datang sesuai antrian, dan langsung dilayani. Pemeriksaan lab dg bpjs juga gratis dan tidak ada biaya tambahan."
yeniikapratiwi unmer,5 bintang,"Pelayanan sudah Oke, antrian tersistem dan rapi. Pelayanan bagus mulai dr front office hingga apoteker nya. Ruang tunggu sudah bagus, ber AC dan berkipas angin ria. Dokter ramah dan cepat tanggap. Enak pakai pendaftaran online"
Hanako Hanako,3 bintang,"Beberapa kali brobat disini, baru pertama kali dicek pake stetoskop 😭❤️❤️. Makasi dr Ngurah😭❤️❤️❤️. Mana dapet surat ijin sakit, sama dokter lain di puskesmas pucang ga dapet, gegara itu  gaji saya kepotongg mana sekarat waktu kerja, 💀💀.

Sampe sekarang kl denger orang batuk saya trauma dan was2 pen nangis gegara batuk yg sakit banget dan gaji kepotong mana gaji dah kecil kambingg.

Pertama kali banget, i can feel a hope bakal sembuh, gegara diperiksa dr Ngurah, sisanya hopeless gw."
Diandra Sidarta,4 bintang,"Pelayanan bagus, tersistematis, ramah, rapi, namun disayangkan pelayanan di poli umum privasi pasien tidak terjaga, krn ada antrian pasien persis di sebelah meja pemeriksaan (bahkan semua menghadap ke pasien yg lagi diperiksa) yang memungkinkan pasien lain melihat mendengar kondisi pasien yg diperiksa dengan jelas. Kalau ada hal2 sensitif bagi pasien tentu jadi tidak nyaman. Semoga bisa diperbaiki, paling tidak ada tirai yang bisa memisahkan."
Lunis Vijai,1 bintang,Sama sekali tidak ramah saya tidak suka dari pelayanan loket nya kalau bisa di training lagi yaaa supaya lebih baik dan lebih ramah trus kalau bisa agak senyum sedikit supaya aura dari wajah nya kelihatan positif bukan negatif
Jengglot San,1 bintang,Pelayanan buruk sekali..sumpah kecewa banget udah antri dari jam 9pagi baru ditangani jam 1 siang
Wildan Satrio Darmawan,5 bintang,"Saya pasien BPJS faskes puskesmas pucang sewu, sering kesini pelayananya sungguh baik terutama d poli gigi, dokternya jelas dalam memberikan edukasi dan tidak membuat pasien bingung"
Risqi Auliya,5 bintang,Pelayanan sangat baik terutama bapak dibagian pendaftaran mengarahkan dengan sabar dan sistematis
Ridwan Muhammady,5 bintang,"Tadi Vaksin D2 disini, cepat gak pake antri. Pelayanan ramah banget"
Monika Nilam,5 bintang,"Pelayanan nya ramah dan memuaskan, dokter” nya juga cekatan dan baik hati 👍🏻👍🏻👍🏻 …"
M. Genadi Askandar,5 bintang,"Tempatnya bersih, pelayanan dokternya baik! Bestt, sukses terus pkm lucang"
aisyah Marwah,5 bintang,"Pelayanan sangat sangat cepat sekalii, semua nakes sangat ramah. Terimakasih banyakk🤍🤍 …"
