reviewer_name,rating,review_text
Siti Nurhayati,5 bintang,"Pelayanan Dokternya sabar, saat menangani cabut gigi anak saya , jadi anak tidak takut kalo periksa gigi lagi, Terima Kasih"
mukhlis imam k,4 bintang,"Pelayanan lumayan cepat, petugas ramah dan dokter memberikan penjelasan mudah dipahami.  Lokasi agak masuk ke dalam,"
Moch Adi,1 bintang,"Pelayanan buruk dan terlalu lama menunggu, poli umum, poli KIA, poli Lansia di jadikan 1 tempat. Pada hal ada ruang nya masing-masing.
Dan petugas puskesmas yang shift sore terlalu banyak bercanda dan main hp pasien yang datang banyak di anggurin dan gk di anggap"
Rahmawati,5 bintang,"Pelayanannya sangat bagus cepat sesuai nomer antrian perawat dan dokternya ramah,menjelasan ke pasien""nya sangat mudah di pahami"
Aldy Putra,1 bintang,"Pelayanan tidak memuaskan, kalau memang poli gigi gabisa menangani perawatan dan pengobatan scr langsung lebih baik dipisah hari saja seperti poli KIA, daftar online gak bisa daftar langsung malah disuruh pulang suruh balik lagi besok."
Moch Adi surpiadi,1 bintang,"Pelayanan nya buruk sekali, dokternya hanya bertanya tanpa memeriksa pasien hbis gitu suruh nunggu ambil obat"
dar sih,5 bintang,"Pelayanan nya cepat,petugas juga ramah selalu memperhatikan kondisi pasien,tempat selalu bersih dan nyaman.tetap jaya pkm putat jaya"
Ferry Susanto,5 bintang,"Pelayanannya lumayan cpt dan antrian dipanggil sesuai nomornya, dokternya ramah dan mau menjelaskan tidak keburu"""
Yas Khalifah,1 bintang,"Pelayanan terkesan lelet ! keperluan mengurus surat kesehatan di peruntukan untuk pernikahan saja lama sekali hampir 2 jam lebih , belom juga tes lab nya ."
Saikhu Suherman,5 bintang,"Pelayanan bagus dan tempat bersih
Dokternya juga ramah""
Terutama dokter umum nya sangat ramah dan ngasih edukasi buat sakit yg kita rasakan
Semangat buat para dokter dan para perawat"
Julian Taufiqurrahman,5 bintang,Bagus banget pelayanan nya cepet juga... mungkin penyesuaian aja buat warga nya dan sosialisasi lagiii... cuman disayangkan Space untuk parkir terbatas dikarenakan mungkin tempat padat penduduk yaa
Romanti Astuti,5 bintang,PKM PUTAT JAYA pelayanannya sangat memuaskan semua petugas di PKM ramah2 dan tidak pilih2 pasien antara umum atau BPJS tetap pelayanan baik.....
yin yang,5 bintang,Pelayanannya sangat memuaskan.dokternya ramah tamah. Dan mudah di mengerti cara penjelasannya.
07 Ilham maulan p,5 bintang,"pelayanan cukup baik dan cpt , Dokternya jg dan KIA nya ramah tempatnya jg bersih ."
Kavitaaziza Putri,5 bintang,Bintang banyak tapi saya kasi saran ya pelayanan agak lemot dikit kalau di banding sama puskesmas dukuhkupang Masi cepat di dukuh kupang
Mustika rahayu,5 bintang,Pelayanan waktu sy berobat dokternya ramah dan telaten menjelaskan tentang sakit saya
Nabilah Dini Ramadhani,5 bintang,"Saya sangat puas dengan layanan yang diberikan di puskesmas ini. Staff di sini juga ramah dan profesional. Selain itu, dokternya sangat informatif memberikan penjelasan terkait kondisi saya"
Lilis Suryani,5 bintang,"saya sangat puas dengan layanan di pkm putat jaya karna ank saya selalu berobat di sana dokter,, dengan tanggap untuk menangani nya 🥰🥰🥰🙏 …"
Aniyati Solicha,1 bintang,"Dokter cewek pakai hijab, dih. Sombonge  . Inget bu situ dokter. Sudah disumpah. Asli mengecewakan. Gak butuh paracetamol gak kira nak puskesmasmu."
Angger Suandaru,5 bintang,"Pelayanan baik, dokter nya cukup ramah,. Pasien dibuat tenang sebelum melakukan tindakan cabut gigi bungsu..."
Budi Kus Patmiyati,5 bintang,"Pelayanan cukup bagus, dokternya baik & Ruang tunggu baik , bersih ."
Ruk Rokhani,5 bintang,"Terimakasih Pelayanan cepat, petugas ramah dan dokter memberikan penjelasan mudah untuk dipahami."
E. Putri Wahyu S.,2 bintang,"Awal dateng ke poli KIA untuk periksa kehamilan (sekitar pukul 07.20 an sudah mulai masuk & diperiksa).
Di poli KIA jumlah petugas & bidan lumayan banyak, sekitar 4 atau 5 orang yg ngerubutin saya untuk ditanya-tanya, dll. Sejauh itu pelayanan bagus & ramah.

Setalah itu saya diarahkan ke lab untuk ambil darah & urine (pelayanan dan mbak laborat yg mengambil sampel darah baik). Namun untuk hasil pemeriksaan lab nya lumayan lama & harus menunggu hingga pukul 11.00 (pada kenyataannya pukul 11.30 baru selesai).

Setelah hasil lab kami ambil, saya diarahkan untuk menyerahkan hasil lab tsb ke poli KIA. Saya menyerahkan kepada ibu-ibu berusia 50 tahun an (berbeda dgn bidan/ petugas yg tadi pagi memeriksa). Orangnya cuma tanya, ""ibu hamil ya?"", kemudian hasil lab saya cuma dibaca sekilas, kemudian dia bilang, ""normal semua mbak"" (dengan jawaban super ketus & tidak ramah). Dari hasil lab saya pun, saya bisa melihat jika kabar Hb saya kurang dr normal, tp ibu tsb menjawab semuanya normal karena cuma dilihat sekilas beberapa detik. Padahal di pagi hari td bidan dan petugas yg lain mengatakan jika akan dibantu untuk membaca hasil lab saya. Sangat disayangkan untuk pelayanan KIA di Puskesmas Putat Jaya tidak memuaskan & cenderung menyepelakan.

Untuk poli psikologi & gizi pelayanan & petugasnya ramah & informatif.

Selain itu bapak-bapak penjaga nomor antrian juga kurang ramah."
Ari Kurniawati,5 bintang,"Pelayanannya memuaskan dan pegawainya ramah2, dokternya baik dan juga ramah"
Tian Wahyu,5 bintang,Mantap pelayanan nya 👍 sy datang baru aja 1 menit duduk di ruang tunggu LGS di panggil sat set 😂 …
Su Marmi,5 bintang,"Pelayanan dokter dan perawatnya baik, ramah, tempat nyaman"
Puji Ati,5 bintang,Pelayanan bagus dokternya ramah dan konsultasi juga baik dgn dokter2nya
Eka Setyo,5 bintang,"Pelayanan memuaskan,dokter dan perawatnya juga baik dan ramah"
Sri Handayani,5 bintang,"Allhamdulillah pelayanan di Puskesmas ini cukup memuaskan, untuk pendaftaran kita juga bisa online"
Sundari Wow,5 bintang,"Pelayanannya sangat ok
Dokter nya pun sangat ramah
Sat set"
Mas Rafa oke,4 bintang,"𝘿𝙤𝙠𝙩𝙚𝙧 𝙜𝙞𝙜𝙞 ramah, menyenangkan  anak2 gak bakalan takut kalau periksa disini.
𝘿𝙤𝙠𝙩𝙚𝙧 𝙪𝙢𝙪𝙢 ramah menjelaskan dg baik tentang kondisi pasien.
Sayang sekali antriannya masih terlalu lama
𝙁𝙖𝙧𝙢𝙖𝙨𝙞 : pengambilan obatnya cepat …"
eha julaeha julaeha,5 bintang,Pelayanan lebih cepat dan tempatnya sekarang bersih dan tertata rapi.
Sofiantin sofiantin,5 bintang,Pelayanan baik dan ramah semua petugas PKM Putat Jaya. Semangat dan tetap dipertahankan
Siti Chotidjah,5 bintang,"Tempatnya bagus dan bersih, pelayanannya juga cepat. Top deh pokoknya"
Bu Yanti Fina Dita,5 bintang,"Dokter umum berpengalaman, tindak cepat dan mengerti keinginan pasien. Semangat terus PKM Putat Jaya"
Anggraini Official,5 bintang,Pelayanan nya sangat bagus dan pegawai puskesmas nya juga ramah 🙏 …
Bunga Amanda,5 bintang,Tempatnya bersih dan dokter2nya ramah serta pelayanannya juga cepat
Fauzan Aji Nugroho,2 bintang,Itu bude yg di KIA suruh pulang aja gak usah kerja. Dari dateng pagi udah cemberut gak ada ramah2nya. Dapet hasil dari LAB cuma dipegang kertasnya dah dibilang aman semua. Padahal HB rendah. Gak akan berkah kerjaanmu bude
Rini Kustiningsih,5 bintang,"Pelayanannya sangat cepat,baik,bersih dan nyaman.."
Novy Vivianty,5 bintang,"Alhamdulillah, pelayanan di loket cukup cepat, pelayanan di poli KIA ramah, baik perawat/bidan maupun dokter yang melayani cukup informatif. semoga kedepannya selalu baik lagi"
Bu Purbosari,5 bintang,"Nyaman pelayanan baik , dokternya ramah"
Hati Hatifah,5 bintang,Nyaman pelayanan nya baik lengkap ada trapi nya juga 🥰🥰🥰 …
April Riia,1 bintang,"Gunanya nomer antrian itu apa ya tanya tolong di jawab,,dapet nmer antrian 7 yg di masukkin nmer 42 soalnya uda dari pagi ikut penyuluhan,,tolong di perbaiki untuk pelayanannya,,harusnya itu ngelayani sesuai antrian,,meskipun ikut penyuluhan tapi yg dpt nmer awalkan antrinya juga dari pagi.kalau nmer 42 d masukin dulu nmer 7 blakangan ya jadi protes donk,,di mana2 itu antrian awal yg d dulukan bukan antri blakangan d dulukan sama2 nunggu tolong d perbaiki pelayanannya"
Hafshah Hamidah,5 bintang,Pelayanan enak tidak menyewakan klu berobat Alhamdulillah enak
Rina Bundae bumi dirgantara,5 bintang,Dr umumnya kalau menjelaskan enak gampang dimengerti dan detail
Firdaus zakaria Nurhasanah,5 bintang,"Alhamdulillah pelayanannya sudah baik, banyak sistem yang sudah diperbaiki daripada terakhir saya disini. Semangat petugas medis dan staff puskesmas Putat jaya"
Indigo Morie,5 bintang,Dokter poli vctnya ok punya dan pelayannya cepet :)
Kayla Azzahra,5 bintang,"Alhamdulilah, kmrn ada luka, perawat yang merawat lukanya joz, sabar, dokternya sabar .... Ruang rawat nya harummn"
nur farida,5 bintang,Bagi saya sudah oktimal pelayanan nya...
Sunariyati Muji,5 bintang,"Pelayanan semakin bagus, mantapp jiwa 💜💜💜 …"
