reviewer_name,rating,review_text
Delly Rochelena,1 bintang,"Gak paham lagi dengan konsep pemeriksaan di puskesmas rangkah surabaya. Sakit mata sakit telinga 2x datang pemeriksaan obatnya cuma antibiotik dan ibuprofen , apapun sakitnya tetap antibiotik obatnya hehehe
Telinga sakit karena ada kotoran mengeras, emang bisa keluar sendiri pake obat antibiotik doang??? Mana meriksa pake senter hp aja lagi... cuma sedetik doang pemeriksaannya
Seenggaknya klo ga bisa nanganin, bisa kan kasih rujukan ke RS dengan fasilitas yg lebih lengkap?!
Bukannya antibiotik ga boleh asal2 minum aja?! Mohin koreksi bila pertanyaan saya salah"
Ela Widiya,1 bintang,Ke poli gigi nunggu lama tdk di panggil2 pdhl tdk ada pasien setelah sy buka pintu ternyata ada dokter nya entah itu dokter ato apa karna sy mau tambal gigi tp tdk pkai di bersihkan pkai alat cuma di oles2 trus di tambal sementara jam 12 siang di tambal jam 8mlam sdh lepas pdhl stelah tambal tdk boleh mkan selama 1 jam ini sdh sy tambahin 2 jam di kira sy bru pertama ke dr gigi pdhl sblm nya sy mamang sering tmbal di rs tp sy fkir2 dr pd bpjs sy tdk terpakai aqirnya sy coba ke puskesmas eh mlh dpt pelayanan yg seperti ini
jesselyn yap,5 bintang,"Pelayanan ⭐️5!
Dokter chinese nya ramah, baik, santun, bening lagii jadi semangat untuk sakit."
Rina Susanti,1 bintang,"2kali dtg ke poli anak , niat hati berobat biar anak sembuh karena menggunakan BPJS, tapi apa daya sekarang puskesmas tidak ada pemeriksaan atau sentuh pasien sama sekali? Terus gimana taunya pasien sakit apa? Apa cuman dari mulut pasiennya kesannya kayak dokter takut tertular pasien , dan akhirnya memutuskan buat ke dokter umum yg lebih berani interaksi ke pasien dan lebih efisien, terus apa gunanya BPJS pbi yg dibayar langsung dari anggaran pemerintah kalo sistem kerja dokter aja seperti ini?"
Julian Mustika,1 bintang,"telat beberapa menit, disuruh nunggu hampir 3 jam tanpa kepastian. katanya bakalan dipanggil tapi nyatanya nomornya aja blm ditulis di kertas. mohon diperbaiki kembali"
Fani Aidah,1 bintang,"Sistem pelayanannya kurang bagus, mempersulit pasien (Ibu saya minta tolong buat mengaktifkan kartu bpjs, karena mau berobat rujukan ke rumah sakit. Ibu saya malah dipersulit disuruh kesana kesini, dan pada akhirnya petugas bilang itu bukan tugas saya). Dimohon sangat diperbaikin lagi dan tepat waktu juga jam pelayanan puskesmasnya"
Qinandra,2 bintang,"Saya sangat kecewa, daftar KIA dg biaya pendaftaran 25 ribu dua kali datang dibatalkan. Alasan pertama karena anak usianya kurang 2 hari, akhirnya disarankan selasa depannya , tapi pas datang selasa depannya juga dibatalkan lagi dg alasan ada vaksin polio senin depannya jadi yg campak ditunda dulu. Halllooooo mbaak petugas dinaskesehatan surabaya puskesmas ragkah yg terhormat, kenapa waktu diloket tidak diberitahukan atau sebelumnya diinformasikan.,  kita sudh datang bayar, antri, bolos kerja dg alasan antar anak vaksin ,atau izin setengah hari bayangkan mbaak kita juga kerja cari nafkah untuk anak anak kami, jangan seperti ini ..!! tolong ditingkatkan  lagi pelayanannya , jika ada informasi  dari pusat mohon diinfokan sebelumnya.  Diloket atau diruang informasi diumumkan dulu."
hasni corporate,4 bintang,"pelayanannya bagus, cuman sayang overload, tiap hari 200 org lebih, tapi yg antri sakit mungkin 20 org, sisanya cuma nambah rujukan, saran yg rujukan mending dibuat antrian lain jgn dicampur sm antrian yg sakit."
Eddy Sutrisno,5 bintang,"Pelayanan ramah banget saya orang awam ke sana akhirnya di berikan pelayanan terbaik sampai selesai semuanya ..
Terima kasih para pegawai puskesmas..
Salam sehat dan lancar selalu"
Simolicity Hop,1 bintang,"Periksa ke sana karena sakit, cuma d interview aja, keluhannya apa, sdh gt langsung d suruh ambil obat d luar. Kaget banget, orang sakit ndak di periksa apa² loh.. cuma d interview aja.. pas d tanya, saya gak d periksa? Baru di tensi.. itupun saya belum keluar, udah d panggil aja namanya buat ambil obat.
Catat ya.. Cuma di tensi.. itupun karena saya tanya.
Udah gitu minta surat sakit, cm d kasih 1 hari padahal saya muntah² trs.. padahal sy sdh blg badannya masih ndak enak, takut masih muntah² trs.. malah d jawab observasi dulu aja, klo masih ndak enak besok balik lagi.
Ngakak banget.. apa yg d observasi woii? D periksa aja kagak..
Dikira orang sakit kengangguran apa ya di suruh bolak balik ke puskesmas?? Dimana2 orang sakit d suruh istirahat, bukan d rusuhi suruh bolak balik puskesmas.. yg d periksa aja kagak tp bilangnya observasi 🤣🤣🤣"
ratuadiankaa,5 bintang,"perawat laki"" yang bikin rujukan gercep, baik dan ramah, jadi tidak antri lama di pkm."
ichsanul hakim,1 bintang,"Urutan 34 prediksi jam 8 di tiket onlinenya, malah polinya buka jam 9an, jam 8 belum buka akhirnya saya larikan ke RS. Pelayanan macam apa ini."
Faa Shop,1 bintang,"Pelayanan lama, pdhl ada kipas angin tp gk dinyalain. Panas pol di antrian KIA kasian bayi2 pada kepanasan tadi"
Rahayu Dn,2 bintang,"Pelayanan buruk sekali bagian imunisasi bayi udah nunggu 3jam malah gak dpt vaksinnya katanya nunggu bulan depan jelas"" dibuku pink jadwal vaksin umur 2bln malah diomeli kenapa gak vaksin di dokter katanya, harusnya ya dijelasin ga malah bentak"" terutama dokternya masih muda tapi galak. Padahal DSA rs anak saya yg vaksin sebelumnya menyarankan vaksin sblm 3bln ini malah udah antri 3jam si bidan bilang ""disini gak ikut panduan dokter"". Dokternya mager kelihatan ogah""an kalo ada pasien"
Niken Herdwi,5 bintang,Pelayanannya bagus sama perawatnya sabar2 apalagi di poli parunya . Terima kasih
opi endut,1 bintang,"Berobat ke sini ajegile anak saya batuk dikasih obat malah tambah batuk, katanya mengencerkan dahak, malah anak saya muntah dan batuk terus terusan. Nggak bisa tidur muntah terus gimana toh ini"
20-098_Muhammad Rizky,5 bintang,"Dokternya ramah, perawatnya juga manis, ganteng, rapi, dan selalu senyum :) mantapp"
10_Amir_D3 Kesgi,5 bintang,Puskesmasnya memiliki lingkungan yang asri. Petugas kesehatan serta staff puskesmas ramah dan memberikan pelayanan yang baik kepada pasien.
Titik Koma,5 bintang,bagus untuk pelayanan poli paru....ramah  sekali pelayanannya meskipun pakai BPJS.terima kasih puskesmas Rangkah
Indomie Soto,1 bintang,"PELAYANAN BURUK!! Tidak ditanyai gejalanya bagaimana, tidak diperiksa, asal dikasih obat aja. Customer service payah! WhatsApp tidak dibalas, telepon yg tertera di google pun tidak ada yg mengangkat. BURUK SEKALI. DITUTUP SAJA. PALING BAGUS YA PKM KALIJUDAN."
Dimaa Aryaaasptra,5 bintang,"perawatnya baik dan juga manisss, pelayanannya sangat ramah pollll"
Putri Rahmawati,1 bintang,"PELAYANAN SANGAT BURUK SEKALI
Kalo bisa ngasih ulasan tanpa kasih bintang mungkin aku ga akan kasih bintang karena bener2 mengecewakan 🙏🙏🙏 …"
Choy Sanjaya,1 bintang,"Sudah antri lama tidak bisa minta rujukan cuma gara"" Aplikasi bpjs tidak aktif katanya terblokir padahal pas saya buka aktif, aneh"
meritha agustin,5 bintang,"Pelayanan kesehatan yg baik dokter, nakes & staff lain ramah, cepat, gak ribet. Terima kasih puskesmas rangkah"
Mey Zahra,2 bintang,"Saya sudah antri online dengan antrian no12.saya datang telat.sampai antrian no25.2x saya bilang kepetugas suruh nunggu.pdhal dokter yg didalam yg jaga3 tidak ngapa2 in
Untuk dr Atikah berkerudung.yo in pasien anak kecil umur8tahun penanganananda bagaimana sebagai dokter.tidak diperiksa atau apa cuman ditanyain aj.mukanya dokter jg g enak diliat.apakah itu dokter"
Michelle Kathleen Caroline Ruitan,5 bintang,"Pelayanannya sangat baik, lingkungan puskesmas nya sangat asri, nakes nya ramah-ramah semua 🙏🏻 …"
Tatik Muryanti,5 bintang,Utk saat ini dari sya Puskesmas rangkah sdh mulai tanggap penanganan pasien nya
Kim Rara,5 bintang,"Pelayanannya cepat & orangnya ramah².
Jaya selalu Puskesmas Rangkah"
Lilik Marliani,5 bintang,PKM RANGKAH...DMNA KMI..KADER../PENDEKAR BIRU..MENDAPATKAN ILMU DAN INFORMASI TTG KESEHATAN..TTG VAKSIN..DAN SEMUA NAKES & KAPUS WELLCOME...KPD SEMUA KADER...RASA PERSAODARAAN YG MENYATU....BRAVO PKM RANGKAH
