reviewer_name,rating,review_text
Thyca Chan,4 bintang,Selama kesini pelayanannya bagus terus sih. Ke dokter ukum juga dokternya bagus. Cara ngomong jg enak & mudah dipahami. Yaaa semoga ngk ada komen” jelek lagi & semoga emang smua yg bekerja disana sudah mengerti yaaa. 🙏🏻 Terimakasihh 😇 …
Mega Amelia,3 bintang,"Tolong pelayanan petugas laki-lakinya jauh lebih ditingkatkan, dan mengenai petunjuk lebih diperjelas untuk pasien yang akan berobat agar tidak menunggu sia-sia.
Pelayanan petugas laki-laki lebih diperhatikan lagi, sikap keramahan sangat kurang sekali dan pemberian solusi yang tidak bagus, pelayanan dokter di poli umum sangat memuaskan dan siap membantu walaupun sebelumnya oleh petugas diberikan respon yang tidak ramah sekali. Petugasnya tolong diperhatikan lagi tingkat pelayanannya karena jika tidak ada dokter yang turun tangan, tidak akan dilayani dengan benar."
Rai Hana,1 bintang,"Pelayanan yang sangat buruk untuk dokter anak ( poli anak )
Seorang dokter yg bilang k pasiennya, dripada saya periksa tp gk aku kasih obat, hny karna saya berobat pakek kk ( kartu keluarga ) klo seandainya tidak boleh periksa bawa kk atau KTP, shrusnya jangan d layani semua, tetapi kenapa RT dan RWnya bilang priksa gratis bawa kk dan KTP khusus warga  ujung dan smp sana malah dokternya bilang seperti itu klo pun d sruh bayar saya pzti byar gk ush ngmng mengambil jatah pasien yg lain padahal saya warga sna sawah pulo minta tolong untuk pedokter pemimpin tata krama ucapan d training lagi apalgi untuk dokter senior poli anak"
Alfina Rahmawati,1 bintang,"Ibu saya 2x berobat disini yg melayani bukan dokternya. Yg pertama di poli gigi, kedua di poli umum. Gk sakit lambung malah dikasih obat maag"
Jeje Govinda,5 bintang,Pelayanan loket seharusnya tutup jam berapa?
Nata Lesmana,5 bintang,"Puskesmas sawah pulo memang terbaik,pelayanan,kenyamanan,kebersihan,keamanannya,sy berterima kasih sebanyak-banyaknya utk bapak ibu yg ada si puskesmas Sawah pulo,kinerjanya baik sekali,ramah sopan baik berbicara nya,sungguh sy terkesan datang si puskesmas Sawah pulo,perbuatan baik ibu,semoga menjadi contoh utk yg lain,dan selalu diberikan kesehatan,rezeki,hidup yg bahagia oleh ALLAH SWT,sy sangat senang mengunjungi puskesmas itu"
hanifah fanadicky,1 bintang,"Pelayanan di KIA sungguh bener bener parah. Mbak mbaknya ketus semuanya, terutama yg namanya Isti (kalo gak salah)
Mohon diperbaiki lagi untuk kepala puskesmasnya dan mohon untuk ditraining greeting dan senyum untuk bawahannya 🙏 …"
Arum Sari,1 bintang,"Pelayanan dari masuk parkir sampek pulang sangat mengecewakan
Pemeriksaan juga tidak nyaman
Tempatnya bagus tatanya bagus tapi eman SDM nya pada ketus semua jam 8 masih sibuk bersih² ruangan yg seharusnya jam segituh sudah mulai pelayanan"
Williauns G. Firnando,1 bintang,Pelayanan kesehatan nya kurang baik dan waktu tunggu terlalu lama
Fayy Faizah,1 bintang,"Pengalaman sy berobat hari ini tgl 6 juni 2023 di Puskesmas Sawah Pulo. Dokter Umum di Poli Umum sangat mengecewakan sekali, tanpa konfirmasi sebelumnya. Dokter lebih memilih bertemu dengan tamu. Smntara pasien sdh banyak yg menunggu. Pasien antrian pertama baru di layani jam 8.40. apakah dokter seenaknya bisa menerima tamu di jam2 sibuk. Jika mmg tdk ada aturan kapan dokter bisa menerima tamu, seharusnya di buat aturan kapan dokter bisa menerima tamu. Jadi tidak mengganggu layanan utk pasien. Mohon di perhatikan. Terimakasih"
