reviewer_name,rating,review_text
ulfania sari,5 bintang,"Pelayanan baik dan cepat.
Selalu suka sama bapak yg jaga di depan ramah sekali dan membantu menjelaskan apapun 👌 …"
Yeny pangestu,1 bintang,Pelayanan lambat.. dulu jam 7 pas udh mulai dipanggil no antrian nya. Sekarang jam 7.20 baru dipanggil. Bahkan petugas nya ada yg baru datang jam 7.29. Tp pasien udh antri di luar bnyk bgt... KORUPSI WAKTU.. PAYAH!!!!
Ratih Sundari,4 bintang,95% petugasnya ramah dan baik. 5 % petugasnya ada yg gak ramah dan kurang sabar dlm pelayanan antrian. Satpamnya dokternya ramah banget.
Eni Ramdiyani,5 bintang,Pelayanan semakin membaik dari waktu ke waktu..nakes sabar dalam memberikan informasi terutama mba Ayu dari Poli Batra...sangat membantu..semoga semua nakesnya sehat selalu dan sabar dalam melayani pasiennya...aamiin
alfian bear,5 bintang,"Datang kesini tanggal 23 Januari 2024 hampir jam 2 siang,shift kedua dimulai TEPAT jam 2 siang.Meskipun faskes saya bukan disana,tetapi saya tetap dilayani dengan baik dan juga mendapat obat yang sesuai dengan kebutuhan saya.Intinya mulai dari kasir,pendaftaran,penerimaan pasien,dokter hingga farmasi semua berjalan dengan cepat dan baik.
Semoga dapat menjaga dan mempertahankan semua kinerja dan kualitasnya..

Terima kasih."
Rahmi Farahdita,5 bintang,"Makin baik pelayanannya. Petugasnya jg ramah ,pelayanannya cepat, antriannya tertib banget,tidak ada pasien bergerombol didalam ruang tunggu, tks Sawahan"
Siti Nur,4 bintang,"Pelayanan nya lambat...apalgi apoteker nya udah tau ditunguin ank smpe nangis"" rewel mlh didlem yg ditunguin bikin resep sambil ngobrol"
Sari Kurnia,3 bintang,"2x kesana untuk dibagian loket pendaftaran kurang ramah, senyum aja enggak, satpamnya juga agak aneh, orang periksa yg nungguin gaboleh ikut masuk, kalo pingsan gimana, agak gk nyaman dan males kesini tpi terpaksa, untuk pelayanan didalam sudah cukup baik dan ramah"
Sumiati Rahmawati,5 bintang,"Pelayanan cepat, ramah,tempatnya bersih dan nyaman.Nakesnya selalu memberikan semangat untuk pasien nya.Jempol pokoknya...👍👍👍 …"
Ulfah Rukmanah,5 bintang,"Fasilitas okee, pelayannya juga oke banget, petugas infotmafit, satpam juga ngebantu banget 👍🏻 …"
Dyas Setiana,5 bintang,"Pelayanannya cepat, perawat dan semua petugas medis nya ramah"
Mahardika Nafis,5 bintang,"Pelayanan ramah, antusiasnya luar biasa sangat membantu masyarakat"
Febri Dwi cahyono,5 bintang,"Bintang lima buat satpam nya soalnya baik banget ngebantu banget buat aku yang pertama kali periksa hamil di tunjukin semua step"" Nya terimakasih"
rebecca novianty,5 bintang,"Bagian KIA, pelayanannya ramah banget, banget, banget.. sabar banget utk menjelaskan.. 👍👍👍 …"
tolee -,5 bintang,"Apakah bisa mencabut gigi dan mengecek2 gigi pakai poli umum/bpjs ,berapa biasanya ya tolong dijawab😂🙏🏼 …"
Sri Rahayu,4 bintang,"memuaskan, petugasnya ramah, serta cepat pelayanannya."
Mira Kusrini,5 bintang,Semakin baik dan lengkap pelayanan di puskesmas sawahan.sukses kedepan puskesmasku
Muhamad Insan Kamil,3 bintang,tolong buat dokter dokter yg sudah senior. lebih dikondisikan lagi sikapnya kepada pasien. apapun masalahnya apapun keluhannya minta tolong lebih ramah lagi. oh iyaa tempat duduknya sudah sesuai protokol kesehatan. mungkin disarankan ambil tiket online saja melalui aplikasi jkn atau bisa melalui website e-health surabaya.
Wulan Prihatini,5 bintang,"Pelayanan memuaskan, tempat bersih, fasilitas lengkap"
Novie Natalie,5 bintang,Pelayanan cepat dan ramah
Nurul Choliyah,5 bintang,Skr pelayanan puskesmas sawahan lebih bagus dan teratur.
aminatus zuhriyah,5 bintang,Semakin hari semakin nyaman tempatnya dan makin bagus pelayanannya
siti nur komaryah,1 bintang,Tidak cekatan..tolong utk bag administrasi yg masih muda saja supaya cepat
rivky yuniar,5 bintang,"Poli umum perawatnya baik baik, dokternya ramah ramah"
Zainal arifin,3 bintang,Kayaknya semua permasalahan bahas petugas bagian loket. Ibu2 tua ditaruh bagian informasi dan kasir. Haduuuh. Kesan pertama dan akhir jadinya buruk. Padahal petugas² di dalam yg melayani saya semuanya baik. Kecuali memang IBU PETUGAS LOKET/KASIR. Ganti aja lah. Jangan ibu tua itu. Sudah waktunya di pensiun. Emosinya udah gk stabil.
Gelora_Arta,5 bintang,Pelayanannya gercep dan tenaga kesehatannya berkompeten
Esa DK,5 bintang,"Pelayanan di Poli KIA baik bingit.
Petugasnya semua cantik, baik, soleha.
Kerjanya juga sat set wat wet lap lep.
Pokoknya Poli KIA itu bagaikan ompol, cuma kita yg bisa merasakan kehangatannya. 💕💕💕"
Rio Gelepi,5 bintang,"Apakah Dipuskesmas Arjuna Sawahan ada Rontgen nya ,tolong dibantu jawab,klu punya kartu KIS gimana caranya klu mau rontgen apa diperiksa dulu gitu ,SB dada anak saya itu yg tengah itu sakit kayak kemeng gitu tapi tidak sesak"
Siti Asyrifah,5 bintang,"Pelayanan sejak jam 7 sdh bisa terlayani
Wah bagus banget di puskesmas Sawahan.dan tdk pernah menolak walaupun KTP nya bukan wilayah kerjanya"
K&L Handcraft,5 bintang,Pelayanan cepat ....nyaman tempatnya
Harun Adeliya,1 bintang,Waktu pertama priksa di sana awalnya enak dokternya lumayan .tapi hari ini saya periksakan anak saya yg sakit hanya batuk pilek waktu pulang sekolah saya dapat pelayanan yg kurang enak di denggar .saya sdh nunggu lama di antrian g di panggil² mala yg daftar baru datang langsung di layani dgn enak.kenapa waktu saya maju priksakan anaksaya dapat perilaku yg tidak enak di denggar pemeriksaan ruang umum di bagian daftar panggilan .mohon yg kerja di bagian itu  tolong sebelum berucap dipikir pakai otak  gak asal ceprot ngomong .jgn mentang² kerja di bagian itu aja seenaknya sendiri ngomelin org tua  pasien . Padahal dokter yg tanggani anak saya melayani dgn baik.
Alif Galuh,1 bintang,"Puskesmas pelayanannya gak Profesional,masa minta surat izin sakit (istirahat) di kasih surat izin berobat,alasannya nggak bisa ngasih.He Dokter Puskesmas Sawahan,anda ini d bayar pakai uang rakyat,inikah pelayananmu"
Nur Fitriah,5 bintang,"Layanan ramah meskipun BPJS atau umum tetap dilayanani sama baiknya. Petugas Lab ramah dan lucu. Jadi menyenangkan, membuat tdk takut disuntik."
Sonia Ariyanti,5 bintang,"Setiap kali kesini pelayanannya bagus. Waktu ambil darah di lab petugasnya ramah, cepet, g sakit dan informatif. Untuk dokternya juga baik, sangat informatif dan ramah tentunya. Untuk keseluruhan pelayanan ⭐⭐⭐⭐⭐"
Alfredo Surya Pradana,5 bintang,"Pelayanan terbaik, dari awal masuk langsung dibantu semua petugas, buat yang awam pun petugas dgn sabar & telaten jelasin alur prosedur 👍👍 …"
agatha pranita,5 bintang,"Uda sering kesini. All out pelayanan dan pengobatannya ok kok. Klo k sini pasti dapet obat dan sembuh. Dr pd k dokter bayar mahal belum tentu sembuh. Saranin daftar online dan datang tepat waktu aja. D mana"" namanya pelayanan gratis pasti antri dan pasti ada yg jutek jg. Karna mereka jg kerja mungkin capek yg d layananin banyak. Jd ambil positifnya aja, menurutku lebih woth it d sini dr pd d rs atau dokter praktik."
Safril Zain,5 bintang,Pelayanan di puskesmas bagus kok dan cepat petugasnya sopan linmas nya sangat membantu sekali kepada pasien dan klo ada komen yg kurang menyenangkan mungkin pasienya tidak mengikuti prosedur di puskesmas Terima kasih
GrosirHandukMurah Di Surabaya,1 bintang,Masa tidak pernah ke posyandu sawahan petugas sawahan maksa2 minta data terus padahal dari bayi sampai besar tdk pernah ke posyandu tapi pergi ke dokter pribadi dan vaksin boster bayar sendiri krn vaksin boster diatas 1 tahun tdk di tanggung pemerintah daripada minta terus data2 melulu bawain donk vaksin boster ke 2 buat ortunya ke rumah
Venita Fianang,5 bintang,pelayanan sangat bagus dan seluruh pegawai nya ramah dan baik untuk mengarahkan dan menjelaskan dengan baik.. Terimakasih atas pelayanan nya kepada Masyarakat sekitar🙏🏻🙏🏻 …
Sari narolita,5 bintang,Pelayanannya sangat bagus. Saya ke poli gigi tidak lama menunggu sudah dilayani dengan sangat baik. Terimakasih
ASTRIA HINDRATMO,5 bintang,"Vaksin covid, Layanan bagus sekali, sangat cepat, petugas ramah dan terampil,ada bubur ayam di alfamart sebelah puskesmas, jd bs nunggu sambil makan bubur ayam hehe"
ardian sasongko,5 bintang,"Untuk sarana prasarana lahan parkir dan ruang tunggu masih kurang memadai, namun untuk pelayanan secara keseluruhan sudah cukup baik dan petugas juga cekatan. Semoga untuk kedepannya bisa di tingkatkan lagi 👍 …"
Na suha,5 bintang,"Pelayanan di puskesmas sawahan bagus kok linmas nya ramah dan klo ada pasien yg komen menjelakan pelayanan puskesmas itu mungkin
tidak mematuhi aturan linmas nya sangat membantu pasien dan dia selalu menyapa dulu sama pasien"
Amalia Puspasari,5 bintang,"Antrian cukup panjang, karena peminat yg berobat di puskesmas ini cukup bnyk. Bahkan warga wilayah lain rela dtg ke sawahan hanya untuk berobat karna kenyamanan pelayanan. Alurnya akan terasa cepat jika pasien datang pagi jam 7. Untuk layanan tindakan seperti poli gigi, poli KIA, dan laboratorium cukup memakan waktu tunggu. Itu karena tindakan medis membutuhkan waktu untuk proses pelaksanaannya dan tidak dpt di percepat karena tidak ada prosedur kedokteran yang dpt di pangkas atau di hapus. Misalnya cabut gigi, dokter akan membutuhkan waktu bius/anastesi sebelum melakukan tindakan cabut. Contoh lagi di lab pengambilan darah, petugas stlh melakukan tindakan ambil darah akan memproses darah, jd tidak bisa hasil langsung keluar.
Jadi pengetahuan kita sebagai pasien pun juga harus ditingkatkan sehingga kualitas sdm juga meningkat.
Saya senang berkunjung disini karena pelayanan sangat baik dan mengedukasi."
Mega wulanda Safitri,1 bintang,Saya minta dokumentasi foto usg sy di hapus ya soale saya usg membayar sebesr Rp 35000 meskipun sy ikut bpjs sawahan .
211-061 Marcellina Putri [FKEP],5 bintang,Pelayanannya cepat dan memuaskan
Kanesya Frexillia,1 bintang,Saya kira cuma saya aja yg dpt perlakuan kayak sampah tp setelah baca2 review ternyata emang kualitas tenaga medisnya yg minus. Tolong dong diajari lagi cara beretika dan berbicara dengan orang. Pernah sekolah dong? Masa etika tenaga medis sama gembel msh bagusan gembel. KHUSUSNYA pegawai yg udh tua di bagian ruangan pemeriksaan umum. Makin tua harusnya makin tau tata bahasa dong. Inget bu udh tua udh mau mati jgn sampe di susah mati krn di sumpah serapahin pasien!!!! Org lagi sakit bukannya diksh tau baik2 malah di salah2in di maki2
Yulin Wiwik,4 bintang,"Terimakasih puskesmas Sawahan..🙏🙏🙏
Pelayanan nya sesuai antrian..
Semangat buat staff puskesmas..
Semoga sehat selalu untuk semua staff puskesmas sawahan
Aamiin🙏🙏🙏"
Dony Syah,1 bintang,Pelayanan sangat buruk sekali bahkan terburuk yang pernah saya alami. Istri saya hamil 6 bulan dan mempunyai riwayat darah tinggi. Ini pertama kali saya pake BPJS diharuskan minta rujukan dari puskesmas sawahan buat periksa ke rumah sakit dan diwajibkan cek darah. Antri on line buat cek darah dapat no 11 istri saya antar ke puskesmas jam 7.15 tapi masih belum mulai antrian. Begitu mulai antrian dikasi tau persiapan untuk KIA no 1 -.10. ditunggu sampai jam 9 kok lama gak dipanggil akhirnya istri tanya ke petugas ternyata sudah no 13 dengan alasan no 11 sudah dipanggil dan dilewati akhirnya disuruh antri lagi dengan no 35. Istri saya disalahkan. Kapan dipanggilnya? Diluar juga gak ada speaker buat pengumuman hanya petugas yang keluar masuk panggil antrian. Istri kecewa sudah antri diluar hampir 2 jam berdiri kondisi hujan dingin ramai orang dan tidak ada jaga jarak. Perlu digarisbawahi bahwa pelayanan sangat buruk terutama sistem antrian dan petugas sangat tidak mendukung. Perlu dirubah. Makasih
Tiwi Pramaishella,4 bintang,Apakah disini ada buat tempat untuk bersalin ? Mohon di jawab 🙏🏻 terimakasih …
vega hydra,1 bintang,"Masa sudah bawa kartu warna pink masih tetap dimintai kartu keluarga.
terus kegunaan kartu warna pink untuk apa katanya kalau berobat tinggal tunjukin saja nanti bisa langsung dapat nomer antrian."
Ainur Rohmah,5 bintang,Saya dari Bandung dan kesini sbg faskes kunjungan. Tapi pelayanan mereka sangat sangat baikkk👍🏻👍🏻👍🏻 top bgt. Puskesmas Favorite klo ke Surabaya❤️ …
