reviewer_name,rating,review_text
Ragil Rio,1 bintang,"Lebih baik pindah faskes saja..
Namanya Puskesmas (pusat kesehatan masyarakat) untuk melayani warga...
Jika kita punya banyak uang. Kita tidak akan ke puskesmas..

Saya kesana mau berobat. Sama loket di depan laki2 malah di tolak alasanya kalau darurat di bawa ke igd rumah sakit.. lah sedangkan kalau mau lab dibawa ke igd, igd ditolak karna puskesmas sudah bisa lab yaitu salah satunya cek darah dan masih buka. Kalau puskesmas sudah tutup baru bisa dibawa ke igd karna demam tinggi hampir seminggu ini

Semoga kepala puskesmas bisa menegakan apa yg ditugaskan oleh dinas kesehatan entah pemkot maupun pemda..

Minta lab karna demam tinggi dan sudah lama. Malah di suruh ke klinik lah. Di suruh ke igd lah..

Semoga aplikasi wargaku bisa membantu untuk puskesmas sememi ini..
Thanks"
Eka Novia,4 bintang,"Pelayanan bagian administrasi , scan kehadiran dan dokternya sangat sangat ramah , tapi pelayanan depan poli terlalu cuek dan jutek , trus bagian apoteknya kalo bisa di tambah orangnya supaya tidak terlalu lama antriannya , di layar tertulis 3 orang tp yg melayani obat hanya satu orang saja"
Natasya Bintang,2 bintang,"Puskesmas menerapkan kebijakan pakai masker, padahal saya ke puskesmas lain tidak ada kebijakan demikian. Tidak ada pemberitahuan tertulis di pintu puskesmas juga. Jika anda punya kebijakan demikian, anda harus siap solusi apabila ada pasien yang tidak tau aturan tsb. Karena pemerintah sendiri tidak mewajibkan. minimal anda menyediakan atau menjual masker sehingga orang yang jauh2 ke puskesmas tidak pulang sia2 hanya karena tidak bawa masker. saya bawa bayi dan ke sana perlu membayar ojek, masa harus pulang hanya karena tidak bawa masker. Dokter KIA arogan dan tidak solutif hanya karena masalah masker. Untung saja bagian bidan tadi begitu baik mau memberi saya masker cuma2. Saya tidak kebayang harus jalan kaki keluar puskesmas hanya utk cari masker dengan kondisi bawa bayi. Harusnya puskesmas juga memikirkan solusinya."
Gisela Flafia,5 bintang,"Dokternya sangat ramah dan sabar dalam menjelaskan ke pasien. Alur jelas dan mudah. Saya merasa puas dengan pelayanan di sini, terutama dokter cewek yang masih muda, baik banget. Sukses terus."
Laili Rachmawati,5 bintang,"Pelayanannya sangat baik dan cepat begitupun dokternya baik2, sabar, lemah lembut kasih sarannya juga detail, jelas dan semua orang2nya ramah tamah dan terimakasih untuk petugas pelayanan yang sudah memberikan solusi terbaik buat saya sekarang ""BPJS"" punya saya dan anak saya sudah berpindah Surabaya walaupun lama menunggu kurang lebihnya 6 bulan dan sukses jaya terus semakin kedepannya bagus terus  buat puskesmas sememi surabaya barat Aamiin..."
Khaulah,5 bintang,"Pelayanan ciamik apalagi dilayani dr. Kezia, orangnya sabar dan gemoy. Untuk masyarakat sekitar bisa banget memanfaatkan fasilitas bpjsnya disini jangan ragu berobat ke puskesmas karna banyak sekali program"" kesehatan dari pemerintah, mulai persiapan calon pengantin, kehamilan, imunisasi anak, dan lansia. Kalo cek tb atau hiv apa bisa ya di mari ??"
septia kusuma lestari,5 bintang,"Puskesmas dengan pelayanan sangat baik, dokter dan pegawai laiinnya sangat ramah dan sopan.. Good job pelayanann nya terutama yg the best Poli KIA ☺️👍🏻 …"
Siti Ambarwati,1 bintang,Dapat antrian no 50 estimasi jam 10 sampe jam 11. Tapi ini molor sekali sampe set 12 belom di panggil dan di tinggal istirahat padahal anak sy badan nya udah panas. Sebelum istirahat pun petugas nya sudah ngerumpi makan nyemil nyemil sy kira mereka gk istirahat karna sebelum jam istirahat sudah asik makan sendiri ngerumpi sendiri sampai abaikan pasien. Akhirnya saya putuskan pulang ga JD periksa hati udah dongkol duluan liat mereka seenaknya tidak memikirkan pasien.
ynis suryani,1 bintang,pegawai tidak pernah rama yang di ruang pemerikasaan umum. minta rujukan malah nadanya ngegas. perlu di tindak ini puskesmas. sudah sering seperti ini.
Jihan Kumairah,1 bintang,"Buruk dokternya
Minta surat rujukan dipersulit, apa harus nunggu parah dulu diagnosisnya baru dikasih surat rujuk
Rumah sskit aja menyarankan juga
Bpjs juga kita bayar

Lalu memeriksa aja pakai gak mau tanganx kenak pegang, mending gak usah diperiksa kalo gak niat.
Dokternya perempuan, lupa saya namanya tadi"
