reviewer_name,rating,review_text
kiki,5 bintang,"Pengambilan antrian mudah via online, pelayanan juga cepat, petugas ramah, penjelasan dokter jelas dan mudah dimengerti, pelayanan gigi baik, pelayanan obat cepat dan akurat. Pelayanan akupuntur juga baik.Cuman tempat parkir yang kurang luas, mungkin kedepannya bisa ada solusi"
Ayatullah Maulana Akbar,4 bintang,"pelayanannya cukup baik petugasnya ramah, mungkin bisa lebih di tingkatkan lagi biar semakin berkembang."
Mola Moli,1 bintang,"Terlalu banyak yg harus diperbaiki disini
Pemerintah setempat semoga bisa memperhatikan pelayanan kecil dimasyarakat seperti ini. Terutama kesehatan."
Amalia Putri RJ,2 bintang,"Pelayanan poli gigi kurang baik. Scaling rahang atas gak rata, padahal cuma dihilangin sedikit sudah ditarif 3x scaling terus disuruh balik lagi. (Dan scaling itu harusnya ditarif per regio, bukan per jumlah gigi) sesuai perda pemerintah No 5 th 2010, silahkan cari.
Sebenarnya kalau bpjs luar kota emang bayar gapapa, tapi tolong pelayanannya yg optimal. Saya dari pkm sebelah scaling rahang bawah bagus, merata dan hasilnya bersih pula itupun gak disuruh balik lagi."
bagus Pribadi,1 bintang,"Udah ngambil antrian di website pas tanggal merah ehh pas nyampe puskesmas tutup
G sinkron sama sekali sama website"
hakam tyaa,1 bintang,"Lama sekali, antri 3 jam blm kelar. Pdahal ada 3 dokter, Tlg pak diubah sistemnya.. Org sakit gak bs nunggu lama2"
Reinand,5 bintang,"Pelayanan cepat, ramah dan bersih. Trimakasih nakes2 sidosermo telah bekerja dgn baik👍 …"
42.nurilma amalia putri,5 bintang,"Pelayanannya ramah dan cepat, semoga ditingkatkan lagi yaa👌 …"
Daffa F,5 bintang,"Pelayanan poli2 baik,cukup cepat,dan ramah"
Ayu Nirmalasari,5 bintang,"Alhamdulillah BPJS saya bisa pindah. Pelayanan gigi di sini lbh ramah, dokternya sabar dan telaten. Gak cepet²an malah dijelasin hrs begini begitu. Semoga terus ditingkatkan biar bs terus perawatan di sini"
Oing Boss,1 bintang,2 jam baru di panggil masih di suruh nunggu lagi orang laboratorium nya kosong ga ada orang
Antonio Faidz,2 bintang,"Pelayanan kurang ramah & terlalu lama
Ribet jg gak seperti puskesmas lainnya."
Itsna Fardah,5 bintang,"Alhamdulillah baik dan merangkul semua kalangan, hanya tempat parkir kurang memadai, dan tempatnya kurang luas"
Almira Hasna,2 bintang,"Saya bermaksud vaksin pada tgl 3 Februari 2023. Layanan vaksin booster 2 COVID 19 tertera pada flyer adalah sejak pukul 08.00 WIB.

Saya datang sejak 07.45 WIB dan diminta mengisi formulir.

Pengukuran tensi dimulai pukul 08.30 WIB. Pemberian vaksin sampai pukul 08.55 WIB belum diberikan karena alat suntik masih dibenahi.

Ini pengalaman yang sangat buruk bagi saya. Bagaimana bisa penyedia layanan seperti puskesmas sangat tidak tepat waktu?

Semoga hal ini bisa dengan sangat amat segera diperbaiki ke depannya."
Tegar Anggarida,1 bintang,"Bu Bidannya ketus, tidak ramah, apa seperti ini ya pelayanan faskes pemerintah. Istri saya mengalami trauma komunikasi yang tidak baik dari Bidannya"
Vivi Wicaksana,1 bintang,"Pelayanannya astagfirullah,
Udah lama bgt memang tidak pernah datang ke puskesmas ini. Dikarenakan saya pernah daftar antrian online, lalu datang terlambat karena hujan deras.

Ehh datang2, sudah pusing kepala, perut sakit malah di kata2in sama yg kerja disana. Hampir 1 ruangan yg ngatain. 😂😂😂

Sudah saya coba jelaskan jika saya terlambat karena nunggu hujan reda, tp mereka tidak mau tau, dan ketika saya meminta surat sakit untuk pekerjaan saya mereka langsung men-judge ""tuuhh kan, dia kesini cuma butuh surat sakit ajaa""
Luar biasa pelayanan disini, bikin trauma dan ga balik lagi. Malu bu sama swasta"
Adinata Zen,1 bintang,"Nggak jelas, nunggu nomer antrian aj lama.
Petugas e trlalu santai bin lemot
Parah..."
Milieyouke Irawan,3 bintang,"Saya adalah pasien aktif di RS Mata Undaan selama 2th karena kornea saya bermasalah, yg jadi masalah buat saya 3bulan lalu perpanjang rujukan dan setlah surat rujukanya sdh jadi trnyata ndak sesuai divisi yg dari awal di Kornea Bedah Refraktif, dan dganti dgn divisi Vitreo Retina kan jadi ga nyambung, saya tanyakan sama mbk yg ngetik surat rujukan katanya ga apa2, alhasil besoknya saya kontrol ke RSMU berkali2 TIDAK BISA ketemu dokter saya dokter spesialis kornea. Pdahal saya baru saja oprasi kornea. Dengan tidak mengurangi rasa hormat saya memohon langsung kepada dokter retina yg menangani saya saat itu untuk menjadwalkan saya brtemu dgn dr spesialis kornea. Next minta tolong kedepannya jika saya minta perpanjang rujukan sesuaikan yg ada di surat rujukan tsb jangan diganti2. Trimakasih atas perhatianya. Semoga Puskesmas andalan saya ini bisa lebih maju lagi dan selalu teliti dalam menjalankan tugasnya."
Erika Bawafi,1 bintang,"Pelayanannya tidak baik, sangat gak ada tata krama malu sama swasta harusnya kalo udah berstatus pns bisa lebih baik lagi dalam melayani masyarakat, karena kalian ada untuk melayani masyarakat tidak pandang bulu dan harus bisa bersikap baik"
Aisyah Chacha,5 bintang,"Pelayanannya super ramah, sabar dan cepat jika ada tindakan medis..
Sehat selalu buat karyawan puskesmas sidosermo ^_^"
cahyo ainun,1 bintang,Puskesmas paling ruwet paling sulit untuk minta tolong. Anak 5 bulan sakit batuk berdahak si ibu minta di uap malah dikasih obat panas/batuk aja .. Kan ga logis.
Kallea Dinata,2 bintang,"Pelayanan lumayan cepat, karena ada antrean online. Tapi, ada ""oknum"" pegawai yang gak ramah sama sekali. Nanyak baik2 tentang letak poli karena baru pertama kali kesana, eh malah dipotong aja pertanyaannya dan disewotin, padahal datang masih pagi2. Mungkin pegawenya dinas malam kali ya atau lagi pms, cape 😅 …"
Kristofer Panjaitan,2 bintang,"Pertama kali kesini hamil tua mau priksa darah lengkap, ibu bagian LAB gak ramah. Q disuruh ambil sampel kencing, ta titipin Tas aj ngomel2, kek setahun aj kutinggali. Udah gtu BPJS katax tdk bisa, pdhl dt4 lain BPJSq dilayani. Tolong di Breafing lg pegawainya klo melayani pasien senyum kek, Ramah gtu."
Mul Yono,1 bintang,"Antrian tidak tertib...sudah kelewat masih ada toleransi tidak ambil antrian baru....ada org 10 serasa jadi org ke 100,serasa percuma ngantri..."
Umi Supeni,5 bintang,"Alhamdulillah, saya senang karena selalu terbantu, sudah beberapa kali saya di bantu,, puskesmasnya nyaman walaupun bangunannya lama, semoga diperbaharui"
Rahma Jufriana,5 bintang,"Tolong dong pintu kamar mandi pasien wanita pintunya deperbaiki, soalnya tadi saya kesana untuk buang air pintunya gk bisa nutup rapat. Alhasil saya pegang hingga selesai. Dan pelayanannya ramah, tolong juga dong diadakan tempat bersalin. Trima kasih"
Nur Fadilah,5 bintang,Pelayanan KTP Surabaya dan BPJS gratis. Pelayanan swab juga gratis dengan membawa fotokopi KTP/KK utk pasien kontak erat dan suspek COVID. Pel.vaksin mudah hanya membawa fotokopi KTP atau kartu vaksinasi.
Muh. Gufron (Gufron),4 bintang,Semoga tetap dipertahankan mutu layanannya
okta era,5 bintang,"hari Jum'at, saya ke puskesmas Sidosermo untuk pertama kalinya, alhamdulillah pelayanannya cepat, ibu bidan di KIA ramah dan sangat membantu. Begitu juga petugas di Laboratorium, ibunya sangat sabar dan sangat peduli dengan ibu hamil. Inilah kesan pertama saya waktu periksa ke KIA dan cek Lab kehamilan."
Yas *,1 bintang,Maaf ya pelayanan dibagian laboratorium sangat kurang baik. Nggak ada ramah2nya. Kerja ditempat pelayanan umum seharusnya lebih tau gimana cara melayani pasien yg baik. Kecewa bgt
David L Hidajat,4 bintang,"Pelayanan cukup mekadai meskipun perlu peningkatan terutama dari beberapa personil yang ada. Fasilitas pendukung cukup memadai, puskesmas tidak besar tapi akreditasi bagus. Akses tidak nyaman karena ada di dalam pemukiman yang aksesnya kurang nyaman."
San T,5 bintang,Pelayanan baik
