reviewer_name,rating,review_text
Mbah Yoso,4 bintang,"Sudah sekian lama sy tidak kesini, ternyata sekarang sudah reformasi total. Alhamdulillah.
Puskesmasku yg dulu masih terdapat pohon randu disepanjang jalan.
Hari ini saya berkunjung
Datang pagi mengantar anak untuk minta surat keterangan sehat pas barengan dengan apel pagi salut dengan pimpinan yang memberikan amanat apel.
Cuma saya sebagai pengunjung yang belum tahu aturan jika masih memberlakukan pemakaian masker, ada petugas yang menegur jika tidak memakai masker tidak akan dilayani.
Alangkah baiknya jika menegurnya dengan kalimat "" mohon maaf ibu pengunjung baru disini? aturan di puskesmas kit harus memakai masker, monggo dipakai maskernyadan jika tidak membawa silahkan beli diluar"". Kadang karakter pelayanan model lama masih saja blm bisa move on.
Satu lagi saya suka dengan mars lagu Puskesmasnya."
Nyta Narda Wijaya,5 bintang,"Bener bener bikin saya syok pas kesini syok nya itu bener bener ada perubahan drastis mulai dari pelayanan , ketertiban, kebersihan
Sekarang Bintang 5 semua dah
Tidak seperti jaman dulu yang pelayanan nya sangat lemot bahkan semua tim nya ketus dan tidak sopan pokok nya bintang 1 kalau dulu

Tidak dengan sekarang semua pelayanan tim nya baik ramah sopan dan Gercep bahkan di siplin tertata rapi dan tidak di persulit bagi yang ingin di puskesmas sini berbagai macam keperluan proses nya super cepat

Sooooo PERTAHANKAN 👍🏻✔️🤗

Terima Kasih Sukses Selalu Buat Para Tim dan Pertanggung Jawab Puskesmas Sidotopo Wetan

Salam Sukses dan Salam BOLBOL'FAMS 🤗✔️👍🏻

Terim"
Lia Arista,2 bintang,"Tolong lebih diperbaiki lagi pelayanan antriannya
Tidak ada gunanya daftar online klo disana pakai manual dan urutan nomernya amburadul"
Sigit Tristiyono,1 bintang,"Pelayanan tidak memuaskan.. Antre dari jam 08.00 dipanggil jam 09.55 sampai poli Gigi ditolak dengan alasan faskes BPJS tidak sesuai.. Harusnya dari loket sudah diberi tahu kalo tidak bisa, kenapa pasien harus antre dulu sampe hampir 2 jam baru dikasih tau kalo tidak bisa berobat di puskesmas sidotopo wetan ?? Padahal saya KTP surabaya.. Kata Pak Eri dipermudah ?? Kenyataan nya ??"
Ulvia Nafisatun,1 bintang,"Baru aja datang kesana periksain anak sama suami, semua pelayanan dari loker tensi sama dokter welcome bgt bagus👍 tapi waktu ambil obat kenapa pelayannya jelek bgt👎baru pertama kali dari sekian lama kesana baru kali ini marah"" karna katanya lainnya sudah plg cuma dia aja yg belum karna Masih ngelayani saya, dahal sudah jelas masih ada org dokter pun ada knp dia sendiri yg kesetanan keburu pulang kalau cuma mikiri pulang seharusnya jgn kerja dari pada bentak"" pasien, pasien juga gamau sakit kalau tiba"" anak panas tinggi sore masak mau diperiksain pagi bener syok bgt smpk skrg omngnnya kasar jgn mentang"" saya masih muda cuma saya yg dilayani jelek, tolong diperbaiki lagi jgn Sampek org lain sakit mau berobat malah dimarah.."
Ajeng Wahyu Nindriyani,1 bintang,"Puskesmas paling gak jelas
Prosedur pendaftaran amburadul
Apalagi bagian KIA
konfirmasi harus banget 2 kali? zzz
Masuk ke dokter harus gantian gak jelas
Perawat bagian periksa anak tolong ya
Antri jam 8 kelar jam 10
Anak udah keburu nangis² antri lama
Pantes rating jelek"
Peggy Eka,3 bintang,"Radak sebel sama bapak2 yg ada di depan. Gatau bagian apa. negur suami saya gara2 ga pake masker dengan nada tinggi ""PAKE MASKERRRR"" lalu saya jawab ""pak disini apa jual masker kalo jual tak belinya. Aku udh di indomaret tp abis"" Eh malah dijawab gak nyambung ""BELIII BELIII BELIII"" pake nada tinggi. Rada aneh , orang tanya baik2 malah dijawabnya ga nyambung 🙂

Tapi selebihnya perawat serta staff yg lain baik. Cuma bapak ini aja yang rada geser ga nyambung. ((Maklum mungkin ngantuk ato gaji blm turun, tp seharusnya kerja mah yg ikhlas pak...jangan bentak2 gitu))"
yenny julie,1 bintang,"MBAK2 YG PEGANG KOMPUTER DI KLINIK KIA, SANGAAATT JUDES  !!!,
TANYA BAIK2 JAWABANNYA SELALU BENTAK DAN TERIAK DAN INI SERING YA, BUKAN SEKALI DUA KALI.
JUJUR DIA LEBIH COCOK JADI PREMAN DARIPADA KERJA DI PUSAT PELAYANAN,.
Terakhir anak saya periksa sakit, dia malas mau nimbang. Padahal BB penting utk memberi takaran obat pada BAYI,
TOLONG DITEGUR."
Wong Alam,5 bintang,"pelayanan sangat ramah lho..bagi yg sabar & ngerti prosedurnya..kalau ada yg berpendapat kurang baik, pasti belum tau/tidak tau prosedurnya & tidak sabaran."
Ouzhman reddevil,1 bintang,"Mau jemput aja d suruh pindah padahal cuma bentar berama lama sih orang jemput gak sampai 5 menit udah d usir kecuali yg jemput pakai truk kontainer baru bikin macet jalan.
ATURAN MACAM SAMPAH"
Myrandaa 04,5 bintang,"Kalau ke puskesmas Sidotopo bisa pakai bpjs tidak kak? Tapi puskesmas saya ikut Wonokusumo, di Puskesmas sana antri lama orangnya jahat-jahat juga. Dulu pas masih SD tambal gigi di puskesmas sidopo apa masih bisa ya?"
Ratno Shinoda,5 bintang,"Poli gigi, dokternya ramah pelayanan baik, bersihkan karang gigi bersih tidak sakit"
bu sahwan,5 bintang,"saya berkali-kali perawatan di poligigi sini dan saya suka sama pelayanannya, dokter dan perawatanya baik baik"
Vien Rock,3 bintang,Ruang tunggu yg kecil dan seringkali banyak yg gk kebagian tempat duduk.mungkin Pemkot bisa memperluas puskesmas Sidotopo wetan. Kalo pelayanan saat ini sangat baik saya suka.
Nurul Samsiyani Rahayu,5 bintang,"Pelayanan semakin hari semakin memuaskan. Petugas nakes ramah dan sopan. Melayani bgt deh
Terjaga ketertibannya dan kebersihannya"
siti langita sari,5 bintang,"Sangat-sangat puas dengan pelayanannya.
Di bagian KIA disambut hangat, di CS pun Alhamdulillah perubahannya berbeda sekali yg sekarang pelayanannya sangat welcome, dokternya sangat baik dan pengertian, dan special thanks buat Mba Dewi bagian BPJS yg amat sangat membantu kami. Apresiasi sekali untuk kesabaran dan pelayanannya meski di luar jam kerja, masih bersedia melayani dengan sangat baik masyaa Allah."
Zurifa Rahma,1 bintang,Pegawai nya kasar2 kalau ngomong pelayanan nya sangat lama
zwesty saumi,1 bintang,"antri nya lama dipelayanan umum panggilan nomornya tidak urut.
saya menunggu sudah 1jam tidak di panggil di poli umum
tolong di perbaiki lagi."
Reynita Mey,4 bintang,"Next time kalo mau periksa psikolog dikasih tau masuk ke poli umum dl, kalo uda daftar psikolog trs dpt antrian nomer awal, jd balik lagi ke nomer baru di poli umum karna harus daftar dulu ke poli umum, jadinya agak lama nunggunya, overall semua pelayanannya bagus"
Achmad Rizal,1 bintang,"Hari ini saya mau perpanjangan surat rujukan alhamdulillah sudha selesai, tapi pegawai yg saya lingkari itu tidak sopan sama skali kpd pasien bicaranya dan tingkah lakunya tidak ada tata krama sama skali, mohon di disiplinkan untuk kesopanan wanita tersebut 🙏 …"
M Rizki,5 bintang,"Semangat selalu, jam 06.30 sudah buka dan segera dilayani"
Kumi Asih,5 bintang,"Saya sangat puas d puskesmas ini, krna pelayananny sangat baik dn petugasny sangat ramah2. Apa lg d bagian poli anak. Sngt cepat penangananny.mskipun  antri bnyak cepat ga lama2 nunggu. Pokokny is the best d puskesmas ini Number One."
portugis band,5 bintang,"pelayanan Ramah & nyaman
se Surabaya"
Rizky Amalia,5 bintang,halo kakk apa disini bisa untuk pembersihan karang gigi yaaa
Wiwin Spears,5 bintang,"Dokter disini sama staf di puskesmas Sidotopo wetan sangat baik baik dan pelayanan luar biasa. Apalagi kepala puskesmas sangat baik, ramah, dan selalu tanggap sama pasien darurat. Semoga kepala puskesmas sehat selalu dan panjang umurnya. Jasa2 beliau sangat luar biasa,
Semoga puskesmas yang lain lainnya bisa mencontoh puskesmas ini,"
Sindi Ika Meilasari,5 bintang,"Pelayanan oke bgt
Bagian Pendaftaran ramah informatif cepat tanggap juga
Dokternya jg satsettt
Tau bayiku panas lgsg disuruh masuk keruangan takutnya kejang
Akhirnya cepet2 dikasih rujukan ke RS buat ditangani DSA
Terimakasih 🙏"
irwan rouf,1 bintang,"Pelayanan buruk, petugas loket farmasi receptionist jg judes semua, setingkat dokter aja ramah dan sumeh ini kok di pelayan & karyawan yg lain gk ada ramah²nya, bahkan tukang parkir aja jg belagu, yg jelas sangat kecewa kalian itu dibutuhkan masyarakat menjalani tugas mulia membantu menolong masyarakat kalo sudah bertugas dg hati jengkel dan tidak ikhlas, hasilnya jg gak akan baik"
Aisyah Syifa Alia nor Rochman,5 bintang,"Pelayanan sangat nyaman ,tempat bersih ,tapi ,disiplin dan cepat"
Ahmad Arifin,1 bintang,"Pelayanan sangat"" lemot khusus lansia katanya di dahulukan panggilan nya tapi nihil. Sangat tidak ramah orang"" nya"
Dwi Sumarningsih,5 bintang,"Alhamdulillah semua pelayanan baik poli maupun pengurusan lain2 sudah sangat baik dan lebih cepat dan semua Nakes ramah, baik pada pasien dan sangat membantu sekali. Cuma untuk pelayan lab yang ada sedikit keluhan. Yaitu jika arahan dari dokter poli umum dan diberi nomor antrian... masih patuh mengikuti nomor antrian... tapi begitu dari poli KIA... langsung menerobos masuk tanpa menunggu nomor antrian... jadi kadang ada yg mengeluh sdh menunggu antrian tapi ada saja yg mendahului... mohon maaf🙏🙏"
