reviewer_name,rating,review_text
Afifuddin Sby,1 bintang,"Pelayanan nya lemot bgt untuk di poli KIA
Masak di dalam ruangan poli KIA gak ada pasien gak di panggil* malah pada maen HP pegawai macem apa lagian kasihan pasien yang sudah mulai pagi tapi seng di dalam malah santai main HP. Gak duwe utek kerjo golek enak. E tok.
Tolong pak Eri cahyadi tolong di tindak puskesmas Sidotopo."
Fandi Supra Yogi,1 bintang,"Didalam ruangan poli KIA banyak Yang nganggur malah gak ada yang dipanggil mentang2 poli yg merasa dibutuhukan, semoga oknum2 yg ada didalam dipersulit juga Segala Urusannya."
Izas Zami,4 bintang,"Pelayanan oke
Cuma luama
Dokter USG nya baik kata istriku"
Rahma Hidayahwati,1 bintang,"Pelayanan lama, internet mati, layar nomer antrian tidak berfungsi. Panggilan tanpa mikrofon dengan kondisi ramai pasien dan anak anak, ruangan poli pemeriksaan kosong (tidak ada pasien) petugas dan dokter diam saja. Sampai2 pasien harus masuk ke ruangan poli pemeriksaan dan menanyakan nomer urutan, dokter malah menyalahkan pasien karna saat dipanggil tidak dengar. Padahal ditunggu dari pagi memang tidak ada panggilan."
Lailaa Arofah,1 bintang,Puskesmas terparah yg pernah saya datangi. Dtg set 8 . Lab jam 8 hasilnya baru kluar jam 11. Mana yg dibawa lansia. Ternyata Lab nya nunggu yg lain baru di setor ke dokternya. Mbokkkk parahh bgtt. Di puskesmas wonoKusumo dan tanah kali kedingding 30-45 menit. Mentol 1 jam. Sumpah ini pertama kali saya ksini. Tidak ada kesan baik sama skali.  Greget juga sama pelayannya
Novita Sari,1 bintang,Poli KIA nya lemot penanganan nya heduhh cobak kalau orang tanya itu di dengerin dulu biar gak nunggu lama ujung2nya gak bisa
Alfin Nuri,1 bintang,"Petugas kok ngmongnya gk sengak  org gk tau ksih tau pelan"" Gausah pke wajah yg ngece.. Apalagi yg satunya dr masuk udh jutek mbak"" KIA gak pke krudung.. Nomer urutan udh mlbihi batas tp blm ada panggilan"
Arini Elva,5 bintang,Pelayanannya bagus dan nakesnya ramah ramah kalau ada orang yg rating nya jelek brati dia gak sabaran mau se enaknya sendiri bagi saya untuk semuanya tidak ada masalah apalagi untuk poli poli lainnya yang bermasalah hanya di pasien karena gak mau SABAR DAN SENAKNYA SENDIRI!!!
cinta tasya,2 bintang,"Pelayanannya sangan lemot, gak sesuai waktu apa lagi gizi, poli umum klu waktunya kerja jngan ya kerja waktu mkn ya mkn ikutin aturan yang ditetapkan oleh Puskesmas, giliran di tegor sama pak walikota baru cepat pelayanan nya,  gak mau nyetuh badan Pasien kalau lagi luka kalau jijik  jngan jadi dokter jdi pegawai negri aja jadi lah dokter yg bijak sana dalam priksa pasièn nya"
Miftahul Mualifah,3 bintang,"pelayanan terlalu lambat untuk poli paru, poli yg lain antrian sudah sampai nomer 20 an sedangkan poli paru dr pagi tidak dipanggil panggil"
sales arva,1 bintang,Sudah blng awal mnta lab dan blng nya doktrnya radang . Dan skrg di lab RS lain malah kena DB kan emang ke bangetan puskesmas kalian
Rii ungkad,2 bintang,Antrinya stuck lama banget cuman buat ngurusin kkps . Pdhl uda dipindah tempat buat yg umum ttp aja stuck kurleb 2jm setngh.
NurAfida _,5 bintang,Pelayanan baik walaupun harus sabar nunggu antrian
fathur andreyanto,1 bintang,"Lambat,letoy semua pegawai"
Indra Maulana,1 bintang,Puskesmas mbuleeett KIA disuruh bolak balek pak eri ndang di tindak iki
Saiful Risal,1 bintang,"pelayanan sangat sangat buruk
dateng kesana pas jam kerja tapi disuruh nunggu dan malah sedang bercanda semua, padahal kondisi sepi tdk ada satu pasien pun
yg cewek sama yg cowok semua bercanda, ditambah lagi berbicara nadanya tinggi sambil lihat hp dan nunjuk""
mau daftar vaksinasi, dan syaratnya harus 10 orang, kalau gk 10 orang RUGI kata mereka
saya gak tau kenapa mereka berkata seperti itu, mungkin yg beli Vaksin BAPAKnya
sekalipun di SIDAK paling cuma 1 hari doang tobat, besoknya ya balik lagi kayak gitu mereka
LUCU aja, suruh ninggal fc KTP nanti dihubungi, tapi sampai sekarang tdk ada kabar, apa kerja kalian?
saran saya pecat aja semua pegawainya, dan utk layanan puskesmas sidotopo dijadikan 1 dipuskesmas yg lain
semoga mendapat BALASAN yg setimpal!!!"
