reviewer_name,rating,review_text
Anita Dp,5 bintang,Sekarang sudah sangat nyaman untuk ruang tunggu yang ber AC. Pelayanan juga sudah semakin cepat. Dokter yang sangat ramah dalam memberikan penjelasan. Untuk pengambilan obat juga sangat cepat. Semoga semakin prima dan maju dalam melayani kesehatan masyarakat
Vergil Guy,5 bintang,Sangat nyaman layananya sangat baik ramah pada semua pasein
Indra Prasetyo,5 bintang,Pelayanan baik.. bahkan sekelas rumah sakit aja kadang masih ribet.. kebetulan saya ke poli gigi.. dan petugasnya menjelaskan dengan baik..
Smart Biopori,5 bintang,"Meski aksesnya agak sulit tapi pelayanan baik, fleksibel tapi sportif, bisa ditinggal dl tapi harus mau antri lebih lama untuk diloncati pasien berikutnya"
Yessy Tiara,5 bintang,"Masuk gangnya sempit roda 4 susah masuk tpi pelayanannya bagus ga ribet cepet klo sesuai jam estimasi, pegawainya ramah2 konsultasi jdi tdk tegang mantapp,,tolong dipertahankan⭐️"
Khusnul Khotimah,5 bintang,Pelayanan nya bagus. Tertip. Petugasnya ramah tamah. Sopan santun. Dan tanggap. Sesuai urutan. Sesuai nomor antrian. Dokternya baik hati smua
Fauziah Sebtia,5 bintang,"Care terhadap pasien,3S&pelayanannya ramah,fast respon👍cma sayang bagian lab nya kurang senyum klo gmg ketus …"
Erwin Obm768,1 bintang,"Poli gigi gak profesional! pandai ngeles! gak mau dikritik! gak mau salah!

Di antrian jadwal hadir 07.51-08.06 , datang pas 07.59 dibilang terlambat disuruh nunggu sampai 10 antrian lagi, ampas banget.
Tolong sistem diperbaiki Pak Eri di puskesmas ni...
Andai faskes 1 ane gk disini...
Andai ada bintang -5, gw kasih -5"
Ahmad Zainudin,5 bintang,Sejauh ini smua pelayanan di puskesmas bagus . Tidak mengecewakan.. Pelayanan di poly gigi juga ramah.. Tindakan perawatan jg cepat..
Yani Doni,1 bintang,Sangat kecewa sma dokter nya ngmng nya ngawur bgt kerja yang profesional dong namanya pasien apalagi pasien yang kudett klau gatau ya mau ga mau harus jelasin dong dari awal bukan malah mentang2 anda dokter disitu pasien di kata2in seenaknya.
Wilda Al Aluf,5 bintang,"Pelayanannya bagus dan pegawainya ramah2 😍, meskipun tempatnya masuk di dalam gang. Tetap semangat puskesmas simolawang 👍 …"
Yeni Febriyana sari,5 bintang,"Pelayanan labnya bagus, kemarin ambil darah gak sakit, staffnya ramah2"
amilatul badrukhah,1 bintang,"Dear ibu dan mas yg jaga apotek. Tolong mulutnya dikondisikan,saya periksa disitu tidak gratis,saya bayar setiap bulannya. Tugas anda cuman nyiapin obat buat pasien,menjelaskan tata cara minumnya,dan tolong diperhatikan saya td kata dokter ivan dapetnya puyer mestinya,tp ini sya disuruh gerus sendiri,oia satu lagi jangan terlalu banyak bicara yang bukan menjadi urusan anda apalagi mencakup privasi saya,karena sangat mengganggu."
