reviewer_name,rating,review_text
Mira Diah V,5 bintang,"Pelayanan di poli KIA bagus&informatif sekali. Anak saya imunisasi hari ini, meskipun anaknya rewel&tidak kooperatif tetapi tetap dilayani dgn sabar🙏 dan diberi tata cara waktu dirumah untuk penanganan post imunisasi. Terimakasih banyak untuk para nakesnya🙏 …"
Ranitya Dewi Ayu Sadian,1 bintang,"Pelayanan poli KIA lama sekali…
Kamis pagi sekitar pukul 07.35 sy sudah di puskesmas, awalnya sy daftar di poli umum, pelayanan cepat, sekitar pukul 08.14 sy di rujuk intern di poli KIA, waktu sy sampai nomor antrian sudah 28 tetapi tdk segera dilayani,sekitar 10menit kemudian baru no 28 dipanggil kembali dan masuk. Tetapi tidak kunjung selesai smpai pukul 08.52. Lalu di panggil kembali antrian dari awal no.10, sebenarnya mekanismenya saja sdh tidak beraturan, kebetulan sy dapat rujukan intern no 36. Kira2 sy harus menunggu smpai brp lama? Sedangkan masih harus ada aktivitas setelah itu. Mohon perbaikan pelayanannya.. 1 pasien harusnya paling lama 10 menit dan continue,ini lebih dari itu dan setelah pasien keluar jedanya terlalu lama untuk menunggu.
Padahal awal sy datang pasien masih 2 smpai sy belum dilayani pasien sudah padat.
Dan di pukul 09.19 masih nomer 28 dan masih melayani pasien no awal yg baru datang. Akhirnya sy pulg… karena sy ijin kantor hanya smpai pukul 10."
Mas Bri,4 bintang,"Menurut saya sudah bagus untuk mau yang mau berobat di sini. bisa daftar dulu secara online dengan alamat website yang sudah atau yang mudah dicari di Google.
Saya berikan apresiasi untuk tukang parkir motor yang ada di depan karena sangat gercep sekali membantu pasien yang berkunjung di Puskesmas ini. harga parkir motor cuma 2000. kemudian untuk pelayanan sejauh ini cukup baik, jadi ketika pasien sudah daftar secara online, nanti konfirmasi aja ke bagian pendaftaran dan biasanya langsung diarahkan ke tempat duduk kursi tunggu. di situ terdapat monitor antrian, kita bisa Maman tahu kapan waktu kita akan dipanggil."
Yuliasti Ika,5 bintang,"Puskesmas dengan pelayanan yang baik sekali, selain pelayanan yang ramah juga cukup lengkap untuk fasilitasnya. Antrean tertib dan alur disini jelas.
🛵🚗🚙 Area parkir di tepi jalan, cukup luas baik untuk roda dua maupun empat
🍩🍭 Lokasinya berdekatan dengan sekolah, jadi banyak penjual makanan dan jajanan disini
🎫🎟 Administrasi rapi
🎍 Kondisi puskesmas termasuk bersih, tidak terkesan kumuh. Ada taman kecil di dalam puskesmas jadi terkesan asri
📑 Saya kesini dalam rangka membutuhkan surat keterangan sehat dan pelayanan yang saya dapatkan relatif cepat dan biaya tidak mahal, cukup murah kok. Rekomended!
⚠️ Jangan lupa kesini bawa kartu BPJS ya"
Yusup Jaya,1 bintang,"Pelayanan tambah lelet, mohon managentnya di perbaiki ,agar lebih sat set,
Perpanjangan rujukan , dulu cepat
Sekarang lama di tumpuk g di panggil panggil,
😴 …"
Yunia Ardina,1 bintang,"Saya mau kasih masukan sekaligus protes..

Saya hari ini tgl 25 February 2024, sekitar jam10an ..
Ibu saya priksakan anak saya ke IGD dgn keadaan anak saya batuk berdahak sampek muntah muntah di sertai pilek tidak bisa nafas.. tp pas sampek puskesmas puskesmas di taruh di poli umum.. ibu saya tidak tau nama dokter hari ini siapa tp katanya dokter nya tidak komen yg komen asistennya.. BU BESOK KALAU BEGINI JANGAN KE IGD YAA TUNGGU BESOKNYA..
Apa saya harus sabar tunggu besok dgn keadaan anak saya lemas gak kemasukan apa"" , andaikata saya besoknya kesana terus dokternya blg kok sdh terlambat.. saya juga yg salah jdnya..
Terus apa gunanya ada IGD dan dokter jaga kalau tunggu anak tak berdaya baru di tangani..

Tolong di tindak terimakasih"
Richa Vivi,1 bintang,"Pelayanannya yaampun lama polllll, minta surat rujukan aja bisa sejam setengah sendiri. Nih yakin dinas kesehatan masyarakat modelnya kayak gini??!!!! Padahal 3 dokter diruangan lagi asik ngerumpi manjah. Tolong ya nih sistem dinas kesehatan dirubah kita nih negara maju bukan seh?!!!! Tapi sistem sistemnya masih ruwet dan lamaaaa"
Lili Han,5 bintang,"pelayanannya baguss 🫶🏻 tadinya ragu mau pergi ke puskesmas takut dijudesin, ternyataa disini baik hehe. ke sini buat vaksin booster, ga dapet lsg dapet tapi ngisi form dan lsg dikabarin pas ada. ramahh. di gedung rawin banyak buku dan pamflet jadi betah kalaupun nunggu. …"
Puput Keysa,5 bintang,"ngerasain lahiran disini,masya'Allah bgt
di bantu bgt ....
alhamdulillah bsa normal dan debay sehat
wlo sya pas lahiran ada drama
terima kasih banyak para petugas medis
barokallah ...."
sutrisno jrenk,1 bintang,Pelayan ribet...bertele tele kurang sat set.. banyak pengawai mainan hp...
