reviewer_name,rating,review_text
Moch. Nafi Yusril Iksan,2 bintang,"Kenapa sih tingkat kepuasan dipelayanan puskesmas menurun yaaa karena beberapa orang gini, saat pendaftaran aman sih online lalu antrian nya juga sedikit lalu disuruh membayar biaya retribusi karena ktp luar 20k oke lah, saat dipanggil di meja pertama ditanyain saya bilang ""mau minta surat sehat"" akhirnya petugasnya tidak metensi dan suruh masuk langsung keruang dokter, dokternya ramah banget sih, saat keruang dokter suruh balik lagi buat ke meja pertama untuk tensi, karena aku bilang belom ditensi, haloo sebenernya SPO nya gimana sih, setauku aku belajar kesehatan juga pasien sehat maupun sakit kalau dateng yaa yang pertama ttvnya dan aku liat tulisan tensinya tuh 128/80 an gitu tp petugasnya meja pertama bilang 110/70 an dan terus pas kedokternya yang di surat beda lagi haduh😭. Terus bayar biaya pelayanan 20k aku sih oke² aja jika pelayanan juga baik dan ramah di segala aspek padahal di puskesmas² lain sekitar 20k-30k an karena kukira lebih deket dan lebih nyaman karena surabaya pelayanannya terbaik daerah."
Amalia Dewi,5 bintang,"Pertama kali manfaatkan BPJS di puskesmas ini.

Reservasi online dan on time. Area parkir cukup untuk motor dan mobil. Petugas kooperatif.

Masuk ke ruang dokter rame-rame tapi dokter baik dan tenang walau byk yg lihat pas pemeriksaan.

Tunggu obat gak terlalu lama.

Puas untuk layanan ini."
James Morgan,1 bintang,"Pelayanan adminnya bagus. Yang parah dokternya. Ngeremehin sakit pasien. Padahal sdh dibilang kesakitan berhari2 dan sdh diperiksa IGD RSUD (dan sdh dikasih obat )  dan mereka saran harus tindakan lanjutan jika msh sakit, minta rujukan ke RS besar..ee ditolak...disuruh bersabar nunggu sekian hari sambil minum pereda nyeri yg praktis sama aja sama yg sdh dilakukan RDUD nya. Susah amat minta rujukan. Pasien BPJS susah sekali. Bayar ga boleh telat. Bah."
arief etrama,1 bintang,"Dokter gigi yang bertugas bulan Maret cowok pelayanannya buruk bangat, padahal 2 Minggu sebelumnya dokter gigi yang cewek pelayanannya ramah bangat dan lebih profesional, sedangkan yang cowok seperti acuh tak acuh dalam melayani masyarakat, habis tambal gigi rasanya gusi ku berdenyut terus"
Edy Arroyyan,1 bintang,"pelayanannya gak banget, masak ada pasien dokternya sambil telponan, gak d cek tensi dulu, tanya keluhan, kasih obat, sudah."
Wahyu salon Wahyu,5 bintang,"Bagus dokternya baikk
Mbak yg jaga didepan super super baikkk ....saya pindah faskes
Dibetulin .gak ada kuota pake wifi sini
Alhamdulillah pelayanan overall keren"
Mie Udang Singapore,5 bintang,"Salut, pelayanannya cepat, dokter dan semua petugasnya ramah2.
Sukses selalu."
yos sumarianto,5 bintang,"parkirnya lumayan,
ada parkir khusus pengguna kursi roda,
igd yang stay 24 jam, poli anak, umum,
poli kia/kb, sekaliagus rawat inap beserta laboraturium dan tak ketinggalan perbantuan melahirkan

selain itu ada test kesehatan untuk pra nikah yang di ikutkan ke puskesamas, jadi bagi pasien yang bertempat tinggal di siwalan, bisa melakukan tes pra nikah dengan gratis, kecuali bagi catin yang berdomisili atau ber kependudukan di luar surabaya,
ada dan retribusi nya tp murah kok

tenang aja gaes,

pelayanan nya juga ramah, hanya saja bagi kawan2 yang berasal dari luar siwalan yang ingin berobat di siwalan, pastikan, menanyakan dulu di puskesmas , apakah yang di cari ada atau tidak,

sebab ada jadwal2 tertentu yang tidak diadakan setiap hari contoh seperti suntik TT ,,

semoga lekas sembuh ya gengs"
Tri Puji,1 bintang,"Ke poli gigi mau bersihin karang gigi, di cek ala kadarnya. Akhirnya setelah di bersihin saya cek lagi di rumah masih banyak karang gigi nya"
Fendi Soewarno,1 bintang,"pasien dan pengunjung di suruh tenang, gak boleh berisik...
tapi petugasnya yg berisik ketawa keras kayak di pasar"
ilham azzilzal,5 bintang,Dokter dan seluruh staffnya ramah. Kemudian dokternya sangat informatif kepada pasien
Nihzar,1 bintang,"Saya sangat kecewa sekali datang ke poli gigi penanganan sangat tidak memuaskan sekali sangat kasar mending dokternya di ganti ajah krn sudah tua jd penglihatannya mungkin sudah nggak jelas
Padahal saya pakai jalur umum pelayanan dan penanganan nya sangat bikin kecewa
Sudah kapok nggak akan datang lagi
Berobat tidak membuat sembuh tambah terasa menyakitkan
Yg ramah pelayanannya hanya penjaga parkirnya ajah"
Tasya Efrata,4 bintang,"Kesini untuk vaksin covid-19. Untuk vaksin 1 dan 2 lancar, untuk vaksin ke-3 nampak petugasnya pendaftarannya masih carut marut, dan bingung, mungkin faktor usia juga. Dokternya agak jutek. Lokasi bersih."
luvfishy,5 bintang,"Brusan bgt pergi kesini dan dilayani dg baik.
Badan rasanya udah gak karu2an, mata udah gelap, nahan mual juga.
Baru tau ternyata klo antri skrg sdh onlen.
Diajarin sama front officenya dg sabar bahkan diinfo kalau antriannya sdh dekat.
Gak perlu cemas klo gak ada kuota, disini sdh ada wifi jd bs daftar dg lancar.
Dokternya juga ramah dan helpful.
Trs krn sdh terdaftar bpjs mgk ya pelayanannya free samsek gak bayar. Apresiasi ke puskesmas siwalankerto pelayanannya sip. Terimakasih."
Sepcha Sihabuddin,1 bintang,"Pusat pelayanan kesehatan kelurahan siwalankerto, pelayanan cepat dan ramah. TAPI ITU SEMUA BERUBAH SEJAK PELAYANAN VAKSIN, DILEMPAR SANA-SINI, KATANYA PRIORITAS, TERNYATA SESAMPAI DI TEMPAT DITOLAK LAGI. PERTAMA HARI MINGGU DISURUH VAKSIN, TERNYATA KARENA SAYA SUDAH VAKSIN PERTAMA, DISURUH KEMBALI SAAT HARI KERJA, NAH PAS HARI KERJA KEBETULAN WFH MALAH DITOLAK, KATANYA BUKAN PRIORITAS, JADI BINGUNG, KALO ADA RATING BINTANG SETENGAH ATAU MINUS KASIH RATING MINUS LAH INI PUSKESMAS, MENURUN BANGET KUALITASNYA"
Ida Novi,3 bintang,Pelayan semua oke... hny petugas farmasi kurang ramah... msih mending biasanya di layani anak2 magang.. untuk tes darah lbh pelan lagi ambilnya darah.🙃🙃🙃 …
Aybert Official,1 bintang,"Penanganan kurang baik.. POLI GIGI padahal nomr antrian jam 7 30 sampe sekarang jam 8.30 belum 1 pun ada yg kepanggil sama sekali,, masak makan gaji buta semua yg di POLI GIGI 🥴 …"
super dd,1 bintang,sistemnya buruk! bikin surat sehat aja harus nunggu 4 jam kacau
Budiono Sukses,5 bintang,Puskesmas Siwalankerto lokasinya seberang UK Petra. Punya banyak poliklinik termasuk UGD atau Unit Gawat Darurat.
azizah,5 bintang,"Pertama kali berobat kesini, saya tiba pukul 8 pagi. Di pintu masuk sudah ada petugas jaga untuk ambil antrian dan data KTP. Setelah itu duduk dan tunggu panggilan ke loket pendaftaran karena saya pasien baru dan tidak pakai BPJS, kemudian saya diarahkan ke loket pembayaran untuk bayar Rp 5000. Saya kembali duduk menunggu panggilan masuk poli umum. Ada 2 dokter dalam 1 ruangan, kebetulan saya dengan bapak dokter Bayu Ariono. Beliau ramah dan telaten memeriksa kondisi saya. Beliau juga menawarkan dan memberikan surat istirahat tanpa saya minta. Resep tidak diberikan secara tertulis tapi langsung dari komputer, sehingga keluar dari poli saya langsung dapat panggilan ke loket farmasi untuk ambil obat. Ternyata saya tidak ditarik biaya lagi. Jam 9 saya sudah bisa kembali istirahat di rumah. Terima kasih atas pelayanan yg cepat. Semoga pegawai puskesmas siwalankerto dilancarkan rezekinya dan pertahankan kinerja baiknya 🙏🏻"
HARIANTO WIRYOREJO,5 bintang,"Pelayanan cepat, dokternya ramah perpanjangan rujukan mudah 👍 …"
