reviewer_name,rating,review_text
Meriana Maret,5 bintang,Pelayanan nya cepat jelas.. Kok bisa ya bintang nya kecil 3.2 pdhl sekelas puskesmas sangat bagus dlm pelayanan. Calon2 dokter yg sedang koas juga membantu sekali untuk mengantar kita dalam tahapan2 periksa.. Hanya krg kantin jd kita sbg pengunjung susah untuk beli air mnum atau jajan. Sukses terus puskesmas tambak rejo.. Smga semua pelayanan nya menjadi amal ibadah dan pahala untuk smua staff. Aminn🙏🙏
Aisyah Amira,5 bintang,"Sangat puas dan senang...
Pelayanan dan tempat sangat bagus...
Saya baru ini menggunakan BPJS dan dilayani dengan sangat ramah ....
Semoga pelayanan yang baik ini terus terjaga di tambak Rejo...
Terimakasih untuk para pengurus yang ada di bagian KIA puskesmas tambak Rejo..."
Dina Fitriawati,1 bintang,"Susah sekali dapat rujukan dsini,pdahal ibu saya sudah periksa 3 kali. Masa mau tunggu pasien gempor baru dpt rujukan"
Dwima Widya,1 bintang,"Dokter baru gak care sama px. Saya datang periksa gatal2 tapi tdk di inspeksi. Dokter cuma iya iya aja. Bilangnya cuma "" nanti saya kasi salep"" gimana mau menegakkan diagnosa kalo ngk liat luka gatalnya gimana. 4 hari masih gatal timbul luka luka baru"
Viethaa tembemzt,1 bintang,"Pelayanan sangat buruk,, saya periksa bayi usia 2bln dalam keadaan batuk berdahak. Dan ada alergi di bagian leher.Tapi malah gak di cek² sama sekali hanya cuman lewat tanya jawab saja"
Nizar Setiawan,1 bintang,"Gedung baru tapi pelayanan buruk, ada pasien masuk tp gak ditanya ada keperluan apa. Dibiarkan dulu lama. Bicara sama pasien jutek sekali. Mohon ditingkatkan pelayanan sama customer."
Romadhona Hadisyahfi'i,1 bintang,"Pelayanan Poli KIA sangat lama saat waktu imunisasi di hari selasa,, sudah nunggu sekitar 30 menit lebih belum ada pasien yg masuk dengan alasan kartu belum di setor ke poli. Mohon segera diperbaiki."
dyah mita,5 bintang,Terimakasih atas pelayanan yang sangat baik selama kehamilan dan setelah melahirkan. Hari ini saya diberikan ilmu pengetahuan mengenai ASI dengan sangat detail mulai dari makna dan keutamaan ASI hingga praktik cara posisi memberikan ASI kepada bayi dengan nyaman. Sangat membantu sekali untuk saya yang memiliki anak pertama. Sukses dan selalu berikan pelayanan terbaik puskesmas tambakrejo
Rista Pratiwi,5 bintang,"Tempatnya nyaman, pelayanannya sangat ramah sekali. Dari petugas loket petugas antrian sampai para medis kasih arahan sangat jelas. Terimakasih Puskesmas Tambak Rejo"
Debi Rurianto,1 bintang,"Tolong di tingkatkan pelayanan kepada pasien yang sakit, ada dokter umum ibu2 gemuk gak niat kerja cuma maen HP aja , tolong pal eric cabut itu ijin jadi dokter"
Windy Putri,5 bintang,"Tempatnya bagus, bersih, dan nyaman. Petugas admin, dokter, farmasi, dan suster super duper ramah dan sangat membantu. Thanks PKM Tambak Rejo semoga selalu sukses dan berjaya 🥰 …"
