reviewer_name,rating,review_text
Rizkiyanti Dwi Ramadhani,1 bintang,"Itu loket yg didepan kerjaannya apa ya? Sangat lamban dan saya sdah memastikan kata dia bisa periksa trus pas udh mau diperiksa bagian depan ruangan bilang tidak bisa udh gtu nunggu lama. Kalo memang tidak bisa periksa dgn alasan wilayah bilang diawal!! Jgn org suruh antri udh antri bilang tidak bisa. Buang-buang waktu. Saya ke sana untuk berobat bukan main-main!!! Satpamnya jg klo memberitahu org yg bener bukan malah bentak"" org tua. Mencerminkan SDM yg rendah. Dulu sekolahnya lulusan apa? Sampai attitude pun tidak punya. Kalian tanpa org sakit disana tidak akan berpenghasilan!!"
Moh Muhajir,1 bintang,"Saya mau cerita agak panjang tentang pengalaman saya berobat di puskesmas Surabaya Utara tepatnya *PUSKESMAS TAMBAK WEDI*
Dari awal masuk di loket pendaftaran masih OK normal sesuai prosedur. Setelah ambil nomer antrian saya duduk menunggu panggilan. Pas giliran saya masuk saya di periksa di tanyakan keluhannya apa cerita lah saya. Dan setelah selesai saya kan minta surat istirahat buat keperluan saya dan perusahan saya untuk ijin gak masuk kerja di hari tersebut dan anehnya mereka tidak bisa ngasih surat istirahat kecuali pasien kena penyakit CACAT,MENULAR dan apalagi saya lupa. Terus kalok sakit yang lain gak boleh istirahat gitu? Sungguh Aneh dokternya
Kan saya sempat beberapa minta tolong ""masak gak bisa dok hari ini aja buat keperluan kerja saya biar gak kena ALPA saya dok gitu"" . Ehh dokternya langsung ngomong pakek nada yang agak tinggi. Yaudah saya bilang makasi dan langsung keluar.
Dan satu lagi yang bikin saya gak habis pikir.
Saya nunggu panggilan buat ambil obat kan
Pas di panggil ada satu obat yang habis suruh beli sendiri di luar hedehh aneh aneh
ternyata walaupun kita punya BPJS kelas 1 kayak gak guna *KHUSUS DI PUSKESMAS TAMBAK WEDI MAKSUD SAYA
Akhirnya saya pindah lah ke puskesmas lain nyatanya saya dapet surat istirahat karna saya emng butuh istirahat
Ok sekian terimakasih"
R.A.P R,1 bintang,Poli sore sangat tidak memuaskan. Petugas perempuan di dalam poli umum menjawab dengan sangat ogah2an. Yang satu malah asik telponan saja.
Riska Nurchasanah,3 bintang,"Tgl 15 feb dtg k puskesmas minta perpanjang surat rujukan dan uda nunggu hampir 1,5jam pas di panggil eh kata petugas tdk bs karna minimun permintaan rujukan h-7 sblm kontrol ( jdwl kontrol tgl 15 maret ), knp dr awal dtg ke petugas pertama yg menangani ga konfirmasi klo g bs?knp hrs nunggu dlu ampe selama itu?
Tgl 20 feb dtg lg mw nyoba bwt minta surat rujukan, oke petugas pertama lolos disru masuk ruang dokter, d dpn dktr malah di mintain hasil diagnosis, karena dktr nya pgn tau.
Posisi saya tidak bawa karena emang dr awal minta surat rujukan yg sblm2 saya hanya diminta surat rujukan tanpa hasil diagnosis atau berkas lainnya.
Akhirnya saya eyel krna sya jg d buru wktu bwt kerja dan pihak puskesmas memberi surat rujukan.
Intinya saya kesal knp ribet sekali, peraturan tdk jelas dan tidak sma tiap petugas.
Kadang hari ini tdk bs bsk atau kpn bs, kan aneh g konsisten."
Hanny Nawaz,1 bintang,Puskesmas curang masa jam 12 sudah tidak bisa terima pasien? padahal cuman mau minta surat keterangan sehat!!! katanya ga bisa sudah tutuppp
Dela Rofitasari,1 bintang,"Puskesmas curang, bagian administrasi curang banget mentang² saya gak bayar jadi dikasih nomer terakhir, padahal yg datang sesudah saya pada selesai duluan semua. Cuman gara² nunjukin jkn aja langsung dikasih nomer terakhir gak adil banget. Peraturan darimana coba."
Luda Lee,2 bintang,"Apa di puskesmas ini tidak ada petugas kebersihan ya? Di depan poli KIA ada kecoak mati dibiarkan saja. Bukannya ini berhubungan dengan hygiene sanitasi ruangan?

Note:
1. Kejadian hari Jumat 01 Desember 2023 jam 07.50 - 09.00 saya pulang kecoak tersebut masih ada.
2. Saya tidak ambil foto karena ada larangan mengambil foto di area pelayanan puskesmas."
zacky zaque,5 bintang,"Puskesmas viral! Pelayanan mantap, saya suka dokter cowoknya, kayak Lee Min Ho.. bisa banget dibuat curhat"
RIO NUGROHO GURITNO (MOTIVATORIO),5 bintang,Disini saya mendapatkan Vaksin Covid 19 yg Pertama. Bulan depan akan diberikan tahap 2. Tempatny bagus dan petugasnya ramah2.. terima kasih puskesmas Tambak Wedi.. 🙏🙏 …
Wijayana Pasifika,5 bintang,"Pelayanan cepat aku suka dan ramah nya natural tidak di buat buat, staff baik baik dan ada tempat bermain buat anak kami"
teguh Vio,5 bintang,"Periksa hamil sambil membawa anak kecil sekarang gak perlu khawatir lagi.... saat periksa hamil anak bisa main di ruang bermain ini...tempatnya sangat nyaman banget, sejuk dan pelayanannya sangat baik, petugasnya ramah2, dan bu bidannya baik baik banget... terimakasih puskesmas Tambak Wedi"
Hidayat,4 bintang,"Akses jalan menuju puskesmas sangat kecil untuk kendaraan roda 4. Dan berada di tengah pasar jadi biasanya macet. Parkiran puskesmas sangat luas. Ruang tunggu yang cukup luas. Pelayanan cepat, ramah, dan sopan. Namun belum ada pelayanan rawat inap dan UGD"
Naylatul Inayah,5 bintang,Khusus puskesmas tambak Wedi di poli gigi sangat baik dan ramah
Assyfa Bilqish,5 bintang,"MasyaAllah pelayanannya memuaskan tujuan saya mengantar anak saya yg sedang sakit
Lalu saya bertanya bpjs saya d non aktfkan bagaimana caranya utk bsa aktf kmbali lalu d bantulah petugas mas² & mbak² utk d aktfkan lagi bpjs saya
Alhamdulillah di pertemukan dgn org² yg baikk d puskesmas tambak wedi"
Widya Kurniawati,5 bintang,Ke poli gigi dilayani dg baik mskipun bukan pkm wilayah trdkt bpjs tp pke umum. Alhamdullilah dr nya ramah dan baik proses pengerjaan nya hati” dan pelan shingga tdk sakit. Puskemas ny jg nyaman tempat pencahayaan nya bagus. Semoga ttp selalu bs melayani dg baik untuk pkm tambak wedi 👍👍 …
gus d78,5 bintang,"Puskesmas yg nyaman...
Petugas poli gigi nya ramah.
Untuk poli lain jg ramah.
Akses ke puskesmas melewati pasar...
Menyenangkan jg...👍👍"
Renata Salsabillah,1 bintang,"Pelayanan buruk, dokternya ngehina kaum yg pakai BPJS,BPJS seperti gk ada artinya di puskesmas ini,"
