reviewer_name,rating,review_text
Hestisetia Hesti,5 bintang,Puskesmas takal dulu pelayanan nya sangat lemot waktu hamil anak pertama . TAPI sekarang sudah bagus . Pelayanan juga sudah cepat . Dokter nya juga ramah . Pelayanan BPJS nya juga enak waktu jelasin . Tempat juga bersih .Wes pokok nya top sekarang . Pertahankan yaa 😊 …
Clego Design,5 bintang,"Datang pagi hari, langsung dilayani untuk pengaktifan ulang BPJS dengan mas Erlan, hanya membawa fotokopi kk 1 lembar."
Zikri Putra,5 bintang,"Pelayanan terbaik, dokter dan perawat sangat sigap dalam melayani. Tempat bersih. Petugas baik dan ramah."
Yohan Advokat,5 bintang,"Pelayanan di puskesmas tanah kali kedindng sangat baik, sangat membantu dan informatif, petugas medis dan petugas liannya sangat ramah memberikan pelayanan terhadap masyarakat untuk kesehatan, tempat juga sangat nyaman dan bersih. Memang patut diberikan bintang 5. Semoga semakin sukses. Terima kasih 😆 …"
Finanda Apriani,2 bintang,"Sangat lemot, selalu tdk sesuai dgn jam estimasi. Bahkan bisa lebih dari 1jam dari estimasi. Tolong diperbaiki lagi pelayanannya
Dan utk masalah vaksin, cari info lewat wa katanya sudah ada vaksin tsb ternyata sampe sana kosong . Aneh banget"
Lailaa Saafitri,5 bintang,"Alhamdulilah persalinan di puskesmas tanah kedinding lancar , palayanan di persalinan nya baik,memuaskan ,pelayanannya ramah"
Devi Sri Setiyoningrum,1 bintang,"Sangat lemot sekali no antrian 15 dari tadi ga dipanggil panggil nunggu dokternya panggil,difaskes lainnya kalo sudah no antrian nya ya bole masuk diperiksa ini masih nunggu dulu,nunggu di panggil namanya 👎🏻👎🏻👎🏻 …"
Samsul Arifin,1 bintang,"Di mana2 umum nya periksa ini ya di liat kondisi nya di priksa . Di pukesmas ini kurang etis mnurut saya.
masak namanya priksa cuma di tanya2 aja lansung ambil obat . Kalau sama2 gk di periksa kan mending beli obat di apotik aja.
niat hati mau periksa tapi gk sesuai harapan"
Home Sak,5 bintang,"Pelayanan ramah,tempat bersih dan nyaman,teratur alur layanan nya.Yg pasti jauh lebih bagus dr yg dulu 👍
Good job …"
alfia octavanny,5 bintang,Terima kasih saya kemaren melahirkan di pkm sini secara normal dibantu oleh Bidan Fifa yg sangat ramah dan care. Pelayanannya pun memuaskan dan bikin senang🥰 …
Radiva,5 bintang,"mau pindah faskes bpjs, langsung diarahkan download mobile jkn sama mas erlan dan dibantu caranya. tapi untuk aktifnya harus menunggu tanggal 1 bulan depan."
tata levyna,4 bintang,"penilaiannya 4.
sebenarnya untuk penilaian terhadap PKM harusnya setelah pasien / pengunjung sudah periksa.
jadi jangan saat pengunjung datang dimintai penilaian, sehingga untuk mendapatkan nilai optimal alangkah baiknya pengunjung / pasien menikmati pelayanannya dulu🙏
terimakasih🙏"
putri hafidha,5 bintang,puskesmas yang nggak ribet ngasih rujukan ke RS manapun . terimakasih pkm takal
Regita Ayu Prabandani,5 bintang,"terimakasih bu bidan fifa, sudah membantu saya untuk melahirkan dengan nyaman. puskesmasnya juga bersih, petugasnya ramah2. semoga sehat dan sukses selalu 👏👏 …"
YENI Wulandari,5 bintang,"Puskesmas tanah Kalikedinding terbaik…pelayanan poli KIA sangat baik dan cepet gak perlu nunggu lama, bidan2nya ramah, komunikasinya sangat dimengerti ketika memberi konseling…Puskesmasnya sekarang bagus, bersih.🫰🫰 …"
Agus Mardianto,5 bintang,"pelayanan ramah,
sekarang lbh baik dr dulu,lebih cepat penangananya,tempatnya bersih,
cuma g ad kantin,jd kalo pas g bawa minum,ank minta minum susah.selainya bagus☺️"
Kiki Zakiyah,5 bintang,"Pelayanan nya sangat baik.. dulu lemot banget...sekarang sudah membaik...

Oh iy
Kak info jadwal USG donk.."
Jong Marhaen,5 bintang,"Pagi ini mengantar istri ke ruang KIA, Alhamdulillah pelayanannya cepat sesuai jam estimasi dan petugas nya ramah sekali, puskesmas nya juga mewah bangunannya , semoga bisa d pertahankan🙂 …"
Dwi Bondan,2 bintang,Pelayanan kurang bagus dan antrian lama tolonh diperbaiki kalou uda berangkay duluan dipanggil lama dan antrian nomer kecil dateng lama dipanggil duluan tolonh diperbaiki
Retno Dwi Dhiyanti,5 bintang,"Pelayanan nya bagus
Dokter gigi nya ramah
Anak sy sdh kali ketiga dirawat gigi nya di puskesmas ini
Terima kasih dokter puskesmas tanah kali kedinding
Semangat terus melayani masyarakat"
Andri Hariyanto,5 bintang,"Pelayanan petugas yg di depan Pendaftaran lumayan ramah, smoga petugas yg di semua Poli jg sama."
Nurin Hermawati,4 bintang,"Saya kmaren sudah ke poli gigi untuk karang gigi,, untuk anak saya,, kenapa saya di suruh bayar 150.000 apakah ini benar,, saya pakai BPJS knpa karang gigi tidak gratis malah bayar,, minta tolong saya harus bertanya kepada siapa atau ada pusat bantuan keluhan by wa... ??"
Siti Aisyah,5 bintang,"Selama hamil periksa disini terus, alhamdulillah bersalin juga di tempat ini.
Pengalaman pertama kali bersalin di tempat ini Bidannya ramah"", pelayanan cepat, tempatnya juga bersih.. Rekomended banget"
Vera Wati,5 bintang,"Pelayannya semua ramah , ngurus catin gak ribet banget best banget deh sama mbk"" nya ramah sekali , walaupun cek catin beda kecamatan gak membedakan antara pasien"
abdul rahman 21,3 bintang,"pak saya mau urus JKN saya tiba² tidak aktif/tidak ditanggung, bagaimana cara urusnya pak karena mau di pakai. mohon jawabannya terimkasih"
Natasya bunga Putri pricilliya,5 bintang,"pelayanan di puskesmas takal sangat-sangat memuaskan bagi saya.dengan dari pelayanan yang baik,ramah,cepat.lingkungannya bersih dan nyaman.ramah ramah juga kepada pasien."
