reviewer_name,rating,review_text
Widad Sarah,5 bintang,"Puskesmasnya bersih dan rapi, pelayanan baik dan memuaskan"
Rendy Krisnawan,1 bintang,"Dateng awal jam 07.25 untuk cari surat keterangan sehat aja lama banget. Daftar di depan jam 7.40 dan ke loket saya bilang untuk minta surat keterangan sehat, lalu sama petugas langsung diminta ke ruang 8 untuk menunggu. Setelah hampir sampai jam 08.15 saya belum juga dipanggil wajar ya nunggu, lah ini orang baru dateng langsung dipanggil, dari situ lah kok gini, saya antri dari pagi kok ngga dipanggil"". Setelah itu saya tanya ke petugasnya ditanyain no antrian brp ya saya ngga di kasih no pas daftar di awal, kata petugas di loket daftar ditunggu ya di ruang 8 gitu aja. Lah sama petugas no 8 dikasih no.18 no terakhir kan aneh. Padahal antri dari pagi. Anehnya lagi minta surat keterangan sehat daftar ulang lagi karena ngga dikasih kitir suruh bayar 20 ribu. Lah kenapa dari awal ngga bilang kalo harus bayar dulu lalu dikasihkitir buat ambil surat sehatnya.Pas bayar ditanya in ini lah itulah, gajelas banget petugas loket berkacamata dan petugas ruang 8 yang becanda pas saya masuk. Setelah itu surat sehat sudah jadi ngga diperiksa tensi darahnya, tinggi badan nya dan akhirnya petugas mengisi asal itu semua tanpa mengukur hebat banget wkwk.
Moga segera ditindaklanjuti sih pegawai kayak gitu,  kecewa dengan pelayanan buruk kayak gitu..."
Rizky Apriyanti,5 bintang,"Daftar online jam 08.19 . Mesti nunggu di informasi kurang lebih 30 menit . Ke poli gigi lgsung di periksa trnyta harus cek gula darah di laboratorium . Sampai di laboratorium Antrian nya gk seberapa bnyk tapi harus nunggu 1 Jam lebih . Stlh cek baru kembali lagi ke poli gigi lgsung ditangani dokter gigi nya ramah dan cabut gigi nya gak sakit karna memang di suntik dua kali karna cabut gigi berlubang . Terimakasih sudah membantu saya dokter 🙏🙂

sering tertunda kalo mau periksa gigi . Karna waktu pelayanannya yang lumayan memakan waktu .harus libur kerja kalau mau ke puskesmas 😊 keluar puskesmas jam 11:04 pdhl dtg jam 08:00 . Terimakasih"
Jesica Cantik,1 bintang,"Dua kali nya datang kesini,yang pertama mau priksa gigi geraham awalnya disuruh bayar administrasi 20ribu karena ktp luar surabaya tapi setelah masuk poli gigi sama si poli gigi disuruh bayar ke kasir lagi 20ribu katanya buat penanganan
Yang kedua ini minta surat keterangan sehat waktu daftar di kasir disuruh bayar 40ribu dan setelah sampe poli umum disuruh keruang lab buat tes gol.darah setelah dilab dikasih tulisan disuruh kekasir lagi bayar 20ribu buat cek gol. darah.  Kenapa sih setiap ruangan itu menarik uang 20ribu sendiri²?? Emang iya kasien yg lagi sakit juga suruh bolak balik seperti itu???. Per ruangan kok disuruh narik 20ribu itu maksudnya gimana??? Tolong ya dikondisikan yang betul itu bayarnya brp bukan disuruh riwa riwi kekasir terus kalo bisa per ruangan aja dikasih kasir
BINTANG SATU MASIH TERLALU BAGUS!!!"
Vingki Maulana Putri,5 bintang,"Puskesmas Tanjungsari pelayanannya baik. dari mulai petugas di loket, di ruang farmasi. saya pernah berobat ke  poli gigi. dan dokternya juga mengarahkan dan memberi tahu. sangat ramah.  resepnya juga manjur. puskesmas nya terlihat asri karena banyak tanaman buah2 dan toga. toilet sip, tisu selalu sedia, sabun cuci tangan juga selalu tersedia."
wahyu irawati,2 bintang,Pelayanan Poli KIA tolong di tingkatkan.. Bidan nya sih OK.. Tapi pengurus yang lainnya itu kayak kesannya formalitas pekerjaan aja.. Kurang ramah dan ogah2 an... Periksa kehamilan cuma bisa senin & kamis doank.. Misal ada keluhan ibu hamil dll gimana kalo gak pas senin & kamis..
Alya Anabila,5 bintang,"Puskesmas Tanjungsari Is The Best👍Nakesnya ramah² , pelayananya juga bagus Cepat & Tanggap, Pantas saja jika banyak pasien yg dari Luar Wilayah karena memang Nakesnya ramah & bersahabat.
Pernah suatu saat ada pasien dari daerah Sxxxxxx.. Sharing² kenapa gak  di daerahnya kan lebih dekat, katanya enggak Nakesnya gak enak dan pernah juga sudah mahal² ke dokter malah tambah sakit. Itu sedikit cerita nyata bukan bermaksud menjelekan siapa² tapi itu untuk pelajaran bagi Kita & memicu semangat para Nakes Untuk lebih & Lebih meningkatkan pelayanan penuh ketulusan & keIkhlas..... Semangat"
Faisal Suryo Anggoro,5 bintang,"Puskesmas Tanjungsari mantab betul, meski hari libur tetap memberikan pelayanan terbaik untuk pasien yg berobat ... Puskesmasnya bersih, rapi dan asri. Sukses terus tuk Puskesmas Tanjungsari.👍👍 …"
Fatimah Fatim,1 bintang,"Pelayanan buruk, aku periksa anakku yg ruam popok. Awalnya dipanggil cuma cek bb tb suhu sama keluhan nya, trus suruh tunggu diluar nanti dipanggil. Beberapa lama aku denger dipanggil nama anakku, aku masuk, ternyata gk dipanggil, ya aku bilang ke nakes barusan manggil nama anaknya saya, malah ngotot Ya Allah aku dipermalukan di depan org, ditegur habis2an. Aku keluar lagi, terus ada panggilan digantiin suamiku, suami udh bilang ""iya"", eh dikatain budek sama nakesnya."
Alfinna Ayu Ningtyas,5 bintang,"Pelayanan di puskesmas ini sudah sangat bagus, petugasnya sumeh dan ketika saya tanya kenapa anak saya susah makan, petugasnya menjelaskan dengan sangat ramah, jadi saya sebagai orang tua dapat menerima informasi dengan sangat jelas, dan puskesmas nya ada taman bermain untuk anak, jadinya anak saya gak rewel disana
Semoga semakin bagus pelayanannya di tahun tahun berikutnya💕💕"
