reviewer_name,rating,review_text
Kreasi Fani dan Hera,2 bintang,"kenapa klo pas mau ke poli gigi sllu lama dipanggilnya ,padahal ga ada antrian bnyak ,kadang dibilang penuh padahal pas masuk di dalam kosong
.
pelayanan kurang ramah ( apa karna gratis )
.
lalu terakhir kesana kmrin bulan puasa mau nyabut gigi anak saya yg goyang mau copot ,wktu saya tinggal ke tempat informasi ( perintah dari dokternya ) tiba2 saya masuk ruangan gigi anak saya sudah di copot dan saya lumayan syok ketika sampai rumah anak saya bilang giginya yg goyang masih utuh berarti tadi yg di copot gigi yg bagus takutnya tanpa bius tanpa apa ,betapa sakitnya itu ga bisa bayangin anaknya nahan sakit nangis ( biasanya nangis cuma sekejap pas dicabut itu ,setelah itu udh ga ngeluh sakit ) ,wktu itu di ruangan ada 3 org perawat atau dokter kurang paham saya ...  seketika langsung nyes hatiku sebagai ortunya , kok bisa ga di cek dulu knpa asal cabut 😭😭😭 semoga tidak terulang lagi ,saya sangat sakit hati"
yurin dp,1 bintang,"ini apa gamau evaluasi buat seluruh karyawan, gausah bikin antrian pagi kalau karyawan aja dateng siang. saya dapet antrian pertama biar cepat dan langsung bekerja malah dapetnya tetep aja siang!!

Terus belum lagi nunggu ambil obat jam sgini aja belum dateng astaga makan gaji buta apa ya, niat ngelayanin masyarakat ga sih!!"
Yasmine Ayu,1 bintang,"Saya ke puskesmas itu mau periksa bukan di tanya"" doang,bad experiance bngt hbis nmng in tntang gejala lngsung di judge penyakit nya apa dokter skrng ada smpingan jadi cenayang kahh,kok bisa lngsung tau penyakit nya apa tanpa di priksa sama sekali,tensi darah pun ga niat bngt perekat nya ga rapet aja ga di benerin cmn dilihat in doang mana akurat itu alat mbak,pdhal dri kecil saya kesana ok"" aja pelayanan nya bahkan disaat sebelum lokasi bagus seperti ini,skrng lokasi bagus malah pelayanan nya bad bngt apa karna saya pkek bpjs yaa,apa ada mslah dngn pasien bpjs pemerintah ngasih buat rakyat nya untuk di gunakan sebaik mngkin tpi pelayanan kyk bocil main dokter"" an di tnya doang saya pasien bukan narasumber berita,udh lahh besok"" priksa nya di tmpt berbayar aja pelayanan ga jlas,klk ga urgent"" bngt ga lagi"" dehh"
Dimas Rizky,1 bintang,"mohon maaf kasih rating buruk. pelayanannya kurang ramah disaat saya periksa sakit saya malah dibilang sama surat dokternya hanya bertujuan untuk minta surat dokter saja dengan nada tidak enak. saya asli ingin periksa karena memang sakit dan tidak bertujuan untuk minta surat sakit
mohon diperbaiki lagi"
mulinda imanati,5 bintang,"Makasih puskesmas tembok dukuh yang selalu berusaha memberikan pelayanan yang terbaik untuk pasien. Semangat untuk para petugas""nya yang meskipun capek, pekerjaan nya banyak, tapi tetep selalu melayani pasien dengan baik.."
Akbar Fikri,5 bintang,Pelayanan bagus sekali. Dari garda depan juga ramah serta membantu pasien daftar serta mengarahkan pasien untuk menuju poli yang dituju. Dokter nya juga ramah serta enak diajak bicara.
AFNI DWI RACHMAWATI _,5 bintang,"Pelayanan sangat prima, antrian sudah melalui online, dan petunias dengan senang membantu lansia yang kesulitan untuk mendaftar antrian online. Terima kasih Puskesmas Tembok Dukuh. Salam sehat😊 …"
Nurul Fauziah,5 bintang,Pelayanannya cepat dan tepat. Petugas ramah dan sigap dalam memberikan arahan dan penjelasan kepada pasien
Puput Artalia,5 bintang,"Pelayanan cepat,bersih dan ramah terima kasih smoga semakin menjadi lebih baik kedepanya dan membantu banyak orang."
Oka Barly Abrizaldi,5 bintang,"pelayanan cepat periksa darah cepat, tambal gigi di poli gigi petugasnya ramah baik dan cantik. ruangan sejuk bersih, gud Jobb"
