reviewer_name,rating,review_text
Dhea Dwi Pangestie,5 bintang,"Tempat parkir motor dan mobil luas, Ruang tunggu nyaman dan desain tempatnya bagus, ada tempat bermain dan pojok baca untuk anak-anak jadi tidak bosan menunggu. Ada ruang asi yang memudahkan busui, kamar mandi bersih dan bagus. Ada fasilitas untuk charge hp yang sangat memudahkan, dimana tidak semua tempat menyediakan. Puskesmas dengan fasilitas yang lengkap"
Munawaroh Kusno,5 bintang,"Tempatnya bagus, bersih, pelayanan bagus. Untuk antrian termasuk cepat padahal di puskesmas biaya gratis. Di RS saja walaupun eksekutif dan berbayar juga antri panjang dan luama apalagi kalau banyak pasien. Saya suka karena fasilitas termasuk lengkap ada tempat bermain anak dan tempat membaca, jadi kalau bawa anak gk bosan."
Muhermi Mimi,5 bintang,"Pasien datang daftar sesuai dengan no urut mengantri dengan sabar

Ada tempat bermain untuk balita

Petugas puskesmas melayani pasien dengan ramah tamah"
Inggar Dwi,5 bintang,"Fasilitas kesehatan tingkat 1 dengan pelayanan yang baik. Petugas administrasi ramah, dokter/perawat/nakes baik dan sopan. Petugas farmasi ramah dan tanggap, pelayanan obat juga sangat cepat (sering menjumpai pasien baru keluar dari ruang pemeriksaan tapi sudah mendapat panggilan obat).
Puskesmas ini juga ramah anak, terdapat playground sehingga anak dapat bermain selagi menunggu antrian.
Overall, menurut saya puskesmas ini layak dapat ⭐️⭐️⭐️⭐️⭐️"
Krisna Khan,5 bintang,"Pelayanan sangat baik, petugas nya ramah , ruangan juga bersih.
Pengambilan obat (FARMASI) juga sangat cepat, tanpa menunggu lama."
Farchatin Nuzulia,5 bintang,Berobat jadi senang karena ada tempat bermainnya 🥰 anak jadi gak takut ke puskesmas untuk berobat.. terima kasih puskesmas tenggilis …
Andini Kamilia,5 bintang,"Pelayanan di puskesmas baik, poli gigi tempatnya bersih dan dokternya ramah.. rekomen untuk masyarakat yang mau meriksa gigi"
Nila Prita,5 bintang,"Terima Kasih Kepada Puskesmas Tenggilis
Menurut Pengalaman Saya Pribadi 2X merasakan pelayanannya

1. Pelayanannya bagus mohon dipertahankan 👍
2. Pendaftaran dan pelayanannya sangat OK tertib teratur banget loh daftar online/offline gampang, layar ada dimana2 juga dipanggil jadi pasti bisa tahu
3. Bagian KIA bu bidannyaaa semua sabar memeriksa dan mendengarkan keluhan juga saat memberikan pelayanan medisnya
4. Lab dan Farmasi juga OK sih standard, umumpun biayanya sangat terjangkau
5. Yang bilang petugasnya ga informatif atau ga ramah, ga gitulah, saya yakin jika kita bersikap SMART SABAR pasti mirroringnya juga positif baik

Ke RS besar aja belum tentu juga dilayani dengan baik dan ramah padahal bayar mahal juga khan 😁, jadi menjudge jelek puskesmas yang melayani semua kalangan tanpa pamrih dan embel2 itu aga ga fairlahhh…

Yang saya tulis asli berdasarkan pengalaman yang saya terima sendiri ya.. ✅

***Pengalaman orang lain bisa berbeda***"
ulum ace,2 bintang,"Pelayanan lambat poli KIA tertera diantrian online pukul 10.23 tapi smpe hampir jam 12 siang belum ditangani
Posisi pasien anak terlantar nunggu antrian yg GK masuk akal
Terlihat petugas menumpuk didalam poli tapi santai santai"
Anisa Rahma,5 bintang,"Pelayanan bagus dan petugas ramah.
Puskesmas nyaman, bersih, fasilitas lengkap dan bagus, terdapat pojok baca, tempat bermain anak, ruang laktasi, toilet khusus anak dan disabilitas, parkiran luas"
LATHIFAH AZZAHRA SETIAWAN,5 bintang,"pelayanan dari petugs FO sudah baik, ramah & memberikan informasi yg jelas sehingga pasien tidak menimbulkan kebingungan. perawat dan dokternya juga tepat dalam menangani keluhan pasien serta pemberian obat/vitamin yg sesuai. psikolog yang bertugas disini juga sangat ramah, friendly dan sabar dalam mendengarkan keluhan, cerita pasien sehingga pasien timbul rasa nyaman dan segera mendapatkan penanganan yg tepat utk setiap keluhannya. sejauh ini, puskesmas tenggilis merupakan puskesmas yg okay & sangat memerhatikan kondisi pasien sehingga dapat ditangani dengan cepat dan tepat."
Latifatul reskia,1 bintang,"Bingung sama dokternya bisa baca fikiran, saya 2 kali kesana dengan keluhan yang berbeda dan dokter yg berbeda tetapi tidak disentuh dan tidak di cek mata saya, malah beliau takut liat mata saya yang sakit. Ya jangan jadi dokter pak kalo takut. Saya ke puskes mau periksa mata, kalo gak mampu menangani buat surat rujukan ke yg mampu. BPJS juga bayar perbulan dan sakit juga gak tiap hari. Rugi"
ABDAH Store,5 bintang,"Alhamdulillah, pengalaman priksa kandungan sampai persalinan anak pertama disini pelayanannya sangat bagus dan ramah. Perawat dan bidannya jg sangat informatif. Terimakasih banyak dan mohon dipertahankan."
Farhan Izzuddin,5 bintang,"(+) Sangat mudah, sesuai dengan estimasi waktu, tempat duduknya luas dalam dan luar
(-) kipas untuk ruang tunggu kurang"
yuli astivaria,5 bintang,"Sangat menyenangkan, pelayanannya baik sekali, tenaga medis  semuanya ramah, sarana prasarananya juga mendukung namun masih perlu ditambah lagi"
