reviewer_name,rating,review_text
Nur Ilham Abhirama,1 bintang,"Cuman mau foto list harga untuk biaya poli gigi karena saya mau daftar umum atau bpjs kan bisa saya tanyakan kalau saya sudah tau. Tp hari ini ada mas dipelayanan umum pakai baju hem putih, berambut rapi sekali, sopan santunnya nol. Kalau gak boleh kan bisa mas bilang ""kalau gak boleh atau bisa didatengin langsung keluar dr zona pelayanan umum untuk ngasih keterangan yang enak ""jangan malah manggilnya ""he ha he mas mas ngapain"" lah saya melanggar kode etik? Saya melanggar aturan? Bilang baik-baik kali mas, kamu pelayananan umum lo. Tau tugasmu apa. Attitudenyan kok nol. KECEWA SEKALI SAMA MAA PELAYANAN UMUM PUSKESMAS WIYUNG."
monika dwi koesetyowati,5 bintang,"Alhamdulillah sudah merasakan manfaat pelayanan kesehatan posyandu, skrining TBC, dan skrining IVA. Tenakesnya baik, sabar, dan informatif. Semoga ke depannya semakin baik lagi. Terima kasih"
Berlian Salsabil,5 bintang,"pelayanan sangat bagus, nakes-nakesnya ramah dan sangat solutif dalam membantu mengambil keputusan, kebersihan juga oke."
KLUTUSAN RECEH,1 bintang,Yang saya suka dari tempat ini adalah pekerjanya selalu tidak sopan..attitude nya nol besar.... Suka menghina orang lain.... Dan salah satu pelayanan terbaiknya adalah ngomel ngomel dulu baru ditangani...kadang juga ngomel ngomel doang padahal belum ditangani... Mantab bener nih puskesmas... Bahkan puskesmas di area Surabaya lain gak gini gini amat....kayaknya udah tradisi kalo di puskesmas Wiyung ini.... Terbaiklah... Merasa rugi kalo pake BPJS kesini...padahal BPJS juga bayar toh...
muhamad Amin,1 bintang,"""Kalau yang bekerja hanya mengunakan baju rapi.
tapi puskesmas nya
banyak :DEBU,Keybord komputer,Kipas angin & Lantai""

""NOTE "" :Mohon saling empati nya terhadap tempat anda mencari nafkah,jangan gengsi..."
nikmahtul dhuha,5 bintang,"layanan cepat dan penanganan cepat tanggap
saran bila ingin periksa saat sepi enak"
Savira Nabila,5 bintang,"Pelayanan nya bagus, saya pernah periksa Iva disana, bidan dan semua staff ramah
Puas banget
Terima kasih"
Cyber System,1 bintang,"Pertama kali ke puskesmas ini dengan pelayanan sangat mengecewakan , saya pasien umum bukan pasien bpjs tapi pelayanannya sungguh tidak terduga dari puskesmas lainnya .

ini pertama kali sy di poli PKPR dgn tujuan mau melangsungkan pernikahan dan diwajibkan priksa catin dipuskesmas ini krna alamat sy wrga wiyung. dengan dokter yg ada di foto tersebut . CARA NGOMONG yg saya dibentak"" tdk ada senyum sama sekali , ditolak karna tdk hadir satu pasang sdngkn suami masi kerja luar pulau jdi sy jauh"" kesni sia"", dan kenapa tdk dismpaikan sblmnya kalau wajib satu pasang , sebelumnya hari H nya priksa sy uda menanyakan kesni kalau mau priksa catin apa saja persyaratannya !!! Harusnya dismpaikan kalau wajib 1 pasang.
Diluar nalar ada dokter sperti ini ingat bu yg gaji samean itu pasien gimana klo tdk ada pasien . kok klo ngmong sm pasien sprti itu.

kapok periksa disini sangat kecewa !!!  Dari pelayanan dokter sama yg di depan pintu semua  pasang raut muka judes+ klo ngmong tdk bsa ramah tama. Attitude tdk ada !!!"
Bryan Saja,2 bintang,"Terkhusus tukang parkir atau satpam atas nama muslimin yang berjaga di tempat parkir, tolong dijaga atitudenya, anda yang bertanggungjawab di tempat parkir jikalau anda tidak menginginkan orang untuk parkir di tempat yang dilarang atau beresiko, anda beri tanda larangan atau beri setidaknya patok agar orang tidak parkir!!!! Jangan tiba-tiba datang lalu berkata seakan-akan orang yang akan menggunakan parkiran tersebut dianggap seperti orang tolol padahal dia sendiri punya tanggung jawab untuk lingkungan kerjanya!!!
Kalau pembelaan anda ""saya sudah mengarahkan"" setidaknya tata bicara anda dijaga!!! Saya tau anda sudah mengarahkan, tapi ketika saya sedang menuju menggunakan parkiran yang anda tidak kehendaki anda langsung pergi ke arah lain.
HEI SAYA TIDAK BUTA, SAYA MELIHAT ANDA MEMBALIKKAN BADAN KE ARAH LAIN, LALU DATANG KETIKA SAYA SUDAH PARKIR DAN BERKATA SEOLAH-OLAH ANDA SENGAJA MEMBIARKAN SAYA MASUK KE PARKIRAN TERSEBUT DAN TIDAK INGIN BERTANGGUNG JAWAB!!!!"
puput kartika,2 bintang,"Mungkin lebih di tingkatkan lagi untuk pelayanan nya, apalagi bagian poli anak dan kia sangat di sayangkan yg seharusnya dokter, bidan dan pegawai nya harusnya ramah tetapi cara berbicara nya kepada pasien sungguh sangat tidak ramah. Belajar attitude dan menghargai itu sangat perlu di terapkan. Terimakasih"
indri yunita,1 bintang,"Pelayanan loket poli umum sangat tidak ramah👎🏻 tidak ada attitude sama sekali, bicara dgn pasien dgn sinis + raut muka judes. pantes rating jelek!! …"
Hasanah Almanduri,5 bintang,Saya periksa Iva di sini enak bngt pelayanan nya bagus trs gercep bngt
its ezzaaa!!,1 bintang,"petugas bagian loket pendaftaran gak sopan
orang ngantri pas daftar malah ditanyain "" mas ngapain ngalangin jalan"" pdhl saya sudah sesuai barisan antrian
petugas tidak punya attitude sama sekali!
tolong tindak lanjuti
orang kampungan tidak punya sopan santun kok diperkajakan"
Mama Dodot,1 bintang,"Tolong ya untuk dokter/bidan KIA anak Puskesmas Wiyung
Jangan MAIN HP aja waktu periksa pasien
Anakku sakit cuma dilihat untuk kepentingan dokumentasi, gak diperiksa dengan teliti pake alat atau apa selesai foto² cuma ngomel mengkritik ibunya
Kami pake BPJS itu bayar setiap bulan bukan gratisan 👎👎👎👎 Pak Eric Cahyadi mestinya sidak disini"
Alif Rahman Hakim,4 bintang,"kalo ada bintang nol, ku kasih dah bintang nol. saya mau imunisasi anak saya. dr mulai pelayanannya yg membingungkan, bisa dftar online dpt nomor antrian tp suruh konfrim lempar sana lempar sini. klo emg ada sistem layanan online seharusnya sudah terdaftr,klo model begini ngapain jyga buat sistem online, blom lagi dokter anaknya itu namanya juga ""DOKTER ANAK"" seharusnya tutur bahasanya yg enak di denger. kita yg mau tanya jadi takut. gini amat klo gratis. tolong dinas terkait di maintance staff pukesmas ini. kalian nakes itu di sumpah untuk mengabdi. males juga ke sini. budayakan kata maaf, tolong, terimakasih.

edit : ada perbaikan dan pembenahan skg. alhamdulillah"
Hanna Pertiwi,5 bintang,"Untuk bagian persalinan alhamdulillah bidan nya ramah2 bgt, dan alhamdulillah nya udh lahiran anak 2x (tahun 2020 dan tahun 2023) di puskesmas wiyung ini, pelayanannya baik, ramah, sabar, sigap. Mudah2 an ke depannya tetap seperti itu selalu care sama ibu2 hamil yg mau melahirkan, walaupun bukan wilayah wiyung. Mudah2 an ulasannya bermanfaat untuk bumil yg mau lahiran disini, yg terkendala biaya."
Andika Sinaga,1 bintang,"PELAYANAN BURUK, SEBURUK BURUKNYA, NO ANTRIAN SEMRAWUT SEMUA, POLI KIA, UDA NUNGGU 2 JAM MALAH YANG DATANG DULUAN ANTRIAN NYA CEPET, SANGAT2 TIDAK PROFESIONAL SEKALI PUSKESMAS WIYUNG!!!"
Sifa Soliha,1 bintang,"SINGKIRKAN ROSDIANA
PEGAWAI TIDAK PUNYA ETIKA!!!! MAKANNYA DIPINDAHKAN, KLU PUNYA PEGAWAI BEGINI ITU HARUSNYA DIBINA, APAKAH ADA JAMINAN DIA JERA KALAU CUMA DIPINDAH?"
Andy And The Backbone,5 bintang,"Pelayanan Sangat Baik, Cepat Dan Memuaskan Terutama di Poli Umum dan Lansia"
