reviewer_name,rating,review_text
Agus Arifin,4 bintang,"Minta tolong untk antrian klu bisa hrs urut.. Jgn mana yg harus dibdulukan kecuali lansia tp klu bukan lansia hrs sesuai nomor antriannya, pdhl sy no 33 tp no 47 & 48 malah di dahulukan trs sbgai brikutnya 2 orng , bru sy di panggil.. Kan gak adil.. Klu untk keseluruhan ok."
Umam 114,1 bintang,"Kepada #MENTRIKESEHATAN Petugas yg di ruangan pendaftaran ibu2 tua2 itu kasar pelayann nya ganti yg muda2 yg ramah2
Gak cocok itu jadi pelayann publik attitudenya buruk  banyak warga yg ngeluh"
Sugma Cantikasari,1 bintang,"Hari ini dateng ke poli umum, sudah waktunya nomer antrian, malah disuruh nunggu diluar. Bahkan sampe kelewat 20 nomer (karena suruh nunggu diluar). Pas saya masuk, ketemu dokter perempuan, berkerudung, kurus, ga terlalu tinggi (gatau siapa namanya). Saya masuk, suruh duduk, saya tidak disentuh atau dipriksa sama sekali oleh dokter, beliau hanya bicara jarak jauh dengan membentak dan nada marah. Jujur kecewa sekali, mana ada ke pasien tidak dipegang sama sekali 😌"
la Hami Margasastra,4 bintang,"Pelayanan semakin canggih, ruangannya tertata rapi. Bidan nya ramah2 khusus bidan KIA... Skrg juga uda ada layanan USGnya, keren banget. Klo priksa hamil sll lengkap cek lab,cek gigi,cek gizi semua di cek.. Tambah lengkap, tingkat kan terus pelayanan nya kak."
Nasywa Nada,1 bintang,"Sangat sangat buruk... Harusnya kalau ada pasien kurang faham masalah minta rujukan dikasih tau dijelaskan dengan baik jangan bentak bentak nyolot. Masih muda petugas di KIA tingkah lakunya bener bener menyedihkan orang gak tau, nanyak itu lumrah jangan dibentak bentak. Puskesmas Wonokusumo sedari dulu terkenal petugasnya jahat jahat gak ada etika sama sekali."
Amin Ainun,4 bintang,"Ruangan tertata rapi, pelayanan yg d luar ok , cuma boleh gak aku reques klau mau ke dokter gigi(poligigi) ke dokter yg laki2 layanannya lebih baik, dr pada 1 nya masak iya pas ngebor gigi kena kelidah udah sakit gigi d tambah sariawan pula, udah 2 kali pelayanan nya kurang baik itu😪 …"
Arik Hoyer,1 bintang,"Nomor antrianku no 58 bingung aturan antriannya gimana dari jam 8 pagi sampe jam 10 siang disuruh nunggu diluar gaboleh masuk kata penjaga ibu2 didalem penuh untungnya saya tanya pasien udh nomor brpa tiba2 udah nomor 60 waktu udah masuk tenyata yang nomor antrian 60 keatas udah masuk kedalem semua gimana sih gatau ya posisi lagi sakit pusing diluar terus saya minta surat keterangan dokter disuruh antri lagi nanti dipanggil mau sampai kapan harus antri, saya pengen cepat2 istirahat dirumah pak, kerjaan nuntut harus ada surat keterangan dokter ketika sakit, tapi dokter mengulur2 waktu ,habis ngambil obat belum juga di panggil yaudah saya pulang kepala saya pusing lelet banget pelayannanya"
Eka Christy,5 bintang,"Pelayanan sudah jauh lebih baik dan tertata dari pada yang dulu, petugasnya gercep"" dan tanggap, dokternya sangat cekatan sekali pokoknya sudah baik sekali dan sangat modern"
Uun Faridah,5 bintang,"Hari ini datang ke Poli KUA untuk pengurusan Catin, pelayanan dari Dr. Fitri sampai ke Laboratorium dilayani dengan baik, ramah sampai selesai.. Terimakasih Puskesmas Wonokusumo. Jaya selalu, semoga kedepannya jauh lebih baik lagi"
Erma Yunita Erma Yunita,5 bintang,"Dokter Pipit  sangat oke menjelaskan ke pasien sangat detail full senyum orangnya semoga selalu menjaga kualitas pelayanan agar pasien merasa nyaman berobat di PKM Wonokusumo
Sukses untuk PKM Wonokusumo"
Yosi Arman,5 bintang,"Pelayanannya sudah baik & memuaskan, terlebih ada layanan online yang sangat memudahkan pasien untuk berobat sesuai jadwal yg dipilih. Semoga lebih baik lagi ke depannya. Bravo Puskesmas Wonokusumo"
dewi Ayu safira,5 bintang,"Pelayanan baik ramah, puas semoga seterusnya seperti ini"
Erlia Asmawati,4 bintang,"Pelayanannya mmg agak kurang ramah, masih kurang satsett . Tapi overall bagus kok . apalagi dokter umum Dr.Edo klo gasalah . Pelayanan juoss pokonya ramah puoll . Terimakasih dr edo ..."
Dolar Tri Atmojo,5 bintang,"Pelayanan cepat, bersih, ruang tunggu nyaman."
Achmad Ghufroni,5 bintang,"Pertama kali ke puskesmas Wonokusumo, kebetulan baru pindah penduduk
Pelayanan mantap gercep, terima kasih buat staff bagian pendaftaran, meskipun anak saya kependudukannya belom aktif tapi dibantu untuk bisa berobat."
Pandu Laksono,5 bintang,"Pelayanan sangat baik dan cepat, yang terpenting seluruh karyawan ramah terhadap pasien. Harap dipertahankan."
Ace Silver,2 bintang,"Puskesmas terRUWET yang pernah saya datangi. Padahal semua serba online, tapi masih dimintain FC KK KTP BPJS @2lbr .
Beda jauh dengan pelayanan puskesmas Tambak Wedi, bagus poll tanpa RUWET dengan surat surat (meskipun beda faskes). Tapi dilayani tanpa pandang bulu, sat set."
Slamet Riadi,5 bintang,"Pelayanan di loket sangat baik khususnya Pak  Silas & Ramah,penanganan juga cepat.pertahankan utk pelayanan seperti ini,Bravo Puskesmas wonokusumo"
ali akbar,1 bintang,"Pelayanan kurang baik,harusnya jika ada yg bertanya apa salahnya di jawab krn sdh mjdi tugasnya , harus lebih ramah sabar terima kasih"
Arya Bagus,1 bintang,"Pelayanannya aneh. Ga ditanyai sakit apa keluhan apa.. Terus disuruh ambil obat. Dan anehnya ga ada sakit panas, malah dapat obat panas. Lucu sekali bukan?😂 …"
